"pronoun"	"verb"	"context"	"filename"
"1204"	"he"	"observed"	" Lawyers in big law firms, he observed, often take for granted all the details that are handled by the support staff. For example, he said, ``I have to pay for my own insurance: malpractice, health, disability.'' </P> "	"nyt_eng_199407.gz"
"2175"	"he"	"observed"	" And the basic rules of the game, he observed, are the same no matter where one chooses to roll the dice. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19940804.0363 type=story > <HEADLINE> TOO MANY SPECIALISTS, BUT HOSPITALS THRIVE ON TRAINING THEM </HEADLINE> <DATELINE> NEW YORK  (BC-HEALTH-RESIDENTS-525(2TAKES)-NYT) </DATELINE> <TEXT> "	"nyt_eng_199408.gz"
"4091"	"he"	"observed"	" As Sylvester Daughtry Jr., a North Carolina police chief, told Congress in the spring, the idea that control of deadly weapons in the streets restricts the rights of sportsmen is a ``simplistic and dreamy distinction.'' The higher goal for law enforcement and the average citizen, he observed, is to ``do something about this gun madness.'' </P> "	"nyt_eng_199409.gz"
"6274"	"he"	"observed"	" Productivity has improved by 35 percent over 18 months and administrative costs have tumbled by 40 percent. ``In 18 months, we've taken a third of the cost out of the business,'' Tomb said. Of the IBM consultants, he observed, ``I came away with a lot of respect for them.'' </P> "	"nyt_eng_199410.gz"
"6411"	"she"	"observed"	" Before burying a nut, she observed, wild squirrels removed the fragrant husk, reducing the chance of using smell to find it, but also reducing the chance that its hiding place would be obvious to other squirrels. </P> "	"nyt_eng_199410.gz"
"7744"	"he"	"observed"	" Meyer said there must be a balance between security for the president and public access to his activities. Moreover, he observed, Clinton ``really is invigorated'' when he goes out and meets people. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19941030.0152 type=story > <HEADLINE> GUNMAN IS CHARGED WITH 2 FELONY COUNTS IN WHITE HOUSE SHOOTING </HEADLINE> <DATELINE> WASHINGTON  (BC-WHITEHOUSE-SHOOTING-RDP-930&AMP;ADD(2TAKES)-NYT) </DATELINE> <TEXT> "	"nyt_eng_199410.gz"
"10931"	"she"	"observed"	" Describing a college party, she observed, ``If all those sweet young things were laid end to end, I wouldn't be at all surprised.'' </P> "	"nyt_eng_199412.gz"
"14027"	"they"	"observed"	" Opponents of the measure argued on Monday that a line-item veto would not by itself lead to a balanced budget. After all, they observed, half of federal spending involves what are called entitlements -- programs like Social Security and Medicare that provide payments to everyone who is eligible and do not require annual appropriations. </P> "	"nyt_eng_199502.gz"
"19807"	"she"	"observed"	" The call-and-response interplay between Davis and saxophonist John Coltrane on ``Surrey With the Fringe on Top'' is, she observed, an example of ``gendered vulnerability.'' The recording was an example of the ``various codes of masculinity embedded'' in Davis' music and performance style, and of the ``homosocial musical world of creativity.'' </P> "	"nyt_eng_199504.gz"
"23586"	"we"	"observed"	" Wyoming's First Amended Counterclaim alleges that ``Nebraska has circumvented and violated the equitable apportionment by demanding natural flow water for diversion by irrigation canals at and above Tri-State Dam in excess of the beneficial use requirements of the Nebraska lands entitled to water from those canals under the Decree . . . .'' Third Interim Report App. E-4. Wyoming's First Amended Cross-Claim alleges that the United States ``has circumvented and violated the equitable apportionment, and continues to do so, by operating the federal reservoirs to deliver natural flow water for diversion by Nebraska irrigation canals at and above Tri-State Dam in excess of the beneficial use requirements of the lands entitled to water from those canals under the Decree . . . .'' Id., at E-8. The Master recommended that we deny leave to inject these claims into the litigation, concluding that Wyoming's object is to transform the 1945 apportionment from a proportionate sharing of the natural flows in the pivotal reach to a scheme based on the beneficial use requirements of the pivotal reach irrigators. Third Interim Report 55-64. Wyoming excepts to the recommendation, claiming that its amendments do no more than elaborate on the suggestion made in the counterclaim that we allowed it to file in 1987, that Nebraska irrigators are wasting water diverted in the pivotal reach. But there is more to the amendments than that, and we agree with the Master that Wyoming in reality is calling for a fundamental modification of the settled apportionment scheme established in 1945, without alleging a change in conditions that would arguably justify so bold a step. In Nebraska II we rejected any notion that our 1945 decision and decree ``impose absolute ceilings on diversions by canals taking in the pivotal reach.'' 507 U. S., at --- (slip op., at 17). We found that although the irrigation requirements of the lands served by the canals were calculated in the prior proceedings, those calculations were used to ``determin(e) the appropriate apportionment of the pivotal reach, not to impose a cap on the canals' total diversions, either individually or cumulatively.'' Ibid. This was clearly indicated, we observed, by the fact that ``Paragraph V of the decree, which sets forth the apportionment, makes no mention of diversion ceilings and expressly states that Nebraska is free to allocate its share among its canals as it sees fit.'' Ibid., citing Nebraska, I supra, at 667. </P> "	"nyt_eng_199505.gz"
"31179"	"I"	"observed"	" One of the surprising features of his meteoric rise, I observed, is that it occurred despite his renunciation of the somewhat shabby civil rights record of the modern Republican Party. </P> "	"nyt_eng_199508.gz"
"33133"	"he"	"observed"	" In mass culture, he observed, ``people use other issues to talk about sexuality.'' His goal is to ``use sexuality to talk about bigger issues.'' MORE </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950907.0518 type=advis > <DATELINE>  (BC-BUDGET-SPOT-SPI) </DATELINE> <TEXT> The Seattle Post-Intelligencer plans to move the following for clients of the NYTimes News Service for editions of Friday, Sept. 8, and thereafter. If you have any questions, please call Bob Schenet on the Post-Intelligencer's National/Foreign Desk at (206) 448-8037.  PACKWOOD (Washington) _ A teary-eyed Bob Packwood resigns from the Senate, calling it his duty and the honorable thing to do.  By Christopher Hanson. (Story will move in the ``w'' category.)  PACKWOOD-NORTHWEST (Undated) _ What Sen. Bob Packwood's resignation means to the Northwest and to Congress.  By Joel Connelly. (Story will move in the ``a'' category.)  PACKWOOD-ACCUSER (Seattle) _ Sen. Bob Packwood's ears were still ringing late Wednesday with word of the vote for his expulsion when Gayle Rothrock's Seattle phone started ringing, too. It still hasn't stopped. ``My mother has called three times,'' Rothrock said. ``A number of the calls have been from friends in Oregon _ all of them very supportive.'' It hasn't always been that way in the three years since Rothrock became the 17th woman to accuse Packwood of making unwanted sexual advances.  By Susan Paynter. (Story will move in the ``a'' category.)  AIRBORNE-LASER (Seattle) _ The Air Force has chosen the concept of an airborne laser as the primary defense against hostile ballistic missiles, adding impetus to a proposal by Boeing and two aerospace partners to develop such a space-age weapon.  By Ed Offley. (Story will move in the ``a'' category.)  B2-BOEING (Seattle) _ Boeing is cautiously optimistic after House vote to keep money in the budget for a revived B-2 Stealth bomber program. Boeing is a major subcontractor to Northrop Grumman on the project.  By Imbert Matthee. (Story will move in the ``f'' category.) </TEXT> </DOC> <DOC id=NYT_ENG_19950907.0519 type=story > <HEADLINE> BUSTER MATHIS, 51, HEAVYWEIGHT BOXER </HEADLINE> <DATELINE>  (BC-MATHIS-OBIT-NYT) </DATELINE> <TEXT> "	"nyt_eng_199509.gz"
"42497"	"they"	"observed"	" As they slowly increased the energy of the light particles, called photons, they observed, at regular intervals, telltale peaks, or ``spikes,'' in the amount of light the barium atoms absorbed. </P> "	"nyt_eng_199512.gz"
"42498"	"they"	"observed"	" As they slowly increased the energy of the light particles, called photons, they observed, at regular intervals, telltale peaks, or ``spikes,'' in the amount of light the barium atoms absorbed. </P> "	"nyt_eng_199512.gz"
"42500"	"they"	"observed"	" As they slowly increased the energy of the light particles, called photons, they observed, at regular intervals, telltale peaks, or ``spikes,'' in the amount of light the barium atoms absorbed. </P> "	"nyt_eng_199512.gz"
"42567"	"they"	"observed"	" As they slowly increased the energy of the light particles, called photons, they observed, at regular intervals, telltale peaks, or ``spikes,'' in the amount of light the barium atoms absorbed. </P> "	"nyt_eng_199512.gz"
"42568"	"they"	"observed"	" As they slowly increased the energy of the light particles, called photons, they observed, at regular intervals, telltale peaks, or ``spikes,'' in the amount of light the barium atoms absorbed. </P> "	"nyt_eng_199512.gz"
"42798"	"they"	"observed"	" As they slowly increased the energy of the light particles, called photons, they observed, at regular intervals, telltale peaks, or ``spikes,'' in the amount of light the barium atoms absorbed. </P> "	"nyt_eng_199512.gz"
"42799"	"they"	"observed"	" As they slowly increased the energy of the light particles, called photons, they observed, at regular intervals, telltale peaks, or ``spikes,'' in the amount of light the barium atoms absorbed. </P> "	"nyt_eng_199512.gz"
"42972"	"he"	"observed"	" Powell acknowleged that when, in declining to enter the presidential contest, he observed, ``In one generation we have moved from denying a black man service at a lunch counter to elevating one to the highest military office in the nation and to being a serious contender for the presidency.'' </P> "	"nyt_eng_199512.gz"
"43029"	"he"	"observed"	" Powell acknowleged that when, in declining to enter the presidential contest, he observed, ``In one generation we have moved from denying a black man service at a lunch counter to elevating one to the highest military office in the nation and to being a serious contender for the presidency.'' </P> "	"nyt_eng_199512.gz"
"43385"	"they"	"observed"	" As they slowly increased the energy of the light particles, called photons, they observed, at regular intervals, telltale peaks, or ``spikes,'' in the amount of light the barium atoms absorbed. </P> "	"nyt_eng_199512.gz"
"43386"	"they"	"observed"	" As they slowly increased the energy of the light particles, called photons, they observed, at regular intervals, telltale peaks, or ``spikes,'' in the amount of light the barium atoms absorbed. </P> "	"nyt_eng_199512.gz"
"43519"	"he"	"observed"	" Powell acknowleged that when, in declining to enter the presidential contest, he observed, ``In one generation we have moved from denying a black man service at a lunch counter to elevating one to the highest military office in the nation and to being a serious contender for the presidency.'' </P> "	"nyt_eng_199512.gz"
"43572"	"he"	"observed"	" Powell acknowleged that when, in declining to enter the presidential contest, he observed, ``In one generation we have moved from denying a black man service at a lunch counter to elevating one to the highest military office in the nation and to being a serious contender for the presidency.'' </P> "	"nyt_eng_199512.gz"
"43645"	"he"	"observed"	" Powell acknowleged that when, in declining to enter the presidential contest, he observed, ``In one generation we have moved from denying a black man service at a lunch counter to elevating one to the highest military office in the nation and to being a serious contender for the presidency.'' </P> "	"nyt_eng_199512.gz"
"43658"	"he"	"observed"	" Powell acknowleged that when, in declining to enter the presidential contest, he observed, ``In one generation we have moved from denying a black man service at a lunch counter to elevating one to the highest military office in the nation and to being a serious contender for the presidency.'' </P> "	"nyt_eng_199512.gz"
"44789"	"he"	"observed"	" That was surely the word of the year for President Clinton. ``If the Congress gives in to extremist pressure,'' one statement began; a radio broadcast included, ``We can't let welfare reform die at the hands of ideological extremism''; a farewell to a rejected nominee began, ``By choosing to side with extremists who would do anything to block a woman's right to choose,'' and in a philosophical moment, he observed, ``Ideological purity is for partisan extremists.'' </P> "	"nyt_eng_199601.gz"
"45257"	"she"	"observed"	" In the end, though, she observed, most people are happiest with an approximation of what they have always had. ``The plans people like the best are the ones that have the largest number of doctors and offer a setting most like the old doctor's office,'' she said. </P> "	"nyt_eng_199601.gz"
"49937"	"he"	"observed"	" In the same way, when President Clinton told a news conference that some budget controversies would have to wait until election time for settlement but that others could be handled much before November, he observed, ``We should not make the perfect the enemy of the good.'' That was a literary, not a poetic, allusion, probably drawn from the vague memory of Voltaire's comment about dramatic art in his Philosophical Dictionary of 1764: ``Le mieux est l'ennemi du bien,'' ``The best (literally, the better) is the enemy of the good.'' </P> "	"nyt_eng_199602.gz"
"50190"	"it"	"observed"	" Because of drug addiction and alcoholism, it observed, mothers are reluctant to let children play unsupervised in the parks, children walk to school along routes protected by the police, churches open only for worship services and many storekeepers unlock their doors only in response to a ringing bell. </P> "	"nyt_eng_199602.gz"
"51272"	"he"	"observed"	" After eight years at Intel, he observed, ``I work for a fine company and I work my butt off for Intel, but there isn't a lot of loyalty in the electronics industry.'' </P> "	"nyt_eng_199603.gz"
"51331"	"he"	"observed"	" After eight years at Intel, he observed, ``I work for a fine company and I work my butt off for Intel, but there isn't a lot of loyalty in the electronics industry.'' </P> "	"nyt_eng_199603.gz"
"51459"	"he"	"observed"	" After eight years at Intel, he observed, ``I work for a fine company and I work my butt off for Intel, but there isn't a lot of loyalty in the electronics industry.'' </P> "	"nyt_eng_199603.gz"
"55672"	"she"	"observed"	" Ms. Parks suggests that her peripatetic upbringing may unconsciously influence her work. Love and distance, she observed, are common themes in her plays and even in ``Girl 6.'' </P> "	"nyt_eng_199604.gz"
"63522"	"she"	"observed"	" It's not that Rosie is without sharper edges. Last week, noting the O.J. Simpson party to benefit victims of abuse, she observed, ``That's like Sylvester and Tweety Bird getting together for a forgive-and-forget potluck dinner.'' </P> "	"nyt_eng_199607.gz"
"63570"	"she"	"observed"	" It's not that Rosie is without sharper edges. Last week, noting the O.J. Simpson party to benefit victims of abuse, she observed, ``That's like Sylvester and Tweety Bird getting together for a forgive-and-forget potluck dinner.'' </P> "	"nyt_eng_199607.gz"
