"pronoun"	"verb"	"context"	"filename"
"12961"	"he"	"observes"	" Phillips, a British therapist, describes how the stories people tell themselves can end up limiting their lives. Habitually, he observes, people try to fit their attachments to others into narratives of commitment and permanence. </P> "	"nyt_eng_199501.gz"
"17361"	"she"	"observes"	" Looking back on the incident in Off Stage, her curious new book of essays, she observes, ``I had opted for `wit' over sincerity.'' </P> "	"nyt_eng_199503.gz"
"17541"	"he"	"observes"	" Says Williams, ``You look stupid asking for one if the studio won't pay one, like Disney. You pick your spots.'' It's all part of the big banquet, he observes, la grande bouffe. The game. Studio lawyers expect to eat Boston agents alive. Boston agents who know their entertainment law bite back. Afterward, everyone does lunch. </P> "	"nyt_eng_199503.gz"
"19142"	"he"	"observes"	" Referring to California's proposed ballot initiative to dismantle affirmative action, he observes, ``California is the institution forcing a re-examination.'' </P> "	"nyt_eng_199504.gz"
"19986"	"he"	"observes"	" Plus, he observes, we're a similar distance from the sea, a short drive to the Etruscan Riviera for his relatives, about the same to Bodega Bay and the North Coast beaches from Sonoma. </P> "	"nyt_eng_199504.gz"
"22868"	"he"	"observes"	" This latter principle, he observes, was invoked by the United States in three recent situations involving real or threatened military action: in Somalia, in Serbia and in Haiti. </P> "	"nyt_eng_199505.gz"
"26843"	"he"	"observes"	" Peanut butter, he observes, is a cheap source of protein for needy families. And federal nutrition programs -- on the chopping block by GOP deficit hawks -- could save money if peanut prices decline. </P> "	"nyt_eng_199506.gz"
"31046"	"he"	"observes"	" The effects of family size on grades, he observes, ``are consistent but not tremendous'': where an only child achieves a B-plus, children with five siblings average a B. </P> "	"nyt_eng_199508.gz"
"31147"	"he"	"observes"	" The effects of family size on grades, he observes, ``are consistent but not tremendous'': where an only child achieves a B-plus, children with five siblings average a B. </P> "	"nyt_eng_199508.gz"
"32998"	"she"	"observes"	" Factor in current concerns about AIDS, promiscuity and gay rights, Garber suggests, and we see a culture at war with its own instincts, sexual and otherwise. On the one hand, she observes, society is bombarded with images and messages that target both sides of the sexual equation at once. Calvin Klein jeans ads, David Bowie rock videos and the life histories (often reconstructed posthumously) of flawed geniuses like Leonard Bernstein and John Cheever are all prime examples. Michael Jackson, the biggest pop star on the planet, exudes a sexuality that may not be only bi- but, given his public image as a child molestor, bye-bye. </P> "	"nyt_eng_199509.gz"
"38257"	"he"	"observes"	" Animal-rights activists have denounced French bullfighting, he observes, ``but nothing encourages the French so much as disapproval, especially from aliens.'' </P> "	"nyt_eng_199510.gz"
"38290"	"he"	"observes"	" Animal-rights activists have denounced French bullfighting, he observes, ``but nothing encourages the French so much as disapproval, especially from aliens.'' </P> "	"nyt_eng_199510.gz"
"38756"	"he"	"observes"	" The retired general isn't talking. But deep into his autobiography, ``My America Journey'' (Random House), he offers a clue. In making decisions, he observes, timing is crucial. Act too quickly and you may lack sufficient information, too slowly, and opportunity may pass you by. </P> "	"nyt_eng_199511.gz"
"38886"	"he"	"observes"	" The retired general isn't talking. But deep into his autobiography, ``My America Journey'' (Random House), he offers a clue. In making decisions, he observes, timing is crucial. Act too quickly and you may lack sufficient information, too slowly, and opportunity may pass you by. </P> "	"nyt_eng_199511.gz"
"47268"	"he"	"observes"	" Barkley on chain gangs: ``I think they're great. ... I think that every prisoner should be made to work eight hours a day.'' Four questions later, he observes, ``Hey, I'm only 32. I could care less about working. I've never had a job, and I don't really ever want to have one.'' </P> "	"nyt_eng_199601.gz"
"48361"	"he"	"observes"	" Chugani determined this by measuring the brain's consumption of its chief energy source, glucose. (The more glucose it uses, the more active the brain.) Children's brains, he observes, gobble up glucose at twice the adult rate from the age of 4 to puberty. </P> "	"nyt_eng_199602.gz"
"48365"	"he"	"observes"	" Chugani determined this by measuring the brain's consumption of its chief energy source, glucose. (The more glucose it uses, the more active the brain.) Children's brains, he observes, gobble up glucose at twice the adult rate from the age of 4 to puberty. </P> "	"nyt_eng_199602.gz"
"48460"	"he"	"observes"	" Chugani determined this by measuring the brain's consumption of its chief energy source, glucose. (The more glucose it uses, the more active the brain.) Children's brains, he observes, gobble up glucose at twice the adult rate from the age of 4 to puberty. </P> "	"nyt_eng_199602.gz"
"49181"	"he"	"observes"	" The bang was big indeed, he observes, ``but not so powerful that hydrogen and helium would not gravitationally settle back to give this universe light and life.'' </P> "	"nyt_eng_199602.gz"
"49366"	"she"	"observes"	" In her book, ``The African-American Kitchen'' (Dutton), she observes, ``My African ancestors are an invisible but strong presence in my kitchen. Part of their legacy to me and to America can be found in the simmering pot of spicy okra gumbo, in a delicious handful of peanuts, in a steaming bowl of black-eyed peas and rice on a cold New Year's Day, and in freshly baked rolls, warm from the oven and covered with sesame seeds.'' </P> "	"nyt_eng_199602.gz"
"52387"	"he"	"observes"	" Following the sexual revolution of the 1960s and women's movement of the '70s, he observes, women began taking control of their own sexuality in a much more aggressive fashion. For many men, this change in attitude poses a threat. </P> "	"nyt_eng_199603.gz"
"52489"	"he"	"observes"	" Following the sexual revolution of the 1960s and women's movement of the '70s, he observes, women began taking control of their own sexuality in a much more aggressive fashion. For many men, this change in attitude poses a threat. </P> "	"nyt_eng_199603.gz"
"58849"	"he"	"observes"	" It is obvious what Winston in ``1984'' thinks of the uniforms in Oceania. Looking around the Ministry of Information canteen, he observes, ``Nearly everyone was ugly, and would still have been ugly even if dressed otherwise than in the uniform blue overalls.'' </P> "	"nyt_eng_199605.gz"
"58891"	"he"	"observes"	" It is obvious what Winston in ``1984'' thinks of the uniforms in Oceania. Looking around the Ministry of Information canteen, he observes, ``Nearly everyone was ugly, and would still have been ugly even if dressed otherwise than in the uniform blue overalls.'' </P> "	"nyt_eng_199605.gz"
"61711"	"he"	"observes"	" At one point, Casson watches a vast freight train loaded with German armaments. ``His heart fell _ what could he, what could any of them do against these people?'' Lately, he observes, it has become fashionable for Parisians to avert their eyes when seated across from Germans in the Metro. </P> "	"nyt_eng_199606.gz"
"65723"	"she"	"observes"	" Occasionally, Ms. Friday makes a point so full of truth that it is a real loss when she fails to develop it. Women are taught not to compete with one another, much less with men, she observes, and suggests that girls should be taught about healthy competition. How? In her gushy way she suggests that women accept beauty, eradicate envy and be honest about mother-daughter competition from birth. </P> "	"nyt_eng_199607.gz"
"65809"	"she"	"observes"	" Occasionally, Ms. Friday makes a point so full of truth that it is a real loss when she fails to develop it. Women are taught not to compete with one another, much less with men, she observes, and suggests that girls should be taught about healthy competition. How? In her gushy way she suggests that women accept beauty, eradicate envy and be honest about mother-daughter competition from birth. </P> "	"nyt_eng_199607.gz"
