"pronoun"	"verb"	"context"	"filename"
"13916"	"he"	"offered"	" During the last week, Lawrence sought solace from the words and thoughts of his favorite author, Moliere. Mentioning Le Juste Milieu, he offered, ``Just keep to an even course.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950205.0156 type=story > <HEADLINE> BIG EAST CELEBRATES HAUNTING LEGACY </HEADLINE> <DATELINE> NEW YORK  (BC-BKC-RHODEN-COLUMN-NYT) </DATELINE> <TEXT> "	"nyt_eng_199502.gz"
"14175"	"he"	"offered"	" During the last week, Lawrence sought solace from the words and thoughts of his favorite author, Moliere. Mentioning Le Juste Milieu, he offered, ``Just keep to an even course.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950208.0247 type=story > <HEADLINE> A TROUBLED ORCHESTRA FACES RADICAL SURGERY </HEADLINE> <DATELINE>  (BC-LOUISVILLE-ORCHESTRA-645(2TAKES)-NYT) </DATELINE> <TEXT> "	"nyt_eng_199502.gz"
"23793"	"she"	"offered"	" And yes, she offered, children are getting plenty of hugs at The Family School. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950531.0516 type=story > <HEADLINE> DEVELOPING A PERFECT SWING CAN BE PAIN IN BACK </HEADLINE> <DATELINE> DUBLIN, Ohio (BC-GLF-INJURIES-ART-660&AMP;ADD-NYT) </DATELINE> <TEXT> "	"nyt_eng_199505.gz"
"66504"	"he"	"offered"	" Before he made the rounds of the Tuesday morning TV shows and then went into seclusion to prepare for the 200, he offered, ``I've got 48 hours to get ready for the 200. Give me two hours and I'm ready to go.'' </P> "	"nyt_eng_199607.gz"
"67527"	"he"	"offered"	" ``At the last second, I'm changing the way I drop the ball just a hair,'' Tuten said. Asked to elaborate, he offered, ``I don't want to spread it around the league. Everybody will be copying it. It will be the book, in 10 years.'' </P> "	"nyt_eng_199608.gz"
"72345"	"he"	"offered"	" Instead, he offered, the leadership could mirror the GOP by establishing ``informal task forces on a case-by-case basis.'' </P> "	"nyt_eng_199609.gz"
"72350"	"he"	"offered"	" Instead, he offered, the leadership could mirror the GOP by establishing ``informal task forces on a case-by-case basis.'' </P> "	"nyt_eng_199609.gz"
"72612"	"he"	"offered"	" Instead, he offered, the leadership could mirror the GOP by establishing ``informal task forces on a case-by-case basis.'' </P> "	"nyt_eng_199609.gz"
"72616"	"he"	"offered"	" Instead, he offered, the leadership could mirror the GOP by establishing ``informal task forces on a case-by-case basis.'' </P> "	"nyt_eng_199609.gz"
"73698"	"he"	"offered"	" Instead, he offered, the leadership could mirror the GOP by establishing ``informal task forces on a case-by-case basis.'' </P> "	"nyt_eng_199610.gz"
"73702"	"he"	"offered"	" Instead, he offered, the leadership could mirror the GOP by establishing ``informal task forces on a case-by-case basis.'' </P> "	"nyt_eng_199610.gz"
"73764"	"he"	"offered"	" Instead, he offered, the leadership could mirror the GOP by establishing ``informal task forces on a case-by-case basis.'' </P> "	"nyt_eng_199610.gz"
"73768"	"he"	"offered"	" Instead, he offered, the leadership could mirror the GOP by establishing ``informal task forces on a case-by-case basis.'' </P> "	"nyt_eng_199610.gz"
"82120"	"she"	"offered"	" ``In Russia, we have a saying,'' said Olga Kannunikova, a gentle shopper who said she has never disliked a present given her: ``Don't look a gift horse in the teeth.'' On hearing that Americans quote the same proverb, she offered, ``Well, I guess Americans look.'' </P> "	"nyt_eng_199612.gz"
"82121"	"she"	"offered"	" ``In Russia, we have a saying,'' said Olga Kannunikova, a gentle shopper who said she has never disliked a present given her: ``Don't look a gift horse in the teeth.'' On hearing that Americans quote the same proverb, she offered, ``Well, I guess Americans look.'' </P> "	"nyt_eng_199612.gz"
"91586"	"he"	"offered"	" Baffert doesn't have to be shown the way to the finish line at Churchill Downs. He won two proverbial Runs for the Roses with Silver Charm and Real Quiet, but is facing the hard fact that no winner has ever come from the 17th post. He faced it with a typical Baffert-ism: They don't win the race with post position, he offered, ``they win the race because they have the heart and stamina.'' </P> "	"nyt_eng_200105.gz"
"91707"	"he"	"offered"	" Meanwhile, Roberts worried out loud about who was going to coordinate the 46 federal agencies, not to mention governors, mayors, police chiefs and all the other officeholders who would want a say in responding to a possible biological or chemical or nuclear disaster in their state. Many experts, he offered, favored giving the job to the vice president. </P> "	"nyt_eng_200105.gz"
"103898"	"I"	"offered"	" ``I'm so tired,'' he said. He wiped his eyes. No matter what happened, I offered, he'd done his job, and at some point he needed to let go of the rest. </P> "	"nyt_eng_200201.gz"
"104625"	"I"	"offered"	" ``I'm so tired,'' he said. He wiped his eyes. No matter what happened, I offered, he'd done his job, and at some point he needed to let go of the rest. </P> "	"nyt_eng_200201.gz"
"104865"	"I"	"offered"	" ``I'm so tired,'' he said. He wiped his eyes. No matter what happened, I offered, he'd done his job, and at some point he needed to let go of the rest. </P> "	"nyt_eng_200201.gz"
"104875"	"I"	"offered"	" ``I'm so tired,'' he said. He wiped his eyes. No matter what happened, I offered, he'd done his job, and at some point he needed to let go of the rest. </P> "	"nyt_eng_200201.gz"
"109090"	"I"	"offered"	" ``I'm so tired,'' he said. He wiped his eyes. No matter what happened, I offered, he'd done his job, and at some point he needed to let go of the rest. </P> "	"nyt_eng_200203.gz"
