"pronoun"	"verb"	"context"	"filename"
"10994"	"he"	"offers"	" To that end, he offers, yes, his own Christmas list -- the gifts with the highest and lowest ``yield.'' On the high-yield end were CDs and outerwear -- which the students surveyed gave a full value to -- and, of course, cash. Least appreciated were shirts, cosmetics, socks -- valued at 85 cents on the dollar. </P> "	"nyt_eng_199412.gz"
"11448"	"he"	"offers"	" Never one to mince words, the consumer watchdog hopes ``more and more people will equate eating fatty food with cigarette smoking,'' lumping the two behaviors in the same class. Dietary changes are never easy, he offers, but can be as simple as switching from 2 percent to skim milk. </P> "	"nyt_eng_199501.gz"
"38335"	"he"	"offers"	" Nach Waxman, the owner of Kitchen Arts and Letters, a culinary bookstore, said: ``Fairway is a case of a store we used to go out of our way for, but we feel their standards have really plummeted in the last year, year and a half. They have stuff out there that they used to throw away, wilted greens. Most of the Korean stores tend to their vegetables much better than Fairway.'' (And because he's a quintessential New Yorker who can't resist offering an unsolicited opinion, he offers, apropos of nothing, that Murray's Sturgeon Shop has ``absolutely terrific borscht.'' Just in case you were wondering.) </P> "	"nyt_eng_199510.gz"
"58431"	"he"	"offers"	" And Weld says he would bring up the point that Kerry criticized 1990 opponent Jim Rappaport for using his own funds in that race. And, as a final fallback, Weld says he has cash of his own to bring to the table. In his first gubernatorial bid, he offers, he anted up $1 million. </P> "	"nyt_eng_199605.gz"
"58433"	"he"	"offers"	" And Weld says he would bring up the point that Kerry criticized 1990 opponent Jim Rappaport for using his own funds in that race. And, as a final fallback, Weld says he has cash of his own to bring to the table. In his first gubernatorial bid, he offers, he anted up $1 million. </P> "	"nyt_eng_199605.gz"
"58890"	"he"	"offers"	" And Weld says he would bring up the point that Kerry criticized 1990 opponent Jim Rappaport for using his own funds in that race. And, as a final fallback, Weld says he has cash of his own to bring to the table. In his first gubernatorial bid, he offers, he anted up $1 million. </P> "	"nyt_eng_199605.gz"
"58914"	"he"	"offers"	" And Weld says he would bring up the point that Kerry criticized 1990 opponent Jim Rappaport for using his own funds in that race. And, as a final fallback, Weld says he has cash of his own to bring to the table. In his first gubernatorial bid, he offers, he anted up $1 million. </P> "	"nyt_eng_199605.gz"
"59403"	"he"	"offers"	" And Weld says he would bring up the point that Kerry criticized 1990 opponent Jim Rappaport for using his own funds in that race. And, as a final fallback, Weld says he has cash of his own to bring to the table. In his first gubernatorial bid, he offers, he anted up $1 million. </P> "	"nyt_eng_199605.gz"
"59407"	"he"	"offers"	" And Weld says he would bring up the point that Kerry criticized 1990 opponent Jim Rappaport for using his own funds in that race. And, as a final fallback, Weld says he has cash of his own to bring to the table. In his first gubernatorial bid, he offers, he anted up $1 million. </P> "	"nyt_eng_199605.gz"
"76342"	"he"	"offers"	" In some songs, he's a totalitarian scourge or the incarnation of rage; in others, he offers, ``Take your hatred out on me.'' </P> "	"nyt_eng_199610.gz"
"156219"	"he"	"offers"	" On welfare reform, he offers, The notion that college education is a cost-effective way to help poor, low skilled unmarried mothers with high school diplomas or GEDs move up the economic ladder is just wrong. </P> "	"nyt_eng_200508.gz"
"164683"	"he"	"offers"	" If you're boycotting something or picketing something, he offers, you might consider a rant, because it gets people's attention. </P> "	"nyt_eng_200603.gz"
"172771"	"he"	"offers"	" Minutes after I return to the dealership, a young guy pulls into the lot in a hot-rodded Volkswagen Golf and begins snapping photos with his cell phone. Noticing me standing nearby, he offers, This car is beautiful. </P> "	"nyt_eng_200610.gz"
