"pronoun"	"verb"	"context"	"filename"
"27068"	"I"	"play"	" ``Here, I play, I color, I make things, I have friends,'' said Ana, sitting at a table doing crafts with her troop. ``I don't want to move anymore, I want to stay here.'' </P> "	"nyt_eng_199507.gz"
"27072"	"I"	"play"	" ``Here, I play, I color, I make things, I have friends,'' said Ana, sitting at a table doing crafts with her troop. ``I don't want to move anymore, I want to stay here.'' </P> "	"nyt_eng_199507.gz"
"27120"	"I"	"play"	" ``Here, I play, I color, I make things, I have friends,'' said Ana, sitting at a table doing crafts with her troop. ``I don't want to move anymore, I want to stay here.'' </P> "	"nyt_eng_199507.gz"
"27124"	"I"	"play"	" ``Here, I play, I color, I make things, I have friends,'' said Ana, sitting at a table doing crafts with her troop. ``I don't want to move anymore, I want to stay here.'' </P> "	"nyt_eng_199507.gz"
"44913"	"we"	"play"	" ``We cook, we play, we praise God,'' she said. </P> "	"nyt_eng_199601.gz"
"47938"	"they"	"play"	" ``Kids are natural physicists _ they run, they play, they bounce balls. Then we learn about the forces that get in the way _ gravity, friction. That's what science is, real things.'' </P> "	"nyt_eng_199602.gz"
"50303"	"you"	"play"	" ``People are coming into this country,'' Ms. Stice said, ``taking our jobs.'' She also complained that Americans were growing lax about morality, saying: ``I'm against abortion. The way I see it, you play, you pay.'' </P> "	"nyt_eng_199602.gz"
"54443"	"you"	"play"	" ``You play this game since you're a youngster,'' he says. ``You're an athlete. You prepare youself to be an athlete. Everything you do is built around being an athlete. You practice, you play, you go home and come back and do it again. Practicing, playing, road trips, that is all part of it. </P> "	"nyt_eng_199604.gz"
"66402"	"you"	"play"	" ``When I was playing, the Olympic experience was so simple: You eat, you play, you sleep, and that's the way it is for athletes now,'' De La Riva said. ``I knew it was a major event, but now I see all the work that goes into it _ the food and the tickets and the transportation, the media and the security. It's amazing how enormous the task is. </P> "	"nyt_eng_199607.gz"
"78984"	"you"	"play"	" ``I don't understand this league sometimes,'' Flutie said, referring to owners who sign contracts that they know they can't pay. ``Larry knew he didn't have that money when he signed me. I just figured this is professional football _ you sign a contract, you play, you perform, you get paid. That's the way it's been all my life. In the USFL, the NFL, there's no doubt about whether you're going to get paid or not. Then all of a sudden it wasn't the case.'' </P> "	"nyt_eng_199611.gz"
"82953"	"you"	"play"	" ``Coach just say, `Roman, you play,' so I play,'' Turek, from the Czech Republic, said in his broken English. ``They were maybe little quicker, more shots.'' </P> "	"nyt_eng_199701.gz"
"113333"	"we"	"play"	" One translated review produced a sample from the script: ``And if your (hmm-hmm) spoke, what words would it say? I want! You are your! More please! Begins again! Not even, we play, you remember to me, not still, they see. Yes, yes! Thanks!'' </P> "	"nyt_eng_200204.gz"
"113334"	"we"	"play"	" One translated review produced a sample from the script: ``And if your (hmm-hmm) spoke, what words would it say? I want! You are your! More please! Begins again! Not even, we play, you remember to me, not still, they see. Yes, yes! Thanks!'' </P> "	"nyt_eng_200204.gz"
"113337"	"we"	"play"	" One translated review produced a sample from the script: ``And if your (hmm-hmm) spoke, what words would it say? I want! You are your! More please! Begins again! Not even, we play, you remember to me, not still, they see. Yes, yes! Thanks!'' </P> "	"nyt_eng_200204.gz"
"113439"	"we"	"play"	" One translated review produced a sample from the script: ``And if your (hmm-hmm) spoke, what words would it say? I want! You are your! More please! Begins again! Not even, we play, you remember to me, not still, they see. Yes, yes! Thanks!'' </P> "	"nyt_eng_200204.gz"
"113535"	"you"	"play"	" Said Horry, ``That's why it's called the playoffs. You play, you're off, you play, you're off. The period of time we got is a little too long.'' </P> "	"nyt_eng_200204.gz"
"113571"	"we"	"play"	" One translated review produced a sample from the script: ``And if your (hmm-hmm) spoke, what words would it say? I want! You are your! More please! Begins again! Not even, we play, you remember to me, not still, they see. Yes, yes! Thanks!'' </P> "	"nyt_eng_200204.gz"
"118924"	"you"	"play"	" ``I want to be out there. The older you get, the more important it is to play. That's my attitude. If you can run and help the team, you play,'' he said. </P> "	"nyt_eng_200206.gz"
"141489"	"I"	"play"	" It's just important for me to play, so that's what I do, especially because things came into question with me in Cleveland (about not playing in pain). When you're playing for something, I play, but I'm not going to kill myself out there. </P> "	"nyt_eng_200408.gz"
"150512"	"we"	"play"	" Even if we are hurt, we play, you know, she said. It's something different with other players maybe. And when we were in Russia, it was so hard to get through this wall. . . . Sometimes I trained in zero degrees, you know, indoors, because you don't have the money to pay the electricity or whatever. </P> "	"nyt_eng_200503.gz"
"154653"	"we"	"play"	" I didn't play, but I'd seen it, so I go, Yeah, yeah, we play,'  Menezes says. We figured, we're Brazilian, we've played soccer, so how hard could it be? </P> 	nyt_eng_200507.gz
, he said,	 Robert Shortsleeve, chairman of the zoning board, said he was not pressured by anyone to reject the request. The board turned it down, he said, because there isn't enough room for a car to maneuver in the space without making multiple turns. </P> 	nyt_eng_200507.gz
, it seems,	 Nothing, it seems, can slow the torrid sales of Florida homes - not dwindling acreage nor the threat of rising interest rates nor soaring land prices. </P> 	nyt_eng_200507.gz
, he said,	 In 1994, he said, there were five active sawmills from Madera to Terra Bella, running nine shifts a week. We're now the only sawmill and we run only one shift he said. </P> "	"nyt_eng_200507.gz"
"163648"	"I"	"play"	" Some day, I play, again, he said matter-of-factly, looking up, betraying no obvious emotion. I play, in Iraq. </P> "	"nyt_eng_200603.gz"
