"pronoun"	"verb"	"context"	"filename"
"5219"	"I"	"played"	" ``This school's got a great tradition, second- and third-generation players,'' said Lastinger, the president of the chamber of commerce. ``My dad played, I played, my son played. We've gotten used to excellence, and it filters throughout the community.'' </P> "	"nyt_eng_199409.gz"
"7346"	"he"	"played"	" Beginning in 1932, he played, coached, managed and scouted in the majors for 61 years. When he was just getting started, he played against Ruth and Gehrig. </P> "	"nyt_eng_199410.gz"
"26411"	"he"	"played"	" ``The Doom Hacker's Guide'' is for owners of the DOS/Windows version of the game. The good news for players, if not programmers, of Macintosh games, is that a Mac Doom II distributed by GT Interactive Software of New York City is coming out in the next month or so at about $50. It is a beta (not quite finished) version of Doom II that has been occupying my back-porch Powerbook; I hope the neighbors aren't looking. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950626.0418 type=multi > <DATELINE>  (BC-DRAG-QUEEN-RUPAUL-PAGEUP-ART-NYTSF) </DATELINE> <TEXT> DRAG QUEEN RUPAUL `LETS IT ALL HANG OUT' IN NEW BOOK (This ``separate buy'' article is from this week's PageUp Lifestyle and Entertainment Package.) (To publish this article, it must be purchased _ the rate is not prohibitive _ from New York Times Syndicate sales representative CONNIE WHITE in Kansas City at 1-800-444-0267 or 816-822-8448; fax: 816-822-1444.) (She also has information on how to subscribe to PageUp, a weekly package of eight intriguing articles with color art.) Includes two B&AMP;W photos of RuPaul: one in drag and one in street clothes. By JEANNE WOLF Distributed by New York Times Special Features  When he dons a bouffant wig, a skintight minidress and stiletto heels, RuPaul Andre Charles becomes RuPaul, drag queen extraordinaire.  In that mode, his behavior can be a bit, well, outrageous. But that hasn't stopped him from becoming a cross-dressing cross-over pop phenomenon.  ``I think the reason I've been accepted by the mainstream is that my character, the woman I become, is so Walt Disney,'' RuPaul says. ``It's not really threatening. I'm like a cartoon.''  RuPaul first made his mark on the mainstream world with his music. In 1993 his best-selling dance album ``Supermodel of the World'' spawned three hit singles.  Today he is also known for his high-strutting Vegas-like act and his burgeoning film career.  He had a small role in Spike Lee's ``Crooklyn'' (1994) and is the only drag queen in recent memory to have a co-starring role in a major family movie. In ``The Brady Bunch Movie'' (1994), he played, of all things, Jan's gorgeous guidance counselor.  RuPaul also appears in ``Wigstock,'' a newly released documentary about the annual drag-queen festival in New York's Greenwich Village, in ``A Mother's Prayer,'' which will air Aug. 2 on the USA network, and in the forthcoming ``To Wong Foo, Thanks for Everything ... Julie Newmar.''  With so much exposure, one might expect RuPaul to be on an ego trip. Instead, he sounds quite down-to-earth about his success as a drag queen.  ``I think people recognize that there's a sweet person behind all the paint and powder,'' he says, smiling. ``We all play roles. You're born naked and the rest is drag. We all dress up, whether we're a nurse or doctor or an executive, but underneath we're all the same. We have a heart and soul.  ``I just dress a little differently.''  Now RuPaul is providing a glimpse of the man behind the glamourous make-up. The 34-year-old transvestite has written his autobiography, ``Lettin It All Hang Out,'' which was recently published by Hyperion.  In addition to chronicling his rise to stardom, the book presents an impressive assortment of beauty tips _ from how to wear a wig to how to look great in photos.  Yet today, as he settles into a seat in a trendy West Hollywood bar, RuPaul doesn't attract more than a casual glance from the cocktail-hour crowd. No wonder. He's out of drag and looks fairly ordinary.  Instead of a wig he's wearing a baseball cap. Those long false eyelashes are nowhere to be seen behind his dark sunglasses. And he's traded his dress for a denim shirt and khaki pants.  ``My energy isn't as high when I have on regular clothes,'' he says almost apologetically. ``I think the ritual of getting dolled up really psyches you.  ``It's like football players psyching themselves up before a game. My personality really pops out. I love the effect it has on people.''  RuPaul is hoping his autobiography will have a similar effect on his fans.  ``I got the idea to write it after receiving letters from teen-agers telling me how they feel disenfranchised from society, that there's no place for them,'' he says. ``I can identify with that because I felt that way when I was a kid.  ``When people are stepping over into young adulthood, they look at the world and go, `Oh my God, you mean I have to conform?'''  RuPaul's story is clearly not about conforming.  He grew up in a single-parent home in San Diego, where he always felt different. Eventually, he became something of a cause celebre in high school, known for his fancy dance moves and colorful personality.  From an early age, he dreamed of becoming a star.  ``I would go to the drugstore and read Photoplay with all the celebrity stories by Rona Barrett,'' he remembers. ``I would stand there, literally for hours, reading all the star magazines I could get my hands on. I just loved it.''  RuPaul credits his mother _ who reared him and his three sisters alone after divorcing their father _ with giving him the determination to dance to the beat of his own drummer.  ``She was a tough cookie,'' he says with a laugh. ``A real rebel. I admired her.''  When he was a teen-ager, RuPaul moved to Atlanta with his older sister Renetta and her husband. It was there that he had his first drag experience, donning a bridesmaid dress for a mock wedding on a cable variety show in 1981.  ``Would you believe I didn't know I had a great pair of legs until I got into that dress and put on a pair of heels?'' he says.  In the years that followed, RuPaul refined his feminine image _ but never felt that he was trying to become female.  ``I never tried to act like a woman,'' he says. ``When I'm a drag queen I don't really think I'm pretending to be a real woman because how many women dress that way? So I'm a drag queen but not a female impersonator.''  As he traveled the path to fame, RuPaul was inspired by a wide variety of people.  ``(I admire) anyone and everyone who has been successful in show business and is still something of an odd-man-out,'' he says.  ``I've always idolized people who were just basically odd, a little out of the mainstream _ Whoopi Goldberg, Diana Ross, Cher or maybe David Bowie. The people who wouldn't normally be categorized as star material in Hollywood, the ones who were underdogs and had to fight their way to the top.  ``Actually, I think stars and drag queens have something in common,'' he adds with a laugh. ``They both project an image that isn't really them.  ``There's the superstar you see in a performance and the person behind that image. Behind the facade, there's something different _ and you might not know what it is.''  RuPaul has rarely dropped his facade in public. That has afforded him a certain degree of anonymity.  ``When I'm out of drag, I often don't get recognized,'' he says. ``It can be a weird experience.  ``Once I did a big event for a cosmetics convention. I remember the day I was dressed in my khakis and baseball cap at a store and I overheard people talking about me at the event. It was a very eerie feeling because they had no idea that the person they were talking about was standing right next to them.  ``Part of me wanted to run away and the other part wanted to stay and hear what they were saying.''  People will probably have a lot to say about RuPaul when the film, ``To Wong Foo, Thanks for Everything ... Julie Newmar,'' is released this fall. He joins heterosexual hunks Patrick Swayze and Wesley Snipes _ both in drag _ to play Rachel Tensions, the Queen of New York.  Though RuPaul is looking forward to ``Wong Foo's'' release, he is equally excited about a smaller film, ``Red-Ribbon Blues,'' in which he makes his first non-drag big-screen appearance.  The movie, which will probably be released early next year, is about three members of an HIV support group who rob a pharmaceutical company.  ```Red-Ribbon Blues' is a comedy, but there are some terrifically touching moments,'' RuPaul says. ``It was a challenge for me. But it was great to know that I could step out of drag and reach that place, because I've always been called upon to be very flamboyant.''  Does that mean he may eventually hang up his wig and minidress to become a serious actor?  Not a chance.  ``I don't think I'll ever give up drag as along as people enjoy it,'' he says. ``My whole being comes into focus when I'm in drag.'' c.1995 Jeanne Wolf  (Jeanne Wolf, who is based in Hollywood, reports on the entertainment industry for television, radio and print.) ------------------------------------------------- (To publish this article, it must be purchased _ the rate is not prohibitive _ from New York Times Syndicate sales representative CONNIE WHITE in Kansas City at 1-800-444-0267 or 816-822-8448; fax: 816-822-1444.) (She also has information on how to subscribe to PageUp, a weekly package of eight intriguing articles with color art.) </TEXT> </DOC> <DOC id=NYT_ENG_19950626.0419 type=advis > <DATELINE>  (BC-GRAPHICS-NYT-BUDGET) </DATELINE> <TEXT> Here are the New York Times News Service Macintosh graphics scheduled for AMs of Tuesday.  The graphics are transmitted via satellite on Associated Press GraphicsNet.  For questions on graphics call (212) 556-4204 between 9 a.m. and 10 p.m. EST. For retransmission of graphics from the AP, call the AP Service Desk at 212-621-7983.  GENERAL  IRELAND/Carlingford Locator -- 1 x 2 1/2 -- (BC-IRELAND-CATTLE-NYT)  Locator Map  BEST SELLERS -- 2 files -- Stand-alone graphics  Hardback fiction and non-fiction, paperback fiction and non-fiction.  SCIENCE  TONGUE/Language derivation -- 3 x 4 -- (BC-TONGUE-SCI-NYT)  Refection of a lost language in Indo-European languages.  STORM/Hurricane season -- 4 x 4 -- (BC-STORM-SCI-NYT)  Clues show that this hurricane season will be very active.  DAILY BUSINESS  HEALTHCARE/National influence -- tk -- (BC-HEALTHCARE-NYT)  Influence of United Healthcare in parts of the country.  Advance-Decline -- 20p x 3 5/8 -- Daily alternating market chart.  DAILY FINANCIAL CHARTS  06/26 MINUTE BY MINUTE -- 20px3 1/4 -- DOW activity minute-by-minute  06/26 HILOCLOSE -- 24p x 4 1/2 -- The S &AMP; P index  06/26 NYSE VOLUME -- 24p x 2 5/8 -- New York Stock Exchange  06/26 FAVORITE STOCKS -- 13p x 3 1/2 -- Performance of popular stocks  06/26 BUSINESS GLANCE -- 21p x 1 1/4 -- DOW, Dollar, Bonds, Gold  06/26 KEY RATES -- 1 x 2 5/12 -- Treasury's bonds, notes and bills  DAILY WEATHER  06/26 COLOR WEATHER -- 3 x 3 5/8 -- National forecast map in color  06/26 B&AMP;W WEATHER -- 3 x 3 5/8 -- National forecast map  06/26 WEATHER HIGHLIGHT -- 22.6p x 1 10/14 -- Major weather action  06/26 CLOUD COVER -- 15p x 1 10/14 -- The predicted cloud cover daily  06/26 MOON PHASES -- 1 X 5/8 -- The phases of the moon  N.Y. Times News Service </TEXT> </DOC> <DOC id=NYT_ENG_19950626.0420 type=advis > <DATELINE>  (BC-GRAPHICS-NYT-BUDGET) </DATELINE> <TEXT> Here are the New York Times News Service Macintosh graphics scheduled for AMs of Tuesday.  The graphics are transmitted via satellite on Associated Press GraphicsNet.  For questions on graphics call (212) 556-4204 between 9 a.m. and 10 p.m. EST. For retransmission of graphics from the AP, call the AP Service Desk at 212-621-7983.  GENERAL  IRELAND/Carlingford Locator -- 1 x 2 1/2 -- (BC-IRELAND-CATTLE-NYT)  Locator Map  BEST SELLERS -- 2 files -- Stand-alone graphics  Hardback fiction and non-fiction, paperback fiction and non-fiction.  SCIENCE  TONGUE/Language derivation -- 3 x 4 -- (BC-TONGUE-SCI-NYT)  Refection of a lost language in Indo-European languages.  STORM/Hurricane season -- 4 x 4 -- (BC-STORM-SCI-NYT)  Clues show that this hurricane season will be very active.  DAILY BUSINESS  HEALTHCARE/National influence -- tk -- (BC-HEALTHCARE-NYT)  Influence of United Healthcare in parts of the country.  Advance-Decline -- 20p x 3 5/8 -- Daily alternating market chart.  DAILY FINANCIAL CHARTS  06/26 MINUTE BY MINUTE -- 20px3 1/4 -- DOW activity minute-by-minute  06/26 HILOCLOSE -- 24p x 4 1/2 -- The S &AMP; P index  06/26 NYSE VOLUME -- 24p x 2 5/8 -- New York Stock Exchange  06/26 FAVORITE STOCKS -- 13p x 3 1/2 -- Performance of popular stocks  06/26 BUSINESS GLANCE -- 21p x 1 1/4 -- DOW, Dollar, Bonds, Gold  06/26 KEY RATES -- 1 x 2 5/12 -- Treasury's bonds, notes and bills  DAILY WEATHER  06/26 COLOR WEATHER -- 3 x 3 5/8 -- National forecast map in color  06/26 B&AMP;W WEATHER -- 3 x 3 5/8 -- National forecast map  06/26 WEATHER HIGHLIGHT -- 22.6p x 1 10/14 -- Major weather action  06/26 CLOUD COVER -- 15p x 1 10/14 -- The predicted cloud cover daily  06/26 MOON PHASES -- 1 X 5/8 -- The phases of the moon  N.Y. Times News Service </TEXT> </DOC> <DOC id=NYT_ENG_19950626.0421 type=advis > <DATELINE>  (BC-GRAPHICS-NYT-BUDGET) </DATELINE> <TEXT> Here are the New York Times News Service Macintosh graphics scheduled for AMs of Tuesday.  The graphics are transmitted via satellite on Associated Press GraphicsNet.  For questions on graphics call (212) 556-4204 between 9 a.m. and 10 p.m. EST. For retransmission of graphics from the AP, call the AP Service Desk at 212-621-7983.  GENERAL  IRELAND/Carlingford Locator -- 1 x 2 1/2 -- (BC-IRELAND-CATTLE-NYT)  Locator Map  BEST SELLERS -- 2 files -- Stand-alone graphics  Hardback fiction and non-fiction, paperback fiction and non-fiction.  SCIENCE  TONGUE/Language derivation -- 3 x 4 -- (BC-TONGUE-SCI-NYT)  Refection of a lost language in Indo-European languages.  STORM/Hurricane season -- 4 x 4 -- (BC-STORM-SCI-NYT)  Clues show that this hurricane season will be very active.  DAILY BUSINESS  HEALTHCARE/National influence -- tk -- (BC-HEALTHCARE-NYT)  Influence of United Healthcare in parts of the country.  Advance-Decline -- 20p x 3 5/8 -- Daily alternating market chart.  DAILY FINANCIAL CHARTS  06/26 MINUTE BY MINUTE -- 20px3 1/4 -- DOW activity minute-by-minute  06/26 HILOCLOSE -- 24p x 4 1/2 -- The S &AMP; P index  06/26 NYSE VOLUME -- 24p x 2 5/8 -- New York Stock Exchange  06/26 FAVORITE STOCKS -- 13p x 3 1/2 -- Performance of popular stocks  06/26 BUSINESS GLANCE -- 21p x 1 1/4 -- DOW, Dollar, Bonds, Gold  06/26 KEY RATES -- 1 x 2 5/12 -- Treasury's bonds, notes and bills  DAILY WEATHER  06/26 COLOR WEATHER -- 3 x 3 5/8 -- National forecast map in color  06/26 B&AMP;W WEATHER -- 3 x 3 5/8 -- National forecast map  06/26 WEATHER HIGHLIGHT -- 22.6p x 1 10/14 -- Major weather action  06/26 CLOUD COVER -- 15p x 1 10/14 -- The predicted cloud cover daily  06/26 MOON PHASES -- 1 X 5/8 -- The phases of the moon  N.Y. Times News Service </TEXT> </DOC> <DOC id=NYT_ENG_19950626.0423 type=story > <HEADLINE> READING THE FUTURE OF RUSSIAN LITERATURE </HEADLINE> <DATELINE>  MOSCOW (BC-RUSSIAN-LIT-BOS) </DATELINE> <TEXT> "	"nyt_eng_199506.gz"
"28488"	"I"	"played"	" The old woman said she would get it tuned the next day. ``Of course, I played,'' the old woman said. ``Of course, I read music.'' She held her hands like a pianist and played a phrase of the ``Moonlight'' Sonata. </P> "	"nyt_eng_199507.gz"
"59017"	"he"	"played"	" Last season Favre injured his left ankle in a game against Minnesota, tried to play on it, but eventually had to leave the game. The next week, against Chicago, he played, throwing a team-record five touchdown passes in the Packer victory. In February he had arthroscopic surgery to remove three bone chips and one large bone spur from the injured ankle. That is when he suffered the seizure that scared him enough to force him to seek help for his addiction to painkillers. </P> "	"nyt_eng_199605.gz"
"93315"	"they"	"played"	" On a down night, they played, let's say, 900 percent. </P> "	"nyt_eng_200106.gz"
"93317"	"they"	"played"	" On a down night, they played, let's say, 900 percent. </P> "	"nyt_eng_200106.gz"
"102851"	"they"	"played"	" So in 1998, the NHL North Americans went to the Olympics. They came, they played, they flopped. </P> "	"nyt_eng_200112.gz"
"110449"	"he"	"played"	" ``Maybe he had it right,'' La Russa said. ``He's been playing over 20 years now, and he's still a magnificent performer. There were times he was really banged up and rather than sit, he played, but he had to tone it down. To some, it looked like he was loafing. </P> "	"nyt_eng_200203.gz"
"160270"	"he"	"played"	" ? My son, on the other hand, was easy; he ate, he played, he slept. He giggled and grinned, rolled in the mud, and never complained about his living conditions. He endured weekly asthma shots and quick trips to the Newnan Hospital emergency room with a wide smile that charmed all of the nurses. </P> "	"nyt_eng_200512.gz"
