"pronoun"	"verb"	"context"	"filename"
"11279"	"it"	"pours"	" He has suffered bad times, and weathered them. ``When it rains, it pours,'' Starks said a few games ago. ``And right now it's pouring.'' </P> "	"nyt_eng_199412.gz"
"11291"	"it"	"pours"	" He has suffered bad times, and weathered them. ``When it rains, it pours,'' Starks said a few games ago. ``And right now it's pouring.'' </P> "	"nyt_eng_199412.gz"
"28479"	"it"	"pours"	" And three major accidents during the morning rush compounded the woes of motorists, Oscar Serra, assistant commissioner of transportation, said. ``So when it rains, it pours, literally,'' he said. </P> "	"nyt_eng_199507.gz"
"31004"	"it"	"pours"	" ``When it rains, it pours,'' said Howe, who has not exactly provided Showalter with an umbrella, either. ``This has been a weird year. I don't know what's going on.'' </P> "	"nyt_eng_199508.gz"
"50301"	"it"	"pours"	" ``When it rains, it pours,'' Derek Harper said, referring to the Knicks' misfortune. Beside losing, that has included Starks' public feud with Coach Don Nelson, whose substitution patterns have befuddled his players more than Knick fans, and a general malaise permeating the locker room. </P> "	"nyt_eng_199602.gz"
"71282"	"it"	"pours"	" ``When it rains, it pours,'' said Sam Coppersmith, Arizona Democrat chairman, in a reference to the short time between Clinton's visit Wednesday and next week's. Earlier this week, Clinton visited conservative icon Barry Goldwater in the hospital, where the former Republican senator is recovering from a mild stroke. </P> "	"nyt_eng_199609.gz"
"81137"	"it"	"pours"	" When it rains, it pours, and in the Bruins' case, it also sleets, hails and blows a gale. </P> "	"nyt_eng_199612.gz"
"106722"	"it"	"pours"	" ``It's such a cliche, but when it rains, it pours,'' Hathaway said, smiling with embarrassment and referring to her acting jobs. ``But I do like the rain.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_20020217.0074 type=story > <HEADLINE> MUSIC PROMOTER STAGES ENCORE AMID PROBLEMS FOR BIG LABELS </HEADLINE> <DATELINE> LOS ANGELES (BC-CLIVE-DAVIS-COMEBACK-NYT) </DATELINE> <TEXT> "	"nyt_eng_200202.gz"
"143293"	"it"	"pours"	" It's hard. He's a good kid, said his uncle, an air-conditioning repairman who lives in Pico Rivera. I've done everything I can, but I have a life, too. I go to sleep, and sometimes I wish I wasn't here. ... When it rains, it pours, and it's time for rain in our house. </P> "	"nyt_eng_200409.gz"
"146397"	"it"	"pours"	" When it rains, it pours, and right now we have to turn off the (expletive) sprinkler, safety Robert Griffith said. Are we going to come out against New England and play hard or fold the tent? </P> "	"nyt_eng_200411.gz"
