"pronoun"	"verb"	"context"	"filename"
"15468"	"he"	"preaches"	" There is, he preaches, ``a very simple equation: American exports equal American jobs.'' </P> "	"nyt_eng_199502.gz"
"15469"	"he"	"preaches"	" There is, he preaches, ``a very simple equation: American exports equal American jobs.'' </P> "	"nyt_eng_199502.gz"
"15470"	"he"	"preaches"	" There is, he preaches, ``a very simple equation: American exports equal American jobs.'' </P> "	"nyt_eng_199502.gz"
"15477"	"he"	"preaches"	" There is, he preaches, ``a very simple equation: American exports equal American jobs.'' </P> "	"nyt_eng_199502.gz"
"15478"	"he"	"preaches"	" There is, he preaches, ``a very simple equation: American exports equal American jobs.'' </P> "	"nyt_eng_199502.gz"
"15479"	"he"	"preaches"	" There is, he preaches, ``a very simple equation: American exports equal American jobs.'' </P> "	"nyt_eng_199502.gz"
"15602"	"he"	"preaches"	" There is, he preaches, ``a very simple equation: American exports equal American jobs.'' </P> "	"nyt_eng_199502.gz"
"15605"	"he"	"preaches"	" There is, he preaches, ``a very simple equation: American exports equal American jobs.'' </P> "	"nyt_eng_199502.gz"
"15607"	"he"	"preaches"	" There is, he preaches, ``a very simple equation: American exports equal American jobs.'' </P> "	"nyt_eng_199502.gz"
"40864"	"he"	"preaches"	" Only in recent years, at the urging of one of his father's associates, has Graham begun to preach publicly like his father. He chose the obscurity of Juneau, Alaska, for his debut in 1989. Currently, he preaches, without pay, at events sponsored by the Billy Graham Association. </P> "	"nyt_eng_199511.gz"
"41008"	"he"	"preaches"	" Only in recent years, at the urging of one of his father's associates, has Graham begun to preach publicly like his father. He chose the obscurity of Juneau, Alaska, for his debut in 1989. Currently, he preaches, without pay, at events sponsored by the Billy Graham Association. </P> "	"nyt_eng_199511.gz"
"110944"	"it"	"preaches"	" ``Very Annie Mary'' is yet another entry in the sentimental oh-those-wacky-Brits genre that was ushered in by ``The Full Monty'' and is still straining to produce another smash hit. Alternately mushy and farcical, the genre trumpets the reassuring notion that traditional British reserve really conceals a lust to be in show business. If we all unleashed our hidden talents in the goofy variety show of life, it preaches, our differences would magically evaporate in the euphoria of the chorus line. </P> "	"nyt_eng_200203.gz"
"169284"	"she"	"preaches"	" Instead, in talking about her life, she wants people to know they are not the only ones who have suffered. By opening up and relying on others, she preaches, Christians can begin to love one another as the community Christ envisioned. </P> "	"nyt_eng_200608.gz"
"172487"	"he"	"preaches"	" The antidote, he preaches, is to budget for desired outcomes and hold agencies responsible. </P> "	"nyt_eng_200610.gz"
