"pronoun"	"verb"	"context"	"filename"
"23183"	"I"	"predict"	" Despite his retirement talk, Barkley will undergo rehabilitation this summer _ ``Six weeks. That'll be a lot of fun,'' he groused. Then, I predict, he will announce he is returning for another season with the Suns. </P> "	"nyt_eng_199505.gz"
"26268"	"I"	"predict"	" It would, I predict, do wonders to elevate the tenor of public discourse in America, though how it will work out in Russia still is anybody's guess. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950624.0213 type=story > <HEADLINE> OKINAWA SHOWS MORE THE RAVAGES OF URBAN SPRAWL THAN THE SCARS OF </HEADLINE> <DATELINE> OKINAWA, Japan (BC-HEASTER-COLUMN-KAN) </DATELINE> <TEXT> "	"nyt_eng_199506.gz"
"27057"	"they"	"predict"	" And, they predict, Greenspan will exercise that power in the days following the meeting, once he sees more evidence that the economy isn't recovering all too well. </P> "	"nyt_eng_199507.gz"
"27069"	"they"	"predict"	" And, they predict, Greenspan will exercise that power in the days following the meeting, once he sees more evidence that the economy isn't recovering all too well. </P> "	"nyt_eng_199507.gz"
"27775"	"they"	"predict"	" If the proposed wage increase is defeated, they predict, the money that would have gone to the workers can keep the businesses going, and that a portion of this defeated wage increase money could result in lower costs to customers. </P> "	"nyt_eng_199507.gz"
"29749"	"I"	"predict"	" Mario Cuomo (b. 1932) is an example. So, differently, is Ted Kennedy (also 1932). So is Jack Kemp (1935). And Sam Nunn (1938). And Pat Buchanan (1938). And, I predict, Dick Lugar (1932), Lamar Alexander (1940) and probably Dick Gephardt (1941) and Phil Gramm (1942). </P> "	"nyt_eng_199508.gz"
"30385"	"they"	"predict"	" But Eisner's friends say that his heart surgery and the other upheavals of the past year have convinced him to take a calmer, more reasoned approach to running his business empire. And in running that suddenly expanded empire, they predict, he will be less temperamental _ but no less tough-minded. </P> "	"nyt_eng_199508.gz"
"36583"	"they"	"predict"	" The march, they predict, will refute those images and celebrate the majority of black men, who work hard and contribute to their communities. Men like themselves who moved to towns like this for safer streets, better housing and better schools. </P> "	"nyt_eng_199510.gz"
"48369"	"they"	"predict"	" So the Internet, America Online critics say, will become easier and cheaper for people to use. As a result, they predict, America Online will soon be forced to cut prices or it will lose customers. </P> "	"nyt_eng_199602.gz"
"52292"	"they"	"predict"	" Astronomers expect Hyakutake to brighten steadily until next Monday, when it passes about 9 million miles above the North Pole, the fifth-closest approach to Earth by any comet this century. After gradually dimming in early April, they predict, it will brighten again in the early-evening sky as it nears the Sun in late April. </P> "	"nyt_eng_199603.gz"
"69764"	"they"	"predict"	" Cynics, and there are many, say it doesn't matter where the Cardinals play their first game. They claim it's not the weather, but the owner. It's not the heat, but the stupidity. The outcome, they predict, would be the same. </P> "	"nyt_eng_199609.gz"
"81995"	"I"	"predict"	" But it will be a while, I predict, before the down-home restaurants I frequent put the stuff on the menu. For one thing, what do you (ital)call(end ital) it? Baked analog with dressing? </P> "	"nyt_eng_199612.gz"
"82008"	"I"	"predict"	" But it will be a while, I predict, before the down-home restaurants I frequent put the stuff on the menu. For one thing, what do you (ital)call(end ital) it? Baked analog with dressing? </P> "	"nyt_eng_199612.gz"
"89748"	"they"	"predict"	" When I pressed them about this, Microsoft officials explained that they don't expect the upgrade to fail outright for 1 out of 10 customers who try it. Most of the 10 percent, they predict, will get it installed. It's just that some of their hardware and software won't work until they hunt down updates. </P> "	"nyt_eng_200104.gz"
