"pronoun"	"verb"	"context"	"filename"
"765"	"he"	"predicted"	" ``Frankly, the local support isn't there, so the congressional support isn't there,'' said one veteran of sanctuary politics. Federal officals, he predicted, ``won't waste their time in an area where they're not wanted.'' </P> "	"nyt_eng_199407.gz"
"1515"	"she"	"predicted"	" Joan Vera DaCorta, president of the Astoria Heights Homeowners and Tenants Association, which represents people living just west of La Guardia, said her group voted unanimously to oppose the plan. The missing cars on the highways, she predicted, would immediately be replaced by other drivers, not bound for the airports, who would then find the routes more attractive. </P> "	"nyt_eng_199407.gz"
"2021"	"he"	"predicted"	" His biggest challenge on the course, Azinger said, will be in maintaining competitive focus. His stamina, he predicted, would be adequate because he has undergone a regular program of cardiovascular exercises during his rehabilitation period. </P> "	"nyt_eng_199408.gz"
"3949"	"he"	"predicted"	" ``The election of Fernando Henrique Cardoso and the success of the Real Plan would be the best news of the decade for Latin America,'' Argentina's economy minister, Domingo Cavallo, said last Monday in Buenos Aires. With monetary stability, he predicted, Brazil would grow by 7 percent and 8 percent a year for the rest of the decade. </P> "	"nyt_eng_199409.gz"
"4149"	"he"	"predicted"	" ``I've got to be hopeful'' that C-SPAN's losses will be reversed, said Lamb. In the end, he predicted, the new law will have ``slowed growth down between two and five years.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19940906.0301 type=story > <DATELINE>  (BC-MUSIC-NOTES-2TAKES-NYT) </DATELINE> <TEXT> "	"nyt_eng_199409.gz"
"4568"	"he"	"predicted"	" (Instead, he predicted, a multitude of styles would coexist in what he called ``fluctuating stasis.'' Each would have its own coterie audience; none would dominate. If you seek confirmation within the newly eclectic ``classical'' world, look about you -- but of course commercial music has come to dominate to an extent no one then foresaw.) </P> "	"nyt_eng_199409.gz"
"5090"	"they"	"predicted"	" Supporters in and out of the administration had hoped that the telecommunications measure would open a competitive slugfest among the Bell telephone companies, cable television, long distance carriers, television broadcasters, computer makers, cellular operators and others. The result, they predicted, would be falling consumer prices and even faster technological gains. </P> "	"nyt_eng_199409.gz"
"5092"	"he"	"predicted"	" Current regulations ``are throttling investment and throttling new entrepreneurs who want to be able to offer competitive services,'' Stowe said. Without reform, he predicted, companies will ``jerry-rig new services'' to skirt existing regulations, ``instead of operating in the most efficient and cost effective way.'' </P> "	"nyt_eng_199409.gz"
"5578"	"they"	"predicted"	" The exhibition continues through Nov. 6. For more information, contact the Meadows Museum at Southern Methodist University, (214) 768-2516. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19940928.0192 type=multi > <DATELINE> LOS ANGELES  (BC-NATIONAL-BRIEFS-NYT) </DATELINE> <TEXT> Discounting prosecution warnings that it could contaminate the jury and lead to a mistrial of the O.J. Simpson murder case, Judge Lance Ito ruled Wednesday that jurors should first be selected, then sent home for as much as a month while lawyers wrangle over whether DNA evidence should be admissible.   Lawyers for the Los Angeles district attorney's office had asked Ito to suspend the selection process at its initial stage -- that is, once a pool of 300 willing jurors had been selected but before any had been seriously questioned -- while the DNA evidence was debated.   Otherwise, they predicted, those selected would have to be questioned all over again a second time, this time about the effects of weeks spent living in a world obsessed with the Simpson case and their role in it.   DURABLE GOODS UP 6 PERCENT IN AUGUST   WASHINGTON -- Suggesting only modest slowing of the economy, orders for big-ticket factory-made goods made their biggest gains since late 1992 in August as new-model cars and trucks dominated the Census Bureau's monthly tally.   Although last month's 6 percent jump followed a 4 percent decline in July, analysts said the economy is proving remarkably resilient in the face of efforts by the Federal Reserve to restrain the growth of the economy.   ``The economy's slowing a little, but perhaps not enough'' to avoid further Fed increases in short-term interest rates, said Ellen Hughes-Cromwick, an economist at Mellon Bank in Pittsburgh. ``The slowdown is modest at best.''  </TEXT> </DOC> <DOC id=NYT_ENG_19940928.0193 type=story > <HEADLINE> SUCH A DAUGHTER, SUCH AN ETRANGERE </HEADLINE> <DATELINE>  (BC-BILINGUAL-KIDS-NYT) </DATELINE> <TEXT> "	"nyt_eng_199409.gz"
"5995"	"he"	"predicted"	" The Fed, he predicted, is increasingly likely to raise interest rates this month, not waiting for its first post-election policy meeting on Nov. 15. </P> "	"nyt_eng_199410.gz"
"7005"	"he"	"predicted"	" The parliament did not act, according to an Iraqi diplomat here, because the Security Council will not meet again to discuss the sanctions until mid-November. By then, he predicted, the Iraqi parliament will have moved to formally recognize Kuwait. </P> "	"nyt_eng_199410.gz"
"7837"	"he"	"predicted"	" Ivan Gursky sees this as an omen of darker things to come. Come spring, he predicted, the waters will rise 15 or 20 feet, ``and everything will turn black.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19941031.0448 type=story > <HEADLINE> HEAD OF PYRAMID SCHEME WINS SEAT IN PARLIAMENT </HEADLINE> <DATELINE> MOSCOW  (BC-RUSSIA-ELECT-475&AMP;ADD-NYT) </DATELINE> <TEXT> "	"nyt_eng_199410.gz"
"8153"	"he"	"predicted"	" Congressional ratification of the General Agreement on Tariffs and Trade, a set of global rules expanding free trade, he predicted, will further endanger the industry. </P> "	"nyt_eng_199411.gz"
"8241"	"he"	"predicted"	" Conlon hopes to combine the energies of about a half dozen similar membership groups around the state to fight the tax in both the courts and the Legislature. Shaker Commons, he predicted, may become a test case. </P> "	"nyt_eng_199411.gz"
"10396"	"he"	"predicted"	" In the next election, he predicted, ``they'll lose because their `Contract on America,' whether you like or hate it, is all slogans and hot buttons without so much as a wink or a nod at real jobs and real opportunities. They'll lose because every time they've taken control of the Congress, they've rolled out their real priorities, more tax breaks for the rich.'' </P> "	"nyt_eng_199412.gz"
"10446"	"he"	"predicted"	" Quebec separatism is Canada's civil war, Davies said, but unlike the American Civil War, he predicted, it will not become violent. </P> "	"nyt_eng_199412.gz"
