"pronoun"	"verb"	"context"	"filename"
"23809"	"she"	"proclaimed"	" Her son is innocent, she proclaimed, and ``all he wants to do is get out of jail and take care of Trenton. Trenton is his friend.'' </P> "	"nyt_eng_199505.gz"
"28037"	"he"	"proclaimed"	" As armed court officers escorted him into the wood-paneled courtroom yesterday morning and past a phalanx of reporters and cameras, he proclaimed, ``I'm innocent.'' </P> "	"nyt_eng_199507.gz"
"28416"	"he"	"proclaimed"	" But he has reached the decision that the last resort against arms must be arms, so as not to be ``an accomplice in barbarism.'' Therefore, he proclaimed, ``I am now a warmonger.'' </P> "	"nyt_eng_199507.gz"
"28417"	"he"	"proclaimed"	" But he has reached the decision that the last resort against arms must be arms, so as not to be ``an accomplice in barbarism.'' Therefore, he proclaimed, ``I am now a warmonger.'' </P> "	"nyt_eng_199507.gz"
"28532"	"he"	"proclaimed"	" But he has reached the decision that the last resort against arms must be arms, so as not to be ``an accomplice in barbarism.'' Therefore, he proclaimed, ``I am now a warmonger.'' </P> "	"nyt_eng_199507.gz"
"28533"	"he"	"proclaimed"	" But he has reached the decision that the last resort against arms must be arms, so as not to be ``an accomplice in barbarism.'' Therefore, he proclaimed, ``I am now a warmonger.'' </P> "	"nyt_eng_199507.gz"
"37767"	"he"	"proclaimed"	" But much as he claimed he too was for change, Donahue did little to ward off perceptions of himself as a bastion of the old. During the debate, he proclaimed, ``I'm perfectly content _ I'm delighted _ to stand on my rec-ord of the last 16 years.'' He added, ``You can't blame me for PATCO,'' referring to President Ronald Reagan's dismantling of the air-traffic controllers' union in 1981. A union delegate from the audience cried out, ``Why not?'' </P> "	"nyt_eng_199510.gz"
"41627"	"he"	"proclaimed"	" The result, he proclaimed, is not to be confused with poetry. </P> "	"nyt_eng_199512.gz"
"41722"	"he"	"proclaimed"	" The result, he proclaimed, is not to be confused with poetry. </P> "	"nyt_eng_199512.gz"
"70533"	"he"	"proclaimed"	" Barely two years ago, President Clinton was envisioning the greatest expansion of government social policy in at least a generation. The transformation of the U.S. health-care system, he proclaimed, was his ``most urgent priority.'' </P> "	"nyt_eng_199609.gz"
"86489"	"he"	"proclaimed"	" In the past he bought all the cards, roses, jewelry and dinners that are customary for Valentine's Day. But this year, he proclaimed, he is not buying any of it. ``It would be,'' he said of any gesture he could muster, ``just another superficial, cosmetic, meaningless token of nothing.'' </P> "	"nyt_eng_199702.gz"
"86492"	"he"	"proclaimed"	" In the past he bought all the cards, roses, jewelry and dinners that are customary for Valentine's Day. But this year, he proclaimed, he is not buying any of it. ``It would be,'' he said of any gesture he could muster, ``just another superficial, cosmetic, meaningless token of nothing.'' </P> "	"nyt_eng_199702.gz"
"86496"	"he"	"proclaimed"	" In the past he bought all the cards, roses, jewelry and dinners that are customary for Valentine's Day. But this year, he proclaimed, he is not buying any of it. ``It would be,'' he said of any gesture he could muster, ``just another superficial, cosmetic, meaningless token of nothing.'' </P> "	"nyt_eng_199702.gz"
"95579"	"he"	"proclaimed"	" Then came the film version of John Steinbeck's ``East of Eden'' (1955) and an actor named James Dean. He changed the face of pop-culture adolescence forever. Being a teen-ager was hard, he proclaimed, filled with rejection and lack of love. Above all, it was the loneliest place in the world. </P> "	"nyt_eng_200107.gz"
"103119"	"he"	"proclaimed"	" After a few minutes, Firefighter Davidson, 33, a member of Ladder Co. 118 in Brooklyn Heights, found what he was looking for: a fire extinguisher. Triumphantly, he proclaimed, ``I got it covered.'' </P> "	"nyt_eng_200112.gz"
"112143"	"he"	"proclaimed"	" Bush argued that cloning, even for research purposes, is wrong because it involves the creation of embryos that are then destroyed to derive stem cells for potential treatments. Anything less than a total ban on cloning would be unethical, he proclaimed, because ``no human life should be exploited or extinguished for the benefit of another.'' That effectively defined the cell clusters as human life and declared them sacrosanct. Bush also contended that it would be difficult to enforce a ban on reproductive cloning while allowing research cloning, and he called the presumed benefits of research cloning ``highly speculative.'' </P> "	"nyt_eng_200204.gz"
