"pronoun"	"verb"	"context"	"filename"
"1420"	"he"	"proposed"	" If p16 mutations give tumor cells the ability to grow in culture, he proposed, it would not be surprising if a majority of cultured cancer cells turned out to have those mutations. But that may not have anything to do with the cause of cancer, he said. </P> "	"nyt_eng_199407.gz"
"10912"	"he"	"proposed"	" However, he went on, Paramount had monitored attendance at the theater and concluded that ``should we seek an immediate injunction against continued performances, we would provide more publicity of greater magnitude than that which your client would be able to achieve on its own merits.'' Instead, he proposed, if the theater and the authors would guarantee that the show would never be performed again, anywhere, Paramount would be willing to forgo legal action. Mr. Slotnick did not return phone messages left at his office. </P> "	"nyt_eng_199412.gz"
"12270"	"he"	"proposed"	" Seriously, though, what about wedding plans for Sipowicz and girlfriend Sylvia Costas? In this week's episode, he proposed, and she accepted. </P> "	"nyt_eng_199501.gz"
"18601"	"she"	"proposed"	" A better method, she proposed, is to suck the air into a drum that captures the pollen on strips on an hourly basis. ``Only then will we know when in the day the pollen counts are lowest and exactly how they are affected by changes in the weather,'' she said. Dr. Geraci-Ciardullo also pointed out that rooftop pollen collection might not say much about what people at street level were inhaling. </P> "	"nyt_eng_199504.gz"
"24927"	"he"	"proposed"	" To make room in cash registers for the new dollar, he proposed, ``we should abolish the penny. My own view as a consumer, not an economist, is it would be a great improvement. Most people I know have drawers full of unused pennies.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950612.0627 type=story > <HEADLINE> ONLINE ADS STILL UNDER CONSTRUCTION </HEADLINE> <DATELINE>  (BC-TVADS-TV ADS VS. ONLINE_ SFCHRON) </DATELINE> <TEXT> "	"nyt_eng_199506.gz"
"38844"	"he"	"proposed"	" Herrman not only disposed, he proposed, adding ``Brenda Starr.'' ``I felt we needed to put a woman in there,'' he said, referring not just to Brenda but to her creator, Dale Messick. He also looked at more than 1,000 images before making his selections. </P> "	"nyt_eng_199511.gz"
"46012"	"they"	"proposed"	" But these stargazers were far more clever than that. Perhaps, they proposed, some kind of unseen cosmic glue is holding the Milky Way together. If 90 percent of the galaxy consists of this invisible stuff, then Newton's laws would again reign supreme. </P> "	"nyt_eng_199601.gz"
"46174"	"they"	"proposed"	" But these stargazers were far more clever than that. Perhaps, they proposed, some kind of unseen cosmic glue is holding the Milky Way together. If 90 percent of the galaxy consists of this invisible stuff, then Newton's laws would again reign supreme. </P> "	"nyt_eng_199601.gz"
"64829"	"he"	"proposed"	" Many elaborations on the theme followed. Turcotte of Cornell proposed in 1993 that the crust of Venus had grown increasingly thick over the eons, trapping heat inside the planet. Molten lava accumulated until it flooded out in a planetary crisis. Afterwards, the crust thickened again. The process, he proposed, was perhaps cyclical, with Venus experiencing several such crises in its history and perhaps getting ready for another. </P> "	"nyt_eng_199607.gz"
"64918"	"he"	"proposed"	" Many elaborations on the theme followed. Turcotte of Cornell proposed in 1993 that the crust of Venus had grown increasingly thick over the eons, trapping heat inside the planet. Molten lava accumulated until it flooded out in a planetary crisis. Afterwards, the crust thickened again. The process, he proposed, was perhaps cyclical, with Venus experiencing several such crises in its history and perhaps getting ready for another. </P> "	"nyt_eng_199607.gz"
