"pronoun"	"verb"	"context"	"filename"
"50474"	"she"	"protested"	" The Buchanans, she protested, were not anti-Semitic because they believed in equal-opportunity bullying: ``They beat up everyone.'' </P> "	"nyt_eng_199603.gz"
"50644"	"she"	"protested"	" The Buchanans, she protested, were not anti-Semitic because they believed in equal-opportunity bullying: ``They beat up everyone.'' </P> "	"nyt_eng_199603.gz"
"63145"	"they"	"protested"	" Alumni and cadets were stunned by the 7-1 decision. Male bonding, they protested, is essential to the raw ritual of breaking freshmen, called Rats, and rebuilding them as ``citizen soldiers.'' VMI claimed that women would dilute the shared adversity of a hell week that lasts six months. </P> "	"nyt_eng_199606.gz"
"63268"	"they"	"protested"	" Alumni and cadets were stunned by the 7-1 decision. Male bonding, they protested, is essential to the raw ritual of breaking freshmen, called Rats, and rebuilding them as ``citizen soldiers.'' VMI claimed that women would dilute the shared adversity of a hell week that lasts six months. </P> "	"nyt_eng_199606.gz"
"63359"	"they"	"protested"	" Alumni and cadets were stunned by the 7-1 decision. Male bonding, they protested, is essential to the raw ritual of breaking freshmen, called Rats, and rebuilding them as ``citizen soldiers.'' VMI claimed that women would dilute the shared adversity of a hell week that lasts six months. </P> "	"nyt_eng_199607.gz"
"67746"	"they"	"protested"	" Gunter and his ilk took offense at their brief incarceration. After all, they protested, they weren't passing the dough around. Plus look at all the good the mill did. And, to paraphrase later professional sports franchise moguls, it helped the local economy. </P> "	"nyt_eng_199608.gz"
"67827"	"they"	"protested"	" Gunter and his ilk took offense at their brief incarceration. After all, they protested, they weren't passing the dough around. Plus look at all the good the mill did. And, to paraphrase later professional sports franchise moguls, it helped the local economy. </P> "	"nyt_eng_199608.gz"
"76146"	"he"	"protested"	" As John (or was it Ken?) of the ``John and Ken Show'' came back on the air, he found himself reading the next commercial, which had far less to do with the fate of the republic. Through his chortling, he protested, ``Don't schedule these after the political commercials, OK?'' before hawking a low-cost tire store: ``Next time somebody tells you their tire store is the last word in discounts _ punch him.'' </P> "	"nyt_eng_199610.gz"
"84269"	"they"	"protested"	" The tribunal's critics argued that it would obstruct peace negotiations. How, they protested, could those who make decisions at the negotiating table be expected to agree to provisions that might endanger their leadership and bring them to justice? </P> "	"nyt_eng_199701.gz"
"84270"	"they"	"protested"	" The tribunal's critics argued that it would obstruct peace negotiations. How, they protested, could those who make decisions at the negotiating table be expected to agree to provisions that might endanger their leadership and bring them to justice? </P> "	"nyt_eng_199701.gz"
"84362"	"they"	"protested"	" The tribunal's critics argued that it would obstruct peace negotiations. How, they protested, could those who make decisions at the negotiating table be expected to agree to provisions that might endanger their leadership and bring them to justice? </P> "	"nyt_eng_199701.gz"
"84363"	"they"	"protested"	" The tribunal's critics argued that it would obstruct peace negotiations. How, they protested, could those who make decisions at the negotiating table be expected to agree to provisions that might endanger their leadership and bring them to justice? </P> "	"nyt_eng_199701.gz"
"84741"	"they"	"protested"	" The tribunal's critics argued that it would obstruct peace negotiations. How, they protested, could those who make decisions at the negotiating table be expected to agree to provisions that might endanger their leadership and bring them to justice? </P> "	"nyt_eng_199701.gz"
"84742"	"they"	"protested"	" The tribunal's critics argued that it would obstruct peace negotiations. How, they protested, could those who make decisions at the negotiating table be expected to agree to provisions that might endanger their leadership and bring them to justice? </P> "	"nyt_eng_199701.gz"
"84839"	"they"	"protested"	" The tribunal's critics argued that it would obstruct peace negotiations. How, they protested, could those who make decisions at the negotiating table be expected to agree to provisions that might endanger their leadership and bring them to justice? </P> "	"nyt_eng_199701.gz"
"84840"	"they"	"protested"	" The tribunal's critics argued that it would obstruct peace negotiations. How, they protested, could those who make decisions at the negotiating table be expected to agree to provisions that might endanger their leadership and bring them to justice? </P> "	"nyt_eng_199701.gz"
"86911"	"we"	"protested"	" Burns had also included several photographs of slaves that dated from the Civil War era, suggesting they were slaves on Jefferson's plantation. But, we protested, Jefferson's slaves probably did not look like that. Many of them were only a generation removed from Africa and still bore visible traces of their African origins. </P> "	"nyt_eng_199702.gz"
"131138"	"they"	"protested"	" Around May, new investors started to shy away from National Century bonds, depriving it of badly needed new capital. In response, the private company began to take money from two reserve accounts backing two bond trusts worth $3.35 billion. When investors discovered that almost $350 million was missing from the reserve for a trust called NPF XII, they protested, and National Century's finances began to fall apart. </P> "	"nyt_eng_200211.gz"
"140955"	"she"	"protested"	" She allegedly hugged Bryant and he started kissing her. But after he started fondling her buttocks and genital area, she protested, the lawsuit said. </P> "	"nyt_eng_200408.gz"
"152294"	"he"	"protested"	" Even as the game escaped them late, the Nuggets did not roll over, pulling to within six in the final minute. When Marcus Camby (10 rebounds) left the game with 1:49 left in his team's season finale, he protested, saying: I want to go down with the ship. I want to go down with the ship. </P> "	"nyt_eng_200505.gz"
"158886"	"they"	"protested"	" But, they protested, she provided no details about the issues she has worked on, or the positions she has taken. </P> "	"nyt_eng_200510.gz"
