"pronoun"	"verb"	"context"	"filename"
"804"	"he"	"quipped"	" When someone characterized him as the father of time limits at a meeting in December 1992, he quipped, ``I deny paternity.'' </P> "	"nyt_eng_199407.gz"
"13708"	"he"	"quipped"	" Kemp signaled his decision several week ago after a speech in Baltimore, when he was surrounded by supporters who were pressing him to run. Refusing to commit, he quipped, ``I can't raise the money.'' </P> "	"nyt_eng_199502.gz"
"16098"	"he"	"quipped"	" When asked what he did for the highway department, he quipped, ``Pretty much the same thing I do here ... nothing.'' </P> "	"nyt_eng_199503.gz"
"38267"	"he"	"quipped"	" It was as if, he quipped, ``you divorce your wife and you still want to go to bed with her.'' </P> "	"nyt_eng_199510.gz"
"41628"	"he"	"quipped"	" But he couldn't resist using a set-up line to explain why he read the poem, rather than reciting it from memory. Tapping his head, he quipped, ``It took 40 years to come out of here and onto the paper. It'd take another 40 years to get it off the paper and back in here.'' </P> "	"nyt_eng_199512.gz"
"41723"	"he"	"quipped"	" But he couldn't resist using a set-up line to explain why he read the poem, rather than reciting it from memory. Tapping his head, he quipped, ``It took 40 years to come out of here and onto the paper. It'd take another 40 years to get it off the paper and back in here.'' </P> "	"nyt_eng_199512.gz"
"88417"	"he"	"quipped"	" Then it was Jim Jabir's turn. When the first-year Providence College coach was reminded that a victory by his Lady Friars (13-13) this afternoon would book a second-round date with the formidable Huskies (27-0), he quipped, ``I think we're a far superior team and we should beat them by 30.'' </P> "	"nyt_eng_199702.gz"
"93622"	"he"	"quipped"	" ``It's always good to be back in Florida,'' Cheney told the crowd in Orlando. ``The state that made me an expert in close elections.'' Surveying the ballroom of more than 1,000 partisans, he quipped, ``It looks like we have the entire margin of victory right here in this room.'' </P> "	"nyt_eng_200106.gz"
"94281"	"she"	"quipped"	" At a party at a neighbor's house, I was introduced to a woman who was clearly suffering from TSS. When she learned I was a TV critic, without missing a beat, she quipped, ``My condolences.'' </P> "	"nyt_eng_200106.gz"
"99555"	"she"	"quipped"	" But at times Olson appeared off-handed, chatting amiably with her lawyers even while being addressed by judges or the prosecutors. When she was asked a routine question about whether she had taken drugs or alcohol, which could have clouded her judgment, she quipped, ``I wish.'' </P> "	"nyt_eng_200111.gz"
"102596"	"he"	"quipped"	" Asked if he thought the HP- Compaq merger was a good idea, he quipped, ``Oh yeah!'' apparently referring to the business opportunities the deal would create for companies like his. </P> "	"nyt_eng_200112.gz"
"115926"	"he"	"quipped"	" ``It wasn't a wedding,'' he told reporters. Asked how he could be sure, he quipped, ``No one was wearing a white dress.'' </P> "	"nyt_eng_200205.gz"
"126287"	"he"	"quipped"	" In another race that also involved creative uses for fruit, he quipped, ``This must be what Jesse Helms thinks the Gay Games are.'' </P> "	"nyt_eng_200209.gz"
"129549"	"he"	"quipped"	" O'Neal, naturally, supplied the (somewhat dicey) comedy. Asked about his surgically repaired toe, he quipped, ``My foot feels pretty good. I had Doug Christie's wife massage it for me before coming over here.'' </P> "	"nyt_eng_200210.gz"
"140512"	"he"	"quipped"	" When asked about gay marriage, he quipped, I have enough trouble figuring out how to get married that I don't need the federal or state government telling me what to do. </P> "	"nyt_eng_200407.gz"
"147924"	"he"	"quipped"	" There was a point Wednesday when McNabb was asked about the meaning of his declining rushing numbers. Mindful of all the old images of him as a scattergun arm mounted upon a fullback's legs, he quipped, That's just the way things panned out. Looking back, maybe I shouldn't have run so much and you guys wouldn't ask the question. </P> "	"nyt_eng_200501.gz"
"148962"	"he"	"quipped"	" Let the record show that Reid actually did make 'em laugh at one point. After he realized that he was heaping praise on one of his assistants for a third time, he quipped, I don't want to sell off the whole staff here. It's like an auction. </P> "	"nyt_eng_200501.gz"
"153875"	"she"	"quipped"	" This being Westport, she quipped, that was through the Friends of the Juggling Club. </P> </TEXT> </DOC> <DOC id=NYT_ENG_20050621.0006 type=story > <HEADLINE> OBIT-SIN-NYT </HEADLINE> <TEXT> "	"nyt_eng_200506.gz"
"157363"	"she"	"quipped"	" Humor helped Harpham over many rough spots. When her second recurrence was diagnosed on the same day as the first but a year later, she quipped, I've consolidated my recurrences so that I won't have too many bad-news anniversaries. </P> "	"nyt_eng_200509.gz"
"162940"	"he"	"quipped"	" Nevertheless, Perata and his counterpart in the Assembly, Speaker Fabian Nunez, insist that they're serious about producing an infrastructure program to counteract the public's deep -- and justified -- cynicism about the Capitol viability. The public is fed up with all of us, Perata told reporters during a telephonic press briefing, and succeeding, he quipped, would shock the hell out of them (voters) because of the decades of neglect. </P> "	"nyt_eng_200602.gz"
