"pronoun"	"verb"	"context"	"filename"
"3618"	"we"	"ran"	" ``We mixed it up, we ran, we stayed with our game plan,'' Frazier said. ``Offensively, I can't say how much better we are. We'll have to wait four or five games down the road. Defensively, I think we're a lot better.'' </P> "	"nyt_eng_199408.gz"
"17737"	"she"	"ran"	" Folkl's volleyball skills have served her well in this year's tournament, where she is averaging 20 points and almost 10 rebounds a game. Against North Carolina, she ran, tipped balls in, stayed close to the basket and used her physical presence to leave Marion Jones, a world-class long-jumper, out of breath and out of the Final Four. </P> "	"nyt_eng_199503.gz"
"56221"	"she"	"ran"	" Delahoussaye said he decided to track Raintrap, and ``when I asked my mare, she ran, but that other horse just kept running too.'' </P> "	"nyt_eng_199604.gz"
"61407"	"I"	"ran"	" ``Look, I ran, I had my shot and I blew it,'' he declared. ``Sure it hurt. This may not be as exciting as being president of the United States but I like to teach and I love working with young people.'' </P> "	"nyt_eng_199606.gz"
"77771"	"he"	"ran"	" There, he ran, rode horses, fenced, swam and learned to shoot _ all required in the pentathlon. He placed 19th in the 1928 Games and earned a bronze medal four years later. In 1936, he coached the team in Germany. </P> "	"nyt_eng_199611.gz"
"90257"	"he"	"ran"	" When Herrera saw the officers outside the bar, he ran, according to witnesses and court documents. After being chased by at least two officers, Herrera was pulled from underneath a parked car and allegedly beaten with nightsticks while he shouted, ``I ran because I don't have papers!'' </P> "	"nyt_eng_200104.gz"
"92150"	"they"	"ran"	" Conway said in a statement after the incident that two of the teen-agers, Johnson and Kyle Thompson, also 16, appeared to be carrying guns. When the officers tried to question them, they ran, according to the statement. Two officers chased Thompson on foot; Conway pursued Johnson in his car. </P> "	"nyt_eng_200105.gz"
"95052"	"they"	"ran"	" Story Filed By Cox Newspapers </P> </TEXT> </DOC> <DOC id=NYT_ENG_20010704.0149 type=story > <HEADLINE>     They came, they ran, they conquered </HEADLINE> <DATELINE> ATLANTA (BC-RUN-PEACHTREE-0705-COX) </DATELINE> <TEXT> "	"nyt_eng_200107.gz"
"110935"	"he"	"ran"	" ``Dominic knew how to get on base,'' said Pesky. ``He was a good hitter and he ran well. Anybody that runs good has got to hit in the top of your lineup. Hitting in front of Williams, even with two outs, we never wanted Williams to lead off. Dominic and I had a sign we used for six straight years. I'd get in the box and when I went to my nose, he ran, and I said, `Dom, if you miss that, I'll kill you.' </P> "	"nyt_eng_200203.gz"
"119841"	"he"	"ran"	" In an era when the University of Chicago played in the powerful Big Ten, Berwanger, at 6 feet and 195 pounds, played tailback in a single-wing offense. In the three seasons from 1933 to 1935, he ran, passed, punted, kicked off, kicked extra points, blocked, tackled, caught passes, returned kickoffs, called the plays and played 60 minutes a game. </P> "	"nyt_eng_200206.gz"
"139177"	"we"	"ran"	" ``Tonight, we played good defense, we ran, we were aggressive and we rebounded well,'' UConn guard Ben Gordon. ``When we do all those things, its going to be tough to beat us.'' </P> "	"nyt_eng_200402.gz"
"144709"	"he"	"ran"	" One seller refused to move and seemed antsy, Kellum said. When soldiers approached, he ran, refusing to stop when a warning shot was fired. Kellum had already begun chasing, thinking the man could have been an insurgent or wanted. </P> "	"nyt_eng_200410.gz"
"151035"	"we"	"ran"	" As soon he turned around, we ran, Kanu said. That was the fastest I ever ran. </P> "	"nyt_eng_200503.gz"
