"pronoun"	"verb"	"context"	"filename"
"104"	"it"	"read"	" On one side, the box top read, ``This is O.J.'s house.'' On the other side, it read, ``This is the murder scene.'' The three had been to Mrs. Simpson's town house earlier. </P> "	"nyt_eng_199407.gz"
"5048"	"I"	"read"	" Then there was the techno-babble. A Vinotheque brochure boasted that the Vintronic III temperature stabilizer is ``a digital, microprocessor-based wine temperature thermostat,'' featuring ``a smart binary encoder'' and ``triac relays.'' The Vintronic III, I read, takes the wine's temperature 120 times a minute to maintain the temperature within 0.05 degrees, as if national security depended on it. </P> "	"nyt_eng_199409.gz"
"16165"	"we"	"read"	" But before the first meal was served, Farrakhan's restaurant was gobbling up print and air. The restaurant, we read, was built with Nation of Islam dues and sales of the Farrakhan newspaper, The Final Call. The restaurant got long stories, adoring neighborhood comment, celebrities, pictures, interviews -- public relations paradise. </P> "	"nyt_eng_199503.gz"
"21194"	"I"	"read"	" The invasion, I read, is a topic of daily conjecture among the people at home and I guess you are a mite worried. </P> "	"nyt_eng_199505.gz"
"30368"	"I"	"read"	" ``I love working on Saturdays, then taking a walk down the Mall,'' he says almost sheepishly, as if wary of a scandal called Slothgate for that half-day's meandering. ``For recreation, I read, lately a good biography of Samuel Johnson.'' </P> "	"nyt_eng_199508.gz"
"42484"	"you"	"read"	" More fun than jellybeans _ ``Swami on Rye _ Max in India'' (Viking, $14.99). You know you are in for an adventure when, on the jacket, you read, ``All is an illusion, but you must still pay $14.99 for this book.'' </P> "	"nyt_eng_199512.gz"
"43711"	"we"	"read"	" ``But we got to spend those days completely alone together, except for the nurses, which is rare for us these days,'' said Krueger. ``We played pool, we read, we watched videos and we took in the great view of the city. Then we took home $300 each. </P> "	"nyt_eng_199512.gz"
"44605"	"it"	"read"	" As a founder of nuclear medicine, it read, he ``occupies a special place in the history of radiation physics and biology and the development of our understanding of radiation effects today. He has had a unique impact on radiation biology.'' </P> "	"nyt_eng_199601.gz"
"47274"	"I"	"read"	" For that reason, their love of dogs, I think I could fit in here. The popular breeds, I read, are poodles, Jack Russell terriers, cocker spaniels, labs and, the most favored of all, shar-peis. </P> "	"nyt_eng_199601.gz"
"47962"	"it"	"read"	" You couldn't miss the big black sign at one end of the Igloo. In neon green letters, it read, ``ENUF ALREADY.'' Chances are, it was referring to the three-game losing streak the Penguins took into Tuesday night's game against the Bruins. </P> "	"nyt_eng_199602.gz"
"49824"	"we"	"read"	" Resilient children, we read, are blessed with intelligence, sunny dispositions and a disinclination to feel sorry for themselves. </P> "	"nyt_eng_199602.gz"
