"pronoun"	"verb"	"context"	"filename"
"2460"	"I"	"realize"	" ``This is not modern thinking, I realize, because modern thinking is very separatist. But I think it's a terrible idea to make people identify with only one element of themselves.'' </P> "	"nyt_eng_199408.gz"
"5645"	"you"	"realize"	" ``When I started out coaching 35 years ago I was concerned about image and how people perceived me and I was trying to win a popularity contest. Finally, you get old enough and mature enough and you live life long enough, you realize, `This ain't gonna work.''' </P> "	"nyt_eng_199409.gz"
"15415"	"we"	"realize"	" ``Pictures,'' the final chapter, sees Aleksander back home in Macedonia, where escalating ethnic tensions make a reunion with his Albanian childhood sweetheart very difficult. As the sequence unfolds, we realize, appalled, that Aleksander's relatives are the gun-toting group from the first episode. </P> "	"nyt_eng_199502.gz"
"17052"	"I"	"realize"	" It is neither fair nor politically proper, I realize, to generalize about a nation's people. But the Cubans keep tempting me to make an exception. </P> "	"nyt_eng_199503.gz"
"17053"	"I"	"realize"	" All Cubans, I realize, are not like the thugs that I saw knock down an Argentine teen-ager Thursday to grab a bus in the rain. I am reminded at these Games of two of the greatest athletes that Cuba has produced: Jose Canseco and Rafael Palmeiro. </P> "	"nyt_eng_199503.gz"
"18625"	"I"	"realize"	" Strong economy -- strong sports teams. It's a crazy theory, I realize, but this spring, when the Lakers advance through the playoffs and the moving vans resume their treks (begin ital)into(end ital) Southern California, just remember where you heard it first. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950404.0313 type=story > <HEADLINE> ARIANESPACE NOW DOMINATES SATELLITE-LAUNCH BIZ </HEADLINE> <DATELINE> PARIS  (BC-ARIANESPACE-575(2TAKES)-NYT) </DATELINE> <TEXT> "	"nyt_eng_199504.gz"
"18626"	"I"	"realize"	" Strong economy -- strong sports teams. It's a crazy theory, I realize, but this spring, when the Lakers advance through the playoffs and the moving vans resume their treks (begin ital)into(end ital) Southern California, just remember where you heard it first. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950404.0315 type=story > <DATELINE>  (BC-ARIANESPACE-2NDTAKE-NYT) </DATELINE> <TEXT> "	"nyt_eng_199504.gz"
"18628"	"I"	"realize"	" Strong economy -- strong sports teams. It's a crazy theory, I realize, but this spring, when the Lakers advance through the playoffs and the moving vans resume their treks (begin ital)into(end ital) Southern California, just remember where you heard it first. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950404.0317 type=story > <HEADLINE> TIN MAN HELPS HER GET BY </HEADLINE> <DATELINE> ATTICA, Kan.  (BC-FISHER-COLUMN-KAN) </DATELINE> <TEXT> "	"nyt_eng_199504.gz"
"28054"	"they"	"realize"	" Companies seeking to be traded on OFEX must pay a fee of 2,000 pounds ($3,180) a year plus value added tax. News about OFEX companies will appear on a service called Newstrack, which will be carried by Bloomberg L.P., Reuters Holdings Plc, ICV, QST and the Internet. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950714.0100 type=advis > <DATELINE>  (BC-BUDGET-COX) </DATELINE> <TEXT> COX NEWS SERVICE BUDGET c. 1995 Cox News Service  These stories for release Friday, July 14, 1995, are moving today to clients of the New York Times News Service.  Stories are moving in category shown at end of each budget item.  Lifestyle, Entertainment  INDIAN _ undated _ MOVIES: Based on a prize-winning children's book by Lynne Reid Banks, ``The Indian in the Cupboard'' is another splendid summer-movie surprise _ a kid's fantasy that will captivate adults as well. (e)  MIGHTY MORPHIN _ undated _ MOVIES: The subtext of most summer flicks is this: You've seen the movie, now buy the toys. The one novelty about ``Mighty Morphin Power Rangers'' is that it reverses the formula. (e)  THE-POSTMAN _ undated _ MOVIES: Just as ``Cinema Paradiso'' is a tale of friendship built on a love for film, ``The Postman'' is a tale of a friendship built on a love for language. The fact that both movies are Italian-made is surely not by chance. Chalk it up to that Mediterranean passion for life. (e)  APOLLO-13 _ undated _ MOVIES: Despite being shrouded in technical jargon, the palm-sweating drama never bogs down because the movie stays focused on the personal heroics of the crew, the harrowing ordeal of their families and the brainpower and determination of the space center techno-nerds. (e)  National  MATTER _ undated _ A new state of matter, with properties fundamentally different from those of solids, liquids and gases, has been produced in a Colorado laboratory _ a feat scientists hail as a major breakthrough in modern physics. The bizarre new state of matter, at which atoms are virtually frozen in their tracks, forms only at temperatures colder than those that occur in the darkest and most remote reaches of interstellar space. (a)  HIV _ undated _ The nation needs stronger leadership and a more cohesive system to respond rapidly when the blood supply is threatened by emerging or unknown infectious diseases, according to a report from an Institute of Medicine committee. That conclusion is based on a year-long review of events that led to contamination of the blood supply by HIV, the virus that causes AIDS, in the early and middle 1980s. A lack of leadership, slow decision making by several federal health agencies and conflicts of interest due to the involvement of private blood banks were some of the shortcomings cited in the report. (a)  OLY-PARALYMPIC _ ATLANTA _ By the time the 1996 Paralympic Games open 399 days from Friday, the sports movement for the world's top disabled athletes will be as familiar to the public as the Olympics. At least that is the goal of an aggressive marketing campaign unveiled Thursday by the Atlanta Paralympic Organizing Committee. Developed by advertising whiz Joey Reiman and his Bright House advertising agency, the ads are designed to grab the public's attention and invoke pride, not sympathy, for disabled jocks. One print ad featuring Atlanta long jumper Al Mead, who won a silver medal in long jump in the Barcelona Paralympics, reads: ``Al Mead has one leg. He uses it to kick butt.'' (a)  OLY-ECON _ ATLANTA _ Yes, the Georgia economy will slow down after the Olympic torch burns out. And yes, some people will lose their jobs. But both economists and business leaders predicted Thursday that the pain following the 1996 Games will be mild, while the gains will be felt by employers and workers for years to come. Atlanta, that wannabe international city, may finally get its wish. (a)  OLY-ROUGHTON-COLUMN _ ATLANTA _ Over the next week, we're going to hear a lot from Billy Payne. He's going to be telling us all that the Atlanta Games are humming happily along as we turn the corner into the final year, thank you. When yo u hear that, quietly chant two words: Sinking dorms. (a)  CORONER _ CLARKSDALE, Miss. _ Like all good undertakers, Charles Scott and Scotty Meredith understand the importance of a good impression. Indiscretion, they realize, is the final nail in the coffin of any mortician's career. So outwardly serene are these two men that people here in Coahoma County, the heart of the Mississippi Delta, confess mild shock _ tempered by hilarity _ at the recent spectacle the two morticians have made of themselves. Undertakers do have pulses after all. (a)  Sports  RACEYOURCAR _ ATLANTA _ While other stock car racing divisions _ including NASCAR's Winston Cup Series _ feature cars that are stock in appearance only, spectator racers drive their cars to the track, and to work, and to the store, and sometimes to pick blackberries. (s)  OLY-KAYAK _ WESSER, N.C. _ There I was, jammed between my kayak and a big rock, icy water pouring over me and the roar of the rapids in my ears. Within a few minutes, I was wobbling onto the rocky bank and thinking: ``People die in this sport.'' It was not the best way to start my first full day in a kayak on a whitewater river. (s)  BRADLEY-COLUMN _ undated _ I understand that Monica Seles is frightened. If somebody stuck a knife in my back, I'd be, too. I could understand if Seles never played tennis or appeared in public again. To me, this would seem a not- unreasonable response. But here's the part I don't get: I don't understand why she should be ranked No. 1. (s)  PREP-(2takes) _ DAYTON, Ohio _ Is the three-sport athlete disappearing? (s)  STRAWBERRY _ COLUMBUS, Ohio _ Darryl Strawberry cuts an imposing figure _ even in a baseball uniform. Wound tightly at 6-foot-6 and 215 pounds, the newest Yankee Clipper possesses a lean, powerful look with bulging biceps and shaved head.  Strawberry is 33, but doesn't look it, despite all the poison he's placed in his body over the years. And even though he's on the verge of playing in his 13th major league season, even though he needs just six home runs to become the 68th player to reach the 300 plateau, the eight-time National League All-Star with the New York Mets is really starting over. (s)  MOTOCROSS _ DAYTON, Ohio _ The fans who attend Sunday's American Motorcyclist Association Pro National race at Kenworthy's Motocross Park may be sweltering if the heat wave continues. So will rider Mike Brown. But he'll be grinning, too. ``If it's hot, that could be an advantage for the guys from the East,'' he said. ``The guys from California aren't used to the type of humidity we have back here. We are.'' (s)  Business  ROODOO _ ALPHARETTA, Ga. _ Debbie and Roger Nelson, owners of Twin Oaks Farm in Alpharetta, have come up with an exotic sideline to boost their wildlife preservation efforts. On Saturday, they begin selling a new product they hope will scoop the fertilizer market _ ``Roo Doo.'' It's composted kangaroo manure, and it's not from Australia. (f)  INVEST-LUXURY-HOMES _ ATLANTA _ In a series of unusual transactions over the past 16 months, secretive investor Mohammad Sharif has purchased several luxury residences in northwest Atlanta _ including the lavish Lionheart estate _ and he's shopping for more. (f)  Commentary  MINTER-COLUMN _ INMAN, Ga. _ Those of us who grew up in the rural South like to think we are different from other people. I guess we are, although rural probably means the same in Iowa and Indiana as it does in Atlanta and Georgia. (The writer, former editor of the newspapers in the nearby city, reveals his opinion of ``Bridges of Madison County'' and the high moral tone of its aging adulterers later  in this piece.) (k)  For information or resends, please call the Cox News Service at 202-331-0900. </TEXT> </DOC> <DOC id=NYT_ENG_19950714.0101 type=story > <HEADLINE> COMMENTARY: `BRIDGES' MAKES THIS OLD POSSUM CROSS </HEADLINE> <DATELINE> INMAN, Ga. (BC-MINTER-COLUMN-COX) </DATELINE> <TEXT> "	"nyt_eng_199507.gz"
"28055"	"they"	"realize"	" Like all good undertakers, Charles Scott and Scotty Meredith understand the importance of a good impression. Indiscretion, they realize, is the final nail in the coffin of any mortician's career. </P> "	"nyt_eng_199507.gz"
