"pronoun"	"verb"	"context"	"filename"
"2044"	"they"	"realized"	" The report, they realized, could have been a dud like the one they had checked out three days earlier when they drove for six hours to Boise City, Okla., to inspect the bomb crater the town had built to mark the night 50 years ago when it had been bombed by a B-17 on a training flight. </P> "	"nyt_eng_199408.gz"
"2303"	"he"	"realized"	" But when Ernie Irvan started putting the fender to Gordon with 25 laps to go, Gordon showed that he had more than luck. Gordon could have tried to stay in front while Irvan was upsetting the air over Gordon's car. But that would only burn up his tires, he realized, so he let Irvan by and did the same thing to him. </P> "	"nyt_eng_199408.gz"
"2991"	"she"	"realized"	" The summons to the palace Wednesday, she realized, meant that she had finally been awarded custody of her slain sister's two children, Lisa Abequa, 6, and her brother, Sami, 3. </P> "	"nyt_eng_199408.gz"
"3563"	"I"	"realized"	" For awhile, to save others embarrassment, I'd say, ``Near Philadelphia,'' because that sounds gritty or ``Eastern seaboard,'' evoking sea gulls and rolling hills. I got away with that until a friend pointed out that perhaps the problem is not with others but with myself. Am I ashamed of my Delaware roots? After thinking about it, I realized, it's true. I have a Delaware inferiority complex. </P> "	"nyt_eng_199408.gz"
"3565"	"I"	"realized"	" For awhile, to save others embarrassment, I'd say, ``Near Philadelphia,'' because that sounds gritty or ``Eastern seaboard,'' evoking sea gulls and rolling hills. I got away with that until a friend pointed out that perhaps the problem is not with others but with myself. Am I ashamed of my Delaware roots? After thinking about it, I realized, it's true. I have a Delaware inferiority complex. </P> "	"nyt_eng_199408.gz"
"3643"	"I"	"realized"	" For awhile, to save others embarrassment, I'd say, ``Near Philadelphia,'' because that sounds gritty or ``Eastern seaboard,'' evoking sea gulls and rolling hills. I got away with that until a friend pointed out that perhaps the problem is not with others but with myself. Am I ashamed of my Delaware roots? After thinking about it, I realized, it's true. I have a Delaware inferiority complex. </P> "	"nyt_eng_199408.gz"
"3786"	"we"	"realized"	" Our own loss was serious enough, though, to send us up to 251st Street in search of bat-and-ball experiences. We headed there on the weekend because with the strike, we realized, cricket was, if not the only game in town, one of a sharply reduced number. We went because during America's recent flirtation with international soccer we were sensitized to other athletic traditions. We went because we are broad-minded. </P> "	"nyt_eng_199408.gz"
"3788"	"we"	"realized"	" Our own loss was serious enough, though, to send us up to 251st Street in search of bat-and-ball experiences. We headed there on the weekend because with the strike, we realized, cricket was, if not the only game in town, one of a sharply reduced number. We went because during America's recent flirtation with international soccer we were sensitized to other athletic traditions. We went because we are broad-minded. </P> "	"nyt_eng_199408.gz"
"10384"	"he"	"realized"	" Now, he realized, he had to commit himself to acting lessons if he was to pursue a career in the theater. And so in 1985, with his parents' blessing and financial help, he enrolled in the intensive Shakespeare and Company Acting Workshop conducted at Wellesley College. It was, he said, an invaluable ``boot camp for actors.'' </P> "	"nyt_eng_199412.gz"
"10905"	"I"	"realized"	" It is too small for all the ornaments I have collected through the years so I just strung a few, the lighter ones so as not to bend its branches too much. I rejected the strings of electric lights as probably too hot for its green leaves, using the old candles instead. It'll be too hot for them, too, I realized, but maybe we can light them for one chorus of ``Silent Night'' with buckets of sand and water handy. </P> "	"nyt_eng_199412.gz"
"10934"	"he"	"realized"	" The 12:47, he realized, was the train on which a firebomb ignited Wednesday when it pulled into the Fulton Street station on lower Broadway. </P> "	"nyt_eng_199412.gz"
"12806"	"they"	"realized"	" What was there about this polyglot suburb, they asked each other, that could be caricatured and brought to life as the New York Islanders' new mascot? For other places with sports franchises, they realized, local imagery would always be a plentiful natural resource. Miami: you think palm trees. San Francisco: the Golden Gate Bridge. Philadelphia: the Liberty Bell. But what universally recognized symbol could Long Island possibly boast? A traffic jam? A shopping mall? </P> "	"nyt_eng_199501.gz"
"13057"	"we"	"realized"	" ``Also, we realized, the more musical it became, the better it worked dramatically. ... The audience wanted more music, so now we revert to dialogue only when we need a drastic change of gear and only the spoken word will do. </P> "	"nyt_eng_199501.gz"
"16877"	"they"	"realized"	" In fact, for some local priests, the power of dispensation brought good news to the church coffers. They could, they realized, offer a catch: Allow parishioners to eat corned beef only if they buy it at the parish St. Patty's Day party. </P> "	"nyt_eng_199503.gz"
"19782"	"she"	"realized"	" Among them, she realized, were some who used to solicit sex from her in the Mission District's Capp Street corridor, where she was a street prostitute for years. </P> "	"nyt_eng_199504.gz"
"19979"	"I"	"realized"	" ``Then the longer I sat there, I realized, `Ahhhh . . . probably not.' '' </P> "	"nyt_eng_199504.gz"
"21775"	"I"	"realized"	" ``These kids get mistaken for being Chicano, in dress and style,'' said Spencer Nakasako, a filmmaker and third-generation Japanese American who works with Southeast Asian youths in the Tenderloin. ``You know, the baggy Ben Davis pants, the Puma tennis shoes and Pendleton shirts. When I first started working with them, I realized, Jesus, I don't know anything about these kids.'' </P> "	"nyt_eng_199505.gz"
"25080"	"I"	"realized"	" Clyde makes a big difference. Clyde was born and raised in Houston, played at the University of Houston (``When he was a sophomore, I realized, `the little kid has talent,''' his mother said Tuesday) and then went off to play in Portland. </P> "	"nyt_eng_199506.gz"
"25882"	"she"	"realized"	" Most of all, she realized, ``you have to start relinquishing control over parts of your life.'' </P> "	"nyt_eng_199506.gz"
"26956"	"he"	"realized"	" So Lou was having a bad year, his fans shrugged. But by spring of 1939 the Iron Horse went lame. His batting power waned. His once-slick fielding eroded. This, he realized, was the end. </P> "	"nyt_eng_199507.gz"
"29691"	"he"	"realized"	" In a sense, he realized, the entire planet Earth is simply one big cornfield, getting and losing heat and moisture _ making weather _ in ways that might be measured and predicted, if scientists were observant and their instruments precise. </P> "	"nyt_eng_199507.gz"
"29965"	"he"	"realized"	" McBride, 23, didn't have a band of his own for his first recording date, so he put together an all-star group that included Redman, Hargrove, Chestnut and, for one number, two of his heroes, the bassists Ray Brown and Milt Hinton. Getting stars into a studio was the easy part. When McBride listened to the CD, he realized, ``I've got to come up with a group that will live up to the album.'' </P> "	"nyt_eng_199508.gz"
"31261"	"I"	"realized"	" ``When it went up, I realized, Omigod, that's where she lived.'' </P> "	"nyt_eng_199508.gz"
"36094"	"I"	"realized"	" ``I started looking for historical parallels,'' said Clinton. ``I started going back into history and I read. And finally, I realized, thinking about the begining of the Progressive era...it's the same sort of deal.'' </P> "	"nyt_eng_199510.gz"
"37000"	"he"	"realized"	" After Rugar ran a few calculations of his own his skepticism melted away. It might indeed be possible, he realized, to build a ``magnetic resonance force microscope,'' or MRFM _ a device that would combine the atom-scale resolution of an atomic force microscope with the three-dimensional imaging capability of an MRI scanner. </P> "	"nyt_eng_199510.gz"
"37002"	"he"	"realized"	" After Rugar ran a few calculations of his own his skepticism melted away. It might indeed be possible, he realized, to build a ``magnetic resonance force microscope,'' or MRFM _ a device that would combine the atom-scale resolution of an atomic force microscope with the three-dimensional imaging capability of an MRI scanner. </P> "	"nyt_eng_199510.gz"
"37117"	"he"	"realized"	" After Rugar ran a few calculations of his own his skepticism melted away. It might indeed be possible, he realized, to build a ``magnetic resonance force microscope,'' or MRFM _ a device that would combine the atom-scale resolution of an atomic force microscope with the three-dimensional imaging capability of an MRI scanner. </P> "	"nyt_eng_199510.gz"
"37119"	"he"	"realized"	" After Rugar ran a few calculations of his own his skepticism melted away. It might indeed be possible, he realized, to build a ``magnetic resonance force microscope,'' or MRFM _ a device that would combine the atom-scale resolution of an atomic force microscope with the three-dimensional imaging capability of an MRI scanner. </P> "	"nyt_eng_199510.gz"
"37200"	"he"	"realized"	" After Rugar ran a few calculations of his own his skepticism melted away. It might indeed be possible, he realized, to build a ``magnetic resonance force microscope,'' or MRFM _ a device that would combine the atom-scale resolution of an atomic force microscope with the three-dimensional imaging capability of an MRI scanner. </P> "	"nyt_eng_199510.gz"
"37202"	"he"	"realized"	" After Rugar ran a few calculations of his own his skepticism melted away. It might indeed be possible, he realized, to build a ``magnetic resonance force microscope,'' or MRFM _ a device that would combine the atom-scale resolution of an atomic force microscope with the three-dimensional imaging capability of an MRI scanner. </P> "	"nyt_eng_199510.gz"
"37306"	"he"	"realized"	" After Rugar ran a few calculations of his own his skepticism melted away. It might indeed be possible, he realized, to build a ``magnetic resonance force microscope,'' or MRFM _ a device that would combine the atom-scale resolution of an atomic force microscope with the three-dimensional imaging capability of an MRI scanner. </P> "	"nyt_eng_199510.gz"
"37308"	"he"	"realized"	" After Rugar ran a few calculations of his own his skepticism melted away. It might indeed be possible, he realized, to build a ``magnetic resonance force microscope,'' or MRFM _ a device that would combine the atom-scale resolution of an atomic force microscope with the three-dimensional imaging capability of an MRI scanner. </P> "	"nyt_eng_199510.gz"
"37400"	"he"	"realized"	" After Rugar ran a few calculations of his own his skepticism melted away. It might indeed be possible, he realized, to build a ``magnetic resonance force microscope,'' or MRFM _ a device that would combine the atom-scale resolution of an atomic force microscope with the three-dimensional imaging capability of an MRI scanner. </P> "	"nyt_eng_199510.gz"
"37402"	"he"	"realized"	" After Rugar ran a few calculations of his own his skepticism melted away. It might indeed be possible, he realized, to build a ``magnetic resonance force microscope,'' or MRFM _ a device that would combine the atom-scale resolution of an atomic force microscope with the three-dimensional imaging capability of an MRI scanner. </P> "	"nyt_eng_199510.gz"
