"pronoun"	"verb"	"context"	"filename"
"4261"	"I"	"reason"	" As a runner, I often feel tempted to eat whatever I want. I exercise a lot, I reason, so shouldn't I be able to gobble down whatever I please? </P> "	"nyt_eng_199409.gz"
"5054"	"they"	"reason"	" Democrats would like to see him join the Clinton administration to help the president's wobbly foreign policy and national security team. Such an appointment, they reason, might also discourage him from challenging Clinton in 1996. </P> "	"nyt_eng_199409.gz"
"5055"	"they"	"reason"	" Democrats would like to see him join the Clinton administration to help the president's wobbly foreign policy and national security team. Such an appointment, they reason, might also discourage him from challenging Clinton in 1996. </P> "	"nyt_eng_199409.gz"
"11413"	"we"	"reason"	" And so to learn that Eliot was an anti-Semite becomes a kind of betrayal, as if we were taken in by fine phrases alone. The exhilaration of personal discovery one might have felt gives way to shame at having not picked up on some fundamental flaw that, on some level, we reason, must have been transmitted in the work. </P> "	"nyt_eng_199412.gz"
"13410"	"they"	"reason"	" But some economists now foresee an even greater toll from a slump in American exports to Mexico. Demand in Mexico, they reason, will be choked off both by the loss in the peso's purchasing power and by a likely slowdown in that country's economy. </P> "	"nyt_eng_199501.gz"
"17682"	"they"	"reason"	" But investors shouldn't assume the past will predict future performance. Regulators often frown on fund companies' touting a manager's track record to hawk a new fund. After all, they reason, investment goals and the way funds are managed can differ radically from one fund group to another. </P> "	"nyt_eng_199503.gz"
"19537"	"they"	"reason"	" That strategy is fine, say lawyers for Abdel Rahman and other defendants in the current trial. The more the conspiracy grows around Yousef, they reason, the less likely the jury is to believe that Abdel Rahman gave the orders. </P> "	"nyt_eng_199504.gz"
"20793"	"they"	"reason"	" Two of the treaty's original negotiators, George Bunn of the United States and Dr. Roland M. Timerbaev of the Soviet Union, who are attending the treaty conference here as observers for nongovernmental organizations, said Friday that they favored the 25-year renewal plan. Such extensions, they reason, would provide greater leverage for prodding nuclear weapons nations into more rapid disarmament and an agreement to end nuclear testing. </P> "	"nyt_eng_199504.gz"
"21588"	"they"	"reason"	" Weapons are a symbol of self-reliance for the militia members. Once people can protect themselves, they reason, they stop needing the government. </P> "	"nyt_eng_199505.gz"
"21589"	"they"	"reason"	" Weapons are a symbol of self-reliance for the militia members. Once people can protect themselves, they reason, they stop needing the government. </P> "	"nyt_eng_199505.gz"
"23332"	"they"	"reason"	" Coins last for three decades, while dollar bills last only a few years, lawmakers say. In the long run, they reason, the 8-cent cost of making a dollar coin turns out to be a bargain, even though it costs just 3.8 cents to print a dollar bill. </P> "	"nyt_eng_199505.gz"
