"pronoun"	"verb"	"context"	"filename"
"772"	"he"	"reasoned"	" In church the previous week, Fowler had broken the clasp on a bracelet adorned with a lobster charm. No one could have known this, he reasoned, unless they'd been sitting nearby. He has sought an injunction. </P> "	"nyt_eng_199407.gz"
"848"	"he"	"reasoned"	" Such a product, he reasoned, would easily appeal to baby-boomer parents, who would appreciate a mid-priced car seat that weighs 5 pounds rather than the customary 18. </P> "	"nyt_eng_199407.gz"
"2679"	"they"	"reasoned"	" Equally impressive, the company has been able to win over some former critics with its ability to both cut costs and offer ample prison services. Policy analysts and prisoner advocates worry that private contractors, like Corrections Corp., will run bare-bones prisons to maximize profits. After all, they reasoned, private operators are paid a flat per-day fee for each prisoner. </P> "	"nyt_eng_199408.gz"
"3518"	"he"	"reasoned"	" Marc Jacobs decided to work with MTV because its shopping shows would not, he reasoned, ever be boring. ``Shopping is supposed to be fun and frivolous and MTV will make sure that it's that,'' he said. </P> "	"nyt_eng_199408.gz"
"6377"	"they"	"reasoned"	" The dog, they reasoned, is the only eyewitness to the June 12 knife slayings of Simpson's ex-wife and her friend. </P> "	"nyt_eng_199410.gz"
"7183"	"he"	"reasoned"	" When Bob Stern co-authored the Political Reform Act twenty years ago, he didn't think the provisions for criminal penalties were that important -- prosecutors, he reasoned, probably wouldn't bring charges anyway. </P> "	"nyt_eng_199410.gz"
"7184"	"he"	"reasoned"	" When Bob Stern co-authored the Political Reform Act twenty years ago, he didn't think the provisions for criminal penalties were that important -- prosecutors, he reasoned, probably wouldn't bring charges anyway. </P> "	"nyt_eng_199410.gz"
"7345"	"he"	"reasoned"	" Wheat studied the district's voting patterns precinct by precinct. He didn't figure to win a majority in the primary. But if enough people entered the contest, the black vote would give him a plurality. The general election could be won, he reasoned, by trading on his party credentials in the very Democratic district. </P> "	"nyt_eng_199410.gz"
"8216"	"he"	"reasoned"	" Solving the math problem seemed simple to one school board member. If, in fact, girls do poorly in math classes with boys, he reasoned, why not put them in math classes for girls? </P> "	"nyt_eng_199411.gz"
"9365"	"they"	"reasoned"	" But with few good job prospects, the Landerses agreed to take one stab at qualifying for the Senior PGA Tour. He cashed in a $10,000 IRA and sold a few calves to give himself a stake. If nothing else, they reasoned, they could pay for their first vacation. </P> "	"nyt_eng_199411.gz"
