"pronoun"	"verb"	"context"	"filename"
"1010"	"he"	"reasons"	" Following the passage of the NAFTA treaty, Moore moves to Mexico. They make television sets down there, he reasons, now they can have a television show. It's called synergy. He asks one manager of an American-owned factory: ``How do you say in Spanish, please, `Direct me to where you dump the PCB's.''' One Mexican guide, touting the benefits of the new capitalism, admits that most workers earn very little. But, she explains helpfully, they have few expenses, no cars and no home mortgages. </P> "	"nyt_eng_199407.gz"
"3931"	"he"	"reasons"	" But one dark and stormy night -- are there any other kind in stories like this? -- a young woman freezes to death in the snow and her tiny daughter ambles toward the flickering warmth of McCann's hearth. Out of the unlikeliest circumstances, a family is born. No one wants the little girl. No one wants McCann. They are, he reasons, made for each other. </P> "	"nyt_eng_199409.gz"
"9545"	"it"	"reasons"	" It is the sort of issue the coalition finds no need to address. Why else, it reasons, would anyone be compelled to go to most of these games? </P> "	"nyt_eng_199411.gz"
"12523"	"he"	"reasons"	" Rodman does not know whether the Spurs are still trying to trade him. He has one year left on his contract beyond this season and would like a lucrative extension, but, he reasons, ``If I don't get one, then I'll retire.'' </P> "	"nyt_eng_199501.gz"
"13762"	"he"	"reasons"	" The nervous failures that scare investors away from Broadway, he reasons, are the five-character, one-set dramas. As part-owner of three off-Broadway theaters, he knows off-Broadway economics, but he wants to do a ``play-musical hybrid'' with a visual impact impossible in a small house. </P> "	"nyt_eng_199502.gz"
"15151"	"he"	"reasons"	" For one thing, he sees his drug bill as a ``a cornerstone of the libertarian political philosophy'' that got him elected. Let the forces of supply and demand take over, he reasons, and the price of drugs will ``drop like a shot duck.'' So will the rate of all that crime and violence associated with the drug trade. So will the cost of the war on drugs, $100 billion a year, by Schlafer's wild-eyed estimate. </P> "	"nyt_eng_199502.gz"
"16431"	"he"	"reasons"	" When at one point he abandons Catherine after her father threatens to disinherit her, Morris is surprised that she should be surprised. After all, he reasons, Catherine without money would not be the Catherine he finds so endearing. </P> "	"nyt_eng_199503.gz"
"19385"	"he"	"reasons"	" We think if a song is popular, it can't be artistically rich, he reasons, and if it's artistically rich, it shouldn't be popular. So when a phenomenon like the Beatles emerges, and quality and commerce commingle, we reach to comparisons with Mozart to try and do them justice. </P> "	"nyt_eng_199504.gz"
"22450"	"he"	"reasons"	" The series resumes Thursday night with Game 6 at the United Center in Chicago, yet Jackson plans to remain stubborn on the issue. Orlando, he reasons, has too many weapons to worry about Grant _ even now. </P> "	"nyt_eng_199505.gz"
"24914"	"he"	"reasons"	" Frank's co-worker Clair, a young black woman with whom he had an affair, was raped and murdered at a housing site several months before, and Frank worries, too, about the more prosaic dangers of radon, E. coli, hydrocarbons and black ice. Given such all-too-palpable perils, he reasons, why subject oneself to the further dangers of emotional hurt; better, he thinks, to avoid regret and disappointment by expecting and volunteering nothing. </P> "	"nyt_eng_199506.gz"
