"pronoun"	"verb"	"context"	"filename"
"628"	"you"	"recall"	" It looked for a while there, sir, as if we might have a short-term solution to the problem of Haitian refugees. Panama had offered to accept several thousand. But when the Panamanian government realized that it had misjudged the degree of opposition, it turned around and said it would not take refugees after all. It appears that our options are getting more and more narrow. I'm worried that for reasons either practical or political we may wind up invading Haiti. The last time we did this, you recall, we were there for nearly 20 years. Is there an answer to this problem? (Signed) Concerned </P> "	"nyt_eng_199407.gz"
"3246"	"they"	"recall"	" Everyone has a tale and most are eager to tell their's. When they left their homeland, they recall, they had no idea President Clinton late last week would reverse decades of policy toward Cuban refugees and re-route them to here. </P> "	"nyt_eng_199408.gz"
"9779"	"you"	"recall"	" Those hapless characters, you recall, are crushed in Hamlet's schemes for revenge, just as the curious theater critics who venture out of their seats and onto the stage in ``The Real Inspector Hound'' are suddenly implicated in the deadly complexities of an Agatha Christie mystery. The booby traps are everywhere. </P> "	"nyt_eng_199412.gz"
"14544"	"you"	"recall"	" For a better baseball analogy, consider Clinton as the Atlee Hammaker of this interminable game. Former Giant Hammaker, you recall, was known as a self-destructing Hamlet, and once gave up a grand slam in an All-Star game. </P> "	"nyt_eng_199502.gz"
"18069"	"you"	"recall"	" And then I think of okra. To be accurate, Harvey Bourland made me think of okra. He was the impresario, you recall, who launched the fig festival for the benefit of a steeple for little Sardis Methodist Church. He has thought again and now wants to combine it with an Okra Olympics for this year. </P> "	"nyt_eng_199503.gz"
"19143"	"you"	"recall"	" It was Titus Moody, you recall, who, when asked by Fred Allen what he thought of radio, replied, ``I don't hold with furniture that talks.'' </P> "	"nyt_eng_199504.gz"
"26444"	"you"	"recall"	" Last time, you recall, I promised to discuss presidential politics today but _ lucky, lucky you! _ it now seems we can skip it. I know, I know: You planned to skip it anyhow. I was hoping to skip it myself. Discussing presidential politics on a sweet day in June, as Lyndon Johnson once said of the jokes at the Gridiron Dinner, is ``about as much fun as throwing cow flops at the village idiot.'' </P> "	"nyt_eng_199506.gz"
"26711"	"you"	"recall"	" CBS is coming because it needs the Fiesta Bowl as badly as the Fiesta Bowl needs it. CBS, you recall, lost the NFL to Fox a year ago, one of the more spectacular screw-ups in TV history. It didn't happen on Kenin's watch, I should hasten to add. </P> "	"nyt_eng_199506.gz"
"27974"	"you"	"recall"	" These are the sons, you recall, whom Smith strapped into their car seats before pushing her Mazda Protege into a lake and then standing by as the boys sank into the water and drowned. </P> "	"nyt_eng_199507.gz"
"27975"	"you"	"recall"	" The article also verifies that it was perfectly consistent with Smith's character to murder her children and then concoct that story about their being kidnapped by a black carjacker. It was a story, you recall, that created a nationwide wave of sympathy, concern and fear, and it was nothing but a self-serving hoax fabricated by a vicious killer who was trying to cover her tracks. </P> "	"nyt_eng_199507.gz"
"35571"	"you"	"recall"	" It also wasn't long after the prosecution's hopelessly ill-advised decision to have Simpson try on the infamous ``bloody gloves'' in front of the jury. The gloves, you recall, did not appear to fit Simpson's massive hands. </P> "	"nyt_eng_199510.gz"
"35742"	"you"	"recall"	" Griffey, you recall, had tagged Wetteland for that ninth-inning, game-winning two-run shot back on Aug. 24. That comeback win started the M's incredible roll into October, and how juicy it would have been if Griffey's extra-innings' blast had held up. </P> "	"nyt_eng_199510.gz"
"36846"	"you"	"recall"	" If that Cromwellian cranium did ramble, the heart of Romanticist poet Percy Bysshe Shelley stayed at home, not far from his loving wife, Mary. It was she, you recall, who wrote ``Frankenstein.'' While in Italy, Shelley had the bad sense to go sailing without a personal flotation device and drowned in heavy seas. With great difficulty, a friend found the drowned remains of the poet and arranged for cremation. While Shelley's corpse was in the medium-rare stage, the friend reportedly reached in and took the heart. </P> "	"nyt_eng_199510.gz"
"39566"	"you"	"recall"	" Smith, you recall, thought well of free enterprise, but it never dawned on him that politicians ought to go into the business of selling themselves outright. </P> "	"nyt_eng_199511.gz"
"46544"	"I"	"recall"	" Nothing ever comes of the State of the Union address _ the only exception, I recall, being Lyndon Johnson's War on Poverty declaration, and you see where that's gotten us, lo these 30 years later. </P> "	"nyt_eng_199601.gz"
