"pronoun"	"verb"	"context"	"filename"
"530"	"he"	"recalled"	" Peters, a native of Wallingford, said he started collecting train paraphernalia shortly before he began working for the railroad at 29, but he had always had a love of trains. In second grade, he recalled, he would land in trouble for turning away from the class to watch the trains go by. </P> "	"nyt_eng_199407.gz"
"567"	"he"	"recalled"	" In addition, he recalled, the city was ordered by the state to shut down a landfill that had brought in about $6 million each year and to pick up the cost of closing it down. </P> "	"nyt_eng_199407.gz"
"1128"	"she"	"recalled"	" Aino told Sibelius's biographer Erik Tawaststjerna of the day in mid-September 1957 when the composer, then in his 92d year, drew her attention to a flock of migrating cranes and exclaimed, ``Look, there they come, the birds of my youth.'' One bird, she recalled, suddenly left the others and circled back, as if to say farewell, before rejoining the southward-bound formation. Two days later, the composer died of a cerebral hemorrhage. </P> "	"nyt_eng_199407.gz"
"1388"	"he"	"recalled"	" ``We need to find ways to speak to kids so they know it's `us,' not `them,''' Sorokin said. In one recent focus group session, he recalled, after a spot was shown to a group of children, ``an 8- or 9-year-old turned to the moderator and said, `This is an adult writing a commercial to hook me in.''' </P> "	"nyt_eng_199407.gz"
"1572"	"he"	"recalled"	" The CIA sent him to Moscow on assignment in 1992. It was great fun, he recalled, ``wheeling and dealing with the Russians, the Bulgarians, the Turks, and putting them all together and having a grand time.'' </P> "	"nyt_eng_199407.gz"
"1575"	"he"	"recalled"	" The CIA sent him to Moscow on assignment in 1992. It was great fun, he recalled, ``wheeling and dealing with the Russians, the Bulgarians, the Turks, and putting them all together and having a grand time.'' </P> "	"nyt_eng_199407.gz"
"1590"	"he"	"recalled"	" The CIA sent him to Moscow on assignment in 1992. It was great fun, he recalled, ``wheeling and dealing with the Russians, the Bulgarians, the Turks, and putting them all together and having a grand time.'' </P> "	"nyt_eng_199407.gz"
"1660"	"she"	"recalled"	" Long after the uproar over the Bernsteins' fund-raising party for the Black Panthers, she recalled, the family learned from FBI files that emerged during a court case that some protesters outside their apartment, who identified themselves as being from the Jewish Defense League, were actually FBI agents. </P> "	"nyt_eng_199407.gz"
"1794"	"she"	"recalled"	" Jerry Giorgio, the detective whose perseverance led to Saturday's arrest of 30-year-old Patrick McDowell on charges of killing Dr. Wood's husband, called her a year ago, she recalled, to say the case was still alive. </P> "	"nyt_eng_199407.gz"
"1988"	"he"	"recalled"	" Serajul Islam Chowdhury was in full voice at the University of Dhaka, lecturing on Shakespeare's tragedies, he recalled, when the rattle of gunfire on campus drowned his words. The 58-year-old professor closed the classroom window, then resumed his discourse. </P> "	"nyt_eng_199408.gz"
"2035"	"she"	"recalled"	" In Chestertown's municipal archives, she recalled, ``I started searching for a shot of myself, proof that I, too, made a small dent in town history -- my Brownie troop, my 4-H club -- and came away with a memory or two.'' She discovered photographs of herself at age 14, in a bathing suit. </P> "	"nyt_eng_199408.gz"
