"pronoun"	"verb"	"context"	"filename"
"411"	"he"	"recalls"	" And, he recalls, General Motors Corp. asked him to help design the marketing and sales concepts for its Saturn line. Eventually, Hendrick become the nation's largest Saturn dealer. </P> "	"nyt_eng_199407.gz"
"2218"	"he"	"recalls"	" In a happier moment, he recalls, ``Oh, I really used to enjoy calling in plays to the Redskins coaching staff on the white phone, and going over the bombing targets in Cambodia with Henry (Kissinger, Nixon's secretary of state) on the red phone -- at the same time.'' </P> "	"nyt_eng_199408.gz"
"3461"	"she"	"recalls"	" Arlene Mackovic hates the image. She hates the ``corporate coach'' nickname/label assigned to her husband. It once was a compliment, she recalls, not pleased with the irony. </P> "	"nyt_eng_199408.gz"
"4493"	"he"	"recalls"	" Pvt. Russell Davis, who serves under Puller, writes a book after the war because his three sons ask him to. In The Bloody Ridges, he recalls, ``I remember...an old sergeant with an ugly...face. Perhaps he was only 30 or so, but he looke d like a 100-year-old dwarf. </P> "	"nyt_eng_199409.gz"
"4820"	"he"	"recalls"	" But by the time he got to the north end of the mountain, he recalls, ``I literally got the shakes. I tried to get back to the vehicle as fast as I could. I could hardly move my legs. I was sick for two weeks.'' It was the worst case of dehydration he had ever had. </P> "	"nyt_eng_199409.gz"
"5810"	"he"	"recalls"	" That was only the third time, he recalls, he had missed twice in a game. The first time? It was here in 1989. </P> "	"nyt_eng_199410.gz"
"7568"	"he"	"recalls"	" Saline County Sheriff Wally George said his department gave up on someone claiming Corpening's body around the end of October 1984. His deputies put information about the corpse's weight, height, approximate age and dental charts on a statewide computer system. They got about a dozen responses, he recalls, but none panned out, so they buried the woman in a pauper's grave on Nov. 2, 1984. </P> "	"nyt_eng_199410.gz"
"9438"	"she"	"recalls"	" Madonna Ciccone's early years in Detroit, where, she recalls, ``I began my career in petulance and precociousness,'' are condensed to blurbs. Mom dead of cancer, father (Dean Stockwell, of all people) always there for her, stepmother a problem. High school: ``When I lost my virginity, I considered it a career move.'' </P> "	"nyt_eng_199411.gz"
"10146"	"he"	"recalls"	" Rusty Hudson remembers their eyes the best. They are always, he recalls, huge, black and ``tremendously powerful.'' </P> "	"nyt_eng_199412.gz"
"10148"	"he"	"recalls"	" Rusty Hudson remembers their eyes the best. They are always, he recalls, huge, black and ``tremendously powerful.'' </P> "	"nyt_eng_199412.gz"
"10296"	"he"	"recalls"	" Rusty Hudson remembers their eyes the best. They are always, he recalls, huge, black and ``tremendously powerful.'' </P> "	"nyt_eng_199412.gz"
"10298"	"he"	"recalls"	" Rusty Hudson remembers their eyes the best. They are always, he recalls, huge, black and ``tremendously powerful.'' </P> "	"nyt_eng_199412.gz"
