"pronoun"	"verb"	"context"	"filename"
"11347"	"I"	"reckon"	" ``If I move, I'll have to move, I reckon,'' said Brown, who came to Braselton 52 years ago to pick cotton for the Braselton clan that owned most of the town. The Braseltons sold 1,691 acres to Ms. Basinger and her backers in 1989. Brown now rents his unpainted, three-bedroom home from the Braselton/Basinger Limited Partnership for $60 a month, but suspects it will be torn down when the property is sold to a new owner. He doesn't know where he will live then. </P> "	"nyt_eng_199412.gz"
"11364"	"I"	"reckon"	" ``If I move, I'll have to move, I reckon,'' said Brown, who came to Braselton 52 years ago to pick cotton for the Braselton clan that owned most of the town. The Braseltons sold 1,691 acres to Ms. Basinger and her backers in 1989. Brown now rents his unpainted, three-bedroom home from the Braselton/Basinger Limited Partnership for $60 a month, but suspects it will be torn down when the property is sold to a new owner. He doesn't know where he will live then. </P> "	"nyt_eng_199412.gz"
"24989"	"I"	"reckon"	" At the end of the afternoon, one audience member summarized the day in a written question to the panel: ``The message, I reckon, for today, is to understand our customers' needs in a multi-ethnic, multi-segmented and a multi-whatever market, considering both a fast response to their needs but yet accommodating the pace and development in manufacturing, and understanding the fashion trends that are taking place. Can someone enlighten us by commenting on how we can achieve all this at a low price?'' </P> "	"nyt_eng_199506.gz"
"25236"	"they"	"reckon"	" In their minds, most fans understand it is business. In their hearts, they do not. Thus one of baseball's strengths has become its weakness. Hockey fans forgive deprivation, but the baseball fan does not. The ball player, they reckon, is lucky to have that life because it is a game everyone can play. </P> "	"nyt_eng_199506.gz"
"40035"	"they"	"reckon"	" Gloomiest there are the Chileans. They want to join the North American Free-Trade Agreement (NAFTA), and have been waiting for months _ with brave smiles but ever-shrinking hopes _ for President Bill Clinton to get fast-track authority from Congress to negotiate. Without it, they reckon, there is no point even trying. </P> "	"nyt_eng_199511.gz"
"40037"	"they"	"reckon"	" Gloomiest there are the Chileans. They want to join the North American Free-Trade Agreement (NAFTA), and have been waiting for months _ with brave smiles but ever-shrinking hopes _ for President Bill Clinton to get fast-track authority from Congress to negotiate. Without it, they reckon, there is no point even trying. </P> "	"nyt_eng_199511.gz"
"40039"	"they"	"reckon"	" Gloomiest there are the Chileans. They want to join the North American Free-Trade Agreement (NAFTA), and have been waiting for months _ with brave smiles but ever-shrinking hopes _ for President Bill Clinton to get fast-track authority from Congress to negotiate. Without it, they reckon, there is no point even trying. </P> "	"nyt_eng_199511.gz"
"40173"	"they"	"reckon"	" Gloomiest there are the Chileans. They want to join the North American Free-Trade Agreement (NAFTA), and have been waiting for months _ with brave smiles but ever-shrinking hopes _ for President Bill Clinton to get fast-track authority from Congress to negotiate. Without it, they reckon, there is no point even trying. </P> "	"nyt_eng_199511.gz"
"40177"	"they"	"reckon"	" Gloomiest there are the Chileans. They want to join the North American Free-Trade Agreement (NAFTA), and have been waiting for months _ with brave smiles but ever-shrinking hopes _ for President Bill Clinton to get fast-track authority from Congress to negotiate. Without it, they reckon, there is no point even trying. </P> "	"nyt_eng_199511.gz"
"40180"	"they"	"reckon"	" Gloomiest there are the Chileans. They want to join the North American Free-Trade Agreement (NAFTA), and have been waiting for months _ with brave smiles but ever-shrinking hopes _ for President Bill Clinton to get fast-track authority from Congress to negotiate. Without it, they reckon, there is no point even trying. </P> "	"nyt_eng_199511.gz"
"40184"	"they"	"reckon"	" Gloomiest there are the Chileans. They want to join the North American Free-Trade Agreement (NAFTA), and have been waiting for months _ with brave smiles but ever-shrinking hopes _ for President Bill Clinton to get fast-track authority from Congress to negotiate. Without it, they reckon, there is no point even trying. </P> "	"nyt_eng_199511.gz"
"40188"	"they"	"reckon"	" Gloomiest there are the Chileans. They want to join the North American Free-Trade Agreement (NAFTA), and have been waiting for months _ with brave smiles but ever-shrinking hopes _ for President Bill Clinton to get fast-track authority from Congress to negotiate. Without it, they reckon, there is no point even trying. </P> "	"nyt_eng_199511.gz"
"40318"	"they"	"reckon"	" Gloomiest there are the Chileans. They want to join the North American Free-Trade Agreement (NAFTA), and have been waiting for months _ with brave smiles but ever-shrinking hopes _ for President Bill Clinton to get fast-track authority from Congress to negotiate. Without it, they reckon, there is no point even trying. </P> "	"nyt_eng_199511.gz"
"40329"	"they"	"reckon"	" Gloomiest there are the Chileans. They want to join the North American Free-Trade Agreement (NAFTA), and have been waiting for months _ with brave smiles but ever-shrinking hopes _ for President Bill Clinton to get fast-track authority from Congress to negotiate. Without it, they reckon, there is no point even trying. </P> "	"nyt_eng_199511.gz"
"40332"	"they"	"reckon"	" Gloomiest there are the Chileans. They want to join the North American Free-Trade Agreement (NAFTA), and have been waiting for months _ with brave smiles but ever-shrinking hopes _ for President Bill Clinton to get fast-track authority from Congress to negotiate. Without it, they reckon, there is no point even trying. </P> "	"nyt_eng_199511.gz"
