"pronoun"	"verb"	"context"	"filename"
"779"	"he"	"reckons"	" Only then, he reckons, will the public understand the dangers ahead and will lawmakers find the courage to consider remedies that until now have been viewed as political poison. </P> "	"nyt_eng_199407.gz"
"17049"	"he"	"reckons"	" In the mid 1970s, only 15 percent of products made in Asia were delivered to another address in the region. By early next century, he reckons, more than half will be. </P> "	"nyt_eng_199503.gz"
"17050"	"he"	"reckons"	" In the mid 1970s, only 15 percent of products made in Asia were delivered to another address in the region. By early next century, he reckons, more than half will be. </P> "	"nyt_eng_199503.gz"
"17051"	"he"	"reckons"	" In the mid 1970s, only 15 percent of products made in Asia were delivered to another address in the region. By early next century, he reckons, more than half will be. </P> "	"nyt_eng_199503.gz"
"17267"	"he"	"reckons"	" In the mid 1970s, only 15 percent of products made in Asia were delivered to another address in the region. By early next century, he reckons, more than half will be. </P> "	"nyt_eng_199503.gz"
"17272"	"he"	"reckons"	" In the mid 1970s, only 15 percent of products made in Asia were delivered to another address in the region. By early next century, he reckons, more than half will be. </P> "	"nyt_eng_199503.gz"
"17273"	"he"	"reckons"	" In the mid 1970s, only 15 percent of products made in Asia were delivered to another address in the region. By early next century, he reckons, more than half will be. </P> "	"nyt_eng_199503.gz"
"44897"	"he"	"reckons"	" Somers said he's more interested in exploiting relationships among Treasuries with various maturities. Now, he reckons, selling notes with intermediate maturities for a mix of short- and long-term Treasuries makes sense. </P> "	"nyt_eng_199601.gz"
"45161"	"she"	"reckons"	" Although the fund is still at a mere $1.5 million, a little money can go a long way in networking. A few computers, a bank of modems, and some telecoms links can create access to the Internet for thousands of people. And these modest starts, she reckons, could inspire others. </P> "	"nyt_eng_199601.gz"
"45163"	"she"	"reckons"	" Although the fund is still at a mere $1.5 million, a little money can go a long way in networking. A few computers, a bank of modems, and some telecoms links can create access to the Internet for thousands of people. And these modest starts, she reckons, could inspire others. </P> "	"nyt_eng_199601.gz"
"45165"	"she"	"reckons"	" Although the fund is still at a mere $1.5 million, a little money can go a long way in networking. A few computers, a bank of modems, and some telecoms links can create access to the Internet for thousands of people. And these modest starts, she reckons, could inspire others. </P> "	"nyt_eng_199601.gz"
"45424"	"she"	"reckons"	" Although the fund is still at a mere $1.5 million, a little money can go a long way in networking. A few computers, a bank of modems, and some telecoms links can create access to the Internet for thousands of people. And these modest starts, she reckons, could inspire others. </P> "	"nyt_eng_199601.gz"
"45427"	"she"	"reckons"	" Although the fund is still at a mere $1.5 million, a little money can go a long way in networking. A few computers, a bank of modems, and some telecoms links can create access to the Internet for thousands of people. And these modest starts, she reckons, could inspire others. </P> "	"nyt_eng_199601.gz"
"45429"	"she"	"reckons"	" Although the fund is still at a mere $1.5 million, a little money can go a long way in networking. A few computers, a bank of modems, and some telecoms links can create access to the Internet for thousands of people. And these modest starts, she reckons, could inspire others. </P> "	"nyt_eng_199601.gz"
"51981"	"he"	"reckons"	" Firing a worker for organizing a union, he reckons, ``is an act of corporate terrorism, like throwing a bomb.'' The insecurity of workers reflects the ``moral vacuum'' in America. Stronger unions are what is needed to set the country right. </P> "	"nyt_eng_199603.gz"
"51982"	"he"	"reckons"	" Firing a worker for organizing a union, he reckons, ``is an act of corporate terrorism, like throwing a bomb.'' The insecurity of workers reflects the ``moral vacuum'' in America. Stronger unions are what is needed to set the country right. </P> "	"nyt_eng_199603.gz"
"51983"	"he"	"reckons"	" Firing a worker for organizing a union, he reckons, ``is an act of corporate terrorism, like throwing a bomb.'' The insecurity of workers reflects the ``moral vacuum'' in America. Stronger unions are what is needed to set the country right. </P> "	"nyt_eng_199603.gz"
"51984"	"he"	"reckons"	" Firing a worker for organizing a union, he reckons, ``is an act of corporate terrorism, like throwing a bomb.'' The insecurity of workers reflects the ``moral vacuum'' in America. Stronger unions are what is needed to set the country right. </P> "	"nyt_eng_199603.gz"
"52366"	"he"	"reckons"	" Firing a worker for organizing a union, he reckons, ``is an act of corporate terrorism, like throwing a bomb.'' The insecurity of workers reflects the ``moral vacuum'' in America. Stronger unions are what is needed to set the country right. </P> "	"nyt_eng_199603.gz"
