"pronoun"	"verb"	"context"	"filename"
"55849"	"she"	"reflects"	" The most gratifying moment, she reflects, came when the women gave her their approval at the screening in Seoul. While many in the audience were crying, the harmoni themselves were chatting and giggling throughout the movie. </P> "	"nyt_eng_199604.gz"
"82862"	"she"	"reflects"	" The thing about history, says Jeanne Jordan's voice-over in ``Troublesome Creek: a Midwestern,'' is that it's so silent. Enormous changes happen so gradually, she reflects, that you never notice them. In 1990, history spoke to Jordan's Iowa farm family in the voice of a bank. After 40 years of working the farm that had been in the family since 1867, and living from year to year, Russel and Mary Jane Jordan were told by the bank's new owners that theirs was considered ``a troubled account'' and that their farm was ``on the danger list.'' Unless the Jordans could pay off a $220,000 debt, the bank would remove its fiduciary life support systems and foreclose. </P> "	"nyt_eng_199701.gz"
"89969"	"he"	"reflects"	" Given the option of carousing or crunches, one suspects Divney has a fondness for the carousing, and not just because of that DWI he failed to talk his way out of while careering home from a blues club six years ago _ the arrest was a blessing, he reflects, because it got him into therapy as part of his plea bargain. He still sees his ``drink shrink,'' is still figuring out what _ according to his former wife, it's a rampant fear of mediocrity _ makes him tick. ``We learn to add, we learn to drive, why not learn more about ourselves, though I admit that can be dangerous,'' he says, letting his office chair substitute for the analyst's couch. </P> "	"nyt_eng_200104.gz"
"92375"	"he"	"reflects"	" It's no coincidence, he reflects, that Abraham Lincoln chose this spot to deliver a speech about the evils of slavery: ``He was making fundamental statements about the rights of man in front of a structure meant to last forever. You wouldn't do that in front of an aluminum and glass building.'' </P> "	"nyt_eng_200105.gz"
"105889"	"she"	"reflects"	" But in the end, she reflects, creating the romantic bedroom may be even simpler than that. It comes down, she says, to three key things: good heat, candles and a smile. </P> "	"nyt_eng_200202.gz"
"108119"	"she"	"reflects"	" Mary Jo Bane, who resigned in protest as an assistant secretary at Health and Human Services, declared at the time that the legislation ``poses serious dangers to poor children.'' Today, she reflects, ``My current take is that the country was enormously lucky that welfare reform was implemented in the midst of the best economic expansion this country has had in decades.'' Still, she said, ``It is possible that the dramatic change of 1996 made it possible to say, `OK, we've done that. We've brought responsibility back to the welfare system. Now, let's look at what kinds of supports we can provide.''' </P> "	"nyt_eng_200203.gz"
"108120"	"she"	"reflects"	" Mary Jo Bane, who resigned in protest as an assistant secretary at Health and Human Services, declared at the time that the legislation ``poses serious dangers to poor children.'' Today, she reflects, ``My current take is that the country was enormously lucky that welfare reform was implemented in the midst of the best economic expansion this country has had in decades.'' Still, she said, ``It is possible that the dramatic change of 1996 made it possible to say, `OK, we've done that. We've brought responsibility back to the welfare system. Now, let's look at what kinds of supports we can provide.''' </P> "	"nyt_eng_200203.gz"
"108157"	"she"	"reflects"	" Mary Jo Bane, who resigned in protest as an assistant secretary at Health and Human Services, declared at the time that the legislation ``poses serious dangers to poor children.'' Today, she reflects, ``My current take is that the country was enormously lucky that welfare reform was implemented in the midst of the best economic expansion this country has had in decades.'' Still, she said, ``It is possible that the dramatic change of 1996 made it possible to say, `OK, we've done that. We've brought responsibility back to the welfare system. Now, let's look at what kinds of supports we can provide.''' </P> "	"nyt_eng_200203.gz"
"108158"	"she"	"reflects"	" Mary Jo Bane, who resigned in protest as an assistant secretary at Health and Human Services, declared at the time that the legislation ``poses serious dangers to poor children.'' Today, she reflects, ``My current take is that the country was enormously lucky that welfare reform was implemented in the midst of the best economic expansion this country has had in decades.'' Still, she said, ``It is possible that the dramatic change of 1996 made it possible to say, `OK, we've done that. We've brought responsibility back to the welfare system. Now, let's look at what kinds of supports we can provide.''' </P> "	"nyt_eng_200203.gz"
"109838"	"he"	"reflects"	" ``Andy Richter Controls the Universe'' boasts perhaps some of the oddest but most inspired punch lines of any network sitcom currently in production. Of some loopy neighbors Andy encounters in a future episode, he reflects, ``Talking to them is like talking to a couple of bongs.'' Then there's the slightly surreal, ``I'm going to build a temple of shrimp in your honor -- in my stomach.'' And my favorite, a line so absurd and pointed, you have to love the show: ``Hey, did you guys hear -- that grief counselor killed herself!'' What you may not be able to control is your laughter. --- ``ANDY RICHTER CONTROLS THE UNIVERSE'' (3 stars) -What: The comic plays a working stiff with an active imagination. -Where: Fox. -When: 8:30 tonight. </P> </TEXT> </DOC> <DOC id=NYT_ENG_20020318.0166 type=story > <HEADLINE>     ROBERT CLARY: FROM HOLOCAUST TO `HOGAN'S HEROES' </HEADLINE> <DATELINE>  (BC-BOOK-REVIEW-HOGAN-HNS) </DATELINE> <TEXT> "	"nyt_eng_200203.gz"
