"pronoun"	"verb"	"context"	"filename"
"5455"	"she"	"refused"	" The proprietor, who said his name was Jim but declined to give his last name, said that she had been traveling alone, and that she had run out of money. When he offered to call her parents for her, she refused, he said. </P> "	"nyt_eng_199409.gz"
"24580"	"she"	"refused"	" She raided places like the Sonora market, confiscating the endangered animals. A brisk 50-year-old, with a shock of white hair, she refused, she said, the favors her agency usually delivered to the wealthy and powerful. </P> "	"nyt_eng_199506.gz"
"24582"	"she"	"refused"	" She raided places like the Sonora market, confiscating the endangered animals. A brisk 50-year-old, with a shock of white hair, she refused, she said, the favors her agency usually delivered to the wealthy and powerful. </P> "	"nyt_eng_199506.gz"
"24841"	"she"	"refused"	" She raided places like the Sonora market, confiscating the endangered animals. A brisk 50-year-old, with a shock of white hair, she refused, she said, the favors her agency usually delivered to the wealthy and powerful. </P> "	"nyt_eng_199506.gz"
"24843"	"she"	"refused"	" She raided places like the Sonora market, confiscating the endangered animals. A brisk 50-year-old, with a shock of white hair, she refused, she said, the favors her agency usually delivered to the wealthy and powerful. </P> "	"nyt_eng_199506.gz"
"40941"	"she"	"refused"	" To his surprise, she refused, explaining that she had already outlived her friends and relatives, and that 92 years on this planet was quite long enough anyway. </P> "	"nyt_eng_199511.gz"
"41030"	"she"	"refused"	" To his surprise, she refused, explaining that she had already outlived her friends and relatives, and that 92 years on this planet was quite long enough anyway. </P> "	"nyt_eng_199511.gz"
"46741"	"he"	"refused"	" So when Stewart was coming out of Colorado, most scouts and NFL teams recognized his vast store of athletic skills and asked him to play elsewhere. They even told him he could be a No. 1 pick if he agreed to try wide receiver. To his credit, he refused, a stubborn young man who had been a quarterback all his life and saw no reason to change. </P> "	"nyt_eng_199601.gz"
"55295"	"she"	"refused"	" To this day, Ruiz has never admitted publicly that she ran anything short of the prescribed route. When Boston Athletic Association director Will Cloney asked her to return her medal, she refused, steadfastly maintaining that she ran the full course. Presumably, she keeps it today in her West Palm Beach apartment. </P> "	"nyt_eng_199604.gz"
"57437"	"they"	"refused"	" Ms. Mucha insisted that the hotel decided to call in the Police Department. Terence Gallagher, a spokesman for the hotel, put it slightly differently. The Republican campaign committee ``did inform the Waldorf that the reporters were not invited,'' Gallagher said. ``They said they did not belong there.'' Hotel security guards asked the reporters to leave, they refused, and that's when the hotel called the police. The two were charged with trespassing, which carries a maximum fine of $250, a penalty of up to 15 days in jail, or both. </P> "	"nyt_eng_199604.gz"
"90661"	"she"	"refused"	" Not long after Chang came under the scrutiny of federal investigators, he has stated, Torricelli asked him to sign an affidavit stating that he had provided the gifts to Torricelli as loans and that they would be repaid. At Torricelli's request, Chang later asked his assistant, Yu, to sign a similar affidavit but like him, she refused, people involved in the case quoted him as saying. </P> "	"nyt_eng_200104.gz"
"92494"	"she"	"refused"	" Though Day lived to put faith into action, she refused, and her organization still refuses, to accept federal money to do it. </P> "	"nyt_eng_200105.gz"
"137138"	"he"	"refused"	" Jefferson was hardly hostile to religion. In his first Inaugural Address, he called God ``an overruling Providence, which by all its dispensations proves that it delights in the happiness of man here and his greater happiness hereafter.'' But when the Danbury Baptist Association, a Connecticut religious group, asked him to declare a national fast day, he refused, citing his conviction that ``religion is a matter which lies solely between man and his God,'' and his view of the First Amendment as ``building a wall of separation between church and state.'' </P> "	"nyt_eng_200303.gz"
"138719"	"he"	"refused"	" Moore gained notoriety by putting a Ten Commandments monument the size of a washing machine in the rotunda of the building that houses the Alabama Supreme Court. When two federal courts ordered it removed because it violated the separation of church and state, he refused, asserting ``state sovereignty.'' </P> "	"nyt_eng_200311.gz"
"154123"	"she"	"refused"	" The defense requested and received medical and counseling reports on Brakey from Air Force doctors who had treated her, Murphy said. But Brakey also sought counseling from a civilian -- Bier. When Harding's lawyers came for her records, she refused, and Brash threatened to jail her. </P> "	"nyt_eng_200506.gz"
"158185"	"he"	"refused"	" Washington -- When Sibel Edmonds was a young girl, her father, a physician in Iran, was asked to falsify an autopsy finding. Angrily, he refused, daring the authorities to retaliate. </P> "	"nyt_eng_200510.gz"
"159145"	"she"	"refused"	" She freaked out, she refused, Dar recalled. But later I told her, 'If you don't do it, Shuli can't do it.' So she agreed. </P> "	"nyt_eng_200510.gz"
"167001"	"she"	"refused"	" When Fatah activists asked her to sign up as part of an organizational drive, she refused, even though she headed a team of 300 female election workers for Fatah in January. </P> "	"nyt_eng_200605.gz"
"167057"	"she"	"refused"	" When Fatah activists asked her to sign up as part of an organizational drive, she refused, even though she headed a team of 300 female election workers for Fatah in January. </P> "	"nyt_eng_200605.gz"
"174304"	"he"	"refused"	" We strolled past the library, a small theater, and a large, well-stocked children's play area with a cut-away tractor cab that kids can pretend to drive. I tried to persuade my father to play the 18-wheeler video arcade game, thinking he could show off his driving skills. But being a technophobe, he refused, as scared of the game as I would be of driving a big rig. </P> "	"nyt_eng_200612.gz"
