"pronoun"	"verb"	"context"	"filename"
"1793"	"he"	"remarked"	" Before he left, he remarked, ``It's quite interesting how it's different now.'' </P> "	"nyt_eng_199407.gz"
"4143"	"she"	"remarked"	" At the drop of a scallion Mrs. McCartney cites statistics on animal carnage and on the global economic efficiency of vegetarianism. And she never misses an opportunity to underscore her beliefs. When she spotted some ceramic figurines of pigs and cows on Mr. Franey's windowsill, she remarked, ``Oh, those are cute, but they sure look different when they're murdered.'' </P> "	"nyt_eng_199409.gz"
"7402"	"she"	"remarked"	" In an interview in her Park Avenue apartment, she said her main criterion for creating a role was to make a character as inseparable from herself as possible. Nearly everything, she remarked, ``is hit or miss for a while, until it all comes together.'' She said her advice to young performers was: ``Act every time you get a chance. At least in the beginning, go wherever acting is.'' </P> "	"nyt_eng_199410.gz"
"8303"	"he"	"remarked"	" ``Frustrated with logistical and personnel deficiencies, he remarked, `At the close of the war, I intend to remove my insignia and wristwatch, but will continue to wear my short coat so that everyone can kiss my ass.' </P> "	"nyt_eng_199411.gz"
"10890"	"he"	"remarked"	" His background clearly had an impact on his days in Washington. In the 1930s, he was a Rhodes Scholar and used to recall the debates in Oxford over whether Britain should stop Hitler in his tracks when he was beginning to seize territory. The overwhelming sentiment, he remarked, was isolationist in Britain, and as a result only a few years later, Britain was forced to war to defend its island. The moral he drew was that if America stopped the North Vietnamese now, it would not have to fight a larger war later. </P> "	"nyt_eng_199412.gz"
"10893"	"he"	"remarked"	" His background clearly had an impact on his days in Washington. In the 1930s, he was a Rhodes Scholar and used to recall the debates in Oxford over whether Britain should stop Hitler in his tracks when he was beginning to seize territory. The overwhelming sentiment, he remarked, was isolationist in Britain, and as a result only a few years later, Britain was forced to war to defend its island. The moral he drew was that if America stopped the North Vietnamese now, it would not have to fight a larger war later. </P> "	"nyt_eng_199412.gz"
"11968"	"they"	"remarked"	" Some Democrats privately described Rowland's move as an astute political maneuver. They noted that if he wins, he will have taken an important step toward holding the line on the state budget. And if he loses, they remarked, it would provide him with an alibi for why he could not carry through on his promise to reduce the income tax. </P> "	"nyt_eng_199501.gz"
"15388"	"he"	"remarked"	" Regarding the possibility of regulatory stumbling blocks, he remarked, ``I feel confident that any such problems can be avoided through discussions.'' </P> "	"nyt_eng_199502.gz"
"28822"	"he"	"remarked"	" Another witness before the Senate committee, Curtis Cooper, a retired firearms bureau official who is black, said that Rightmyer had known ``racist tendencies.'' When Rightmyer learned that Cooper would be his superviser, Cooper said, he remarked, ``It would be a cold day in hell before he worked for a nigger.'' </P> "	"nyt_eng_199507.gz"
"32536"	"he"	"remarked"	" It was a tribute that Murphy did not accept as much of a compliment. In response, he remarked, ``I would say he was trying to dig at me.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950829.0484 type=story > <HEADLINE> FUHRMAN TAPES _ AND TV _ SKEW FOCUS OF SIMPSON TRIAL </HEADLINE> <DATELINE>  (BC-TV-SIMPSON-BOS) </DATELINE> <TEXT> "	"nyt_eng_199508.gz"
"35004"	"he"	"remarked"	" Cuomo _ whose show airs over the Sony Worldwide network Saturday mornings _ is aiming for a kinder, gentler talk radio. At one point during a recent show, he remarked, ``We're here talking, with an emphasis on the positive whenever possible.'' After talking with a particularly disagreeable caller, he politely said, ``That's a point of view, Rhoda. It's an intelligent point of view. Thank you for sharing it.'' </P> "	"nyt_eng_199509.gz"
