"pronoun"	"verb"	"context"	"filename"
"36"	"you"	"remember"	" Despite being German, which made him immediately suspect with the locals (Germany, you remember, once dropped a few bombs on Wimbledon, among other places), Becker and Centre Court were made for each other. Boris would win here forever, we once believed, and the applause never would die. </P> "	"nyt_eng_199407.gz"
"8744"	"I"	"remember"	" ``Phyllis and I took turns as keepers of the sacred lamp, smuggling it in and out of our houses like it was the Holy Grail. It had, I remember, pink and red geraniums painted on the bowl and the globe was frosted. We thought it quite the most beautiful object in the world. And it was our secret. </P> "	"nyt_eng_199411.gz"
"12183"	"I"	"remember"	" There was a weekend, I remember, when both our wives happened to be out of town. He called me to come over. We'd cook steaks, he said, drink cold beer and have a good ol' time, just like the old days. </P> "	"nyt_eng_199501.gz"
"13267"	"I"	"remember"	" ``Oh, I remember,'' he said. Asked to share his recollections, he just smiled, then shuffled away silently. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950127.0218 type=story > <HEADLINE> U.N. COMMANDER DEFENDS ROLE IN BOSNIA AND HERZEGOVINA </HEADLINE> <DATELINE> LONDON  (BC-YUGOSLAVIA-ROSE-NYT) </DATELINE> <TEXT> "	"nyt_eng_199501.gz"
"18696"	"you"	"remember"	" ``I once opened up for Sly and the Family Stone in Tacoma, Wash.,'' he said. ``Well, you remember, he had this deal with Bolivia.... The show was supposed to start at 8 and I swear to God, at a quarter to 8, there's a knock on the door. </P> "	"nyt_eng_199504.gz"
"20895"	"you"	"remember"	" ``When Harry talks, you remember,'' he said. </P> "	"nyt_eng_199505.gz"
"30187"	"you"	"remember"	" I. Call the Boston Celtics p.r. guy and find out how that big libel suit the Celts promised to file against the Wall Street Journal is coming along. The WSJ, you remember, published numerous unflattering allegations about Reggie Lewis' purported cocaine abuse back inMarch. With great panache, the C's vowed to sue, an notion, which, put charitably, would be a monstrous waste of shareholders' money. </P> "	"nyt_eng_199508.gz"
"30478"	"I"	"remember"	" ``Yes, I remember,'' Mrs. Stagneyeva said hoarsely, chastened. And then she described how the price of televisions had come down, with Korean sets on sale at the new Gigant store, a former movie theater. ``And you get a gift if you buy!'' she said. </P> "	"nyt_eng_199508.gz"
"75959"	"we"	"remember"	" Boy, we remember, Jimmy sure hates to wait. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19961026.0223 type=advis > <DATELINE>  (BC-LADN-SPORTS-BUDGET) </DATELINE> <TEXT> The Los Angeles Daily News plans to move the following sports stories for use by NYTimes News Service clients, AMs and PMs of October 27 and thereafter. For questions about stories, resends or inquiries, call Brad Nelson at the Daily News, (818) 713-3602.  FBC-USC (Pullman, Wash.) _ USC meets Washington State. 7:15 p.m. PDT.  By Scott Wolf. (Will move on the ``s'' sports file).  FBC-UCLA (Berkeley, Calif.) _ UCLA faces Cal.  By Jon Wilner. (Will move on the ``s'' sports file).  BOX-MODESTI-COLUMN (Los Angeles) _ Column on Michael Moorer, who is IBF heavyweight champion, but he is fighting on the undercard of the Nov. 9 bout between Evander Holyfield and  Mike Tyson in Las Vegas.  By Kevin Modesti. (Will move on the ``s'' sports file).  HKN-KINGS (Inglewood, Calif.) _ Calgary at Kings, 7:30 p.m. PDT.  By Tim Trepany. (Will move on the ``s'' sports file).  BKN-LAKERS (Los Angeles) _ A look at Shaquille O'Neal's free-throw shooting problems.  By Marc Stein. (Will move on the ``s'' sports file).  FBC-NORTHRIDGE(Sacramento) _ Cal State Northridge meets Sacramento State. 6 p.m. PDT.  By Kevin Acee. (Will move on the ``s'' sports file). </TEXT> </DOC> <DOC id=NYT_ENG_19961026.0224 type=story > <HEADLINE> KERRY LOSES MOMENTUM IN POLL </HEADLINE> <DATELINE>  (BC-KERRY-WELD-BOS) </DATELINE> <TEXT> "	"nyt_eng_199610.gz"
"79081"	"you"	"remember"	" Buchanan, you remember, had threatened his girlfriend with a shotgun when police were called. </P> "	"nyt_eng_199611.gz"
"79302"	"you"	"remember"	" Buchanan, you remember, had threatened his girlfriend with a shotgun when police were called. </P> "	"nyt_eng_199611.gz"
