"pronoun"	"verb"	"context"	"filename"
"10687"	"she"	"remembered"	" Nona Thorp said the doll was much like the old one, ragged and worn and lumpy. But it had, she remembered, red and green plaid skin, and for eyes, two bright, yellow plastic buttons. </P> "	"nyt_eng_199412.gz"
"11462"	"she"	"remembered"	" The van had no side-panel windows, she remembered, but it was only 8:10 a.m., and there was no one around anyway. The man raped her, the police said, and then threw her, battered and bruised, back onto the street. </P> "	"nyt_eng_199501.gz"
"28741"	"they"	"remembered"	" Last year, there was a big stink because the producers and staff of ``Home Improvement'' forgot to submit Tim Allen for consideration. This year, they remembered, but he wasn't nominated. Neither was the show or Patricia Richardson, who last year was nominated but did not win the best comedy actress Emmy. </P> "	"nyt_eng_199507.gz"
"32530"	"he"	"remembered"	" That faked spike, he remembered, ``was the first time I'd ever seen anything like that.'' </P> "	"nyt_eng_199508.gz"
"34602"	"she"	"remembered"	" That was in the 1950s, when televisions came in heavy wooden cabinets. Struthers used to hope for the TV to break down, she remembered, because then the repairman would remove the electronic innards and leave the cabinet. Then she could climb inside and perform puppet shows interspersed with ``commercials'' of her own invention. </P> "	"nyt_eng_199509.gz"
"38791"	"he"	"remembered"	" Rabin was born in Jerusalem on March 1, 1922. His father, Nehemiah, who came from a poor family in Ukraine, had escaped from Czarist Russia and went to Palestine by way of Chicago and St. Louis. In Palestine, he became a trade union organizer in the labor movement of David Ben-Gurion. His mother, Rosa Cohen, born to a well-to-do family in Gomel, Russia, was active in politics and became the dominant influence on the young Rabin. Theirs was an austere, Spartan home where young Yitzhak was taught that public service was a duty and where, he remembered, ``It was a disgrace to speak about money.'' </P> "	"nyt_eng_199511.gz"
"38810"	"he"	"remembered"	" Rabin was born in Jerusalem on March 1, 1922. His father, Nehemiah, who came from a poor family in Ukraine, had escaped from Czarist Russia and gone to Palestine by way of Chicago and St. Louis. In Palestine, he became a trade union organizer in the labor movement of David Ben-Gurion. His mother, Rosa Cohen, born to a well-to-do family in Gomel, Russia, was active in politics and became the dominant influence on the young Rabin. Theirs was a home where young Yitzhak was taught that public service was a duty and where, he remembered, ``It was a disgrace to speak about money.'' </P> "	"nyt_eng_199511.gz"
"38814"	"he"	"remembered"	" Rabin was born in Jerusalem on March 1, 1922. His father, Nehemiah, who came from a poor family in Ukraine, had escaped from Czarist Russia and gone to Palestine by way of Chicago and St. Louis. In Palestine, he became a trade union organizer in the labor movement of David Ben-Gurion. His mother, Rosa Cohen, born to a well-to-do family in Gomel, Russia, was active in politics and became the dominant influence on the young Rabin. Theirs was a home where young Yitzhak was taught that public service was a duty and where, he remembered, ``It was a disgrace to speak about money.'' </P> "	"nyt_eng_199511.gz"
"41111"	"she"	"remembered"	" Electricity was rationed. That often meant he could not read at night, one young man said. And when Lijlana Mantrak brought her newborn son home from the hospital last winter, it was 60 degrees in her apartment, she remembered, as she pushed him in a stroller bundled against the bitter cold. </P> "	"nyt_eng_199511.gz"
"54364"	"he"	"remembered"	" Froberg said Wanda had a ``very impressive library'' in her home and she shared some of her son's political views. She was very concerned about the environment and about the corporate and political forces of the world pushing aside the poor. She had articulated some of the views, he remembered, in letters to the editor at a local newspaper. </P> "	"nyt_eng_199604.gz"
"57217"	"I"	"remembered"	" It's April, I remembered, time of acceptance and rejection, of promises, disappointments and a few well-met dreams passed out on silver trays. </P> "	"nyt_eng_199604.gz"
"60522"	"he"	"remembered"	" She quickly grasps an issue and encourages consensus, said Jean Snell, who was hired as school superintendent in Colby while Frahm served on the school board. Also, he remembered, she let administrators do their jobs. </P> "	"nyt_eng_199605.gz"
"63976"	"she"	"remembered"	" Her childhood friend Susan, she remembered, had been in just that posture when she was brutally murdered in 1969. </P> "	"nyt_eng_199607.gz"
"64042"	"she"	"remembered"	" Her childhood friend Susan, she remembered, had been in just that posture when she was brutally murdered in 1969. </P> "	"nyt_eng_199607.gz"
"70372"	"he"	"remembered"	" At that moment, he remembered, he thought to himself, ``You know, Lord, it's amazing how powerful you are.'' </P> "	"nyt_eng_199609.gz"
"75337"	"he"	"remembered"	" When he returned to the Valley two years ago, Beers interviewed a boyhood acquaintance whose father had worked with his father at Lockheed. The boy, he remembered, had been something of a marvel with gadgets. His father had given him ``kits with buzzers and switches and relays and lightbulbs that could be hooked up thousands of ways.'' The boy's name was Steve Wozniak, and he would go on to invent the Apple computer. </P> "	"nyt_eng_199610.gz"
"84042"	"he"	"remembered"	" Some dancers find Robbins a forbidding taskmaster. But when he danced for Robbins, Frohlich developed a rapport with him. Frohlich admires both Balanchine and Robbins. Nevertheless, he remembered, ``I somehow felt I could go up to Jerry and talk to him more easily than I could with Mr. B.'' </P> "	"nyt_eng_199701.gz"
"92599"	"he"	"remembered"	" When they came out, he remembered, ``our legs were covered with leeches -- bloodsuckers. Tom was hopping around faster than a rabbit to get them off.'' ``Tom was very nice. Very kind. Very ambitious. He would speak to everyone. He wasn't snobbish at all,'' said Gray. ``He would run for different offices in junior high and high school. I think he had the political inclination even back then.'' </P> "	"nyt_eng_200106.gz"
"95235"	"she"	"remembered"	" Seele is optimistic. She said that attitudes about homosexuality in the religious community are changing, slowly but surely. Just last month, she remembered, her pastor at Grace Baptist Church in Mount Vernon, N.Y., talked about inclusiveness. It was the first time she'd heard such a sermon in her 12 years at the church. </P> "	"nyt_eng_200107.gz"
"112959"	"she"	"remembered"	" The bride wore white and carried a flowing bouquet _ and a passport. It was Aug. 6, 2000, and Allison Hodgkins was getting married on the Mount of Olives in Jerusalem. There would be an Israeli checkpoint on her way to the church, she remembered, so Hodgkins grabbed her American passport as she left home in her wedding gown. Sure enough, she was stopped, her papers checked. </P> "	"nyt_eng_200204.gz"
"114204"	"she"	"remembered"	" Then came her boyfriend of two years. He refused to comment much on it, she remembered, saying that it would soon go away. She took that as a bad sign. Her colleagues at Provant Inc., a Boston-based human resources consulting firm, were stunned, then supportive, though she often caught them staring. </P> "	"nyt_eng_200204.gz"
"114992"	"she"	"remembered"	" It was, she remembered, during the January 1999 rebel invasion of Freetown that she was kidnapped. She was laundering clothes in her neighborhood, Calaba Town in eastern Freetown, when rebels arrived firing shots, in an operation that, she would learn later, they had called ``Spare No Living Thing.'' She hid under a bed. A cousin was shot dead. They found her and handed her over to their leader, a certain CO Scorpion. </P> "	"nyt_eng_200205.gz"
"118230"	"he"	"remembered"	" ``I lived in a tent at Scorpion Bay, Mexico, with Sean years ago,'' said Sam George, the editor of Surfer magazine. Like most young, devoted surfers, George would head to Baja California for weeks at a time in the hopes of having just one perfect day of surf. Collins, he remembered, had a solar-powered fax machine in the middle of the desert. ``That was just unbelievable technology,'' he said. </P> "	"nyt_eng_200206.gz"
"118732"	"he"	"remembered"	" About two years earlier, he remembered, researchers testing artificial blood found that trauma patients suffered severe side effects when given ``free hemoglobin'' _ hemoglobin not contained within cells. Nearly half died. </P> "	"nyt_eng_200206.gz"
"118736"	"he"	"remembered"	" About two years earlier, he remembered, researchers testing artificial blood found that trauma patients suffered severe side effects when given ``free hemoglobin'' _ hemoglobin not contained within cells. Nearly half died. </P> "	"nyt_eng_200206.gz"
"118739"	"he"	"remembered"	" About two years earlier, he remembered, researchers testing artificial blood found that trauma patients suffered severe side effects when given ``free hemoglobin'' _ hemoglobin not contained within cells. Nearly half died. </P> "	"nyt_eng_200206.gz"
"118742"	"he"	"remembered"	" About two years earlier, he remembered, researchers testing artificial blood found that trauma patients suffered severe side effects when given ``free hemoglobin'' _ hemoglobin not contained within cells. Nearly half died. </P> "	"nyt_eng_200206.gz"
"118797"	"he"	"remembered"	" About two years earlier, he remembered, researchers testing artificial blood found that trauma patients suffered severe side effects when given ``free hemoglobin'' _ hemoglobin not contained within cells. Nearly half died. </P> "	"nyt_eng_200206.gz"
