"pronoun"	"verb"	"context"	"filename"
"2083"	"he"	"remembers"	" Ms. Spiridonova was just one of a long series of friends and encounters, he remembers, though they saw a lot of each other. He went with her to the medical institute where she was studying to become a doctor. </P> "	"nyt_eng_199408.gz"
"4325"	"he"	"remembers"	" The message was clear, he remembers, from the moment he walked in the door. Even in the dark days, when just getting the Cowboys back to respectability seemed a monumental undertaking, Troy Aikman understood that life in Dallas was going to be a little different. </P> "	"nyt_eng_199409.gz"
"14023"	"he"	"remembers"	" His boss looked him over and thanked him for wearing a suit but pointedly asked: ``Why did you wear your bedroom slippers to work?'' The boss, he remembers, told him to take the rest of the day off and shop for a pair of wingtips. </P> "	"nyt_eng_199502.gz"
"15947"	"he"	"remembers"	" ``When a colonel and I walk into a general's office in biking clothes and pull a satellite out of a saddle bag, he remembers,'' said Rick Fleeter, president and founder of Aero Astro, a seven-year-old privately held company in Herndon, Va. </P> "	"nyt_eng_199503.gz"
"17759"	"he"	"remembers"	" And, of course, he grew up a sailor. At age 6, he remembers, mother Jean and father Warren, a boatbuilder in Fairfield, let him sail a dinghy around the waterfront, the stern tied by a rope to shore in case he got into trouble. </P> "	"nyt_eng_199503.gz"
"23841"	"he"	"remembers"	" Returning from work one evening, Orton bumped into Larson on her way out to the Plough &AMP; Stars pub, in Cambridge. She came home late that night, he remembers, speaking with a thick Irish accent and muttering about the CIA. Orton bought her a bus ticket back to Jackson. Larson never made it. </P> "	"nyt_eng_199506.gz"
"29809"	"she"	"remembers"	" By then people began showing signs of radiation sickness, she remembers, bleeding gums, hair falling out, rattlesnake skin. </P> "	"nyt_eng_199508.gz"
"29836"	"she"	"remembers"	" By then people began showing signs of radiation sickness, she remembers, bleeding gums, hair falling out, rattlesnake skin. </P> "	"nyt_eng_199508.gz"
"31301"	"he"	"remembers"	" Even then, he remembers, he had to squint. </P> "	"nyt_eng_199508.gz"
"34903"	"she"	"remembers"	" At the nursing home, she remembers, ``It smelled of urine... One time a mad lady pushed her down and she broke her hip. We went to visit her, and she was on the ground, crying.'' </P> "	"nyt_eng_199509.gz"
"35117"	"she"	"remembers"	" At the nursing home, she remembers, ``It smelled of urine... One time a mad lady pushed her down and she broke her hip. We went to visit her, and she was on the ground, crying.'' </P> "	"nyt_eng_199509.gz"
"47273"	"she"	"remembers"	" Mold on food was simply scraped off before the food was served, she remembers, and butter might be left uncovered in the refrigerator and allowed to pick up off flavors. ``From that,'' Reichl recalls, ``I developed this defense of having to watch out for food.'' </P> "	"nyt_eng_199601.gz"
"47697"	"she"	"remembers"	" When grown-ups tried to caution her about the dangers of drugs, she remembers, ``I thought it was a joke _ reefer madness. We laughed our heads off about it. We knew different.'' </P> "	"nyt_eng_199602.gz"
"47745"	"she"	"remembers"	" When grown-ups tried to caution her about the dangers of drugs, she remembers, ``I thought it was a joke _ reefer madness. We laughed our heads off about it. We knew different.'' </P> "	"nyt_eng_199602.gz"
"56791"	"he"	"remembers"	" Kruytbosch handled a close finish smoothly enough (the winner, he remembers, was a horse named Big John's Wallet). So the regular announcer told him, ``As long as it keeps raining, you keep calling 'em.'' </P> "	"nyt_eng_199604.gz"
"60039"	"he"	"remembers"	" But Godinger's stories cut the deepest. In 1944, when he was still a teen-ager, he was deported to Auschwitz. In one of his eeriest recollections, he describes peering out the window of the train bound for the death camp to see Polish farmers warning the passengers of their imminent deaths by drawing their fingers across their throats. During his physical examination by the notorious Josef Mengele, he remembers, he tried to make himself look as big and vigorous as possible to be chosen to survive. A building at Auschwitz that he believed to be a bread factory, he recalls, was actually the crematorium. </P> "	"nyt_eng_199605.gz"
"60111"	"he"	"remembers"	" But Godinger's stories cut the deepest. In 1944, when he was still a teen-ager, he was deported to Auschwitz. In one of his eeriest recollections, he describes peering out the window of the train bound for the death camp to see Polish farmers warning the passengers of their imminent deaths by drawing their fingers across their throats. During his physical examination by the notorious Josef Mengele, he remembers, he tried to make himself look as big and vigorous as possible to be chosen to survive. A building at Auschwitz that he believed to be a bread factory, he recalls, was actually the crematorium. </P> "	"nyt_eng_199605.gz"
"65382"	"he"	"remembers"	" Lenny Wilkens wanted to represent his country. That's what you did in 1960, he remembers, long before Nike and its corporate colleagues started tacking dollar signs onto the deal. To make the dream happen, the Providence College point guard _ an All-America selection and Most Valuable Player of the National Invitational Tournament (when the NIT still meant something) _ accepted an invitation to play in the East-West All-Star game, where he had been promised that the best players would be leading candidates to play for the U.S. in Rome. </P> "	"nyt_eng_199607.gz"
"69376"	"he"	"remembers"	" With his long beard and gray hair pulled back in a ponytail, Pat Gutkoska still looks like the anti-war activist he was during the 1968 Democratic convention in Chicago. That was the one, he remembers, when the cops beat up the demonstrators. </P> "	"nyt_eng_199608.gz"
"69603"	"he"	"remembers"	" He broke his neck while diving into a pool and was left paralyzed from the neck down. In the hospital, he got up the nerve, although, he remembers, he had a new fear: ``that Kim would think I was asking her just because I needed somebody to take care of me.'' </P> "	"nyt_eng_199608.gz"
"70034"	"he"	"remembers"	" He broke his neck while diving into a pool and was left paralyzed from the neck down. In the hospital, he got up the nerve, although, he remembers, he had a new fear: ``that Kim would think I was asking her just because I needed somebody to take care of me.'' </P> "	"nyt_eng_199609.gz"
"73562"	"he"	"remembers"	" He recalls how good his mother was at fooling local authorities into believing that she had changed her ways, only to return to the drugs and her abusive nature once the kids were back in the house. On his first return home, he remembers, he was hit in the head with a cookie jar. </P> "	"nyt_eng_199610.gz"
"75847"	"she"	"remembers"	" Noriko Koyama, a 41-year-old who lost in her parliamentary race on Sunday, knows well the burdens that women who are politicians face in the family as well as in public. A stay-at-home wife who used to teach the piano, she battled with her husband when she first talked about running for office, in a local election. Sometimes, she remembers, they argued until dawn. </P> "	"nyt_eng_199610.gz"
"75972"	"she"	"remembers"	" Noriko Koyama, a 41-year-old who lost in her parliamentary race on Sunday, knows well the burdens that women who are politicians face in the family as well as in public. A stay-at-home wife who used to teach the piano, she battled with her husband when she first talked about running for office, in a local election. Sometimes, she remembers, they argued until dawn. </P> "	"nyt_eng_199610.gz"
"85908"	"he"	"remembers"	" During his research, Rymer discovered that both sides of his family had histories of mental illness. While speaking to a social worker, he remembers, ``they heard my name and said, `Are you related to so-and-so Rymer?''' And when he told one of his maternal uncles about his film, ``he said, `Well, you know about Cousin Vince.' Apparently, it was a dark family secret.'' </P> "	"nyt_eng_199702.gz"
