"pronoun"	"verb"	"context"	"filename"
"75"	"he"	"replied"	" Asked if he would have a drink, he replied, ``Sure.'' </P> "	"nyt_eng_199407.gz"
"138"	"he"	"replied"	" High officials of the two non-Communist parties in the governing coalition reported threats and pressure from People's Party followers. Voicing opposition puts one's life at risk, said Say Bory, the secretary of state for relations with parliament. Asked whether he meant his political life, he replied, ``No.'' </P> "	"nyt_eng_199407.gz"
"429"	"he"	"replied"	" Naqvi said little during the hearing. When it was over and Judge Green asked one final time whether he was fully aware of the consequences of the plea, he replied, ``Your honor, I have understood everything, and thank you very much.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19940708.0290 type=story > <HEADLINE> O.J. SIMPSON WILL STAND TRIAL, JUDGE RULES </HEADLINE> <DATELINE> LOS ANGELES  (BC-SIMPSON-HEARINGS-550(2takes)-NYT) </DATELINE> <TEXT> "	"nyt_eng_199407.gz"
"599"	"she"	"replied"	" As Strom later told it, when he placed a collect call to his wife after the game and the operator asked if she would accept the charges, she replied, ``You bet I will,'' and then proceeded to give him a tongue-lashing that all but upstaged the hefty fine imposed by the league. </P> "	"nyt_eng_199407.gz"
"1081"	"she"	"replied"	" When Mrs. Clinton was asked if the White House would insist on universal coverage in any bill, she replied, ``Well, I think that if you don't insist on it, at least being phased in at some point, you will make the problem worse.'' </P> "	"nyt_eng_199407.gz"
"1229"	"he"	"replied"	" Asked what it was about the portrayal of agencies in ``Bewitched'' that has served as a recruiting tool, he replied, ``Everybody feels, `I can do as good a job as Darrin; maybe this is a job for me.''' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19940721.0402 type=story > <DATELINE>  (BC-EXECS-NYT) </DATELINE> <TEXT> "	"nyt_eng_199407.gz"
"1416"	"he"	"replied"	" -- After opening with a 5-over 75, Nick Faldo played the rest of the tournament 10-under and finished at 5-under 275. Asked what he would do for a living other than golf, he replied, ``Window cleaner maybe? My two goals are to be my own boss and have a job outdoors.'' </P> "	"nyt_eng_199407.gz"
"1942"	"he"	"replied"	" But, asked when that would be, he replied, ``That's up to the Chiefs to decide.'' </P> "	"nyt_eng_199408.gz"
"2085"	"he"	"replied"	" There was only one ``substantive'' contact, he replied, apparently reading his answer. </P> "	"nyt_eng_199408.gz"
"2109"	"he"	"replied"	" The first to face execution was Clines. Asked if he had any last words, he replied, ``Nope.'' </P> "	"nyt_eng_199408.gz"
"2952"	"he"	"replied"	" When Brooks was told of the comment, he replied, ``That seems like a gratuitous, unknowledgeable comment. Beaumont's a lovely city. If he came down there, he'd like it.'' </P> "	"nyt_eng_199408.gz"
"2963"	"he"	"replied"	" When Brooks was told of the comment, he replied, ``That seems like a gratuitous, unknowledgeable comment. Beaumont's a lovely city. If he came down there, he'd like it.'' </P> "	"nyt_eng_199408.gz"
"3324"	"he"	"replied"	" When asked why the United States does not simply let more fuel into the country, he replied, ``If you lift the embargo, you will never get the military out.'' </P> "	"nyt_eng_199408.gz"
"3331"	"he"	"replied"	" But when Chafee was asked Tuesday if that approach satisfied him, he replied, ``It doesn't, because we spent a lot of time ironing out very fundamental differences'' during the mainstream group's 60 hours of discussions. He said he could not accept seeing its plan ``radically altered.'' ``We haven't quite said, `Take it or leave it,' '' he said, ``because that would sound very demanding.'' </P> "	"nyt_eng_199408.gz"
"4184"	"he"	"replied"	" We know so little about him, beyond the little snippets revealed in magazine articles, and that's exactly how Sampras likes it. When someone asked Pete if he feared for his life after the Monica Seles incident forced increased security on the tour, he replied, ``I feel safe all over the world. No personality. Nobody cares.'' </P> "	"nyt_eng_199409.gz"
"4214"	"he"	"replied"	" The president added that ``certain Western'' countries did not want attention drawn to Bosnia's plight by a papal visit. He said the United States, Germany, Scandinavia, the Netherlands, Belgium, Italy and Spain were not among those countries. Asked by a journalist if his criticism was aimed at Britain and France, he replied, ``I believe I have been clear enough''. </P> "	"nyt_eng_199409.gz"
"4822"	"he"	"replied"	" Asked how he feels about homosexuality, Quayle replied, ``That's their choice.'' Asked how he feels about women having abortions, he replied, ``That's their choice.'' </P> "	"nyt_eng_199409.gz"
"4857"	"he"	"replied"	" ``Make 'em the 52nd state,'' he said. Asked what the 51st state was, he replied, ``Puerto Rico.'' </P> "	"nyt_eng_199409.gz"
"5594"	"he"	"replied"	" When the hardly humble promoter was asked about McCall's earnings, he replied, ``Oliver made a lot of money.'' But judging by the complaints of Larry Holmes, Tim Witherspoon and others about their finances with King through the years, it would be wise for McCall to hire a trusted tax accountant to audit whatever ``a lot of money'' means. </P> "	"nyt_eng_199409.gz"
"6012"	"he"	"replied"	" When asked at his news conference about his abandonment of earlier economic principles, he replied, in effect, that it was necessary to get in step with those who can help. </P> "	"nyt_eng_199410.gz"
"6174"	"he"	"replied"	" Asked if that meant higher-ranking people could be involved, he replied, ``That's right.'' </P> "	"nyt_eng_199410.gz"
"6653"	"he"	"replied"	" ``Every week, in a cutting or shooting,'' responded juror number 323, a 68-year-old man. Asked if he thought use of physical force on a family member is sometimes justified, he replied, ``Hell yes!'' </P> "	"nyt_eng_199410.gz"
"6952"	"he"	"replied"	" Asked how long it would take agencies to climb the new media creative learning curve, he replied, ``Five years.'' Then, with the timing of a Jack Benny or a Jay Leno, he paused and added, ``the date of my retirement.'' </P> "	"nyt_eng_199410.gz"
"7010"	"he"	"replied"	" He said his program did not pay Ms. Resnick for her appearance. Asked if there were First Amendment considerations in his decision, he replied, ``There are, but I don't think we have to hang our hats on that.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19941019.0326 type=story > <HEADLINE> ROCKETDYNE FORCED TO CONSIDER CUTBACKS AS COMPETITIVE PRESSURES MOUNT </HEADLINE> <DATELINE> LOS ANGELES  (BC-ROCKETDYNE-CUTS-2Takes-ART-LADN) </DATELINE> <TEXT> "	"nyt_eng_199410.gz"
"7023"	"he"	"replied"	" He said his program did not pay Ms. Resnick for her appearance. Asked if there were First Amendment considerations in his decision, he replied, ``There are, but I don't think we have to hang our hats on that.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19941019.0396 type=story > <HEADLINE> PICK SIX TICKET FOR $1 MILLION </HEADLINE> <DATELINE> ARCADIA, Calif.  (BC-RAC-PICKSIX-LADN) </DATELINE> <TEXT> "	"nyt_eng_199410.gz"
"7074"	"they"	"replied"	" Asked where they would go from here, they replied, almost in unison: ``another shelter.'' </P> "	"nyt_eng_199410.gz"
"7142"	"he"	"replied"	" He used his acrobatic training again in ``Trapeze,'' (1956). When asked how he chose his roles, he replied, ``I'll go on making swashbucklers for my own company, but in my outside pictures, I want to do things that will help me as an actor against the time when I have to give up all this jumping around.'' </P> "	"nyt_eng_199410.gz"
"7144"	"she"	"replied"	" A spokeswoman for Comcast in Philadelphia also declined to comment. But when asked if an announcement is planned for Tuesday, she replied, ``Probably.'' </P> "	"nyt_eng_199410.gz"
"7579"	"he"	"replied"	" She said that when she asked him why, he replied, ``Because I think it would be a good test case for the state of Connecticut.'' </P> "	"nyt_eng_199410.gz"
"8398"	"he"	"replied"	" A Democrat, Sen. John Breaux of Louisiana, said: ``You know, I've never been in a minority before.'' Asked if Republican control was inevitable, he replied, ``I think it is.'' </P> "	"nyt_eng_199411.gz"
"8772"	"he"	"replied"	" To the dismay of his admirers, the director announced at Cannes that ``Red'' would be his last film. When pressed for reasons, he emitted a kind of existential sigh and talked of how he loathed the exhausting work of making films, something he has been doing without respite since the mid-1960s. When asked what he would do with his time, he replied, ``Just sit in a room and smoke.'' </P> "	"nyt_eng_199411.gz"
"9193"	"he"	"replied"	" When asked if he can raise such an exorbitant amount, he replied, ``I don't know.'' But, he said of his rivals, ``I don't think anybody can say they're going to do it.'' </P> "	"nyt_eng_199411.gz"
"9564"	"they"	"replied"	" A campaign for severe limits on immigration was led in the 1850s by the xenophobic ``Know Nothings,'' who formed the ``American Party'' from several secret societies that basked in the glow of their self-proclaimed ``patriotism.'' They flatly opposed Catholics holding public office and proposed that no one be naturalized until he or she had resided in the United States for 21 years. When questioned about their activities, they replied, ``I know nothing.'' </P> "	"nyt_eng_199411.gz"
"9660"	"she"	"replied"	" A photograph circa 1955 shows Miss Monroe splashing on the fragrance from its distinctive bottle. And of course, when she was once asked what she wore to bed, she replied, ``Chanel No. 5.'' </P> "	"nyt_eng_199412.gz"
"9669"	"he"	"replied"	" Asked if he had decided whether to declare for the National Football League draft or return to Colorado for his senior year, he replied, ``Right now, my thoughts are totally on Notre Dame (the Buffaloes' Fiesta Bowl opponent). I will make that decision later -- probably about the 5th or 6th of January.'' </P> "	"nyt_eng_199412.gz"
"9862"	"she"	"replied"	" Asked if that would impede his ability to keep scheduled political speaking dates in the meantime, she replied, ``Knowing him, he's pretty resourceful, and he'll manage to make some of them,'' by telephone or other means. </P> "	"nyt_eng_199412.gz"
"10164"	"I"	"replied"	" ``Yes, I replied, wondering where this was leading. `My name is Moshe Dayan, and I am forming a special forces unit called the Palmach.'' Rabin joined the guerrilla outfit, which targeted both British and Arabs in the early days of Israel's fight for independence. </P> "	"nyt_eng_199412.gz"
"10214"	"she"	"replied"	" Asked how far her loyalty to Gingrich went, she replied, ``The leadership didn't send me here; the people of Salt Lake City did.'' </P> "	"nyt_eng_199412.gz"
"10305"	"I"	"replied"	" In 1972, my second year playing for the Washington Senators, I offended Ted Williams, my manager, by ignoring some of his advice about hitting. Williams, who considered himself the ultimate hitting expert, griped to me in front of some reporters that ``I bet you didn't even read my book.'' Jokingly, I replied, ``As a matter of fact, I did, but if I'd read a medical book, that still wouldn't make me a surgeon.'' Furious, Williams benched me for three days even though I was having a great season. He told me he didn't want my ``smart mouth'' near him during that time, and made me spend the games in the bullpen instead of on the bench in the dugout. </P> "	"nyt_eng_199412.gz"
"10535"	"he"	"replied"	" When the commission asked Joe Stoltz, one of the auditors, whether he had ever seen petty cash funds of this size in other presidential campaigns, he replied, ``I can't recall an instance where we had $180,000 in petty cash.'' </P> "	"nyt_eng_199412.gz"
"10889"	"he"	"replied"	" As he stood outside the Treasury and looked up at the flag flying beneath the Stars and Stripes, a group of tourists visiting the White House next door gathered around the television cameras. Asked what he was doing his last day on the job, he replied, ``Enjoying it.'' </P> "	"nyt_eng_199412.gz"
"11015"	"he"	"replied"	" Pointing to the next room, he replied, ``In the dining room, opening my presents.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19941223.0300 type=story > <HEADLINE> VIEWING CHRISTMAS FROM BEHIND A CASH REGISTER </HEADLINE> <DATELINE> PARAMUS, N.J.  (BC-MACY-SALES-CLERK-ART-3TAKES-NYT) </DATELINE> <TEXT> "	"nyt_eng_199412.gz"
"11584"	"he"	"replied"	" When Clinton was asked if he'd given any thought to Washington, he replied, ``Nope,'' but then acknowledged that he'd just done a smidgen of business with the deputy White House chief of staff, Harold M. Ickes, on a cellular phone from the store. Asked what he planned for the rest of the day, he replied, ``I'm going to go home and put on some different duds and talk to Hillary about it.'' </P> "	"nyt_eng_199501.gz"
"11589"	"he"	"replied"	" When Clinton was asked if he'd given any thought to Washington, he replied, ``Nope,'' but then acknowledged that he'd just done a smidgen of business with the deputy White House chief of staff, Harold M. Ickes, on a cellular phone from the store. Asked what he planned for the rest of the day, he replied, ``I'm going to go home and put on some different duds and talk to Hillary about it.'' </P> "	"nyt_eng_199501.gz"
"11716"	"he"	"replied"	" Asked Thursday how he felt about being let down by certain players, he replied, ``I don't feel terrible about that, other than the fact it may have sunk us.'' </P> "	"nyt_eng_199501.gz"
"12236"	"he"	"replied"	" ``Some of the Bryan pictures achieved lower prices than we thought, but on the whole I was very pleased with prices,'' he said. When asked if the museum had any paintings left, he replied, ``Only a few million objects including Gilbert Stuarts, Rembrandt Peales and Thomas Coles.'' </P> "	"nyt_eng_199501.gz"
"12252"	"he"	"replied"	" ``Some of the Bryan pictures achieved lower prices than we thought, but on the whole I was very pleased with prices,'' he said. When asked if the museum had any paintings left, he replied, ``Only a few million objects including Gilbert Stuarts, Rembrandt Peales and Thomas Coles.'' </P> "	"nyt_eng_199501.gz"
"12472"	"he"	"replied"	" Recently, Carter has been criticized for meeting with and praising the leader of the Bosnian Serbs. When asked whether this amounted to the appeasement he had deplored in his poem, he replied, ``Well, I don't see it that way.'' </P> "	"nyt_eng_199501.gz"
