"pronoun"	"verb"	"context"	"filename"
"6566"	"she"	"replies"	" When one co-worker asks if she's a dyke, Phil doesn't miss a beat. ``That depends,'' she says in withering deadpan. ``Are you the alternative?'' When another wonders what it's like being a woman with all these men, she replies, ``The toilet seat's always up.'' </P> "	"nyt_eng_199410.gz"
"6567"	"she"	"replies"	" When one co-worker asks if she's a dyke, Phil doesn't miss a beat. ``That depends,'' she says in withering deadpan. ``Are you the alternative?'' When another wonders what it's like being a woman with all these men, she replies, ``The toilet seat's always up.'' </P> "	"nyt_eng_199410.gz"
"14483"	"he"	"replies"	" Asked about the civilians killed in the Tel Aviv bombing, he replies, ``In Israel, most civilians will be in the army so everyone is a soldier.'' </P> "	"nyt_eng_199502.gz"
"15498"	"he"	"replies"	" Antoine (Rabbit) Henry and Timothy Howard share a booth. They are both Californians, and this is their first morning with the Red Sox. Henry says he's an outfielder. When Howard is asked what position he plays, he replies, ``All of 'em.'' </P> "	"nyt_eng_199502.gz"
"23948"	"he"	"replies"	" Kincaid is a man who can't seem to suppress the urge to express thoughts he clearly thinks are pretty incisive. When asked if he is scared to be alone, he replies, ``No, I think I embrace the mystery.'' Whatever that means. Richard LaGravenese (``The Fisher King'') did the best he could with the screenplay, but, after all, he had to adapt that dreadful book. </P> "	"nyt_eng_199506.gz"
"34492"	"he"	"replies"	" Ando also looks pained at the suggestion that the spirituality of his work derives from Japanese traditions. No, he replies, he is a modernist. He grew up in a modern country. He was well aware of the work of modern architects from the West, like Le Corbusier and Louis Kahn, and he feels part of their tradition. </P> "	"nyt_eng_199509.gz"
"38659"	"he"	"replies"	" Pooh's favorite expression is, ``Oh, bother.'' He likes ``a smackerel'' of honey, and if doesn't get enough, he replies, ``I did mean a little larger small helping.'' </P> "	"nyt_eng_199511.gz"
"39092"	"he"	"replies"	" Pooh's favorite expression is, ``Oh, bother.'' He likes ``a smackerel'' of honey, and if doesn't get enough, he replies, ``I did mean a little larger small helping.'' </P> "	"nyt_eng_199511.gz"
"40812"	"he"	"replies"	" Asked if the plan itself was at risk, he replies, ``Yes, but I'm not at all willing to concede that that risk is high.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19951124.0393 type=story > <HEADLINE> EDITH HAGGARD, LITERARY AGENT, DIES AT 92 </HEADLINE> <DATELINE>  (BC-HAGGARD-OBIT-NYT) </DATELINE> <TEXT> "	"nyt_eng_199511.gz"
"40927"	"he"	"replies"	" Asked if the plan itself was at risk, he replies, ``Yes, but I'm not at all willing to concede that that risk is high.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19951126.0053 type=story > <HEADLINE> ISRAEL STOCKS RISE AS KOOR AND BEZEQ ADVANCE; RATE MOVE AWAITED </HEADLINE> <DATELINE> Tel Aviv, Nov. 26 (Bloomberg) (BC-ISRAELI-STOCKS-BLOOM) </DATELINE> <TEXT> "	"nyt_eng_199511.gz"
"42809"	"she"	"replies"	" Luther Vandross, ``This is Christmas,'' Epic. This is a gem. Vandross adds elegant orchestrations and a choir to ``O Come All Ye Faithful,'' but the real standouts are six new songs he co-wrote. These include the pop-funk ``Listen to the Bells'' (a duet with Darlene Love that features a Phil Spector-like sound), the hedonistic ``A Kiss for Christmas'' (``Honey, it's cold outside, pour another glass of wine, light up the fireplace'') and the frisky ``Mistletoe Jam.'' It finds Vandross getting carried away in a spoken dialogue with Brenda White-King. ``Come on over here and get under this mistletoe with me,'' he says. No, she replies, ``because you don't know how to act when you get under there.'' This album has soul and a sense of humor. </P> "	"nyt_eng_199512.gz"
"48253"	"he"	"replies"	" But Tennison, who's Raymond's boss, spies the coziness and takes the case herself. It doesn't endear her to Raymond _ when Tennison asks about his wife, he replies, ``(She's) fine. Still getting it regularly, which you're obviously not.'' </P> "	"nyt_eng_199602.gz"
"51287"	"she"	"replies"	" _ MCI, ``Parents,'' 1982, Ally &AMP; Gargano, United States. A husband asks his wife, ``Have you been talking to our son on long distance again?'' Sobbing, she replies yes. When he asks why she is crying, she replies, ``Have you seen our long-distance bill?'' </P> "	"nyt_eng_199603.gz"
"51489"	"she"	"replies"	" _ MCI, ``Parents,'' 1982, Ally &AMP; Gargano, United States. A husband asks his wife, ``Have you been talking to our son on long distance again?'' Sobbing, she replies yes. When he asks why she is crying, she replies, ``Have you seen our long-distance bill?'' </P> "	"nyt_eng_199603.gz"
"58349"	"he"	"replies"	" Asked when Buchanan should be scheduled to speak in San Diego, he replies, ``Early morning.'' </P> "	"nyt_eng_199605.gz"
"58423"	"he"	"replies"	" Asked when Buchanan should be scheduled to speak in San Diego, he replies, ``Early morning.'' </P> "	"nyt_eng_199605.gz"
"62524"	"he"	"replies"	" So when people ask Behrens why a religious group provides condoms to young and old, he replies, ``We can't continue to build relationships with people if they're dead.'' </P> "	"nyt_eng_199606.gz"
"62551"	"he"	"replies"	" So when people ask Behrens why a religious group provides condoms to young and old, he replies, ``We can't continue to build relationships with people if they're dead.'' </P> "	"nyt_eng_199606.gz"
"65743"	"she"	"replies"	" Mrs. Mulvey said that even modest attempts to form school car pools broke down in her neighborhood over people's unwillingness to bend to the schedules of others. Asked if public transportation is available in her town, she replies, ``Not that I know of.'' (In fact, there are commuter buses to Albany, but there is no local service within Clifton Park.) </P> "	"nyt_eng_199607.gz"
"73829"	"she"	"replies"	" Each movie directed by Barbra Streisand has explored some autobiographical aspect of the actress' persona: the yearning scholar of ``Yentl,'' in touch with her brain, but not her femininity; the worldly Manhattan therapist of ``The Prince of Tides,'' so different from Nick Nolte's fair-haired Southern boy, yet so irresistible to him; and the upcoming ``The Mirror Has Two Faces,'' with Streisand playing a woman deeply unsure of her sexual attractiveness (in the trailer, when her mother, played by Lauren Bacall, asks her if she's going to put on makeup, she replies, ``Why? I'll still look like me, only in color.''). </P> "	"nyt_eng_199610.gz"
"81010"	"he"	"replies"	" Another problem: Crandall opposed previous alliances between airlines such as Northwest and KLM Royal Dutch Airlines, calling them ``a fraud on the public.'' To that, he replies, ``I think they are ... But that's neither here nor there. The government has said, `We've listened to your arguments and we don't agree. We are going to permit these combinations.''' </P> "	"nyt_eng_199612.gz"
"81477"	"he"	"replies"	" On the steps of the Supreme Court, a reporter asks Flynt if he has any regrets. Just one, he replies, and with Dvorak's ``Stabat Mater'' swelling liturgically in the background, the scene shifts to his lonely mansion. Sweeping up the grand staircase, the camera pans past the gaudy chandelier to the portrait of his dead love, Althea. </P> "	"nyt_eng_199612.gz"
"85658"	"he"	"replies"	" Without missing a beat, he replies, ``Bo Derek.'' </P> "	"nyt_eng_199701.gz"
"87567"	"she"	"replies"	" When asked how she gets along with Republicans, she replies, ``I'm married to one _ happily.'' Her husband, Bill, is a computer magnate who bought Computerland, at the time a struggling computer retail company, and transformed it into Vanstar Corp., a highly successful company with headquarters in Pleasanton and Atlanta, and operations in 40 countries. </P> "	"nyt_eng_199702.gz"
"87996"	"he"	"replies"	" Absolutely-watchers note what Abbott calls ``a corrective to the world's insincerity'' in the movie ``The English Patient,'' written by Anthony Minghella. The character of Almasy, played by Ralph Fiennes, is trapped with Katherine (Kristin Scott-Thomas) in their vehicle during a North African sandstorm. When she asks if they will be all right, he replies, ``Yes, yes, absolutely.'' She differentiates nicely between straight assurance and strained overassurance with ``Yes is a comfort, absolutely is not.'' </P> "	"nyt_eng_199702.gz"
"89891"	"she"	"replies"	" On moving to America, Vogt brought along only one possession: her grand piano. She still plays the piano regularly, and on Sundays holds recitals with fellow musician-scientists. She has traveled to many countries, but she has never been back to Germany. When young German scientists come to the lab, eager to meet the famous Doktor Vogt and to chat with her in their native tongue, she replies, sternly, in English. </P> "	"nyt_eng_200104.gz"
"95642"	"he"	"replies"	" Men, he replies, are ``the gender I would trust second. If scientists stumble onto a third gender, there's definitely a chance of slippage'' by women away from men. </P> "	"nyt_eng_200107.gz"
"102388"	"he"	"replies"	" Yes, he replies, laughing, ``But Edgar's office is one floor below,'' he jibes. ``I am just over him.'' </P> "	"nyt_eng_200112.gz"
"103045"	"he"	"replies"	" As he talks, a lighter clicks. He takes a drag that echoes over the telephone line. A cigarette, perhaps? No, he replies, weed. </P> </TEXT> </DOC> <DOC id=NYT_ENG_20011218.0078 type=story > <HEADLINE> SEBALD EXAMINED WHAT OTHERS AVOIDED </HEADLINE> <DATELINE>  (BC-AUTHOR-SEBALD-BOS) </DATELINE> <TEXT> "	"nyt_eng_200112.gz"
