"pronoun"	"verb"	"context"	"filename"
"9064"	"they"	"report"	" In particular, they report, the falloff has been notable among patients who can postpone treatment. For example, only half as many people are now showing up for immunization shots, even those shots for illnesses that easily become epidemic. </P> "	"nyt_eng_199411.gz"
"23896"	"they"	"report"	" Most environmentalists are confident that their time will come again. Many groups have tried to exploit the Republican takeover in Congress as a way to build memberships and donations. Both are up, they report, since November. </P> "	"nyt_eng_199506.gz"
"29939"	"they"	"report"	" For one thing, they report, the universe must be much older than the standard estimates of 8 to 13 billion years. The new evidence, including a benchmark galaxy known as M100 that was recently judged to be about 15 billion years old, indicates a universe perhaps as old as 18 billion years. </P> "	"nyt_eng_199508.gz"
"35168"	"they"	"report"	" In a study of 12 patients, the researchers used inactivated cold viruses to add genes to cells that line the nose. But, they report, the nasal cells took up so few genes that the gene therapy had no effect. They said, it was impossible to simply use more viruses to transfer more genes because the viruses irritated the patients' noses, causing inflammation and swelling. </P> "	"nyt_eng_199509.gz"
"38326"	"they"	"report"	" Eating healthy while traveling can be a problem. Consider a study by the Physicians Committee for Responsible Medicine on the availability of low-fat and vegetarian meals on airlines and at airports. Sadly, they report, many airline meals weighed in at a minimum of 28 percent fat. United Airlines scored the best, with a vegetarian steak and pasta with just 3 percent fat, a 9 percent fat vegetarian ravioli and a 16 percent fat mixed-grain dish, all with no cholesterol. TWA and Continental came in second and third, respectively, in low-fat offerings. The top three airports for offering vegetarian entrees low in saturated fat were Los Angeles, Pittsburgh and Vancouver (Boston came in seventh). And, the committee asked Southwest Airlines flight attendants if they felt airports offer health food. Eighty-five percent said no, and 93 percent said they bring their own food to work. </P> "	"nyt_eng_199510.gz"
"47152"	"they"	"report"	" The program, they report, has been a success: There are now seven populations of field crickets instead of one _ and the species has been pulled back from the brink of extinction. </P> "	"nyt_eng_199601.gz"
"47153"	"they"	"report"	" The program, they report, has been a success: There are now seven populations of field crickets instead of one _ and the species has been pulled back from the brink of extinction. </P> "	"nyt_eng_199601.gz"
"47254"	"they"	"report"	" The program, they report, has been a success: There are now seven populations of field crickets instead of one _ and the species has been pulled back from the brink of extinction. </P> "	"nyt_eng_199601.gz"
"47255"	"they"	"report"	" The program, they report, has been a success: There are now seven populations of field crickets instead of one _ and the species has been pulled back from the brink of extinction. </P> "	"nyt_eng_199601.gz"
"47458"	"they"	"report"	" The program, they report, has been a success: There are now seven populations of field crickets instead of one _ and the species has been pulled back from the brink of extinction. </P> "	"nyt_eng_199602.gz"
