"pronoun"	"verb"	"context"	"filename"
"2790"	"he"	"reported"	" ``In these areas,'' Oliver wrote in a recent unpublished paper, ``the plant has increased dramatically in a short period of time.'' For example, he reported, many roadside embankments in Baltimore County are ``solid'' with the species, possibly because of dispersal by roadside mowers. </P> "	"nyt_eng_199408.gz"
"2915"	"he"	"reported"	" As for Hamilton, he spent the weekend at church picnics in his district and got ``a lot of praise and a lot of criticism.'' But when he was able to describe the bill in detail, he reported, ``most people expressed amazement at what was in there, asked for assurance that we would get some sort of crime bill, which I gave them, then nodded their heads in agreement.'' </P> "	"nyt_eng_199408.gz"
"4516"	"he"	"reported"	" The thumb tests, he reported, ``indicate that tools were likely to have been used by all early hominids at around two million years ago.'' </P> "	"nyt_eng_199409.gz"
"9498"	"he"	"reported"	" In two of the studies that Strauss analyzed, all 20,000 participants had annual chest X-rays but only half had annual sputum checks. Among the men found to have cancer, he reported, five-year survival was three times better than the national average. While this could reflect a ``selection bias'' in which study participants had more favorable survival characteristics than the general population, Strauss said, the finding ``is consistent with the hypothesis that annual chest X-rays result in a better outcome.'' </P> "	"nyt_eng_199411.gz"
"9552"	"he"	"reported"	" In two of the studies that Strauss analyzed, all 20,000 participants had annual chest X-rays but only half had annual sputum checks. Among the men found to have cancer, he reported, five-year survival was three times better than the national average. While this could reflect a ``selection bias'' in which study participants had more favorable survival characteristics than the general population, Strauss said, the finding ``is consistent with the hypothesis that annual chest X-rays result in a better outcome.'' </P> "	"nyt_eng_199411.gz"
"13163"	"he"	"reported"	" Chris, he reported, ``loved it.'' </P> "	"nyt_eng_199501.gz"
"15720"	"they"	"reported"	" This ephemeral spark of matter, they reported, apparently had the astonishingly huge mass of about 174 billion electron-volts -- a mass heavier than an entire atom of gold. This may make the top quark the heaviest particle nature has ever created. </P> "	"nyt_eng_199502.gz"
"16538"	"he"	"reported"	" Beyond that, he reported, the CIA had illegally opened, read and photographed some correspondence for 20 years. It developed that he had learned of the operation in the CIA, tried to stop it after he joined the Postal Service, but did not succeed until 1973. </P> "	"nyt_eng_199503.gz"
"18098"	"he"	"reported"	" The films themselves have proved to be less tractable than their admirers. When David Shepard, an expert on film restoration, visited India during the winter of 1992-93, he reported, ``It would be hard to think of another world class film artist whose oeuvre hangs by such a thin thread.'' </P> "	"nyt_eng_199503.gz"
"18514"	"they"	"reported"	" The PCR technique amplifies tiny bits of DNA hundreds of times in a few minutes. Identifying part of the sequence of HIV in the DNA extracted from the tissue cells, they reported, again in The Lancet, that Carr's strange malady was AIDS. </P> "	"nyt_eng_199504.gz"
"20338"	"he"	"reported"	" Sileshi Semaw, an Ethiopian archeologist who is a doctoral student at Rutgers University in New Brunswick, N.J., announced the test results at a recent meeting of the American Association of Physical Anthropology in Oakland, Calif. Argon isotopic analysis and other evidence, he reported, showed ages of 2.5 million to 2.6 million years for the sediments where the tools were found, with the true date probably being closer to the greater age. </P> "	"nyt_eng_199504.gz"
"31049"	"he"	"reported"	" By then, he reported, he was living in a steady haze induced by all-day and all-night drinking. </P> "	"nyt_eng_199508.gz"
"31051"	"he"	"reported"	" By then, he reported, he was living in a steady haze induced by all-day and all-night drinking. </P> "	"nyt_eng_199508.gz"
"34362"	"it"	"reported"	" Iran, meanwhile, was demanding the immediate return of the plane and all its passengers and crew who, it reported, had landed in ``occupied Palestine'' as part of a plot by the ``terrorist government of Israel.'' </P> "	"nyt_eng_199509.gz"
"35122"	"he"	"reported"	" Wotan in ``Die Walkure'' takes about 1 hour 15 minutes. But Sachs, he reported, ``clocks in at two-twenty, two-thirty, around there.'' </P> "	"nyt_eng_199509.gz"
"35203"	"he"	"reported"	" Wotan in ``Die Walkure'' takes about 1 hour 15 minutes. But Sachs, he reported, ``clocks in at two-twenty, two-thirty, around there.'' </P> "	"nyt_eng_199509.gz"
"40862"	"she"	"reported"	" Professor La Cugna's acquaintances had taken comfort in the fact that the pope had not signed the statement, saying, she reported, that otherwise ``it would push them over the edge.'' But Professor La Cugna said that she thought people would ``stuff down their anger, and life will go down.'' </P> "	"nyt_eng_199511.gz"
"41017"	"she"	"reported"	" Professor La Cugna's acquaintances had taken comfort in the fact that the pope had not signed the statement, saying, she reported, that otherwise ``it would push them over the edge.'' But Professor La Cugna said that she thought people would ``stuff down their anger, and life will go down.'' </P> "	"nyt_eng_199511.gz"
"41423"	"it"	"reported"	" Model studies of the warming trend have shown that it is ``unlikely to be entirely natural in origin,'' the panel said. More convincing, it reported, are more recent studies that compare the highly idiosyncratic patterns of warming and cooling over recent decades with those that, according to the models, should be produced by the combined effect of increasing greenhouse gases and aerosols. </P> "	"nyt_eng_199511.gz"
"47812"	"she"	"reported"	" ``But we already know, the furnace did work and it did make steel,'' she said. Much of the steel, she reported, ``is relatively slag-free and predominantly high in carbon, and can be classed as high-carbon steel.'' </P> "	"nyt_eng_199602.gz"
"47871"	"she"	"reported"	" ``But we already know, the furnace did work and it did make steel,'' she said. Much of the steel, she reported, ``is relatively slag-free and predominantly high in carbon, and can be classed as high-carbon steel.'' </P> "	"nyt_eng_199602.gz"
"49157"	"he"	"reported"	" At the stock exchange, he reported, ``concealment of facts, quarrels, provocations, mockery, idle talk, violent desires, collusion, artful deceptions, betrayals, cheatings and even the tragic end are to be found.'' </P> "	"nyt_eng_199602.gz"
"59450"	"she"	"reported"	" ``I think Congress just doesn't understand the impact of this part of the legislation,'' Mrs. Rusche said. She talked to some members of Congress and, she reported, ``They too are alarmed about some of the implications and willing to try to find a way.'' </P> "	"nyt_eng_199605.gz"
"59520"	"she"	"reported"	" ``I think Congress just doesn't understand the impact of this part of the legislation,'' Mrs. Rusche said. She talked to some members of Congress and, she reported, ``They too are alarmed about some of the implications and willing to try to find a way.'' </P> "	"nyt_eng_199605.gz"
"60633"	"he"	"reported"	" ``He had that ability to put you at your ease,'' said Jeans, a smiling 46-year-old Vietnam veteran and member of the local police force. Dole, he reported, happily ate a hamburger and one of his brother-in-law's ``famous'' chicken wings. </P> "	"nyt_eng_199605.gz"
"65972"	"he"	"reported"	" ``We see some of the same problems with delinquencies and charge-offs that everyone else is seeing,'' Caspersen said. ``We've never flooded the market with credit cards to people we thought were too risky.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19960724.0299 type=multi > <DATELINE>  (BC-LEAH-PERSONALS-SFCHRON) </DATELINE> <TEXT> (Eds: This story also moved in the ``a'' national news file) By LEAH GARCHIK c.1996 San Francisco Chronicle  NIXON DISHES HILLARY CLINTON  A close look at excerpts from Monica Crowley's ``Nixon Off the Record,'' in this week's New Yorker, reveals the depth of Richard Nixon's dislike for Hillary Clinton. Crowley, a former aide to Nixon, kept a record of his many conversations with her.  Nixon's first assessments came during the Clinton campaign, when the couple appeared on ``60 Minutes'' together. ``Clinton's wife was a lawyer on the Watergate committee,'' says Nixon, ``so that tells us where she's coming from. ... I still can't believe it; she was on the God-damned committee to impeach me. She's a radical.''  As the campaign gathers steam, the former president does, too: ``If Clinton wins, he might want to open a channel to me, but Hillary won't allow it.'' After watching the inauguration in 1993, he opines that Hillary is for Clinton ``only because he is her ticket to power.''  He says that his daughter Tricia ``saw them coming down the steps of Blair House this morning, and when they didn't think any cameras were on them, he snapped at her.'' Nixon's advice: ``They must at least pretend to like each other.''  After a phone conversation with Clinton, Nixon thinks that it's strange and meaningful that ``he never brought up Hillary. Not once. I gave him several lead-ins. He didn't respond to any of them.''  After a visit to the White House, he reported, ``Clinton is very earthy. He cursed: `a_,' `son-of-a-bitch,' `bastard,' _ you know. ... Up in the residence, I saw Chelsea, who was very shy, and Hillary. The kid ran right to him and never once looked at her mother. I could see that she had a warm relationship with him but was almost afraid of her. Hillary is ice-cold. You could see it in her eyes. She is a piece of work.'' (Here, Nixon reports that he and the president drank Diet Cokes, and the president discussed his weight problem. ``He really let his hair down with me.'')  When Pat Nixon died, and Vernon Jordan, who held no formal government position, was dispatched by the Clintons to attend the funeral, Nixon was furious. ``Vernon Jordan? The Clintons sent Vernon Jordan? He's a fine man, but come on. Hillary should have been there. That was inexcusable. He comes to me for advice to save his a_, and he can't even send a Cabinet member to Mrs. Nixon's funeral?''  DIANA AND FERGIE WILL STAY SORE  Princess Diana and the Duchess of York, vacationing together on the French Riviera, have vowed to press charges against two French photographers arrested last week in the forest inside their vacation estate.  Police questioned the photographers for around an hour. They will be required to return to court later.  FLASH  _ During his four-day visit to Paris last week, President Nelson Mandela of South Africa met at least three times with Graca Machel,the widow of the first president of Mozambique.  A romance between Mandela, 78, and Machel, 50, may be in the air. ``They are very good friends,'' Mandela aide Jakes Gerwel told the Sunday Times of Johannesburg.  _ ``The Fantasticks,'' the longest-running show in New York, celebrates its 15,000th performance today.  _ Tom Arnold, Roseanne's ex, complains in TV Guide about her comparing him to O.J. Simpson. Arnold says he was never violent. ``I said many stupid things; I did many dumb things. But her comparing herself to Nicole Brown Simpson, who was brutally murdered, is ... an abomination.''  WHEN YOU FIND THAT YOU HAVE MONEY TO THROW AWAY  If you've been emptying the kroners and marks and francs from your travel purse into your desk drawer, help is at hand. Banks won't change anything but paper money, but Conde Nast Traveler says that Avis Currency Exchange in New York converts spare foreign change into dollars and cents.  Problem No. 1, however, is that Avis, which is only in New York right now, plans to open offices in Boston, Miami, Philadelphia and Washington, D.C. _ not San Francisco. Problem No. 2 is that they charge a lot, sometimes almost half of the coins' worth. Problem No. 3 is that they accept only major currencies.  An easier solution: UNICEF's Change for Good program collects foreign coins for international charities. Ten international airlines provide passengers with envelopes for the change, or coin-holders can call (212) 503-6437 to make donations. Last year, the program collected more than $3.7 million. </TEXT> </DOC> <DOC id=NYT_ENG_19960724.0300 type=multi > <DATELINE>  (BC-LEAH-PERSONALS-SFCHRON) </DATELINE> <TEXT> (Eds: This story also moved in the ``l'' lifestyle file) By LEAH GARCHIK c.1996 San Francisco Chronicle  NIXON DISHES HILLARY CLINTON  A close look at excerpts from Monica Crowley's ``Nixon Off the Record,'' in this week's New Yorker, reveals the depth of Richard Nixon's dislike for Hillary Clinton. Crowley, a former aide to Nixon, kept a record of his many conversations with her.  Nixon's first assessments came during the Clinton campaign, when the couple appeared on ``60 Minutes'' together. ``Clinton's wife was a lawyer on the Watergate committee,'' says Nixon, ``so that tells us where she's coming from. ... I still can't believe it; she was on the God-damned committee to impeach me. She's a radical.''  As the campaign gathers steam, the former president does, too: ``If Clinton wins, he might want to open a channel to me, but Hillary won't allow it.'' After watching the inauguration in 1993, he opines that Hillary is for Clinton ``only because he is her ticket to power.''  He says that his daughter Tricia ``saw them coming down the steps of Blair House this morning, and when they didn't think any cameras were on them, he snapped at her.'' Nixon's advice: ``They must at least pretend to like each other.''  After a phone conversation with Clinton, Nixon thinks that it's strange and meaningful that ``he never brought up Hillary. Not once. I gave him several lead-ins. He didn't respond to any of them.''  After a visit to the White House, he reported, ``Clinton is very earthy. He cursed: `a_,' `son-of-a-bitch,' `bastard,' _ you know. ... Up in the residence, I saw Chelsea, who was very shy, and Hillary. The kid ran right to him and never once looked at her mother. I could see that she had a warm relationship with him but was almost afraid of her. Hillary is ice-cold. You could see it in her eyes. She is a piece of work.'' (Here, Nixon reports that he and the president drank Diet Cokes, and the president discussed his weight problem. ``He really let his hair down with me.'')  When Pat Nixon died, and Vernon Jordan, who held no formal government position, was dispatched by the Clintons to attend the funeral, Nixon was furious. ``Vernon Jordan? The Clintons sent Vernon Jordan? He's a fine man, but come on. Hillary should have been there. That was inexcusable. He comes to me for advice to save his a_, and he can't even send a Cabinet member to Mrs. Nixon's funeral?''  DIANA AND FERGIE WILL STAY SORE  Princess Diana and the Duchess of York, vacationing together on the French Riviera, have vowed to press charges against two French photographers arrested last week in the forest inside their vacation estate.  Police questioned the photographers for around an hour. They will be required to return to court later.  FLASH  _ During his four-day visit to Paris last week, President Nelson Mandela of South Africa met at least three times with Graca Machel,the widow of the first president of Mozambique.  A romance between Mandela, 78, and Machel, 50, may be in the air. ``They are very good friends,'' Mandela aide Jakes Gerwel told the Sunday Times of Johannesburg.  _ ``The Fantasticks,'' the longest-running show in New York, celebrates its 15,000th performance today.  _ Tom Arnold, Roseanne's ex, complains in TV Guide about her comparing him to O.J. Simpson. Arnold says he was never violent. ``I said many stupid things; I did many dumb things. But her comparing herself to Nicole Brown Simpson, who was brutally murdered, is ... an abomination.''  WHEN YOU FIND THAT YOU HAVE MONEY TO THROW AWAY  If you've been emptying the kroners and marks and francs from your travel purse into your desk drawer, help is at hand. Banks won't change anything but paper money, but Conde Nast Traveler says that Avis Currency Exchange in New York converts spare foreign change into dollars and cents.  Problem No. 1, however, is that Avis, which is only in New York right now, plans to open offices in Boston, Miami, Philadelphia and Washington, D.C. _ not San Francisco. Problem No. 2 is that they charge a lot, sometimes almost half of the coins' worth. Problem No. 3 is that they accept only major currencies.  An easier solution: UNICEF's Change for Good program collects foreign coins for international charities. Ten international airlines provide passengers with envelopes for the change, or coin-holders can call (212) 503-6437 to make donations. Last year, the program collected more than $3.7 million. </TEXT> </DOC> <DOC id=NYT_ENG_19960724.0301 type=story > <HEADLINE> CARVING UP A CHICKEN-FRIED STEAK EMPIRE </HEADLINE> <DATELINE>  (BC-FOOD-CHAPMAN-COLUMN-TEX) </DATELINE> <TEXT> "	"nyt_eng_199607.gz"
"77355"	"he"	"reported"	" ``It was barely quivering,'' said Dr. Douglas Payne of New England Medical Center. But immediately after surgery, he reported, her cardiac output went up fivefold. </P> "	"nyt_eng_199611.gz"
"88090"	"they"	"reported"	" A recent report from researchers in Dublin traced moderately high homocysteine levels to a common gene mutation that results in a defective enzyme involved in homocysteine metabolism. This defect, they reported, is significantly more common among patients with heart disease than among healthy people. Moderately high levels of homocysteine are also found in people who carry a single gene for homocystinuria; two such genes are needed to cause the severe metabolic disorder. </P> "	"nyt_eng_199702.gz"
"91524"	"he"	"reported"	" During my visit to Gambetti's lab, the phone rang. I could hear only his part of the conversation, but it went this way: ``But you have a way to keep it frozen? You have a refrigerator? Well see if it fits in the freezer then. What about dry ice?'' He put down the phone to speak eloquently about the scientific benefit gained by studying the brains of Elisabetta's family. He sincerely regretted the family's distress. ``The good thing,'' he told me, ``is that research on prion diseases doesn't have to be targeted to FFI to work for FFI.'' One of his teams, he reported, is working on a CJD vaccine. In another interesting finding, Gambetti's research team has shown that variants of the same prion protein gene can produce both FFI and a form of CJD. I got to look at Silvano's scarred thalamus under a microscope and, wearing gloves and a mask, saw mice in whom Gambetti's team have inserted the human FFI gene. If they can figure out how to start and stop the process by which prions convert other prions, they would not only cure FFI and CJD, they would also perhaps point to treatments for Alzheimer's. Prusiner's lab in San Francisco is doing similar experiments, again with a cure for Alzheimer's as the ultimate goal. </P> "	"nyt_eng_200105.gz"
"93375"	"they"	"reported"	" Indeed, he and the others couldn't wait to move out of the ``hell hole.'' A place, they reported, where nothing was familiar, not even the plant life. </P> "	"nyt_eng_200106.gz"
"94575"	"she"	"reported"	" Everyone there was on some kind of antidepressant, herself included, she reported, as casually as saying they all relied on the same deodorant. While they appeared to be fine and charming, I felt a little ripped off, like I was the only one making do on white wine. In my mind they were seriously modified and I was the one in street clothes at a masked ball. </P> "	"nyt_eng_200106.gz"
"95551"	"they"	"reported"	" To prove their theory, researchers grafted sections of human ovaries into mice and then exposed them to the hydrocarbons. Even a single exposure, they reported, produced a marked increase in the number of eggs that were degenerating. </P> "	"nyt_eng_200107.gz"
