"pronoun"	"verb"	"context"	"filename"
"7552"	"he"	"reports"	" Larry LaMotte travels to Fort Yukon, Alaska, where every life in the remote Indian town of 700 has been damaged in some way by the problem of drinking. Yet, he reports, the local government runs a huge liquor store, with profits supporting community projects and programs. </P> "	"nyt_eng_199410.gz"
"7785"	"he"	"reports"	" In 1281 the Mongol hordes of Kublai Khan were turned away from Japan by a powerful typhoon that destroyed the Mongol fleet and drowned thousands of warriors, Hoyt says. The grateful Japanese, he reports, gave thanks to the Kami Kaze or D ivine Wind that saved them. </P> "	"nyt_eng_199410.gz"
"13738"	"she"	"reports"	" Ms. Johnstone and Martha venture to Germany, where an oompah band conveniently heralds Martha's homecoming; Ethel and Ms. Ettinger visit South Carolina and spend time with Ethel's sister, whose very existence stirs envy in Ms. Ettinger. But, she reports, in the blandly sensitive psychobabble that is the film's argot, ``my jealousy gave way to an understanding of the path Ethel had chosen, and gratitude that some miracle had led her to us.'' </P> "	"nyt_eng_199502.gz"
"18692"	"he"	"reports"	" When he signs up to play on a Little League team and first meets his coach, he reports, ``Desire sledgehammered my body, a sensation I still wasn't sure I had a name for.'' </P> "	"nyt_eng_199504.gz"
"22005"	"he"	"reports"	" That vote was a preview of what now seems inevitable change in US immigration law. Hardening attitudes toward immigrants may also explain the generally bland critical acceptance of Brimelow's assertion that immigration is dangerous chiefly for undermining ``a plain historical fact: that the American nation has always had a specific ethnic core. And that core has been white.'' Today, by contrast, he reports, ``when you enter the INS waiting rooms you find yourself in an underworld that is not just teeming but is also almost entirely colored.'' </P> "	"nyt_eng_199505.gz"
"22878"	"he"	"reports"	" Like many Americans, Friedlich had limited his salt intake in the belief that it was more healthful to eat that way. But in his case, salt is apparently a boon. After a week on the increased-salt regimen, he reports, ``I ran up two flights of stairs without thinking about it. I hadn't done that in five years.'' </P> "	"nyt_eng_199505.gz"
"32829"	"he"	"reports"	" As if on cue, the phone rings. Meyerowitz excuses himself. On the line, he reports, is an assistant to Francis Ford Coppola. The director is shooting a new movie, ``Jack,'' with Robin Williams in the lead role. Williams plays the father of a boy with a rare medical condition. His character is a photographer who is struggling to make it in the art world while he's forced to shoot advertising spreads to make a living. </P> "	"nyt_eng_199509.gz"
"33389"	"he"	"reports"	" Powell also offers a devastating critique of the Clinton administration's way of doing business, especially what he terms ``the amorphous way the administration handled foreign policy.'' National security meetings, he reports, ``meandered like graduate-school bull sessions,'' and ``backbenchers sounded off with the authority of Cabinet officers.'' </P> "	"nyt_eng_199509.gz"
"38209"	"she"	"reports"	" Street after street, the federalist advertising now reads: ``At first it was `No' but the more I think about it, it's `Yes.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19951030.0517 type=multi > <DATELINE>  (BC-TRAVEL-CRISIS-PAGEUP-NYTSF) </DATELINE> <TEXT> TRAVEL DISASTERS AND HOW TO COPE (This ``separate buy'' article is from this week's PageUp Lifestyle and Entertainment Package.) (To publish this article, it must be purchased _ the rate is not prohibitive _ from New York Times Syndicate sales representative CONNIE WHITE in Kansas City at 1-800-444-0267 or 816-822-8448, or by fax her at 816-822-1444.) (She also has information on how to subscribe to PageUp, a weekly package of eight intriguing articles with color art.) By EVERETT POTTER c.1995 Diversion magazine (Distributed by New York Times Special Features)  It must have been the Tibetan beer and the 14,000-foot altitude that led my friend Dan and me to wander off the pitch-dark streets of Shigatse and straight onto a Chinese army base.  This was ultrasensitive Tibet in the 1980s, when rumors of secret Chinese nuclear sites were rife and relations between the Tibetans and Chinese were less than cordial. So having two Westerners stroll onto an army base like Beavis and Butt-head was not cool.  Marched under guard to a barracks room, we were regarded with confusion and not a little contempt by an officer still in his long johns and rubbing sleep from his eyes. He barked into a hand-crank telephone, and the room soon filled with chain-smoking officers, each one nastier than the next.  No one spoke English, and my thoughts turned to what a month or two in a Chinese jail cell would be like. A few tense hours passed before they figured out we were just a couple of idiots _ not spies _ and sent us packing.  Which just goes to prove that you can't always control what happens when you're on the road. Here are some of the more typical emergencies travelers face, what to do if they befall you and how to avoid them in the first place. -0- STOLEN CASH, CREDIT CARDS OR CAMERA  It can happen in Rio or in Peoria. Besides securing your property as carefully as possible, the only way to protect yourself is to be insured. Travel insurance covers theft, and most homeowners' policies cover off-premise thefts as well.  If you are robbed, immediately report the incident to the local police. Be sure to get a copy of the report _ it's essential for making insurance claims back home.  If you've lost cash, some policies will cover it if you can prove you had the money in the first place by showing a currency-exchange statement or a canceled traveler's check, which the issuing company can provide.  If your traveler's checks are lost or stolen, contact the issuer and supply the numbers of the missing checks. You will be reimbursed within a couple of days.  If you've lost an American Express card, the company can provide a replacement card, often within 24 hours. Visa and MasterCard will replace cards too, though these are likely to take longer. Be sure to note the telephone number of the issuing bank before you leave home _ and pack it in a safe place other than your wallet or purse, such as a money belt.  Other numbers to carry include those of the U.S. embassies or consulates anywhere you may be going. Call the State Department at (202) 647-4000 for these numbers. Embassies or consulates can help you deal with language problems and the local police. They will also assist in replacing passports or airline tickets, canceling credit cards and transferring money. LOST OR STOLEN PASSPORT  This may not be as disastrous as having your wallet stolen, but it's still a crisis. Begin by reporting the loss to the police and contacting the nearest U.S. embassy or consulate.  You can speed the process of replacing a lost passport by having the foresight to pack, in a location separate from your passport, a notarized copy of your birth certificate, a copy of the information pages of your passport and two passport-sized photos.  In a pinch, the State Department can issue a passport waiver or a letter good for one-time re-entry into the United States. This is not done every day, and at $100 a pop it's not cheap. LOST AIRLINE TICKET  Report the loss to the carrier at once, supplying the ticket number _ yet another item to keep in a separate place. You'll have to file a lost-ticket application and pay a fee ranging from $39 to $70 which, if you have to buy a replacement ticket, will be deducted from your eventual refund. File as soon as possible, instead of waiting until you're about to return home.  Domestic carriers usually require you to buy a replacement ticket, to be refunded after verifying the original ticket purchase. Foreign carriers tend to be more lenient when it comes to replacing lost or stolen tickets, often simply handing you a new one. MISSED FLIGHT  This is every traveler's nightmare, and what you do about it depends on which airline you're flying.  American Airlines, which is typical of many carriers, will put you on its next flight to your destination, but not on a competitor's flight.  If your ticket is refundable, you may opt for a refund and then try to fly a competitor, but then you'll pay a full, no-advance-purchase fare. If your ticket is not refundable, you can travel on another day after paying a reticketing fee of about $35.  Travel insurance is the most important protection you can have. It covers missed air connections and is especially crucial when your flight is connecting to a cruise embarkation. RETURNING HOME IN AN EMERGENCY  Airlines handle the problem of emergency returns largely on a case-by-case basis. Officially, some airlines offer bereavement or compassion fares amounting to a stingy 10-percent discount on the highest excursion fare of the moment. To get even that discount, you must later provide a photocopy of the death certificate.  But airline personnel don't always follow the truly hardhearted policies, so your original return ticket may well be honored, particularly when a death in the family is involved. YOUR AIRLINE GOES OUT OF BUSINESS  Scams and sudden Chapter 11 filings by airlines and tour operators can leave travelers stranded like flightless birds.  If your airline goes under, you'll have to buy a new ticket on another carrier. But if you purchased your original ticket with a credit card, you may not have to pay for it. Because you didn't get what you paid for, the credit-card company will usually side with you.  Whenever you book a tour, make sure that the company is a member of the U.S. Tour Operators Association, the American Society of Travel Agents, or the National Tour Association. These groups have consumer-protection programs to provide reimbursement if a member fails. COUPS OR TERRORIST VIOLENCE  Political violence can erupt unexpectedly, and not just in the obvious places. In recent times, countries as disparate as Fiji, Turkey and Venezuela have seen political turmoil.  The State Department maintains a hot line at (202) 647-5225 with information on potential crises in every country. There's also a Travel Warnings list, which translates simply as ``Don't go,'' and limited advisories on countries such as Egypt, Israel, the Philippines and South Africa, where certain areas may be dangerous.  If you are going to a place where there is potential unrest, register with the U.S. embassy once you arrive. If you do get caught in a politcal disturbance, contact the nearest embassy or consulate immediately. Their advice may include telling you to stay inside and away from windows, to get to the airport and leave the country or in rare cases to come to the embassy for sanctuary. GETTING ARRESTED  Most things illegal at home _ such as theft, assault or drug possession _ are illegal abroad. Foreign countries may also prohibit other things that wouldn't occur to you, such as taking a picture of a bridge in Paraguay, failing to flush a toilet at a train station in Singapore or wandering onto that military base in Tibet. A car accident in Mexico or a black-market transaction in certain countries can also land you in the clink, at least temporarily.  American citizens are subject to the laws and procedures of the country they are visiting, says Nyda Budig, a State Department press officer. ``Your constitutional privileges remain stateside.''  If you are arrested, demand to speak to someone at the local U.S. consulate or embassy, who can help you contact attorneys and interpreters, and notify friends and relatives back home. Consulate officials may visit you in jail to determine if you are being treated humanely, but they can't get you out.  ``If the jails are awful, there isn't much we can do about it,'' Budig says. ``But let's face it. The majority of people who get arrested do break the law.'' The best advice, therefore, is to know the law and avoid taking chances in unfamiliar territory.  (Everett Potter is a New York-based free-lance travel writer.) ------------------------------------------------- (To publish this article, it must be purchased _ the rate is not prohibitive _ from New York Times Syndicate sales representative CONNIE WHITE in Kansas City at 1-800-444-0267 or 816-822-8448, or by fax her at 816-822-1444.) (She also has information on how to subscribe to PageUp, a weekly package of eight intriguing articles with color art.) </TEXT> </DOC> <DOC id=NYT_ENG_19951030.0518 type=multi > <DATELINE>  (BC-GETTING-ATTENTION-PAGEUP-NYTSF) </DATELINE> <TEXT> HOW TO GET PEOPLE'S ATTENTION (This ``separate buy'' article is from this week's PageUp Lifestyle and Entertainment Package.) (To publish this article, it must be purchased _ the rate is not prohibitive _ from New York Times Syndicate sales representative CONNIE WHITE in Kansas City at 1-800-444-0267 or 816-822-8448, or by fax her at 816-822-1444.) (She also has information on how to subscribe to PageUp, a weekly package of eight intriguing articles with color art.) By PATRICIA KITCHEN c.1995 McCall's magazine (Distributed by New York Times Special Features)  Standing in front of a ninth-grade English class as a student teacher, I slowly looked up from behind my mass of long, straight hair and squeaked, ``Good morning, let's get started.''  When the buzz of before-class chatter continued, I tried again. Nothing. A third time. Again nothing.  As I broke into a sweat in front of that noisy class, my fear turned into a healthy anger that surprised even me. A new voice welled up inside.  ``Excuse me,'' I found myself saying in a firm, commanding tone. ``I am ready to begin. I suggest that you be ready too.'' That did the trick. Settling down in their seats, the students promptly turned to face me.  Many people learn as children to speak in pleasing, unassuming tones. Well-meaning parents and other adults encourage them to be overly considerate, so the words ``I'm sorry'' become a regular part of their vocabularies.  Women in particular are also conditioned to hint and cajole instead of simply asking for what they wanted.  ``Girls are taught not to boast, put themselves forward or try to claim credit in an obvious way,'' explains Deborah Tannen, author of ``Talking From 9 to 5: How Women's and Men's Conversational Styles Affect Who Gets Heard, Who Gets Credit, and What Gets Done at Work'' (William Morrow, 1994).  But socialization isn't destiny. You can develop a voice that says ``I know what I'm talking about, and it's important that you hear what I'm saying.'' So says Sam Chwat, a speech therapist who is director of New York Speech Improvement Services in New York City. START BY TURNING UP THE VOLUME  Betty Oliver, 45, remembers a time when she would answer the telephone with a teeny, tiny ``Hello?''  ``It was more of a whisper,'' Oliver says. ``I guess I was saying `Poor little old me. I'm not very interesting.'''  But when Oliver recently decided to return to work after a 20-year hiatus, she had to push herself to speak in a louder, more confident tone. She began testing her newfound voice at job interviews, with salespeople and even with her family.  Now, she reports, she answers the phone with an energetic ``Good morning, Olivers'.''  Besides having a low-volume, low-energy way of speaking, many women often use a higher pitch to emphasize their point. But this girlish, Betty Boop tone comes across as passive and unsure, Chwat says, as if you're afraid to actually let the message leave your head.  To crank up your volume and lower your tone, Chwat suggests imitating people known for speaking assertively, such as Oprah Winfrey. ``We just don't realize what good mimics we can be,'' he says.  Another way to pack some punch with your words is to avoid ``upspeak,'' the tendency to give the last syllable a higher inflection, which makes your statement sound more like a question. Though your intent may be to convey the thought ``Don't you agree?'' or ``Shall I go on?'' the message you send is ``I don't really believe what I'm saying,'' Chwat says.  If you catch yourself ending sentences on an upswing, just think, ``Would Diane Sawyer ever end a newscast by saying `This is Diane Sawyer for ABC News?''' KEEP IT SHORT, SIMPLE AND DIRECT  Dianna Booher, author of ``Communicate With Confidence: How to Say It Right the First Time and Every Time'' (McGraw-Hill, 1994), tells of a boss who decided to give a poorly performing administrative assistant another chance with a new assignment.  In an attempt to water down the criticism, the boss told the assistant that she was being reassigned so the department could take better advantage of her strengths. However, the boss ended up sugarcoating the message so much that the inept assistant tried to ask her for a raise.  In an effort to avoid hurting another person's feelings, you may wind up sounding so wishy-washy that your message is misinterpreted or not heard at all. It's the ``kinda, maybe, wouldn't-it-be-nice approach,'' says Laura Berman Fortgang, a former actress who now runs communication-skills workshops in New York City.  ``What's missing is certainty,'' Fortgang says. ``You have to start trusting yourself to have a wish or an opinion, and state it directly.''  For some people, the problem is taking too long to get to the point. Dana Young, 36, owner of a boutique in Colleyville, Texas, recalls one customer who phoned and said ``I can't believe I didn't check the package before I left the store. I got home and found that I have the large pants, instead of the medium ones. I'm not planning to be near the store again anytime soon, so ... ''  What the customer really wanted was for Young to come to her house and make the exchange. But it's effective in getting a point across to state your request definitively, Fortgang says.  For example, instead of saying to a colleague, ``Could you help me with a project on Friday if you have time?'' say, ``Will you definitely have time to help me on Friday, or should I make other arrangements?''  Make statements short and sweet, Booher says. You weaken your position by loading sentences with intensifiers such as ``so,'' ``very'' and ``much,'' or with too many adjectives and adverbs, when a bare-bones sentence of nouns and verbs would suffice. DO YOU HAVE THAT MUCH TO BE SORRY FOR?  After a recent speech, Booher accidentally bumped into a woman standing in front of her in the buffet line, making the woman spill her tea. Before Booher could apologize, the woman said how sorry she was, even though Booher was clearly at fault.  Many people automatically apologize for all kinds of things that aren't their fault or don't call for an expression of remorse.  Oliver remembers approaching busy salesclerks with ``I'm so sorry to bother you.'' ``But I really wasn't sorry, and I really wasn't bothering them _ that's their job,'' she says.  You may think you're merely being polite, but too many ``sorries'' make you sound wimpy. Next time you have the urge to ask for forgiveness, wait a minute and consider what your point would sound like without the apology. Then just say it. PRACTICE, PRACTICE, PRACTICE  Chwat advises testing the ``new you'' in anonymous, non-threatening situations, such as over the telephone. Next, weave in examples of your improved language and style when you're speaking with someone in person, such as a salesclerk or a waiter. Finally, try a few techniques on family and friends.  ``You may think you sound outrageous, but in fact you'll elicit no unusual response at all,'' he says. If anything, your friends will respect and admire you all the more.  (Patricia Kitchen is a New York-based free-lance writer.) ------------------------------------------------- (To publish this article, it must be purchased _ the rate is not prohibitive _ from New York Times Syndicate sales representative CONNIE WHITE in Kansas City at 1-800-444-0267 or 816-822-8448, or by fax her at 816-822-1444.) (She also has information on how to subscribe to PageUp, a weekly package of eight intriguing articles with color art.) </TEXT> </DOC> <DOC id=NYT_ENG_19951030.0519 type=multi > <DATELINE>  (BC-JONATHAN-PRYCE-PAGEUP-NYTSF) </DATELINE> <TEXT> JONATHAN PRYCE, `CARRINGTON' AND THE ART OF ACTING (This ``separate buy'' article is from this week's PageUp Lifestyle and Entertainment Package.) (To publish this article, it must be purchased _ the rate is not prohibitive _ from New York Times Syndicate sales representative CONNIE WHITE in Kansas City at 1-800-444-0267 or 816-822-8448; fax: 816-822-1444.) (She also has information on how to subscribe to PageUp, a weekly package of eight intriguing articles with color art.) Includes a color slide of Jonathan Pryce in a scene from ``Carrington.'' By IAN SPELLING (Distributed by New York Times Special Features)  A biographical period-piece film about the loving, taboo-breaking relationship between a gay man and a younger woman who romances other men?  Such a scenario sounds mighty unlikely, especially these days, when films are painstakingly planned to attract as wide and lucrative an audience as possible.  Yet that's the essence of ``Carrington,'' which explores the intense relationship between two famous Brits, the respected author Lytton Strachey and the noted artist Dora Carrington, who fell in love in England in 1915 and spent the next 17 years involved in a bizarre, open relationship. The film debuts Nov. 10 in major cities, with additional screens to be added slowly over the next few weeks.  That ``Carrington'' _ which was written and directed by Christopher Hampton after a 19-year gestation period during which the script was widely regarded as too cerebral to be viable _ actually came to pass surprises no one more that its star, Jonathan Pryce. He plays the frail, thick-bearded Strachey to Emma Thompson's flush-faced, spirited Carrington.  ``Thank God it's finally done,'' Pryce says, running his fingers through his thinning, salt-and-pepper hair during a conversation over tea at a Manhattan hotel. ``I've been involved with the project since 1992, but I kept thinking it had gone away.  ``We lost our financing, we lost our director (Mike Newell), and then it looked as if I was not going to be able to fit it into my schedule. Finally, it all somehow came together, with very little money, with Christopher making his directing debut and with Emma and I able to squeeze it in.  ``Was it worth the wait? Absolutely. After `Brazil' (1985) it's the best film experience I've had, because I think that my strength as an actor is my theater work, and the role of Lytton is as close as I've had to a theatrical experience on film.''  Pryce, best known to American audiences for the film ``Glengarry Glen Ross'' (1992), his Tony Award-winning performance in ``Miss Saigon'' and his ubiquitous Infiniti television commercials, admits he was initially concerned that ``Carrington'' could turn into a costume drama centering on two boring, stiff people.  As much as he appreciated Hampton's script, Pryce felt both Strachey and his relationship with Carrington failed to come to life until the film's rehearsal period, which lasted two weeks.  ``I create characters in relation to other people,'' says the 48-year-old actor, who was born in North Wales. ``I'm informed by how another actor responds to my performance, to my character.  ``So having someone like Emma to play off of enabled it to jell. She helped me find his voice, and from there I found his humor and really began to enjoy being him.  ``If my performance works, I credit a lot of it to Emma.''  Though the caustically funny Strachey and the droll Carrington obviously shared a great deal of genuine affection, not to mention laughter, their tale would not be complete without its more tragic aspects. The two never consummated their relationship, and endured both jealous lovers and contemptuous contemporaries.  Further, the general consensus of the art world has always been that Carrington would have been a more accomplished, more productive painter had she not been so obsessed with and devoted to Strachey.  ``There was pain involved, but there's pain in all kinds of relationships,'' Pryce says. ``They felt great comfort with one another, and each found the kind of sympathetic relationship they needed _ which makes me believe theirs was not a tragic pairing at all.''  Pryce says he felt entirely at home playing a homosexual, though he is not gay. In fact, he says, it isn't the first time he's played a gay man _ only the first time that a character's sexual identity has been central enough to be overt.  In the past, he's played characters whom he as an actor perceived as gay, though the audience probably was never aware of it, he says. As far as he is concerned, it was only one aspect of his overall conceptions of those characters.  ``Homosexuality is so much a part of my life,'' he says, ``that (playing a gay character) doesn't seem like anything unusual or different from how I approach any other character or person that I've been involved with in the past.  ``I have homosexual friends, and I work in the theater both here and in England,'' he says. ``Homosexuality is a way of life that's embraced and celebrated in the theater world. You don't spend 20 years in the theater, as I've done, and not have it be a part of your life.  ``Strachey just happens to be an obviously homosexual character _ `obvious' because his preference is talked about and we see him with other men.''  Pryce seems pleased with ``Carrington,'' which received an extended standing ovation after a screening at the Cannes Film Festival. His work in the film earned him the Best Actor award at Cannes, and he is being talked of as a candidate for an Oscar nomination.  And, while he's happy that the film focuses in part on a gay man, he's happier that it delves into a complex relationship.  ``Any film that does that is worthwhile,'' he says. ``I don't see `Carrington' as a crusade piece or a campaign piece.  ``You can sense the prejudice behind a lot of questions concerning gays and projects that depict gays, and it's always an unwanted surprise. But you have to deal with it.  ``Still, you have to be careful because if you talk about it and you're not gay, it can begin to sound incredibly patronizing, like Oscar-speech time. I refuse to approach it like that.''  Pryce clearly takes a careful approach to his career, choosing quality over either quantity or box-office potential. Prior to ``Carrington,'' Pryce starred with Christopher Walken and Carole Bouquet in the independent film, ``A Business Affair.''  An offbeat love story currently in limited theatrical release, ``Business Affair'' casts Pryce as a reticent author whose frustrated wife (Bouquet) is lured away from him by his publisher (Walken).  After filming ``Carrington,'' the actor spent nine months in London, portraying Fagin in a stage revival of the musical ``Oliver!'' He will not, however, reprise the role if ``Oliver!'' jumps the pond for a run in America, because he says he feels he has exhausted the role's dramatic possibilities.  Pryce spent much of the past summer with his wife, actress Kate Fahy, and their three young children at the family's home in London. He also indulged himself anew in a once-great passion.  ``At one point in my life I thought I was going to be an artist _ a painter. But then acting came along, and that took care of my creative impulses,'' he says, laughing.  ``Now I'm drawing and painting again, and after not having done it all those years, I'm actually a little better at it because I'm more confident _ and because I don't have a teacher standing behind me anymore.''  Currently, Pryce the actor is preparing for another role, starring as Juan Peron opposite Madonna and Antonio Banderas in the long-awaited film version of ``Evita.''  ``I've got plenty of challenges ahead, I think, but they have less to do with my work and more to do with me,'' he says. ``I'd like to become a calmer, saner, more responsible human being.  ``The sound bite would be to say I want to continue to do good work, but there's more to it than just that. It's really a game you play with yourself.  ``I keep my ambitions to myself and, to paraphrase Strachey, the fact that I might be ambitious is a secret.''  Pryce pauses.  ``Actually, you know, ambition isn't a bad word.''  (Ian Spelling is a New York-based free-lance writer.) (To publish this article, it must be purchased _ the rate is not prohibitive _ from New York Times Syndicate sales representative CONNIE WHITE in Kansas City at 1-800-444-0267 or 816-822-8448; fax: 816-822-1444.) (She also has information on how to subscribe to PageUp, a weekly package of eight intriguing articles with color art.) ------------------------------------------------- </TEXT> </DOC> <DOC id=NYT_ENG_19951030.0520 type=multi > <DATELINE>  (BC-MAURICE-SENDAK'S-LITTLE-BEAR-PAGEUP-NYTSF) </DATELINE> <TEXT> MAURICE SENDAK BRINGS LITTLE BEAR TO TV (This ``separate buy'' article is from this week's PageUp Lifestyle and Entertainment Package.) (To publish this article, it must be purchased _ the rate is not prohibitive _ from New York Times Syndicate sales representative CONNIE WHITE in Kansas City at 1-800-444-0267 or 816-822-8448; fax: 816-822-1444.) (She also has information on how to subscribe to PageUp, a weekly package of eight intriguing articles with color art.) By JAN BENZEL c.1995 The New York Times (Distributed by New York Times Special Features)  The sign on his door reads ``Overstock and Maurice Sendak.''  Sendak emerges, a slight, squarish man, graying and somehow familiar, as if he were the relative of someone you know quite well.  As he talks, the glimmers get stronger. Behind the beard and glasses, there is Max, the defiant boy sent to his room in ``Where the Wild Things Are'' (HarperCollins, 1963). And Micky, who dreams of adventure in ``The Night Kitchen'' (HarperCollins, 1970). There is Rosie, who imagines herself into Alinda, the lovely lady singer.  There, too, are the Wild Things. And Little Bear, whom Sendak drew to illustrate Else Holmelund Minarik's stories, and who has tumbled out of the 1950s ``I Can Read'' books onto his own Nickelodeon series.  They are squat. They have obstinate hair that sticks straight down, or prickly-looking fur. They are bundles of restless energy and emotions and imagination, trying to make sense of their worlds.  But, Sendak says, they are not him.  ``Nothing in my books is autobiographical,'' he maintains over a roast-beef sandwich in the nondescript office he uses in the HarperCollins building in midtown Manhattan.  ``People always assume that if you write about children, you're writing about your own childhood. I was always writing childhoods I wished mine was like, giving children room to live in a way that I wasn't. Why re-create my childhood? I had to live tediously through it.  ``I never doubted that I was loved,'' he says. ``But I had parents who had no idea what children were all about. They just bumped along in the dark.''  When Minarik's first manuscript arrived unsolicited at Harper Brothers, where Sendak was working as a young illustrator and gofer in the 1950s, he seized the chance to illustrate it.  He had been a third child, the son of a father who worked so hard he was rarely home and a mother who took in sewing to help support her family.  Little Bear is the only cub of a mother who is always there when Little Bear needs or wants her. Little Bear roams the forest, tussling with independence, trust and friendship.  Sendak's passion at the time was for Victorian illustration, and the books _ and the series _ have an old-fashioned, carefully detailed style, drawn with lots of crosshatching.  ``It was a perfect opportunity to present the idealized child-and-parent relationship,'' he remembers. ``The unsentimental dream relationship, not the phony kiddie-book mommy-daddy-kiddie relationship. And Else had written that book, drained of sentiment. All heart, no sentiment _ big difference. Lean, clean, tough, dramatic, heartbreaking.''  Little Bear will be the star of ``Maurice Sendak's Little Bear,'' a half-hour program appearing on Nickelodeon on Mondays at noon, beginning Nov. 6. It joins a growing roster of gentle, well-produced programming for preschool children on the cable channel, with series including ``Gullah Gullah Island,'' ``Allegra's Window,'' ``The Busy World of Richard Scarry'' and ``Rupert Bear.''  Sendak, who is 67, is again working closely with Minarik, now 75 and living in New Hampshire, to adapt the ``Little Bear'' stories for television. With their guidance, a team of writers has expanded the spare universe of the books, coming up with new adventures and dialogue.  ``When you move from one form to another, if you don't accept that you're going to have to rework it, then you shouldn't do it,'' says Sendak, who has adapted ``Really Rosie'' (HarperCollins 1986) and other stories of his own for television and video.  Does it compromise the books to offer them up as television?  ``What do you do?'' he says, throwing up his hands. ``Just turn your back and just keep doing books for an elitist group of people that can afford books? Our job is to bring the elemental qualities that mean so much into these new forms. ```Little Bear' is worlds apart from what kids are seeing,'' he says. ``People move slowly. People talk slowly. Hardly anything happens.  ``How many things do you see on television where the parents are in love with each other, or they love their kids? Little Bear gets hugged and squeezed and kissed endlessly. Something as ordinary as that looks a little extraordinary.  ``Whether it's good television, I haven't a clue.''  (Jan Benzel is a staffer for The New York Times.) (To publish this article, it must be purchased _ the rate is not prohibitive _ from New York Times Syndicate sales representative CONNIE WHITE in Kansas City at 1-800-444-0267 or 816-822-8448; fax: 816-822-1444.) (She also has information on how to subscribe to PageUp, a weekly package of eight intriguing articles with color art.) ------------------------------------------------- </TEXT> </DOC> <DOC id=NYT_ENG_19951030.0521 type=story > <HEADLINE> CLINTON CONCERNED WITH BELL PROVISIONS IN TELECOM BILL (UPDATE2) </HEADLINE> <DATELINE> Washington, Oct. 30 (Bloomberg) (BC-CLINTON-TELECOM-UPDATE2-BLOOM) </DATELINE> <TEXT> "	"nyt_eng_199510.gz"
"43406"	"she"	"reports"	" A new wrinkle this year is that office workers are starting to buy gift packs for their colleagues at work, she reports, adding: ``Some people think the price is a little high, but you know, time is money, too.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19951222.0367 type=advis > <DATELINE>  (BC-GRAPHICS-EARLY-BUDGET-NYT) </DATELINE> <TEXT> Here are the New York Times News Service Macintosh graphics scheduled for AMs of Friday. The graphics are transmitted via satellite on Associated Press GraphicsNet and are posted on PressLink and NewsCom . For questions on graphics call (212) 556-4204 between noon and 8 p.m. EST. For retransmission of graphics from the AP, call the AP Service Desk at 212-621-7983.  GENERAL  Nothing at this time. Please check late budget for additions.  SUNDAY FINANCIAL  Please check the late budget for additions, deletions and more complete information regarding sizes.  INVEST/Assets breakdown -- tk -- (BC-INVEST-ADVISERS-NYT)  Assets managed by financial planners; number of mutual funds.  MUTFUND/Tech stocks effect -- tk -- (BC-MUTFUND-FIDELITY-NYT)  Fidelity funds effected by having concentrations of tech. stocks.  MUTFUND/Bramwell's top stocks -- tk -- (BC-MUTFUND-BRAMWELL-NYT)  Top three stocks as picked by Bramwell.  SPEND/Student loans consolidate -- tk -- (BC-SPEND-STUDENT-LOANS-NYT)  Number of student loans that are consolidated and for what amount.  FUNDS/Outperforming S&AMP;P -- 25p x tk -- (BC-FUNDS-WATCH-NYT)  Ten funds that have outperformed the S&AMP;P 500; who manages them.  ABOUT-CARS/Entry luxury cars -- 30p x 3 1/8 -- (BC-ABOUT-CARS-NYT)  Comparing U.S. and Japanese entry-level luxury cars.  BIZWEEK/Chart 12/24 -- Weekly financial chart.  MARKETWATCH/Thumbnail 12/24 -- Weekly financial chart.  SUNFIN WEEKLY 12/24 -- Weekly financial chart.  KEY RATES/Weekly 12/24 -- 6 x 3 1/2 -- Weekly financial chart.  THE WORLD MARKETS 12/24 -- 2 x 8 -- Stand alone chart.  World stock markets and tabular material on world currencies.  BUSINESS  Invest-Compare -- 20p x 3 5/8 -- Alternating business chart  DAILY FINANCIAL CHARTS  12/23 MINUTE BY MINUTE -- 20p x 3 -- DOW activity minute-by-minute  12/23 HILOCLOSE -- 24p x 4 1/2 -- S&AMP;P high, Low and Close  12/23 NYSE VOLUME -- 24p x 2 5/8 -- Volume on the NYSE  12/23 KEY RATES -- 1 x 2 3/8 -- Treasury\325s bonds, notes and bills  DAILY WEATHER  12/23 COLOR WEATHER -- 3 x 3 5/8 -- National forecast map in color  12/23 B&AMP;W WEATHER -- 3 x 3 5/8 -- National forecast map  12/23 CLOUD COVER -- 15p x 1 1/2 -- The predicted cloud cover  12/23 MOON PHASES -- 1 X 5/8 -- The phases of the moon.  N.Y. Times News Service </TEXT> </DOC> <DOC id=NYT_ENG_19951222.0368 type=story > <HEADLINE> BROWN PREPARES TO CHOOSE THREE COMMISSIONERS </HEADLINE> <DATELINE> SAN FRANCISCO (BC-BROWN-TRANSITION-HNS) </DATELINE> <TEXT> "	"nyt_eng_199512.gz"
