"pronoun"	"verb"	"context"	"filename"
"1337"	"he"	"responded"	" When Gabe Pressman charged in an interview on WNBC-TV in late May that Pataki had voted against the bill, he responded, ``No, we have not had a vote on assault weapons.'' </P> "	"nyt_eng_199407.gz"
"2462"	"he"	"responded"	" When asked if he thought the competition had been fair up to this point, he responded, ``So far, yeah.'' </P> "	"nyt_eng_199408.gz"
"3066"	"he"	"responded"	" ``When asked if he picked up the glove to examine it, he responded, `Not at that time, no,' '' Douglas wrote. </P> "	"nyt_eng_199408.gz"
"5514"	"he"	"responded"	" Startled by an unexpected question about politics, he responded, with almost rote pride of his neighborhood, ``Vigario Geral is Brizolista.'' </P> "	"nyt_eng_199409.gz"
"5867"	"she"	"responded"	" Ms. Rongoni said she disliked Kennedy. Asked why, she responded, ``I read a book about Mary Jo Kopechne.'' Ms. Kopechne died in a 1969 accident at Chappaquiddick in which Kennedy was involved. </P> "	"nyt_eng_199410.gz"
"10532"	"he"	"responded"	" After a news conference, Gramm said of the Finance Committee outlook, ``It's not a big deal. This is a seniority thing.'' Asked about Dole's motives, he responded, ``How would I know? There is no tension on my part. How do you judge other people's motives?'' </P> "	"nyt_eng_199412.gz"
"11537"	"he"	"responded"	" For Penzenik, a junior making his first career start, it was his second interception of the game and of his career. During postgame interviews, he cradled a ball in his arm. Asked if it was one of the interceptions, he responded, ``No.2.'' </P> "	"nyt_eng_199501.gz"
"11796"	"he"	"responded"	" ``I would buy my mother a house,'' said a girl on a class trip. Other 8-year-olds in the girl's third-grade class at Public School 138 in Queens said they would bank the money for their education, or take all their friends around the world. But when a graying man who had signed in as Joe was asked the same question, he responded, ``I would never speak to Sylvia again.'' </P> "	"nyt_eng_199501.gz"
"12215"	"he"	"responded"	" Aikman said he will never get a chance like the three-peat opportunity he has now. When asked if he thinks his career will last into double digits, he responded, ``I would like for it to, but realistically probably not.'' </P> "	"nyt_eng_199501.gz"
"12705"	"he"	"responded"	" Asked by an associate about the Fed's persistent efforts to ``slow down the economy now that it's finally going again,'' Greider writes, he responded, in short: ``Because the rich are running the country.'' </P> "	"nyt_eng_199501.gz"
"13883"	"he"	"responded"	" Asked what that meant, he responded, ``What does it sound like? Don't ask dumb questions tonight. </P> "	"nyt_eng_199502.gz"
"18975"	"he"	"responded"	" Asked in the interview Saturday whether the same mistakes could be repeated now, he responded, ``Absolutely, not only can be but are being repeated.'' American difficulties in Bosnia and Somalia, he said, involved some similar errors. </P> "	"nyt_eng_199504.gz"
"18986"	"he"	"responded"	" Asked in the interview Saturday whether the same mistakes could be repeated now, he responded, ``Absolutely, not only can be but are being repeated.'' American difficulties in Bosnia and Somalia, he said, involved some similar errors. </P> "	"nyt_eng_199504.gz"
"19011"	"he"	"responded"	" Asked in the interview Saturday whether the same mistakes could be repeated now, he responded, ``Absolutely, not only can be but are being repeated.'' American difficulties in Bosnia and Somalia, he said, involved some similar errors. </P> "	"nyt_eng_199504.gz"
"20521"	"he"	"responded"	" Was he unwittingly stoking up the extremist, lunatic fringe? Absolutely not, he responded, ``I have a fine, intelligent, thoughtful audience.'' </P> "	"nyt_eng_199504.gz"
"20523"	"he"	"responded"	" Was he unwittingly stoking up the extremist, lunatic fringe? Absolutely not, he responded, ``I have a fine, intelligent, thoughtful audience.'' </P> "	"nyt_eng_199504.gz"
"20586"	"he"	"responded"	" Was he unwittingly stoking up the extremist, lunatic fringe? Absolutely not, he responded, ``I have a fine, intelligent, thoughtful audience.'' </P> "	"nyt_eng_199504.gz"
"20588"	"he"	"responded"	" Was he unwittingly stoking up the extremist, lunatic fringe? Absolutely not, he responded, ``I have a fine, intelligent, thoughtful audience.'' </P> "	"nyt_eng_199504.gz"
"27845"	"she"	"responded"	" When he asked if she understood the punishment she could receive if she was convicted, she responded, ``The death penalty.'' </P> "	"nyt_eng_199507.gz"
"33044"	"he"	"responded"	" Asked why he thought France had any obligation to help Algerians, he responded, ``How can they talk about defending freedom and liberty if they fail to protect a most basic human right like staying alive.'' </P> "	"nyt_eng_199509.gz"
