"pronoun"	"verb"	"context"	"filename"
"4411"	"it"	"rose"	" In most previous Japanese recessions, the personal savings rate has fallen as workers have received smaller bonuses and done less overtime but have maintained their consumption. This time, however, it rose, from 14 percent of disposable income in mid-1990 to more than 15 percent. </P> "	"nyt_eng_199409.gz"
"4412"	"it"	"rose"	" In most previous Japanese recessions, the personal savings rate has fallen as workers have received smaller bonuses and done less overtime but have maintained their consumption. This time, however, it rose, from 14 percent of disposable income in mid-1990 to more than 15 percent. </P> "	"nyt_eng_199409.gz"
"4489"	"it"	"rose"	" In most previous Japanese recessions, the personal savings rate has fallen as workers have received smaller bonuses and done less overtime but have maintained their consumption. This time, however, it rose, from 14 percent of disposable income in mid-1990 to more than 15 percent. </P> "	"nyt_eng_199409.gz"
"4490"	"it"	"rose"	" In most previous Japanese recessions, the personal savings rate has fallen as workers have received smaller bonuses and done less overtime but have maintained their consumption. This time, however, it rose, from 14 percent of disposable income in mid-1990 to more than 15 percent. </P> "	"nyt_eng_199409.gz"
"4491"	"it"	"rose"	" In most previous Japanese recessions, the personal savings rate has fallen as workers have received smaller bonuses and done less overtime but have maintained their consumption. This time, however, it rose, from 14 percent of disposable income in mid-1990 to more than 15 percent. </P> "	"nyt_eng_199409.gz"
"4565"	"it"	"rose"	" In most previous Japanese recessions, the personal savings rate has fallen as workers have received smaller bonuses and done less overtime but have maintained their consumption. This time, however, it rose, from 14 percent of disposable income in mid-1990 to more than 15 percent. </P> "	"nyt_eng_199409.gz"
"4566"	"it"	"rose"	" In most previous Japanese recessions, the personal savings rate has fallen as workers have received smaller bonuses and done less overtime but have maintained their consumption. This time, however, it rose, from 14 percent of disposable income in mid-1990 to more than 15 percent. </P> "	"nyt_eng_199409.gz"
"4567"	"it"	"rose"	" In most previous Japanese recessions, the personal savings rate has fallen as workers have received smaller bonuses and done less overtime but have maintained their consumption. This time, however, it rose, from 14 percent of disposable income in mid-1990 to more than 15 percent. </P> "	"nyt_eng_199409.gz"
"16067"	"they"	"rose"	" That is when Shanghai International made its ill-fated bet that prices would fall. Instead, they rose, sharply and relentlessly. But in the final minutes of trading, they suddenly dropped like a stone, when a blizzard of sell orders hit the market. </P> "	"nyt_eng_199503.gz"
"50067"	"she"	"rose"	" Then, as promised, she rose, quickened the pace, executed two clean jumps, let the radiance return to her face. When she had finished, she hugged her daughter. Then Grinkov's mother, Ana. Then Zoueva. </P> "	"nyt_eng_199602.gz"
"73356"	"they"	"rose"	" Yet when the Fed left the target at 5.25 percent, bond prices did not fall as they probably would have in the past, making borrowers pay extra in higher interest payments. Instead, they rose, with long-term interest rates falling. Since then, the yield on the inflation-sensitive 30-year bond has dropped to 6.84 percent from 7.02 percent. </P> "	"nyt_eng_199610.gz"
