"pronoun"	"verb"	"context"	"filename"
"14718"	"we"	"saw"	" ``There was a bantam show in town,'' Eck recalled, as we bit into the pie's crumbly, buttery crust. ``We went, we saw, we bought, we came home and said, `Oh, now what?' '' </P> "	"nyt_eng_199502.gz"
"18393"	"she"	"saw"	" She is Serena's Song, the grandest filly in the land, and on Saturday she came, she saw, she conquered seven colts in the $600,000 Jim Beam Stakes, the richest prep race for the Kentucky Derby. </P> "	"nyt_eng_199504.gz"
"18966"	"they"	"saw"	" ``When you look back five years from now, you're going to say they came, they saw, they conquered,'' Thompson said in an interview. ``They changed federal government from being an omnipotent power to a federalist power, the way the framers envisioned it, and they actually did something about the deficit.'' </P> "	"nyt_eng_199504.gz"
"20075"	"we"	"saw"	" Several years ago, when we first visited Boone, we were entranced by the lovely live oaks that flanked the entrance avenue, fully a half-mile long. (The avenue was majestic in the same way as Savannah's Victory Drive, three miles of palm-lined boulevard, a memorial to World War I servicemen.) As we sighed in pleasure, we saw, off to the left, a row of slave quarters, nine of them, made of brick. We could hardly wait to peer inside, and when we did, we couldn't believe the rush of sadness conjured up by the tangible knowledge of how our ancestors had lived. </P> "	"nyt_eng_199504.gz"
"25194"	"they"	"saw"	" LA-TOURISM (Los Angeles) _ They came, they saw, they spent. A million more visitors vacationed in Los Angeles County last year, according to a new study from the L.A. Convention &AMP; Visitors Bureau. The region's tourism industry is showing some life after a series disasters _ civil and natural _ kept visitors away. By Gregory J. Wilcox. (Will move in the ``f'' financial news file and in the ``n'' California news file.) </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950614.0427 type=story > <HEADLINE> BLOOMBERG PROFILE: THE DIFFERENT SIDES OF LOTUS BOSS JIM MANZI </HEADLINE> <DATELINE> New York, June 14 (Bloomberg) (BC-BBNFEATURE-PROFILE-MANZI-BLOOM) </DATELINE> <TEXT> "	"nyt_eng_199506.gz"
"30224"	"they"	"saw"	" ``It's a good thing my mortgage is paid off,'' he laughed. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950804.0475 type=advis > <DATELINE>  (BC-SPOT-BUDGET-BOS) </DATELINE> <TEXT> For Release SATURDAY AMs, August 5, 1995  The Boston Globe plans to move the following spot news stories for use by NYTimes News Service clients.  For questions about stories, contact Frank Perrotta at the Globe, 617-929-2597. For individual purchase of graphics or photos please call 212 556-4204 or -1927.  All stories will bear the BOS designator.  INTERNATIONAL (i)  CROATIA-PETRINJA (Zagreb) _ Army forces capture much of town of Petrinja and overrun the valley where rebel Serb missiles had been trained on Zagreb. By Elizabeth Neuffer. 1000 words.  VIETNAM-LIBERALS (Washington) _ Hanoi re-arrests two prominent party officials who have taken a more liberal line. By Paul Quinn-Judge. 900 words.  JAPAN-FRANCE (Tokyo) _ Both houses of the Diet unanimously condemn French plans for nuclear weapons testing in the South Pacific. By Charles Radin. 700 words.  NEWF-LIGHTOUSE (Cape Spear, Newfoundland) _ Family that ran lighthouse for decades to be displaced as Canada automates 70 beacons. By Colin Nickerson. 950 words.  WASHINGTON (w)  TELECOM-HOUSE (Washington) _ House expected to pass the telecommunications bill, most far-reaching rewrite of such a statute in years. By Bob Hohler. 1100 words.  BUDGET-CUTS (Washington) _ Clinton expected to blast House GOP for passing $9.3 billion appropriations bill after a bitter late-night debate. By Jill Zuckman. 1250 words.  NATIONAL (a)  MASS-WELFARE (Boston) _ Feds approve waiver allowing Massachusetts welfare reform to proceed, but the state still has to sign off on a compromise to let unemployed stay on welfare past the two-year cutoff. By Doris Sue Wong and Peter Gosselin. 900 words.  SCHOOLS-PAYZANT (Boston) _ New Boston schools superintendent Thomas Payzant visits a day after the School Committee picks him to lead the 63,000-student system. By Jordana Hart and Adrian Walker. 1000 words.  CRASH-RESCUERS (Boston) _ Two truckers say they helped pull surviving victim from the wreckage after a fatal accident in New Hampshire Wednesday. By Richard Chacon. 900 words.  LIVING (l)  AUTO-COLUMN (Kingfield, Maine) _ They came, they saw, they spent. That about sums up the first Stanley Museum Parts and Cars Auction. By John R. White.  ANIMALS-COLUMN (Ridgefield, Conn.) _ The Jane Goodall Institute recently moved from Arizona and is the famed chimp researcher's base in the United States. By VickiCroke.  ENTERTAINMENT/ARTS (e)  TV-HIROSHIMA (Undated) _ Television balances on a very shaky tightrope when it mixes historical footage and fictional drama. In ``Hiroshima,'' the difficulties are multiplied because there are also two directors. By Michael Blowen.  MUSIC-LESNOCES (Lenox, Mass.) _ Stravinsky's ``Les noces'' is one of the most astonishing 20-minute stretches of music in existence. By Richard Dyer.  FINANCIAL (f)  JOBS-RATE (Undated) _ US employment grew sluggishly last month, reflecting sharp job cuts in manufacturing. By Charles Stein. 900 words.  DEMOULAS-ASSETS (Boston) _ Judge orders owners of the Demoulas supermarket chain to restore millions of dollars in assets they allegedly diverted from their relatives. By Chris Reidy. 600 words.  SPORTS (s)  FBN-PATRIOTS (Foxboro, Mass.) _ Detroit Lions at New England Patriots. By Ron Borges.  w/  BBA-RYAN-COLUMN (Foxboro, Mass.) _ By Bob Ryan.  BBA-REDSOX (Toronto) _ Boston Red Sox at Toronto Blue Jays. By Nick Cafardo.  MCDONOUGH-COL (Undated) _ Why decertification would be good for the Celtics. By Will McDonough.  OLY-COLUMN (Undated) _ What wrecked the US Olympic Festival is that too many sports federations didn't send the varsity because they had better competitive options or were training for upcoming world championships. By John Powers.  RAC-SPICY (Salem, N.H.) _ Big duel adds flavor to Spicy. By Ron Indrisano.  TRA-IAAF (Goteborg, Sweden) _ Long jumper Carl Lewis confirms that a balky hamstring will likely keep him from competing in the IAAF World Championships in Track and Field. By Bill Griffith.  The Boston Globe </TEXT> </DOC> <DOC id=NYT_ENG_19950804.0476 type=story > <HEADLINE> THE LAST FRONTIER FOR CHIMPANZEES: GOODALL COMES TO CONNECTICUT </HEADLINE> <DATELINE> RIDGEFIELD, Conn. (BC-ANIMALS-COLUMN-BOS) </DATELINE> <TEXT> "	"nyt_eng_199508.gz"
"30226"	"they"	"saw"	" They came, they saw, they spent. That about sums up the first Stanley Museum Parts and Cars Auction, the first auction dedicated to Stanley steam cars since the factory liquidation in 1926. About 200 Stanley collectors and enthusiasts descended upon Kingfield, a village of only 1,100 inhabitants at the best of times. Bidders from coast to coast and as far afield as New Zealand, Australia, England and Canada spent upward of $200,000 on four cars and more than 350 lots of parts _ enough to build another car or two. </P> "	"nyt_eng_199508.gz"
"30426"	"we"	"saw"	" The introduction _ We came, we saw, we waited. It was unusual because previous visits resulted in an overkill of salespeople _ wait, they call themselves ``cast members'' because this isn't a store, it's an electronic amusement park. </P> "	"nyt_eng_199508.gz"
"34139"	"I"	"saw"	" Driving down Piedmont Avenue last Sunday, I saw, on Ansley Park traffic islands, lantana, liriope, dusty miller _ and on one, a Japanese maple. In West End, the Ashby Street island included crape myrtle, holly and verbena. Both sites prov ide welcome diversion from the road wars. </P> "	"nyt_eng_199509.gz"
"35411"	"he"	"saw"	" Gonzalez never would be mistaken for Tyson or Holyfield, however. His skills were raw, his disdain for trainers and training his fatal flaw. Yet when Holmes looked at the ease with which Bowe dominated him, he saw, he believes, the future of the division he once dominated not simply because of that crushing victory but for a more obvious reason _ that the flabby Riddick Bowe who lost the title to Holyfield is not the same one who will be fighting him again on Nov. 4 and most certainly would not be the one fighting Tyson if such a bout ever came about. </P> "	"nyt_eng_199510.gz"
