"pronoun"	"verb"	"context"	"filename"
"8084"	"she"	"screamed"	" Mrs. Smith reported that an armed man forced her out of her car at a stoplight at a crossroads a few miles outside Union and drove away with her children still strapped into the backseat, leaving her screaming in the middle of the road. As the man drove away, Mrs. Smith said, she screamed, ``I love ya'll!'' </P> "	"nyt_eng_199411.gz"
"21564"	"they"	"screamed"	" They fought, they screamed, they got drunk together, made love and crisscrossed the globe with assorted kids, dogs, yachts and entourages in tow. </P> "	"nyt_eng_199505.gz"
"23242"	"you"	"screamed"	" Remember when I screamed, you screamed, we all screamed for ice cream? </P> "	"nyt_eng_199505.gz"
"46119"	"they"	"screamed"	" The fans waited patiently. That is, until camera crews on the tarmac turned their lenses to them. Then, they screamed, waved their arms and jumped up and down, spewing love for the Cowboys. </P> "	"nyt_eng_199601.gz"
"46405"	"I"	"screamed"	" Now imagine that instead of whispering a warning about a snake, I screamed, ``Look out! A tiny kitten is about to touch your finger!'' Hmmmm. The loudness of my voice may cause you to flinch, but once the meaning of my words dawn on you, you are going to wonder what the fuss its about. </P> "	"nyt_eng_199601.gz"
"66632"	"they"	"screamed"	" The kids came running, and when another head popped up in another place, they screamed, too. The idea of a hidden cold-blooded reptile has a peculiar pull on the imagination. Besides, snapping turtles and crocodiles are among few creatures on earth whose young emerge from their eggs biting. They're capable of eating mammals and small birds, and the sharp edges of their horny jaws can take off a child's finger with little effort. </P> "	"nyt_eng_199608.gz"
"81544"	"she"	"screamed"	" ``When she saw me, she screamed, because I had blood all over my face,'' he says sheepishly. </P> "	"nyt_eng_199612.gz"
"81572"	"he"	"screamed"	" According to an investigator, who spoke on condition of anonymity, witnesses said the man started preaching about Christianity and when a police officer escorted him from the temple, he screamed, ``When I get arrested, things blow up.'' </P> "	"nyt_eng_199612.gz"
"104211"	"I"	"screamed"	" Outwardly, I applauded her and encouraged her to remember me when she moved into her ivory tower. Inwardly, I screamed, ``No, child, no! Do not rush out of the happy, safe confines of school. Enjoy your youth. Enjoy the free ride for at least four years.'' </P> "	"nyt_eng_200201.gz"
"109052"	"he"	"screamed"	" On Sept. 15, Balbir Singh Sodhi, 49, a Sikh from Mesa, Ariz., was fatally shot while working at a gasoline station. When the police arrested a man in the killing, the report said, he screamed, ``I am a patriot.'' </P> "	"nyt_eng_200203.gz"
"142876"	"she"	"screamed"	" Back, she screamed, please get back. Officials blocked the road to the feeding station when it got too crowded, trying to prevent the violence that breaks out where ever there is food. The day before only the strongest men came away with anything, and the children and the women were too small to fight through the mobs. </P> "	"nyt_eng_200409.gz"
"151224"	"they"	"screamed"	" And when he thanked them, they screamed, Viva el Papa! Viva el Papa! </P> "	"nyt_eng_200504.gz"
