"pronoun"	"verb"	"context"	"filename"
"35"	"it"	"seemed"	" ``That's too good,'' Becker said. ``I had the best seat in the house. That is the best exhibition of serving I have seen against me. I have one chance ... and he hits me with an ace. He serves two aces every game, it seemed, plus a great volley. If that's what it takes to beat me, then he's too good. </P> "	"nyt_eng_199407.gz"
"691"	"it"	"seemed"	" The small Balkan nation brought a pathetic record of 0-10-6 and, it seemed, little or no hope of making its presence felt into this year's tournament. </P> "	"nyt_eng_199407.gz"
"841"	"it"	"seemed"	" At the time, monetary regulations in the Soviet Union allowed companies to collect revenues in hard currency only in very limited cases, including some restaurants. So Ordovsky-Tanaevsky Blanco opened his first restaurant, the Spanish Bar, in a Moscow hotel in 1990 -- an appropriate choice, it seemed, for the bicultural entrepreneur, who grew up in Venezuela speaking Spanish but also attending Russian Orthodox Church and a Russian-language school on Saturdays. Besides, the new restaurant brought in plenty of dollars and Deutsche marks. </P> "	"nyt_eng_199407.gz"
"887"	"it"	"seemed"	" When O.J. Simpson was arrested, everyone, it seemed, had some theory about whether, why or how he did it. Often the talk had a surprisingly serious edge; people wanted to discuss not only the bloody prints, but also the limits of the Fourth Amendment safeguard against illegal search and seizure. </P> "	"nyt_eng_199407.gz"
"976"	"it"	"seemed"	" When O.J. Simpson was arrested, everyone, it seemed, had some theory about whether, why or how he did it. Often the talk had a surprisingly serious edge; people wanted to discuss not only the bloody prints, but also the limits of the Fourth Amendment safeguard against illegal search and seizure. </P> "	"nyt_eng_199407.gz"
"1075"	"it"	"seemed"	" But NBC loused up ``Tomorrow,'' glitzed it up and killed it. Then, along came Letterman with ``Late Night'' in its old time slot, and the rest was history -- as was, it seemed, Snyder. </P> "	"nyt_eng_199407.gz"
"1606"	"it"	"seemed"	" No sweat, it seemed, considering that he has hundreds of thousands of listeners in radio markets across the state. It's turning out to be a big sweat. </P> "	"nyt_eng_199407.gz"
"3627"	"it"	"seemed"	" Former Sen. Paul Tsongas of Massachusetts, another candidate for the nomination, began talking in New Hampshire meeting halls about restructuring the health care marketplace. His idea followed along the lines discussed at an obscure gathering of industry and academic health experts known as the Jackson Hole Group. Health care was an issue, it seemed, whose time had finally come. </P> "	"nyt_eng_199408.gz"
"3636"	"it"	"seemed"	" Former Sen. Paul Tsongas of Massachusetts, another candidate for the nomination, began talking in New Hampshire meeting halls about restructuring the health care marketplace. His idea followed along the lines discussed at an obscure gathering of industry and academic health experts known as the Jackson Hole Group. Health care was an issue, it seemed, whose time had finally come. </P> "	"nyt_eng_199408.gz"
"3732"	"it"	"seemed"	" Almost overnight, it seemed, customers began to look to the older, highly rated but unsold vintages for bargains. Even the much-maligned wines of 1984 and 1987 were said to ``have finally come around,'' and were being offered by newly optimistic wine merchants. </P> "	"nyt_eng_199408.gz"
"4021"	"it"	"seemed"	" When things were going well, it seemed, the Bruins were running a no-huddle offense. </P> "	"nyt_eng_199409.gz"
"4022"	"it"	"seemed"	" When things were going well, it seemed, the Bruins were running a no-huddle offense. </P> "	"nyt_eng_199409.gz"
"4245"	"it"	"seemed"	" He began to cry and his friends laughed, not because they were being macho but because, it seemed, they did not know how else to react. </P> "	"nyt_eng_199409.gz"
"4453"	"it"	"seemed"	" Everybody, it seemed, got into the act. </P> "	"nyt_eng_199409.gz"
"4778"	"it"	"seemed"	" Then events accelerated. The opening of the Berlin Wall had awakened an unexpected surge of national feeling. The East's economy looked near collapse; waves of easterners, it seemed, were about to flood west. Some time that winter Kohl decided that unity at once was not just possible but unavoidable and desirable. </P> "	"nyt_eng_199409.gz"
"4779"	"it"	"seemed"	" Then events accelerated. The opening of the Berlin Wall had awakened an unexpected surge of national feeling. The East's economy looked near collapse; waves of easterners, it seemed, were about to flood west. Some time that winter Kohl decided that unity at once was not just possible but unavoidable and desirable. </P> "	"nyt_eng_199409.gz"
"4786"	"it"	"seemed"	" Then events accelerated. The opening of the Berlin Wall had awakened an unexpected surge of national feeling. The East's economy looked near collapse; waves of easterners, it seemed, were about to flood west. Some time that winter Kohl decided that unity at once was not just possible but unavoidable and desirable. </P> "	"nyt_eng_199409.gz"
"4787"	"it"	"seemed"	" Then events accelerated. The opening of the Berlin Wall had awakened an unexpected surge of national feeling. The East's economy looked near collapse; waves of easterners, it seemed, were about to flood west. Some time that winter Kohl decided that unity at once was not just possible but unavoidable and desirable. </P> "	"nyt_eng_199409.gz"
"4939"	"it"	"seemed"	" Then events accelerated. The opening of the Berlin Wall had awakened an unexpected surge of national feeling. The East's economy looked near collapse; waves of easterners, it seemed, were about to flood west. Some time that winter Kohl decided that unity at once was not just possible but unavoidable and desirable. </P> "	"nyt_eng_199409.gz"
"4941"	"it"	"seemed"	" Then events accelerated. The opening of the Berlin Wall had awakened an unexpected surge of national feeling. The East's economy looked near collapse; waves of easterners, it seemed, were about to flood west. Some time that winter Kohl decided that unity at once was not just possible but unavoidable and desirable. </P> "	"nyt_eng_199409.gz"
"6146"	"it"	"seemed"	" The rest of the country, it seemed, was painting by numbers. I don't know about you, but the paint-by-numbers craze always seemed to me -- as it did to '50s social commentators, who heaped scorn on it -- somewhere between Hula-Hoops and Davy Crockett on the scale of cultural signifiers. </P> "	"nyt_eng_199410.gz"
"6376"	"it"	"seemed"	" It was that same sort of pass the Colts had completed, it seemed, time and again: a 10-yard turnout or sideline pattern designed to exploit a defender who was giving the receiver too much space. </P> "	"nyt_eng_199410.gz"
"6785"	"it"	"seemed"	" May vs. Turman, it seemed, was a match made in Manhattan. </P> "	"nyt_eng_199410.gz"
"6790"	"it"	"seemed"	" May vs. Turman, it seemed, was a match made in Manhattan. </P> "	"nyt_eng_199410.gz"
"7148"	"it"	"seemed"	" The stunning turn of events surprised everyone, it seemed, but the Dodgers, who were familiar with Gibson's heroics. </P> "	"nyt_eng_199410.gz"
"7150"	"it"	"seemed"	" The stunning turn of events surprised everyone, it seemed, but the Dodgers, who were familiar with Gibson's heroics. </P> "	"nyt_eng_199410.gz"
