"pronoun"	"verb"	"context"	"filename"
"5451"	"they"	"shouted"	" Using the word for a flash flood that is the name of his movement, they shouted, ``It's not the Lavalas that has a problem now, it's the army!'' </P> "	"nyt_eng_199409.gz"
"5719"	"he"	"shouted"	" With a wave of his arm above his head, he shouted, ``Dah svedaniyeh,'' Russian for ``Good-bye,'' and boarded his airplane. </P> "	"nyt_eng_199409.gz"
"20647"	"he"	"shouted"	" As the final 7--5 vote was tallied, Rodriguez sprang from his seat. Leaning across the boardroom table and angrily pointing his finger at Linares, he shouted, ``You sold out.'' </P> "	"nyt_eng_199504.gz"
"21623"	"they"	"shouted"	" They were shocked. But, snap, they found something that seemed to shock them as much. The target of choice became not the hatred behind the bombing, but President Clinton for his denunciations of those who spread hatred and for suggesting _ too briefly _ that some of it came over the airwaves. Ooh, horror, they shouted, he is destroying the First Amendment _ as if it outlawed criticism of those who live to destroy it. </P> "	"nyt_eng_199505.gz"
"23806"	"she"	"shouted"	" When the Suns played in Houston on Mother's Day, the Rockets pulled out all the stops. Clyde Drexler's mom, Eunice, clutching a bouquet of roses, walked out to midcourt in the darkened arena. As a spotlight fell on her, she shouted, ``It's time for the Rockets' countdown!'' The crowd agreed. ``Five . . . four . . . three . . .'' </P> "	"nyt_eng_199505.gz"
"59139"	"he"	"shouted"	" After a few songs of this, Linkous finally had enough. The second after he played the last chord of one slow song, he shouted, ``Can you people talk any (insert exceedingly dirty word here) louder?'' </P> "	"nyt_eng_199605.gz"
"59170"	"he"	"shouted"	" After a few songs of this, Linkous finally had enough. The second after he played the last chord of one slow song, he shouted, ``Can you people talk any (insert exceedingly dirty word here) louder?'' </P> "	"nyt_eng_199605.gz"
"67506"	"they"	"shouted"	" At times, they shouted, they were so worked up. On Saturday, as Rep. Ralph Regula, the Republican congressman from the area, marched through nearby Alliance in the annual Carnation City Festival parade, people yelled, ``Yo!'' ``Ralph!'' ``Kemp!'' and gave the thumbs-up sign. </P> "	"nyt_eng_199608.gz"
"68096"	"they"	"shouted"	" The crowd on the floor cheered, they shouted, they waved their red-white-and-blue placards and a few of them cried, especially when Dole talked of the poverty of his parents. </P> "	"nyt_eng_199608.gz"
"75574"	"he"	"shouted"	" The minute Philips Financial Officer Dudley Eustace caught sight of the German journalist, he shouted, ``It's still for sale.'' </P> "	"nyt_eng_199610.gz"
"77037"	"he"	"shouted"	" We plunged into another, more passable covert. ``Clem's acting very birdy,'' Gauvin said. Ten seconds later, he shouted, ``Bird!'' </P> "	"nyt_eng_199611.gz"
"90766"	"he"	"shouted"	" ``I know I have been been an aggressive personality,'' he said. ``Perhaps I have earned some enemies in government and in politics. But I have never, ever done anything _ at any time _ to betray the trust of the people of the state of New Jersey.'' Then, slamming his hand sharply on the lectern before him, he shouted, ``Never!'' </P> "	"nyt_eng_200104.gz"
"92076"	"he"	"shouted"	" ``We should meet some big ones with this tide coming out of this creek,'' Errol observed. A moment later, he shouted, ``Bonefish! Twelve o'clock, 25 feet.'' In bonefishing, the tip of the boat always represents high noon on the clock face, enabling the guide and anglers to communicate direction precisely. </P> "	"nyt_eng_200105.gz"
"107038"	"she"	"shouted"	" When Kwan finished, she shouted, ``Go U.S.A.'' as fans littered the ice with stuffed animals and flowers. She scooped up a stuffed Olympic mascot and sat down to wait for her scores. </P> "	"nyt_eng_200202.gz"
"112129"	"he"	"shouted"	" Young men and women who had been chatting and sipping soft drinks moments earlier thickened the crowd, and a student leader rose above it on unseen shoulders. Besides the dead and the wounded, he shouted, another 58 students had been jailed and ``We will not leave until they are free!'' </P> "	"nyt_eng_200204.gz"
"113303"	"they"	"shouted"	" At the giant-screen television, his supporters waved goodbye en masse when Prime Minister Lionel Jospin appeared. When President Jacques Chirac appeared, they shouted, ``Chirac to prison, Chirac to prison!'' a reference to his corruption scandals </P> "	"nyt_eng_200204.gz"
"114422"	"he"	"shouted"	" The self-described ``has-been,'' who was beaten by George Bush for the Republican presidential nomination in 2000, still seems interested in the job, too. As McCain left the room, he shouted, ``Kerry for President.'' The Democrat laughed and observed wryly, ``He doesn't sound like a has-been to me.'' </P> "	"nyt_eng_200205.gz"
"114587"	"he"	"shouted"	" Their editing session stopped at the moment when Jed could get expedited SAT scores by phone, for a $15 fee, a luxury neither Reuben nor Gerta could consider but a necessity in Jed's crowd. Jed dialed his cell phone, punched in a Visa card number, waited and then waited some more. Finally, slamming his fist on the table, he shouted, each time louder, ``Yes, YES. YES!!!'' </P> "	"nyt_eng_200205.gz"
"115145"	"they"	"shouted"	" Female relatives watching the scene on nearby rooftops cried and shouted, ``God is great!'' Then, they shouted, ``God is greater!'' </P> "	"nyt_eng_200205.gz"
"115148"	"they"	"shouted"	" Female relatives watching the scene on nearby rooftops cried and shouted, ``God is great!'' Then, they shouted, ``God is greater!'' </P> "	"nyt_eng_200205.gz"
"115149"	"they"	"shouted"	" Female relatives watching the scene on nearby rooftops cried and shouted, ``God is great!'' Then, they shouted, ``God is greater!'' </P> "	"nyt_eng_200205.gz"
"119380"	"he"	"shouted"	" Reich himself viewed the interns with a mix of paternalism and amusement. When a few of them climbed on a Fall River bridge with their signs, he shouted, ``Be careful up there!'' And when he heard them cheering as his RV rounded a corner in Quincy, he almost seemed surprised to see them. </P> "	"nyt_eng_200206.gz"
"128796"	"he"	"shouted"	" As defensive end Pat Williams headed to the Buffalo Bills' locker room on Sunday, he shouted, ``Miami's overrated! Miami's overrated!'' And Williams did not soften that stance later. </P> "	"nyt_eng_200210.gz"
"130035"	"he"	"shouted"	" Once, the cyclist could be heard to yell ``50 meters, 50 meters, 50 meters,'' telling her a water station was imminent. Another time, as she neared the Willets Avenue Bridge, he shouted, ``We're approaching the bridge, 350 meters.'' </P> "	"nyt_eng_200211.gz"
"133294"	"I"	"shouted"	" Last Sunday was my last day of freedom. I caught the second half of soccer from Italy, Roberto Baggio leading his Brescia team to a huge 2-0 upset over lordly Juventus, patiently moving the ball. All alone in my house, I shouted, ``Bravo, Baggio!'' </P> "	"nyt_eng_200212.gz"
"133330"	"I"	"shouted"	" Last Sunday was my last day of freedom. I caught the second half of soccer from Italy, Roberto Baggio leading his Brescia team to a huge 2-0 upset over lordly Juventus, patiently moving the ball. All alone in my house, I shouted, ``Bravo, Baggio!'' </P> "	"nyt_eng_200212.gz"
"135453"	"he"	"shouted"	" Romney joined the congregation and other guests in singing ``We Want To See Jesus Lifted High,'' and linked arms with those next to him, swaying to the music. And, when prompted, he shouted, ``Hallelujah!'' </P> "	"nyt_eng_200301.gz"
"143891"	"he"	"shouted"	" He was very drunk, and he said something obscene about my mother, Sivic recalled. And then he hit me in the back. When other people tried to stop him, he shouted, 'I have a baseball bat in the car, and I am going to wait for you somewhere and I will kill you.' </P> "	"nyt_eng_200410.gz"
"152092"	"they"	"shouted"	" Simultaneously, they shouted, Ivory bill! </P> "	"nyt_eng_200504.gz"
"154595"	"he"	"shouted"	" Hunched over the keyboard and wearing a white caftan, its hood over his bald head, Kramer had the aspect of a monk illuminating a manuscript. Giddy, he shouted, Look! Look! Look! As if by magic, an electronic page passed from one computer screen to the other. </P> "	"nyt_eng_200507.gz"
"161649"	"he"	"shouted"	" After making the shot, he shouted, Let's go, sending the burnt-orange-clad crowd into a frenzy. </P> "	"nyt_eng_200601.gz"
"163602"	"he"	"shouted"	" Vargas, immediately after he was stopped Saturday, said he would sit down with his family and discuss whether he would continue his career. But about 30 minutes later in the post-fight news conference, he shouted, I want a rematch. Shane knows I was on him. I was winning that fight. </P> "	"nyt_eng_200602.gz"
