"pronoun"	"verb"	"context"	"filename"
"31685"	"he"	"slowed"	" Back came Walker. Taking the ensuing kickoff, he embarked on a meandering 57-yard journey to the TCU 36. Several times en route, he slowed, allowing his blockers to catch up _ then pointed out which Frogs he needed removed from his path. Finally, he swung by the SMU bench and yelled at coach Matty Bell, ``Warm up the old man!'' </P> "	"nyt_eng_199508.gz"
"55850"	"he"	"slowed"	" After 30 minutes, he slowed, swept his snout back and forth, and started furiously digging. </P> "	"nyt_eng_199604.gz"
"55851"	"he"	"slowed"	" After 30 minutes, he slowed, swept his snout back and forth, and started furiously digging. </P> "	"nyt_eng_199604.gz"
"55882"	"he"	"slowed"	" After 30 minutes, he slowed, swept his snout back and forth, and started furiously digging. </P> "	"nyt_eng_199604.gz"
"55883"	"he"	"slowed"	" After 30 minutes, he slowed, swept his snout back and forth, and started furiously digging. </P> "	"nyt_eng_199604.gz"
"56005"	"he"	"slowed"	" After 30 minutes, he slowed, swept his snout back and forth, and started furiously digging. </P> "	"nyt_eng_199604.gz"
"56006"	"he"	"slowed"	" After 30 minutes, he slowed, swept his snout back and forth, and started furiously digging. </P> "	"nyt_eng_199604.gz"
"56310"	"he"	"slowed"	" After 30 minutes, he slowed, swept his snout back and forth, and started furiously digging. </P> "	"nyt_eng_199604.gz"
"56311"	"he"	"slowed"	" After 30 minutes, he slowed, swept his snout back and forth, and started furiously digging. </P> "	"nyt_eng_199604.gz"
"56317"	"he"	"slowed"	" After 30 minutes, he slowed, swept his snout back and forth, and started furiously digging. </P> "	"nyt_eng_199604.gz"
"56318"	"he"	"slowed"	" After 30 minutes, he slowed, swept his snout back and forth, and started furiously digging. </P> "	"nyt_eng_199604.gz"
"57344"	"he"	"slowed"	" After 30 minutes, he slowed, swept his snout back and forth, and started furiously digging. </P> "	"nyt_eng_199604.gz"
"57345"	"he"	"slowed"	" After 30 minutes, he slowed, swept his snout back and forth, and started furiously digging. </P> "	"nyt_eng_199604.gz"
"58920"	"he"	"slowed"	" After 30 minutes, he slowed, swept his snout back and forth, and started furiously digging. </P> "	"nyt_eng_199605.gz"
"58921"	"he"	"slowed"	" After 30 minutes, he slowed, swept his snout back and forth, and started furiously digging. </P> "	"nyt_eng_199605.gz"
"162589"	"he"	"slowed"	" Herbert Lusk II, playing for the Philadelphia Eagles, broke away for a long scoring run against the New York Giants. After crossing the goal line, he slowed, dropped to one knee and bowed his head. </P> "	"nyt_eng_200602.gz"
