"pronoun"	"verb"	"context"	"filename"
"64686"	"I"	"smile"	" ``When I compete, I smile, I have fun,'' he said. ``But when I step up to the line, my face drops, my composure sets in and I'm concentrating on shooting.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19960714.0076 type=story > <DATELINE>  (BC-OLY-BBO-JONES-LADN) </DATELINE> <TEXT> "	"nyt_eng_199607.gz"
"74393"	"they"	"smile"	" With her Pez collection at 10 dozen and growing, Kuykendall rationalizes that ``they're great icebreakers for when a nervous student walks inside and there I am, surrounded by all these silly Pez heads and a whole wall of Pez display headers behind me. Right away, they smile, and everything tends to lighten up a little!'' </P> "	"nyt_eng_199610.gz"
"91040"	"they"	"smile"	" At CNN Headline News, the anchors don't have to worry about such extracurricular activity. They read, they smile, they perform. If Thompson can do that, I'm happy to tune in to read someone else's take on the day's events. </P> "	"nyt_eng_200104.gz"
"99742"	"they"	"smile"	" Around the NFL, they smile, wink and call it a match made in football hell. Whom could Jerry Jones possibly deserve more than Ryan Leaf? Two guys, separated in age by about three decades, who had it made, weren't wise enough to realize the going was good, blew it totally, and, now, neither one matters anymore. </P> "	"nyt_eng_200111.gz"
"107934"	"they"	"smile"	" They slip into conversations that invariably lead to exhibitions of facial topography. Pointing out folds around the eyes, furrows between the brows or horizontal paths marching across foreheads, they smile, frown and pretend to act surprised or angry to bring forth the full wrath of wrinkles. </P> "	"nyt_eng_200202.gz"
"123924"	"you"	"smile"	" What would you say if Galloway told you in the off-season he wanted to return punts? If you are Jones, you smile, slap him on the back and say, ``Hell, yeah.'' What would you say knowing Galloway still wants to return punts, even after Rocket Ismail's season-ending neck injury left Galloway as the only receiver with any type of experience? If you are Jones, you say, ``Let's go.'' </P> "	"nyt_eng_200208.gz"
"127430"	"I"	"smile"	" ``Every time I see him on film making a run, I smile,'' Bruschi said. </P> "	"nyt_eng_200210.gz"
"131348"	"you"	"smile"	" Iversen, whose 10-year-old son, Dov, is severely autistic, noted that maps for face recognition form early in life. ``I smile, you smile, and maps are formed,'' she said. But if you do not have a faithful mental map of your own face and body, she said, you cannot read the expression on someone else's face. </P> "	"nyt_eng_200211.gz"
"135712"	"they"	"smile"	" ``I always wanted a cow,'' Marilyn Morfogen said. ``When people see it, they smile, because it's so unusual.'' </P> "	"nyt_eng_200301.gz"
"135886"	"I"	"smile"	" ``Every time I walk along the seafront and see the grand majestic West Pier and the cheeky Palace Pier twinkling behind, I smile,'' she said. ``What a couple _ perfectly matched in their contrast, and perfectly encapsulating the beauty and vitality of Brighton's mix of high and low life, clinking money machines and dreams beyond reason.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_20030107.0265 type=story > <HEADLINE> ANSWERS ABOUT BUSH'S TAX-CUT PLAN </HEADLINE> <DATELINE> WASHINGTON  (BC-BUSH-Q&amp;A08-COX) </DATELINE> <TEXT> "	"nyt_eng_200301.gz"
