"pronoun"	"verb"	"context"	"filename"
"812"	"he"	"smiled"	" Before stepping into an airport taxi en route to a special cable television event this weekend, he smiled, pointed into the camera lenses and said, ``Better watch the Pay Per View this Sunday, brother!'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19940714.0405 type=story > <HEADLINE> OPTIMISM IGNITES A STOCK AND BOND RALLY </HEADLINE> <DATELINE> NEW YORK  (BC-MARKET-NYT) </DATELINE> <TEXT> "	"nyt_eng_199407.gz"
"813"	"he"	"smiled"	" Before stepping into an airport taxi en route to a special cable television event this weekend, he smiled, pointed into the camera lenses and said, ``Better watch the Pay Per View this Sunday, brother!'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19940714.0410 type=story > <HEADLINE> GREYHOUND TO DROP ROUTES </HEADLINE> <DATELINE>  (BC-GREYHOUND-NYT) </DATELINE> <TEXT> "	"nyt_eng_199407.gz"
"2754"	"he"	"smiled"	" To be sure, the 57-year-old turnaround specialist, who recently announced the biggest corporate revamping in Scott's history, has acquired a few predatory nicknames himself. When asked about them, he smiled, paused and said: ``On the whole, I prefer to be called Rambo in Pinstripes rather than Chainsaw. That makes me sound like a serial killer, don't you think?'' </P> "	"nyt_eng_199408.gz"
"34294"	"she"	"smiled"	" Ms. Bernson said her regular route included the hilly upper loop of the park, near the site of the killing. Asked whether she would vary her route, she smiled, shook her head defiantly and said, ``I think this is the best urban park anywhere in the country, and for me to stop running now would be like handing over my rights to the criminals.'' </P> "	"nyt_eng_199509.gz"
"41797"	"he"	"smiled"	" The device was in my coat pocket as I entered Davies' comfortable office. He greeted me and rapidly hung my coat up, without noticing the recorder. Before I could retrieve it from his closet, he smiled, turning his white-bearded face from King Lear to Santa Claus. </P> "	"nyt_eng_199512.gz"
"44346"	"he"	"smiled"	" But Bulger says he will eschew much of the traditional hooplah that often attends the departure of top office-holders. Instead, he smiled, he ``will just disappear'' from the State House. </P> "	"nyt_eng_199601.gz"
"52451"	"she"	"smiled"	" ``Probably,'' said the woman. Fulk thanked her, she smiled, he smiled, and as he got to the bottom of her walk, he whispered, ``That's a no vote.'' After several more houses, Fulk caught up with his wife, Linda, who was canvassing the other side of the street. </P> "	"nyt_eng_199603.gz"
"52503"	"she"	"smiled"	" ``Probably,'' said the woman. Fulk thanked her, she smiled, he smiled, and as he got to the bottom of her walk, he whispered, ``That's a no vote.'' After several more houses, Fulk caught up with his wife, Linda, who was canvassing the other side of the street. </P> "	"nyt_eng_199603.gz"
"55789"	"he"	"smiled"	" Although the jury has yet to hear summations, Goetz has behaved throughout the case as if its decision has been a foregone conclusion. Asked the other day during a court break whether he thought his case was winnable in the Bronx, he smiled, rolled his eyes and invoked the 1985 movie ``Mad Max: Beyond Thunderdome.'' </P> "	"nyt_eng_199604.gz"
"58957"	"she"	"smiled"	" Afterward, she smiled, saying, ``The sharks weren't worse than their Bight, were they?'' I nodded happily, preferring them, if at all, in shark fin soup. </P> "	"nyt_eng_199605.gz"
"59051"	"she"	"smiled"	" Afterward, she smiled, saying, ``The sharks weren't worse than their Bight, were they?'' I nodded happily, preferring them, if at all, in shark fin soup. </P> "	"nyt_eng_199605.gz"
"65717"	"she"	"smiled"	" Asked for an interview, she smiled, shook her head no or quietly said, ``I don't think so.'' </P> "	"nyt_eng_199607.gz"
"77135"	"he"	"smiled"	" As Dole looked at it, he smiled, and you could just tell he was having the time of his life. And you couldn't help but think that he grasped the metaphor as readily as you did. </P> "	"nyt_eng_199611.gz"
"77138"	"he"	"smiled"	" As Dole looked at it, he smiled, and you could just tell he was having the time of his life. And you couldn't help but think that he grasped the metaphor as readily as you did. </P> "	"nyt_eng_199611.gz"
