"pronoun"	"verb"	"context"	"filename"
"7593"	"she"	"snapped"	" So when she was asked why there are so many aides, former aides and consultants to D'Amato -- including herself -- now working for Pataki, she snapped, ``Because we're good.'' </P> "	"nyt_eng_199410.gz"
"10199"	"she"	"snapped"	" Mrs. Toffler became irritated. If you go back to the '50s, she snapped, you send women back to the kitchen and blacks to the back of the bus. </P> "	"nyt_eng_199412.gz"
"10258"	"she"	"snapped"	" Mrs. Toffler became irritated. If you go back to the '50s, she snapped, you send women back to the kitchen and blacks to the back of the bus. </P> "	"nyt_eng_199412.gz"
"21756"	"he"	"snapped"	" Coach Rudy Tomjanovich seconded that notion. Asked for his thoughts on the game, he snapped, ``There was no game.'' </P> "	"nyt_eng_199505.gz"
"51623"	"he"	"snapped"	" He has run twice before to become president of the United States. For years, he has been plagued by a reputation for nastiness. In 1988, he snapped, ``Stop lying about my record,'' and then lost the New Hampshire primary to George Bush. This time, he hopes he has learned a few things. </P> "	"nyt_eng_199603.gz"
"59826"	"he"	"snapped"	" Here in Naples the other afternoon, Mrs. Mathys and her friends endured some polite dismissals from passers-by, and some not so polite. When her pitch drew the attention of Alfred Brown, he snapped, ``Is someone going to threaten his pet cat?'' Brown, clearly not a believer in Perot's 1992 assertions about threats against him and his family, wanted nothing to do with any Perot-backed project. </P> "	"nyt_eng_199605.gz"
"63597"	"she"	"snapped"	" The conviction that society is conspiring to push her into a prescribed, womanly role lies behind her most politically troublesome comments. Like some of her generation, she repeatedly contrasts her independence with the ``Father knows best'' complacency of some older women, as if they were the only two choices. When a Globe reporter recently questioned her about some negative reactions to her book, she snapped, ``I could have written a book by Socks,'' a pointed dismissal of Barbara Bush's storybook about her dog Millie. </P> "	"nyt_eng_199607.gz"
"65460"	"he"	"snapped"	" A. If I knew, I'd be _ as the old song goes _ as rich as Rockefeller. Anyone who even dabbles in stocks knows how hard it is to divine which way they are headed. When J. Pierpont Morgan Sr. was asked what the market was about to do, he snapped, ``It will fluctuate,'' summing up many investors' frustration. </P> "	"nyt_eng_199607.gz"
"79439"	"he"	"snapped"	" Johnson has groaned this season that he isn't used enough, or that they throw to him too short, or only on the sidelines. Asked Wednesday whether it's possible he's not open early in the game, he snapped, ``If anyone tells you that, he's a damn liar.'' </P> "	"nyt_eng_199611.gz"
"80547"	"he"	"snapped"	" Once, when we were en route to the States from Sydney and I whimpered that I couldn't abide this terror any longer, he snapped, ``Well, do something about it!'' </P> "	"nyt_eng_199612.gz"
"80548"	"he"	"snapped"	" Once, when we were en route to the States from Sydney and I whimpered that I couldn't abide this terror any longer, he snapped, ``Well, do something about it!'' </P> "	"nyt_eng_199612.gz"
"80768"	"he"	"snapped"	" Once, when we were en route to the States from Sydney and I whimpered that I couldn't abide this terror any longer, he snapped, ``Well, do something about it!'' </P> "	"nyt_eng_199612.gz"
"80769"	"he"	"snapped"	" Once, when we were en route to the States from Sydney and I whimpered that I couldn't abide this terror any longer, he snapped, ``Well, do something about it!'' </P> "	"nyt_eng_199612.gz"
"80992"	"he"	"snapped"	" Once, when we were en route to the States from Sydney and I whimpered that I couldn't abide this terror any longer, he snapped, ``Well, do something about it!'' </P> "	"nyt_eng_199612.gz"
"97724"	"he"	"snapped"	" In the three days of questioning in both chambers of the Diet from Monday through Wednesday, the prime minister stuck to his script, regardless of the subject at hand. He sometimes lifted his head to glance at the opposition. At one point, he snapped, ``You ask why I don't say anything specific about new legislation against terrorism. That is because it is still being drafted.'' The rejoinder sounded more like an excuse for his droning. </P> "	"nyt_eng_200110.gz"
"110450"	"he"	"snapped"	" When Cowboys coach Dave Campo was advised of that, he snapped, ``I think they're our Georgia,'' pointing out that Dallas had beaten the Redskins eight straight times. </P> "	"nyt_eng_200203.gz"
"113870"	"he"	"snapped"	" The company seems to like it that way. Jerome G. Oslick, the $1-million-a-year general counsel for Farmer Mac, agreed to answer only questions submitted in writing. After many requests, Edelman granted a phone interview and then cut it short. And when Oslick was asked to deal with queries Edelman could not get to, he snapped, ``I've worked four 10-hour days this week and I'm not sticking around.'' He later sent written replies. </P> "	"nyt_eng_200204.gz"
