"pronoun"	"verb"	"context"	"filename"
"24"	"he"	"states"	" His purpose, he states, is to describe how the administration handled implementation of the central promise of Bill Clinton's campaign -- to revive the U.S. economy that had foundered under George Bush. </P> "	"nyt_eng_199407.gz"
"33018"	"he"	"states"	" In writing an essay for the Caltech alumni magazine on the limits of mind, he states, ``When we've mutated the genes and integrated the neurons and refined the biochemistry, our descendants will come to see us rather as we see Pooh: frail and slow in logic, weak in memory and pale in abstraction, but usually warmhearted, generally compassionate and on occasion possessed of innate common sense and uncommon perception.'' </P> "	"nyt_eng_199509.gz"
"33093"	"he"	"states"	" In writing an essay for the Caltech alumni magazine on the limits of mind, he states, ``When we've mutated the genes and integrated the neurons and refined the biochemistry, our descendants will come to see us rather as we see Pooh: frail and slow in logic, weak in memory and pale in abstraction, but usually warmhearted, generally compassionate and on occasion possessed of innate common sense and uncommon perception.'' </P> "	"nyt_eng_199509.gz"
"38595"	"it"	"states"	" In the past, it states, funding decisions were arbitrary, rules were vague and little enforced and warnings about trouble often were ignored. ``Compliance monitoring was non-existent in a culture that failed to clearly define requirements and credibly enforce those requirements,'' the report states. </P> "	"nyt_eng_199511.gz"
"48699"	"it"	"states"	" The new report starts from a fundamentally different place: The risk now, it states, is outright decline. That thought, even if only subconsciously adopted in the political and business communities, could reframe the debate about where the region is headed and how it will get there. </P> "	"nyt_eng_199602.gz"
"60493"	"he"	"states"	" Essentially intended to reverse the liberal policy of pre-Nixon administrations by shifting the blame for drug use from ``social ills'' to the ``failings of personal character,'' the war on drugs, Baum argues, has only served to make the problem worse while swelling our prison population, discriminating against blacks and compromising all citizens' constitutional rights. The intention of his book, he states, is to provide ``a map of how we got here, in the hope of suggesting a way back.'' </P> "	"nyt_eng_199605.gz"
"60560"	"he"	"states"	" Essentially intended to reverse the liberal policy of pre-Nixon administrations by shifting the blame for drug use from ``social ills'' to the ``failings of personal character,'' the war on drugs, Baum argues, has only served to make the problem worse while swelling our prison population, discriminating against blacks and compromising all citizens' constitutional rights. The intention of his book, he states, is to provide ``a map of how we got here, in the hope of suggesting a way back.'' </P> "	"nyt_eng_199605.gz"
"63301"	"it"	"states"	" But, it states, there is one big exception: ``If you receive outpatient services at a hospital, you are responsible for paying 20 percent of whatever the hospital charges, not 20 percent of a Medicare-approved amount.'' </P> "	"nyt_eng_199606.gz"
"63327"	"it"	"states"	" But, it states, there is one big exception: ``If you receive outpatient services at a hospital, you are responsible for paying 20 percent of whatever the hospital charges, not 20 percent of a Medicare-approved amount.'' </P> "	"nyt_eng_199606.gz"
"63360"	"it"	"states"	" But, it states, there is one big exception: ``If you receive outpatient services at a hospital, you are responsible for paying 20 percent of whatever the hospital charges, not 20 percent of a Medicare-approved amount.'' </P> "	"nyt_eng_199607.gz"
"80241"	"it"	"states"	" The Rent Stabilization Association points to a 1992 study that it commissioned by a Harvard economist, which found that rents for regulated and unregulated comparable apartments are essentially the same, except in Manhattan below 96th Street, and so deregulation would not affect the average rent. Even in the lower half of Manhattan, it states, deregulation would raise rents an average of just $50 a month. </P> "	"nyt_eng_199612.gz"
"87226"	"he"	"states"	" According to Cowrie, sake _ the pale yellow, slightly sweet wine made from fermented rice that is the alcoholic drink of Japan _ is traditionally served warm in small porcelain cups. But now, he states, sakes are coming on the market that should be served as chilled apertifs. </P> "	"nyt_eng_199702.gz"
"105876"	"he"	"states"	" But Buchanan's vision is much darker than the others, built on population statistics that show birthrates declining in Western industrial countries and increasing in Third World countries. The only way to save ourselves is by American women having more children, he writes. But one wonders how badly he even wants to save the country since it is, he states, ``a cultural wasteland and a moral sewer . . . not worth living in.'' </P> "	"nyt_eng_200202.gz"
