"pronoun"	"verb"	"context"	"filename"
"9189"	"they"	"stood"	" Late in the fourth quarter the Nets were waving their towels like college kids, from one end of the bench to the other. They were about to emerge with a victory on the road for the first time this season. From 34-year-old Sleepy Floyd to 20-year-old Yinka Dare, they stood, yelling, whooping it up, thinking their moment had arrived. </P> "	"nyt_eng_199411.gz"
"17043"	"he"	"stood"	" Riley, whose back has been bothering him all season, saw it act up again. When taken out in the second half, he stood, not sat, on the sideline. Still, he played 29 minutes, and produced 24 points and seven rebounds. </P> "	"nyt_eng_199503.gz"
"17044"	"he"	"stood"	" Riley, whose back has been bothering him all season, saw it act up again. When taken out in the second half, he stood, not sat, on the sideline. Still, he played 29 minutes, and produced 24 points and seven rebounds. </P> "	"nyt_eng_199503.gz"
"25284"	"he"	"stood"	" They shyly approached the agent and silently handed him the card. An amazing thing happened: He began to cry. The girls stood uncertainly, afraid that they had done something wrong. After a moment, he stood, thanked them gravely, and, his eyes still wet, hugged each one of them.'' </P> "	"nyt_eng_199506.gz"
"42047"	"we"	"stood"	" Obnoxiously, I forced my wife, who wisely went Christmas shopping, to sing my praises for having such a work ethic. She showed up in time to help me bag the remains as the sun set. When through, we stood, rakes in hand, looking like a 1990s version of the ``American Gothic'' pitchfork painting, and surveyed our spotless yard. Life was good. </P> "	"nyt_eng_199512.gz"
"85029"	"he"	"stood"	" After arriving at Ellington Field here on Thursday, he stood, walked and signed autographs. He said he was eager to celebrate at his Houston-area home with family and friends and to resume his earthly existence, which would include watching Sunday's Super Bowl game on television. </P> "	"nyt_eng_199701.gz"
"91357"	"she"	"stood"	" Eight years later, she stood, terrified, over her son's hospital bed in New York. Shannon, then 20, had an aneurysm in an inoperable part of the brain and doctors weren't optimistic. ``As a mother, this shriek of my heart was saying, `Oh God, if there is a God, please don't take my baby,''' Lee says. Four months later, Shannon recovered completely. He's now a carpenter in New York. </P> "	"nyt_eng_200105.gz"
"103879"	"it"	"stood"	" It was battered and charred, but whole. And chained to the front doors, it stood, to the relief of the congregation, as a symbol of resurrection, as the harbinger of a new building to be built. </P> </TEXT> </DOC> <DOC id=NYT_ENG_20020113.0164 type=story > <HEADLINE> HILLARY CLINTON CALLS FOR CHANGES IN SEPT. 11 FUND DISBURSEMENTS </HEADLINE> <DATELINE> NEW YORK (BC-MRSCLINTON-FUND-CRITICISM-NYT) </DATELINE> <TEXT> "	"nyt_eng_200201.gz"
"142010"	"he"	"stood"	" Face to face, eye to eye, he stood, arms crossed, and looked at an old friend and talked. And talked. </P> "	"nyt_eng_200408.gz"
"149001"	"she"	"stood"	" When a photographer wanted a full-length shot, she stood, rearranged her locks to flow over her shoulder and positioned herself sideways. Shoulders back, Paris, said her mom. Stomach in. </P> "	"nyt_eng_200502.gz"
