"pronoun"	"verb"	"context"	"filename"
"27725"	"he"	"stopped"	" But, he stopped, and in seconds was on to the more comfortable carping about his Cartoon Network not being allowed in France. </P> "	"nyt_eng_199507.gz"
"27729"	"he"	"stopped"	" But, he stopped, and in seconds was on to the more comfortable carping about his Cartoon Network not being allowed in France. </P> "	"nyt_eng_199507.gz"
"31916"	"they"	"stopped"	" The horses then were walked to the dirt track, where they waited in formation in the sunshine until Mott arrived on his pony. He briefed the riders, gave the signal and they went jogging up the track the wrong way to shake them up mentally and keep them from getting too set in their ways. Three-quarters of a mile later, they stopped, reversed direction and restarted the parade heading the right way, one by one a few hundred yards apart. </P> "	"nyt_eng_199508.gz"
"35426"	"it"	"stopped"	" ``I thought maybe we would see more of that, and then all of a sudden, it stopped,'' Rogers said. </P> "	"nyt_eng_199510.gz"
"39905"	"he"	"stopped"	" The pass was low and wobbly, but in those days, there were few flying objects that escaped the grasp of Speyrer. Running near the goal line, he stopped, came back, dived and caught the ball just before it hit the ground at the 2-yard line. </P> "	"nyt_eng_199511.gz"
"44443"	"she"	"stopped"	" Finally, she stopped, straightened from her labor, turned and said: ``You go down there and I'll violate you.'' </P> "	"nyt_eng_199601.gz"
"79716"	"I"	"stopped"	" Within feet of the structure, I stopped, more in defiance of superstition than for any other reason. No silly ol' story about ghosts was going to scare me. </P> "	"nyt_eng_199611.gz"
"83191"	"they"	"stopped"	" When it became nearly impossible to see, they stopped, set up camp, and spent a lot of time in the dark talking, laughing and rationing food and water during a four-day ordeal. Tim Knudsen almost finished the marathon novel, ``War and Peace.'' </P> "	"nyt_eng_199701.gz"
"84807"	"she"	"stopped"	" She was alone on stage. She was standing up, then, suddenly, she stopped, swayed a tiny bit, then catapulted backward into a rocking chair, as if her spine had been ripped from her body. The rocking chair moved gently back and forth, her hand drifting across the floor. </P> "	"nyt_eng_199701.gz"
"87290"	"he"	"stopped"	" That afternoon, the Boulder police arrested Elowsky on charges of felony menacing and carrying a concealed weapon, a 9-millimeter pistol. According to a police report, when Elowsky was driving down his street, he stopped, got out and brandished an aluminum baseball bat at three men, including a free-lance television newsman. </P> "	"nyt_eng_199702.gz"
"112530"	"he"	"stopped"	" When my older son saw the box containing ``The Oregon Trail 5th Edition'' on the dining room table while heading to the kitchen, he stopped, his dietary mission temporarily forgotten. </P> "	"nyt_eng_200204.gz"
"112532"	"he"	"stopped"	" When my older son saw the box containing ``The Oregon Trail 5th Edition'' on the dining room table while heading to the kitchen, he stopped, his dietary mission temporarily forgotten. </P> "	"nyt_eng_200204.gz"
"117301"	"we"	"stopped"	" Finally, battered and beaten, we stopped, recognizing that we had probably burned off at least a link or two of sausage and half a hash-brown patty _ and that it was more time than we'd spent at the gym in months. </P> "	"nyt_eng_200206.gz"
"119932"	"he"	"stopped"	" As to how the pope and the Vatican will react to the zero-tolerance approach to abusive priests adopted by the American bishops in Dallas, he stopped, suddenly tentative. ``I am not a technician in canon law,'' he said, ``but I think the main concern will be to reconcile the decisions approved in the United States with practices in other countries, to try to harmonize these decisions with the general canon law for the whole church, to try to see where there may be contradictions.'' </P> "	"nyt_eng_200206.gz"
"120176"	"he"	"stopped"	" Shortly after 5 p.m., Messier left Vivendi's headquarters here. As about 150 employees stood on the sidewalk applauding, he climbed into a Renault van. When a female employee ran alongside the car for a last goodbye, he stopped, opened the door, and gave her a hug. Then he was gone. </P> </TEXT> </DOC> <DOC id=NYT_ENG_20020702.0361 type=story > <HEADLINE> WORLDCOM'S ACCOUNTING PROBLEMS MAY BRUISE ANDERSEN DURING </HEADLINE> <DATELINE> 07-02-02 21:41:00EDT (BC-ANDERSEN-SENTENCING-H) </DATELINE> <TEXT> "	"nyt_eng_200207.gz"
"132956"	"we"	"stopped"	" On our first day heading south, which is, of course, all down hill, we did plan lunch in a specific place, Mystic, Conn. By the sea, by the sea, we stopped, to eat . . . swordfish. </P> "	"nyt_eng_200212.gz"
"139719"	"he"	"stopped"	" Kumzari said he still longed for the stability of a government job, but they were not hiring. As he described his workday, which consists largely of supervising others for a few hours and making a few phone calls, he stopped, as if suddenly struck by a revelation. </P> "	"nyt_eng_200407.gz"
"147422"	"he"	"stopped"	" But following the election, where he could no longer influence what he hoped to happen, he stopped, Urman said. He believes such things are naked attempts to win prizes, and he's purer than that. I wish sometimes he wasn't. </P> </TEXT> </DOC> <DOC id=NYT_ENG_20041230.0290 type=story > <HEADLINE> ADVANCE FOR SUNDAY, JAN. 2 ALL TIMES EASTERN POINT SPREADS AS OF THURSDAY CAPSULE COMMENTS, PREDICTIONS OF SUNDAY NFL GAMES </HEADLINE> <TEXT> "	"nyt_eng_200412.gz"
"154101"	"it"	"stopped"	" I carried the towel-wrapped bird while John went for the extension ladder. The owl didn't move. John leaned the ladder against the pole and started to climb. I handed him the bundle and by climbing on that step the ladder makers warn against climbing on, he managed to get even with the perch and the entry to the owl house, from which came loud hissing noises. He opened the towel and tried to shove the bird into the hole. It balked and fluttered to the ground again, then hopped off into the vineyard, me with a raised towel right behind it. About three rows in, it stopped, its back to me, and swiveled its head around and looked up at me. I dropped the towel over the bird and picked it up. Again it didn't struggle. </P> "	"nyt_eng_200506.gz"
