"pronoun"	"verb"	"context"	"filename"
"986"	"he"	"stressed"	" Of the dangers facing Cuba, he stressed, the diplomatic and trade embargo by the United States was ``Numero uno, numero uno.'' </P> "	"nyt_eng_199407.gz"
"1985"	"she"	"stressed"	" She said she would like ``to dispel the confused idea'' that creativity is related to illness. ``Some people simply have an unusual capacity to create, and no reliable scientific study shows them to be afflicted more often than ordinary people.'' No psychological or psychoanalytical study, she stressed, has yet explained the basis for creativity. </P> "	"nyt_eng_199408.gz"
"2983"	"he"	"stressed"	" But Matveyenko said he needs more money, for monitoring equipment and to develop inventory control procedures. Moreover, he stressed, equipment alone will not solve the problem. Unless salaries are raised, some researchers may find nuclear smuggling too great a temptation to resist. </P> "	"nyt_eng_199408.gz"
"5061"	"he"	"stressed"	" ``The family doesn't believe the book represents an accurate portrayal of their father,'' said Michael Gross, a spokesman for the Hensons. But, he stressed, it was up to Random House -- not the Hensons -- to accept or reject the manuscript. </P> "	"nyt_eng_199409.gz"
"5066"	"he"	"stressed"	" ``The family doesn't believe the book represents an accurate portrayal of their father,'' said Michael Gross, a spokesman for the Hensons. But, he stressed, it was up to Random House -- not the Hensons -- to accept or reject the manuscript. </P> "	"nyt_eng_199409.gz"
"5494"	"he"	"stressed"	" And Bernstein refused to condescend. His Young People's Concerts barely differed from his adult television programming. A listener, he stressed, must approach music with intelligence, not passively await entertainment, and its meanings are not to be found in programs or stories. </P> "	"nyt_eng_199409.gz"
"8757"	"he"	"stressed"	" Hatch said Patrick told him the case has nothing to do with quotas. ``I like Deval, but I still wonder why he shifted positions,'' Hatch said. But oversight hearings on civil rights, he stressed, ``are not at the top of the agenda.'' </P> "	"nyt_eng_199411.gz"
"9520"	"he"	"stressed"	" But that, he stressed, is very different from saying they can actually have sex. </P> "	"nyt_eng_199411.gz"
"9876"	"she"	"stressed"	" To fill up, Lepke drinks water before consuming other liquids. Don't drink alcohol until you have had something to eat, she stressed, because drinking on an empty stomach causes your blood sugar to drop and stimulates your appetite. </P> "	"nyt_eng_199412.gz"
"9877"	"she"	"stressed"	" To fill up, Lepke drinks water before consuming other liquids. Don't drink alcohol until you have had something to eat, she stressed, because drinking on an empty stomach causes your blood sugar to drop and stimulates your appetite. </P> "	"nyt_eng_199412.gz"
"12291"	"she"	"stressed"	" A dog that bites once, she stressed, is not necessarily a ``vicious'' dog. </P> "	"nyt_eng_199501.gz"
"15488"	"he"	"stressed"	" ``Our maxim is to do it as quickly and cost-effectively as possible,'' Evans said, but not, he stressed, ``at the expense of ultimate value.'' </P> "	"nyt_eng_199502.gz"
"20880"	"he"	"stressed"	" On Sunday, after four grueling days -- the dressage now takes two days -- David O'Connor, 32, of The Plains, Va., rode away with the Baccarat crystal trophy. O'Connor called the crimes uncovered in Chicago, ``horrendous'' and said they have had a negative impact on the image of show horsing. But, he stressed, ``It's not representative of my sport.'' </P> "	"nyt_eng_199504.gz"
