"pronoun"	"verb"	"context"	"filename"
"12006"	"I"	"submit"	" That is, I submit, worthy of Twain at his most deliciously subversive. I came across it in a short story called Cowards, recently republished in Fresno Stories (New Directions, $5). It's one in a series of bibelots, small format paperbacks covering the waterfront from Ezra Pound to Dylan Thomas to William Carlos Williams. Fresno Stories offers 11 stories drawn in equal parts from Saroyan's early and late periods. They're all at least good, and some of them are better than good. </P> "	"nyt_eng_199501.gz"
"17969"	"I"	"submit"	" But the answer to such problems, I submit, is not preaching to girls and boys who may become parents someday, chastising them to wait until their Prince Charming or Dream Girl comes along. Instead, we should help these young people understand that becoming a parent when you're 16, uneducated and unskilled is destructive and dumb. </P> "	"nyt_eng_199503.gz"
"24433"	"I"	"submit"	" But Hatch declared, ``If the federal government is incapable of putting any meaningful limit on the number of times that a prisoner can challenge this conviction over and over again, then this government is, I submit, not serious at all about fighting crime.'' </P> "	"nyt_eng_199506.gz"
"24867"	"I"	"submit"	" ``Fifty years is a long time. And perhaps it can be argued that the Board's, and the courts', and the Congress' erstwhile interpretation of the phrase was inhumane, or unenlightened, or an anachronism, or something else even more disparaging. But it cannot be argued, I submit, that the prior interpretation was not and is not the law.'' Id., at 1235-1236 (footnotes omitted). </P> "	"nyt_eng_199506.gz"
"25839"	"I"	"submit"	" As the Court notes in response to this dissent, see ante, at 10, under its reading the third clause serves to define the actus reus element of the crime, just as Congress could have done by replacing the phrase ``notice of the possible interception'' with the unambiguous phrase ``notice of such authorization or application.'' That unambiguous language, however, would not achieve the temporal limitation on liability that I believe Congress intended to achieve with the words ``possible interception.'' The Court appears to acknowledge the need for such a limitation. See ante, at 10, n. 3. Rather than recognizing the limitation the statute contains, however, the Court hints that it might in some future case invent one. Limiting liability to the time before the authorizing judge announces the wiretap may well be ``plausible,'' ibid., but no plausible basis exists for finding that limitation in the words of the statute. A wiser course than judicial legislation, I submit, is simply to adopt a literal, reasonable construction of the text that Congress drafted. </P> "	"nyt_eng_199506.gz"
"26608"	"I"	"submit"	" This, I submit, is a different matter. </P> "	"nyt_eng_199506.gz"
"32154"	"I"	"submit"	" With ultimate victory comes a sense of satisfaction. With satisfaction comes complacency. With complacency comes mediocrity. That the Braves have been the best team in baseball these last five seasons can, I submit, be traced to this simple truth: As good as they are, as successful as they've been, they're still hungry. </P> "	"nyt_eng_199508.gz"
"33259"	"I"	"submit"	" Training military leaders, I submit, is too important a task to leave it to the military. Just like training priests is too important a task to leave to the clergy. </P> "	"nyt_eng_199509.gz"
"33269"	"I"	"submit"	" Training military leaders, I submit, is too important a task to leave it to the military. Just like training priests is too important a task to leave to the clergy. </P> "	"nyt_eng_199509.gz"
"33559"	"I"	"submit"	" Training military leaders, I submit, is too important a task to leave it to the military. Just like training priests is too important a task to leave to the clergy. </P> "	"nyt_eng_199509.gz"
"34161"	"I"	"submit"	" Training military leaders, I submit, is too important a task to leave it to the military. Just like training priests is too important a task to leave to the clergy. </P> "	"nyt_eng_199509.gz"
"36246"	"I"	"submit"	" The closer you looked at the prosecution's case, I submit, the more receptive you were to the defense's contention that the state had not proved Simpson's guilt beyond a reasonable doubt. </P> "	"nyt_eng_199510.gz"
"36318"	"I"	"submit"	" The closer you looked at the prosecution's case, I submit, the more receptive you were to the defense's contention that the state had not proved Simpson's guilt beyond a reasonable doubt. </P> "	"nyt_eng_199510.gz"
"36593"	"I"	"submit"	" La Russa would never use Charlton the way Lou has. This means La Russa would not have done what Piniella has done; namely, get the Mariners where they are in these playoffs. All Piniella wants to do each day is win. He isn't locked into a theory. He wants to win Sunday and worry about Monday Monday. This, I submit, is the proper way to approach postseason baseball. </P> "	"nyt_eng_199510.gz"
