"pronoun"	"verb"	"context"	"filename"
"14431"	"they"	"succeeded"	" Some couldn't get work because they failed to shed communist habits or were considered too old to retrain. In Poland, at least, the young and better-educated do better: ``If women were open to learning new skills, they succeeded,'' argued 36-year-old Ewa Piowar, a Warsaw accountant. </P> "	"nyt_eng_199502.gz"
"19525"	"he"	"succeeded"	" Not only that, but he wants to reach in and use $5.5 billion of that company nest egg as part of the down payment. If he's just trying to get the share price up, he succeeded, as the stock rose $9.50 in a day. And if he really wants to own it, he's betting big that Chrysler won't need that money. </P> "	"nyt_eng_199504.gz"
"31427"	"I"	"succeeded"	" ``I not only survived, I succeeded,'' King said. ``They tried to freeze me out. They indicted me (on a claim of insurance fraud against Lloyd's of London involving a canceled 1991 fight between Chavez and Harold Brazier. King pleaded not guilty, and trial is set to begin Oct. 1). </P> "	"nyt_eng_199508.gz"
"33576"	"he"	"succeeded"	" Still, Marshall Faulk's repeated forays on delayed handoffs and draws probed the Jets' defense, which was set for Jim Harbaugh to pass. And when it played Harbaugh to pass, he succeeded, anyway. </P> "	"nyt_eng_199509.gz"
"98680"	"we"	"succeeded"	" Story Filed By Cox Newspapers </P> </TEXT> </DOC> <DOC id=NYT_ENG_20011021.0124 type=advis > <DATELINE>  (BC-QUETTA-PHOTO-ESSAY-ADVISORY-NYT) </DATELINE> <TEXT> ATTENTION EDITORS:  On Saturday, Oct. 20, a photo essay by New York Times photographer Vincent Laforet on the views of residents of Quetta on their lives and their attitudes about the attacks in the United States moved. The following photos have been resent Sunday, Oct. 21 with the questions and answers for each subject interviewed. The short essay to accompany the photos moved seperately as (BC-QUETTA-PHOTO-ESSAY-NYT).  (NYT17) RETRANSMITTING TO ADD QUESTIONS AND ANSWERS QUETTA, Pakistan -- Oct. 20, 2001 -- SUB-QUETTA-PHOTO-ESSAY-5 -- Quetta today embodies the shifting passions and loyalties of Pakistan and its war-plagued neighbor, Afghanistan. Residents were asked about their lives and their attitudes about the attacks in the United States and the ensuing war. Lakmir Khan, 24, a butcher in his shop on Zarghoon Road in Quetta, the city of his birth. Q: What are your thoughts on Americans? A. They are very bad people because they are the enemy of Islam and they are killing innocent people. Q: What are your thoughts on Osama bin Laden? A: A holy warrior, a very important person for Islam. All he has been accused of is wrong. He has not been involved in a terrorist attack on the USA. (Vincent Laforet/The New York Times)  (NYT16) RETRANSMITTING TO ADD QUESTIONS AND ANSWERS QUETTA, Pakistan -- Oct. 20, 2001 -- SUB-QUETTA-PHOTO-ESSAY-4 -- Quetta today embodies the shifting passions and loyalties of Pakistan and its war-plagued neighbor, Afghanistan. Residents were asked about their lives and their attitudes about the attacks in the United States and the ensuing war. Khalida, 11, foreground, studies English at Jinnah Academy in Quetta. Khalida was born in Kandahar, Afghanistan. Q: What do you think of America and Americans? A: America is a good country. They are good with us but not with the terrorists. If Osama is -- he is not from Afghanistan, he is from Saudi Arabia. Q: What are your views on the bombing in Afghanistan? A: My country is going to be destroyed again. (Vincent Laforet/The New York Times)  (NYT15) RETRANSMITTING TO ADD QUESTIONS AND ANSWERS QUETTA, Pakistan -- Oct. 20, 2001 -- SUB-QUETTA-PHOTO-ESSAY-3 -- Quetta today embodies the shifting passions and loyalties of Pakistan and its war-plagued neighbor, Afghanistan. Residents were asked about their lives and their attitudes about the attacks in the United States and the ensuing war. Faiza Sayar, a 40-yeard-old widow, born in Herat, Afghanistan, is now a refugee in Quetta. Sayar with one of her children. Q: How did you feel when you heard of the World Trade Center attacks? A: I was nervous to see terrorism have this kind of power. I was worried of reprisals. Q: How did you feel when you heard of the bombings in Afghanistan? A: I am not happy when the attacks kill our people. The Taliban are hiding in the mountains and the innocent people are the only ones left in the cities. Q: Who directed the terrorist attacks? A: I am 100 percent sure it is Osama. (Vincent Laforet/The New York Times)  (NYT14) RETRANSMITTING TO ADD QUESTIONS AND ANSWERS QUETTA, PAKISTAN -- Oct. 20, 2001 -- SUB-QUETTA-PHOTO-ESSAY-2 -- Quetta today embodies the shifting passions and loyalties of Pakistan and its war-plagued neighbor, Afghanistan. Residents were asked about their lives and their attitudes about the attacks in the United States and the ensuing war. Zamir Ulhaq, 34, a traffic officer in Quetta at work on Zarghoon Road. Born in Faisalabad, Pakistan. Q: How many people are their in your family? A. Three daughters, three sons and a wife. Q: How did the attacks on the United States affect your family? A: All of our family were sad because some relatives are living in the USA. We tried to contact them, but couldn't. After 20 days, we succeeded, and they told us they were fine. (Vincent Laforet/The New York Times)  (NYT13) RETRANSMITTING TO ADD QUESTIONS AND ANSWERS QUETTA, PAKISTAN -- Oct. 20, 2001 -- SUB-QUETTA-PHOTO-ESSAY -- Quetta today embodies the shifting passions and loyalties of Pakistan and its war-plagued neighbor, Afghanistan. Residents were asked about their lives and their attitudes about the attacks in the United States and the ensuing war. Khashall Muhammad, born 70 years ago in Kabul, runs target pratice in Quetta Satellite Town. Q: What do you think of Americans? A: I do not like them at all because they are not Muslims. I don't like any non-Muslims. Q: How did you feel when you heard of the World Trade Center attacks? A: It must be what God wanted. (Vincent Laforet/The New York Times)  All photos and graphics from the New York Times News Service are available at nytimages.com. Clients who have a photo account with the Wieck Database can use the same username and password to access the images.  There is no charge for browsing. But if you would like more information on establishing an account to download art from nytimages.com at a special rate, please call us at (212) 556-4204.  Our report has also moved to Newscom and via AP PhotoExpress.  The New York Times News Service </TEXT> </DOC> <DOC id=NYT_ENG_20011021.0125 type=multi > <DATELINE>  (BC-FRONTPAGE-NYT) </DATELINE> <TEXT> Here are the stories New York Times editors are planning for Page 1, Monday, Oct. 22. The supervisor for The New York Times News Service is Lynn Hoogenboom, followed by Peter Catapano; phone: 888-346-9867 or 212-556-1927; e-mail: lyhoog(at)nytimes.com and catapano(at)nytimes.com.  TOP  Lede story:  AFGHAN-ATTACK (Washington) _ U.S. warplanes bombarded Taliban positions just behind the front line north of Kabul. By Steven Lee Myers.  (We plan to move the story by 9 p.m. ET in ``i'' news file.)  Top center story:  ANTHRAX-RDP (Washington) _ A Washington postal worker becomes the latest confirmed case of inhaled anthrax. By Diana Jean Schemo.  (Scheduled to move by 9 p.m. ET in ``a'' news file.)  Off-lead story:  BUSH-PUTIN (Shanghai, China) _ President Bush and President Vladimir Putin of Russia met here for more than an hour Sunday, and when they emerged Putin declared that he believes the two men can reach agreements that would alter the 1972 Anti-Ballistic Missile Treaty, freeing the United States to test a proposed anti-missile system. By David E. Sanger.  (Scheduled to move by 8:30 p.m. ET in ``i'' news file.)  FOLD  AFGHAN-SCENE (Jabul-Seraj, Afghanistan) _ The roar of American jets high overhead at 5:00 p.m local time marked a long-awaited shift in American tactics here. Soldiers stopped, stared at the sky and excitedly talked to one another as unseen planes, lost in the clouds, thundered overhead. By David Rohde.  (Scheduled to move by 9 p.m. ET in ``i'' news file.)  BOTTOM  SMALLPOX-VACCINE (Undated) _ The government has raised the prospect of mass smallpox vaccinations because it doesn't want to be caught as flatfooted as it was with anthrax. By Judith Miller, Sheryl Gay Stolberg and William J. Broad.  (Scheduled to move by 9 p.m. ET in ``a'' news file.)  CONGRESS-INTEL (Washington) _ Members of Congress, including members of the intelligence committees, are calling for full-blown inquiry into the intelligence agencies and their handling of the terrorist investigation. By Todd S. Purdum and Alison Mitchell.  (Scheduled to move by 9 p.m. ET in ``w'' news file.)  2-graf refer:  MIDEAST (Bethlehem, West Bank) _ Israel is embarked on its biggest military strike in many years against the Palestinians, in what it says is an attempt to protect its citizens and to compel Palestinian leaders to arrest militants. Over the last four days, it has blockaded eight Palestinian cities in the West Bank and invaded six of them, seizing and holding strategic buildings and answering Palestinian shooting with tanks shells and machine gun fire. By James Bennet.  (Scheduled to move by 9 p.m. ET in ``i'' news file.)  INSIDE STORIES PROMOTED ON PAGE 1:  AFGHAN-VETERANS (Samarkand, Uzbekistan) _ The Uzbek men, combat veterans of Soviet intelligence and special forces units when Uzbekistan was part of the Soviet Union, invariably smiled as they produced the first few photos. ``This one is of my sergeant from Ukraine,'' they said, or, ``That was taken on a day when we left for a vacation.'' And then their tone changed, as the scrapbooks summoned darker memories _ and a warning _ of brutality and betrayal at the hands of Afghan guerrillas they once thought had been their allies. By C.J. Chivers.  With photos.  (Story has moved in ``i'' news file.)  AFGHAN-OPIUM (Undated) _ The ban on the growing of poppies seems to be unraveling amid the war. By Tim Golden.  (Scheduled to move by 9 p.m. ET in ``i'' news file.)  TERROR-BINLADEN (Undated) _ Lawyers are beginning to ask the next question: What do we do if we catch Osama Bin Laden? It is not clear, though, where or what kind of trial that might be. Each of the possibilities would carry with it some political, security or legal risks, experts on criminal and international law say. By William Glaberson.  (Scheduled to move by 9 p.m. ET in ``a'' news file.)  INSURANCE-LOBBY (Washington) _ The insurance industry has staged a broad lobbying campaign for what could prove to be one of the costliest bailouts in American history should there be more attacks like those on the World Trade Center. While other industries and labor groups have failed to gain any promises of assistance, the administration and some leading lawmakers have moved with unusual alacrity to help the insurers. By Stephen Labaton with Joseph B. Treaster.  (Scheduled to move by 9 p.m. ET in ``f'' news file.)  (Editors: All clients receive all budgets, but only full-service clients receive all stories. Please check your level of service to determine which stories you will receive.) </TEXT> </DOC> <DOC id=NYT_ENG_20011021.0126 type=story > <HEADLINE> AIRPORT SCREENER SAYS WORKERS GET NEGLECTED </HEADLINE> <DATELINE> OAKLAND, Calif. (BC-AIRPORT-SCREENERS-NYT) </DATELINE> <TEXT> "	"nyt_eng_200110.gz"
"103680"	"they"	"succeeded"	" If the Fed officials were in fact trying to push down long-term rates, they succeeded, at least initially. After Greenspan's speech, the yield on 10-year Treasury bonds dropped to 4.86 percent from 4.97 percent. </P> "	"nyt_eng_200201.gz"
"106481"	"they"	"succeeded"	" Afterward, they decided to try to get 218 signatures, a majority of the House, on a petition to force their bill onto the floor. Late last month, they succeeded, the first time since 1994 such a thing had been accomplished. </P> "	"nyt_eng_200202.gz"
"112419"	"she"	"succeeded"	" Azucena de la Torre, 50, was only 18 and just out of high school when she came to the United States from Ecuador, determined to make her own way in a new land. And in short order, she succeeded, earning a bachelor's degree from City College and later a master's degree in computer science from New York University. </P> "	"nyt_eng_200204.gz"
"119345"	"they"	"succeeded"	" How could Aguila's fledgling startup hope to survive? Within months, one of his two partners got cold feet and bailed out, and took his $3,000 investment back. Yet Aguila and Nelson Gonzalez pressed on with $10,000 in cash and limitless sweat equity. Against the odds, they succeeded, building a specialist PC maker, called the Alienware Corp. </P> "	"nyt_eng_200206.gz"
"120749"	"she"	"succeeded"	" Ultimately, Boyd decided she could live without a husband _ but not without a child. She decided to become a single mother, trying off and on for two years to become pregnant through artificial insemination. Last October, she succeeded, and at 44 she is due to give birth any day. </P> "	"nyt_eng_200207.gz"
