"pronoun"	"verb"	"context"	"filename"
"251"	"they"	"suggest"	" As the country strives for integration with Western Europe, they suggest, some feel ill at ease with a president who speaks ungrammatically and whose opinions seem hastily formed. </P> "	"nyt_eng_199407.gz"
"1594"	"I"	"suggest"	" The Marlins, who had him for less than two full seasons, already are planning a Charlie Hough Day. The Rangers, I suggest, should do the same. </P> "	"nyt_eng_199407.gz"
"3114"	"they"	"suggest"	" Change now, they suggest, or it may soon be too late. </P> "	"nyt_eng_199408.gz"
"5044"	"they"	"suggest"	" The government, they suggest, could try to swell depleted fish stocks by taking eggs from wild salmon and raising and planting them to create artificial runs. Also, they want to use the money to more closely monitor and control the fish so the numbers allowed up the streams don't further diminish the already scarce food supply. </P> "	"nyt_eng_199409.gz"
"12117"	"they"	"suggest"	" Mexico's leaders, they suggest, chose to peg the peso at an exchange rate that made imports cheap and exports uncompetitive because they were eager to wring out every last measure of inflation from the economy. And they were able to peg the peso high because of foreigners' rush to invest in the promised land. </P> "	"nyt_eng_199501.gz"
"13792"	"they"	"suggest"	" Its main beneficiaries, they suggest, will be the fat cats of Wall Street, who should in justice be left to suffer the consequences of their misreading of Mexico. It is not, alas, that simple. </P> "	"nyt_eng_199502.gz"
"13794"	"they"	"suggest"	" Its main beneficiaries, they suggest, will be the fat cats of Wall Street, who should in justice be left to suffer the consequences of their misreading of Mexico. It is not, alas, that simple. </P> "	"nyt_eng_199502.gz"
"13796"	"they"	"suggest"	" Its main beneficiaries, they suggest, will be the fat cats of Wall Street, who should in justice be left to suffer the consequences of their misreading of Mexico. It is not, alas, that simple. </P> "	"nyt_eng_199502.gz"
"13985"	"they"	"suggest"	" Its main beneficiaries, they suggest, will be the fat cats of Wall Street, who should in justice be left to suffer the consequences of their misreading of Mexico. It is not, alas, that simple. </P> "	"nyt_eng_199502.gz"
"13987"	"they"	"suggest"	" Its main beneficiaries, they suggest, will be the fat cats of Wall Street, who should in justice be left to suffer the consequences of their misreading of Mexico. It is not, alas, that simple. </P> "	"nyt_eng_199502.gz"
"14767"	"they"	"suggest"	" Now, they suggest, DNA testing also ties Simpson to blood stains found on the rear gate leading away from the bodies of Nicole Brown Simpson and Ronald Goldman, who were murdered June 12. </P> "	"nyt_eng_199502.gz"
"14778"	"we"	"suggest"	" ``We believe we did the right thing in this case,'' Reno told reporters, referring to the settlement. ``We thoroughly investigated Microsoft's conduct ... We negotiated the settlement that remedied the illegal practices we challenged -- and any conclusion by the judge to the contrary is, we suggest, incorrect.'' </P> "	"nyt_eng_199502.gz"
"14781"	"we"	"suggest"	" ``We believe we did the right thing in this case,'' Reno told reporters, referring to the settlement. ``We thoroughly investigated Microsoft's conduct ... We negotiated the settlement that remedied the illegal practices we challenged -- and any conclusion by the judge to the contrary is, we suggest, incorrect.'' </P> "	"nyt_eng_199502.gz"
"14835"	"we"	"suggest"	" ``We negotiated a settlement that remedied the illegal practices. . .and any conclusion by the judge to the contrary is, we suggest, incorrect,'' said Attorney General Janet Reno. </P> "	"nyt_eng_199502.gz"
"15314"	"we"	"suggest"	" ``We believe we did the right thing in this case,'' Reno told reporters, referring to the settlement. ``We thoroughly investigated Microsoft's conduct ... We negotiated the settlement that remedied the illegal practices we challenged -- and any conclusion by the judge to the contrary is, we suggest, incorrect.'' </P> "	"nyt_eng_199502.gz"
"15317"	"we"	"suggest"	" ``We believe we did the right thing in this case,'' Reno told reporters, referring to the settlement. ``We thoroughly investigated Microsoft's conduct ... We negotiated the settlement that remedied the illegal practices we challenged -- and any conclusion by the judge to the contrary is, we suggest, incorrect.'' </P> "	"nyt_eng_199502.gz"
"15320"	"we"	"suggest"	" ``We negotiated a settlement that remedied the illegal practices. . .and any conclusion by the judge to the contrary is, we suggest, incorrect,'' said Attorney General Janet Reno. </P> "	"nyt_eng_199502.gz"
"21197"	"they"	"suggest"	" The most conservative opponents of peacekeeping are unfazed by such warnings. The world is indeed Darwinian, they suggest, and to pretend otherwise with blue helmets and goodwill is expensive folly. </P> "	"nyt_eng_199505.gz"
"24333"	"they"	"suggest"	" In fact, they have their own theories, scarcely less idealized than Disney's sylvan romp. Smith's ordeal, they suggest, may not have been an intended execution, rather an elaborate make-believe initiation rite to symbolize a new harmony between the native and settler races. </P> "	"nyt_eng_199506.gz"
"24334"	"they"	"suggest"	" In fact, they have their own theories, scarcely less idealized than Disney's sylvan romp. Smith's ordeal, they suggest, may not have been an intended execution, rather an elaborate make-believe initiation rite to symbolize a new harmony between the native and settler races. </P> "	"nyt_eng_199506.gz"
"24335"	"they"	"suggest"	" In fact, they have their own theories, scarcely less idealized than Disney's sylvan romp. Smith's ordeal, they suggest, may not have been an intended execution, rather an elaborate make-believe initiation rite to symbolize a new harmony between the native and settler races. </P> "	"nyt_eng_199506.gz"
"24336"	"they"	"suggest"	" In fact, they have their own theories, scarcely less idealized than Disney's sylvan romp. Smith's ordeal, they suggest, may not have been an intended execution, rather an elaborate make-believe initiation rite to symbolize a new harmony between the native and settler races. </P> "	"nyt_eng_199506.gz"
"24337"	"they"	"suggest"	" In fact, they have their own theories, scarcely less idealized than Disney's sylvan romp. Smith's ordeal, they suggest, may not have been an intended execution, rather an elaborate make-believe initiation rite to symbolize a new harmony between the native and settler races. </P> "	"nyt_eng_199506.gz"
"24338"	"they"	"suggest"	" In fact, they have their own theories, scarcely less idealized than Disney's sylvan romp. Smith's ordeal, they suggest, may not have been an intended execution, rather an elaborate make-believe initiation rite to symbolize a new harmony between the native and settler races. </P> "	"nyt_eng_199506.gz"
"25046"	"they"	"suggest"	" In fact, they have their own theories, scarcely less idealized than Disney's sylvan romp. Smith's ordeal, they suggest, may not have been an intended execution, rather an elaborate make-believe initiation rite to symbolize a new harmony between the native and settler races. </P> "	"nyt_eng_199506.gz"
"25047"	"they"	"suggest"	" In fact, they have their own theories, scarcely less idealized than Disney's sylvan romp. Smith's ordeal, they suggest, may not have been an intended execution, rather an elaborate make-believe initiation rite to symbolize a new harmony between the native and settler races. </P> "	"nyt_eng_199506.gz"
