"pronoun"	"verb"	"context"	"filename"
"1254"	"he"	"suggests"	" These include elimination of national fishing industry subsidies, strengthening of international controls over quotas and seasons and reduction in wasteful fishing practices. Giving coastal communities that depend on fishing veto authority over coastal development plans might reduce degradation of fishing waters, he suggests, although that kind of system exists only in Japan. </P> "	"nyt_eng_199407.gz"
"2505"	"he"	"suggests"	" Rabinowitz hopes the team can soon take on the restoration of a panel on Bethesda Terrace. With its lacelike birds and flowers, the sculptor terms its tracery work ``almost Venetian,'' and the job, he suggests, would signal that the team has moved from the craft of masonry to the art of sculpture. </P> "	"nyt_eng_199408.gz"
"3608"	"he"	"suggests"	" Because of such risks, big institutions cannot bet too heavily on small stock markets. Right now, Biggs is suggesting that they put 22 percent of their portfolios in emerging markets. But individuals, he suggests, should consider putting as much as half their holdings there. </P> "	"nyt_eng_199408.gz"
"3650"	"he"	"suggests"	" Because of such risks, big institutions cannot bet too heavily on small stock markets. Right now, Biggs is suggesting that they put 22 percent of their portfolios in emerging markets. But individuals, he suggests, should consider putting as much as half their holdings there. </P> "	"nyt_eng_199408.gz"
"4151"	"she"	"suggests"	" Given the elusiveness of her ideas, perhaps it's not surprising that her works have been criticized for incoherence and lack of intelligible themes, but over the years she has learned to trust her own unpredictable associations. And how her works turn out, she suggests, depends partly on the personality of the dancers, on their state of mind, on how the company is working together. </P> "	"nyt_eng_199409.gz"
"4436"	"he"	"suggests"	" To do this, he suggests, why not randomly assign healthier people who are infected with the human immunodeficiency virus, which causes AIDS, to one of three groups. One group would receive a dummy pill and the other two would get a high or a low dose of the experimental drug that had already passed safety tests. This design, called a ``large simple trial,'' which has been used in Europe to assess drugs for heart attacks. </P> "	"nyt_eng_199409.gz"
"4748"	"he"	"suggests"	" Guth doesn't necessarily favor the removal of this legally sanctioned impediment to club mobility. Baseball just wouldn't be baseball, he suggests, if, say, the St. Louis Cardinals could head for Chicago at the whim of some brewmeister. </P> "	"nyt_eng_199409.gz"
"5099"	"he"	"suggests"	" A coach who has managed in the majors, he suggests, may be more adept than the manager at spotting developing clubhouse rifts. A manager's attention can be divided by other responsibilities, and players often find it less threatening to discuss problems with a coach. </P> "	"nyt_eng_199409.gz"
"5124"	"he"	"suggests"	" That arrangement suits George Daly, dean of the Stern School of Business at New York University, who thinks the owners' interest in keeping baseball small coincides with the public interest. In an era of television, he suggests, fans can as easily grow attached to teams whose stadiums are 1,000 miles away as those 100 miles away. </P> "	"nyt_eng_199409.gz"
"5127"	"he"	"suggests"	" That arrangement suits George Daly, dean of the Stern School of Business at New York University, who thinks the owners' interest in keeping baseball small coincides with the public interest. In an era of television, he suggests, fans can as easily grow attached to teams whose stadiums are 1,000 miles away as those 100 miles away. </P> "	"nyt_eng_199409.gz"
"5585"	"he"	"suggests"	" The unmeasurable threat from the regulators, he suggests, served as a check on lenders who would otherwise have been too stodgy or myopic to seek profits in low-income neighborhoods. But neither banks nor community groups were happy with this non-policy. And after President Clinton was elected, he vowed to put teeth into the law. </P> "	"nyt_eng_199409.gz"
"6435"	"it"	"suggests"	" In the end, the movie shakily aspires toward a transcendent resolution. The voices in Dora's head and her ability to transmit and receive mental calls from others, it suggests, are not just freakish abilities but latent gifts possessed by many. `` Jack Be Nimble`` becomes a cautionary fable of parental irresponsibility and its dire consequences. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19941010.0409 type=story > <DATELINE>  (BC-COMPANIES-NYT) </DATELINE> <TEXT> "	"nyt_eng_199410.gz"
"9134"	"he"	"suggests"	" Weber, who was chairman of the Jack Kemp for President campaign in 1988, describes the challenge of the next two years as nothing short of ``replacing a 60-year-old framework for problem solving with a new framework for problem solving'' ---- one less centralized, less bureaucratic. Look to the new farm bill, he suggests, as an early proving ground for these new approaches. </P> "	"nyt_eng_199411.gz"
