"pronoun"	"verb"	"context"	"filename"
"697"	"I"	"suppose"	" ``I find older women, I suppose, more interesting, and I like interesting people,'' said Ms. Walters, who has two movies opening in New York this week. ``My season of films,'' she smiled. </P> "	"nyt_eng_199407.gz"
"815"	"I"	"suppose"	" Just as Americans no longer win the rest of the world's Open, here on British soil. Which means, I suppose, we now owe the world one, turnabout being fair play. </P> "	"nyt_eng_199407.gz"
"1061"	"I"	"suppose"	" It wasn't quite a play, a dance recital or a lecture, though it had elements of each, which, I suppose, is why performance piece is the most efficient way of defining it. </P> "	"nyt_eng_199407.gz"
"1318"	"I"	"suppose"	" It wasn't quite a play, a dance recital or a lecture, though it had elements of each, which, I suppose, is why performance piece is the most efficient way of defining it. </P> "	"nyt_eng_199407.gz"
"1934"	"I"	"suppose"	" ``And highly unusual, I suppose,'' Shelby said. </P> "	"nyt_eng_199408.gz"
"2445"	"I"	"suppose"	" ``And the poor get poorer, that's a fact. But it's all old hat, you know? I mean, there's nothing new under the sun, is there? This old world just keeps on turning. The sun will, I suppose, come up tomorrow.'' </P> "	"nyt_eng_199408.gz"
"3193"	"I"	"suppose"	" One or two may mumble something about Oscar De La Hoya, I suppose, although if they are honest they will probably admit the bloom is fast coming off that particular rose, too. But other than that, I think you will get a lot of blank stares. </P> "	"nyt_eng_199408.gz"
"3287"	"I"	"suppose"	" There are those partisans, I suppose, who will defend Gov. Richards on the grounds that during the 1992 presidential campaign, George W. Bush's father referred to Mr. Clinton and Mr. Gore as ``bozos.'' Tough talk, all right. </P> "	"nyt_eng_199408.gz"
"3503"	"I"	"suppose"	" The real test of the appeal of this event, I suppose, came when it no longer seemed funny to hear the announcers referring to the pitchers' 70-mph fastballs (radar guns in Little League?) or to home runs into the power alleys 215 feet away. </P> "	"nyt_eng_199408.gz"
"3661"	"I"	"suppose"	" Getting a kid through college, according to my own experience of getting one kid through college so far, takes that said kid to age 22. It's possible, I suppose, to get done by age 21 or to stretch it out to 30, but let's use 22 because I know at least one case in which that's accurate, and that's closer than newspaper research usually gets. </P> "	"nyt_eng_199408.gz"
"4067"	"we"	"suppose"	" So Pardee is safe for this week, we suppose, but what of Commander Cody? He straggled out of town with a separated shoulder that will set off new cries that he's fragile, even though the shot he took would have put Siamese twins asunder. Bucky Richardson hustled off the pines to throw three touchdown passes, the last of which came with 0:00 showing and averted the most ignominious defeat of the Pardee era. </P> "	"nyt_eng_199409.gz"
"4186"	"I"	"suppose"	" ``The rest of us, I suppose, are going to play for second place,'' he cracked. </P> "	"nyt_eng_199409.gz"
"4499"	"I"	"suppose"	" The winsome little girl whom Forrest loves -- admirably, I suppose, but of course mindlessly, too -- runs off into a life of serial disasters, one for each social trend she follows. </P> "	"nyt_eng_199409.gz"
"5240"	"I"	"suppose"	" Well, there's a fourth option, I suppose, which is that it's doing the funky chicken dance from the 1960s or 70s or whenever that was popular, because it's a scientifically proven fact that it takes a long time for fads to get from California to the rest of the universe, especially those parts without cable TV. But never mind that option. It will just confuse us. </P> "	"nyt_eng_199409.gz"
"5428"	"I"	"suppose"	" Well, there's a fourth option, I suppose, which is that it's doing the funky chicken dance from the 1960s or '70s or whenever that was popular, because it's a scientifically proven fact that it takes a long time for fads to get from California to the rest of the universe, especially those parts without cable TV. But never mind that option. It will just confuse us. </P> "	"nyt_eng_199409.gz"
"5893"	"I"	"suppose"	" It is all very like the smiley-face phenomenon a few years back, I suppose, but at least there's a modicum of substance to it. Indeed, it's an idea that has been articulated in various and sundry ways over the eons: /{Do unto others. . . You reap what you sow . . . What goes around comes around. . ./} </P> "	"nyt_eng_199410.gz"
"6295"	"I"	"suppose"	" ``There's some of my philosophy, I suppose, in every character. Big Ed (Bookman) was always a combination of John Connally and Lyndon (Johnson) and maybe part me. You create a character so you can say a lot of outrageous things through that character and let your hero be the good guy.'' </P> "	"nyt_eng_199410.gz"
"6743"	"I"	"suppose"	" ``And the governor,'' I said, ``who sent the pistoleros? He is, I suppose, a bad man?'' You begin to talk in those terms in Mexico -- he is good, he is bad -- terms as simple as the pistol shot or the act of mercy. Oh no, they said, he wasn't exactly bad. ... All the responsible people in Las Casas had voted for him. They had great expectations from his rule. But immediately after his election he had to spend three months in Mexico City on business. The result could have been -- and probably was -- foreseen. They were the important months when the taxes on the coffee crops came in. When the governor returned, the Treasury was bare, and no more revenue would come in for nine months. He had to govern without money, and that meant loans, compromises with all his opponents, with the racketeers who had robbed the state, and nothing was done at all. Now the very people who had elected him considered him the worst governor they ever had. </P> "	"nyt_eng_199410.gz"
"6826"	"I"	"suppose"	" ``And the governor,'' I said, ``who sent the pistoleros? He is, I suppose, a bad man?'' You begin to talk in those terms in Mexico -- he is good, he is bad -- terms as simple as the pistol shot or the act of mercy. Oh no, they said, he wasn't exactly bad. ... All the responsible people in Las Casas had voted for him. They had great expectations from his rule. But immediately after his election he had to spend three months in Mexico City on business. The result could have been -- and probably was -- foreseen. They were the important months when the taxes on the coffee crops came in. When the governor returned, the Treasury was bare, and no more revenue would come in for nine months. He had to govern without money, and that meant loans, compromises with all his opponents, with the racketeers who had robbed the state, and nothing was done at all. Now the very people who had elected him considered him the worst governor they ever had. </P> "	"nyt_eng_199410.gz"
"6963"	"I"	"suppose"	" At a pinch, I suppose, you can get interested in beach volleyball, indoor bowling, women's college soccer and other prime-time fare currently being peddled by the big U.S. sports networks. </P> "	"nyt_eng_199410.gz"
"6964"	"I"	"suppose"	" At a pinch, I suppose, you can get interested in beach volleyball, indoor bowling, women's college soccer and other prime-time fare currently being peddled by the big U.S. sports networks. </P> "	"nyt_eng_199410.gz"
"6965"	"I"	"suppose"	" At a pinch, I suppose, you can get interested in beach volleyball, indoor bowling, women's college soccer and other prime-time fare currently being peddled by the big U.S. sports networks. </P> "	"nyt_eng_199410.gz"
"7041"	"I"	"suppose"	" At a pinch, I suppose, you can get interested in beach volleyball, indoor bowling, women's college soccer and other prime-time fare currently being peddled by the big U.S. sports networks. </P> "	"nyt_eng_199410.gz"
"7042"	"I"	"suppose"	" At a pinch, I suppose, you can get interested in beach volleyball, indoor bowling, women's college soccer and other prime-time fare currently being peddled by the big U.S. sports networks. </P> "	"nyt_eng_199410.gz"
"7043"	"I"	"suppose"	" At a pinch, I suppose, you can get interested in beach volleyball, indoor bowling, women's college soccer and other prime-time fare currently being peddled by the big U.S. sports networks. </P> "	"nyt_eng_199410.gz"
"7494"	"I"	"suppose"	" And, I suppose, with these, there is no harm done. </P> "	"nyt_eng_199410.gz"
"7548"	"I"	"suppose"	" Mr. deGive had thoughtfully saved even the little branches and cut them into fireplace lengths. Surprisingly, they make good kindling -- a sign, I suppose, that the sap of life was gone from them before the power saw struck. </P> "	"nyt_eng_199410.gz"
"8109"	"I"	"suppose"	" Acceptance is easy, I suppose, after you've been force-fed a ``triangle offense'' for an entire season. </P> "	"nyt_eng_199411.gz"
"8128"	"I"	"suppose"	" ``No, no, no,'' she says. ``I do not make comparisons. ... There are some men, I suppose, who create their own problems. ... But I don't live in the past.'' </P> "	"nyt_eng_199411.gz"
"8889"	"I"	"suppose"	" It is a function of our nation's relative youth, I suppose, and of a certain disrespect for our own history because it is so brief. </P> "	"nyt_eng_199411.gz"
"8940"	"I"	"suppose"	" It's nice to know that Shakespeare still has a place in the curriculum, I suppose, even if it's as a representative of European imperialism. </P> "	"nyt_eng_199411.gz"
"8950"	"I"	"suppose"	" The question, I suppose, is how much vengeance is worth, for vengeance is the only purpose the death penalty serves. Reading of the case of the young Brooklyn woman who was strangled by a former boyfriend in a hotel room, it's easy to conclude that payback is priceless. Gerald Ardito insisted that he had only compressed Marie Daniele's neck for a full two minutes to heighten her pleasure during a sex act. Incredibly, he was convicted of manslaughter, not murder. Perhaps any parent can understand the impulse to rip him limb from limb. </P> "	"nyt_eng_199411.gz"
