"pronoun"	"verb"	"context"	"filename"
"667"	"I"	"suspect"	" ``Tomorrow, we will see lots of little fry, I suspect,'' predicted Kenichi Ijuri, one of the Japanese scientists studying how the Medaka mate, develop and hatch in space. </P> "	"nyt_eng_199407.gz"
"1584"	"I"	"suspect"	" Jack Pardee, I suspect, can relate to that. </P> "	"nyt_eng_199407.gz"
"3092"	"I"	"suspect"	" OK, a few of you hard-core types do feel thusly, I see. But even you're disgusted, I suspect, and threatening to stay home when the boys of blunder eventually return. </P> "	"nyt_eng_199408.gz"
"3093"	"I"	"suspect"	" OK, a few of you hard-core types do feel thusly, I see. But even you're disgusted, I suspect, and threatening to stay home when the boys of blunder eventually return. </P> "	"nyt_eng_199408.gz"
"3094"	"I"	"suspect"	" OK, a few of you hard-core types do feel thusly, I see. But even you're disgusted, I suspect, and threatening to stay home when the boys of blunder eventually return. </P> "	"nyt_eng_199408.gz"
"3725"	"I"	"suspect"	" As it turned out, the new cat wasn't just one more cat. It was one more cat and four more kittens. Then those kittens had kittens so fast that multiple generations were flashing before our eyes. In the meantime our own two domesticated cats had both disappeared (eaten, I suspect, by the coyotes that tour our streets). Now we were faced with a dilemma -- feeding some 13 cats that weren't ours, that stayed outside, that not only couldn't be petted but hissed at us when we came too near. But we couldn't stop feeding them: We didn't want the kittens to suffer. And with the cats came fleas, on the patio, in our bedroom, our office, the living room. You could walk out on the patio, look down and find eight or ten fleas on your socks, biting your ankles, leaving little red marks on your back at night. My over-the-fence backyard neighbor told me the fleas had driven his son into the house in tears and he had to have his house sprayed at a cost of $107. </P> "	"nyt_eng_199408.gz"
"3728"	"I"	"suspect"	" As it turned out, the new cat wasn't just one more cat. It was one more cat and four more kittens. Then those kittens had kittens so fast that multiple generations were flashing before our eyes. In the meantime our own two domesticated cats had both disappeared (eaten, I suspect, by the coyotes that tour our streets). Now we were faced with a dilemma -- feeding some 13 cats that weren't ours, that stayed outside, that not only couldn't be petted but hissed at us when we came too near. But we couldn't stop feeding them: We didn't want the kittens to suffer. And with the cats came fleas, on the patio, in our bedroom, our office, the living room. You could walk out on the patio, look down and find eight or ten fleas on your socks, biting your ankles, leaving little red marks on your back at night. My over-the-fence backyard neighbor told me the fleas had driven his son into the house in tears and he had to have his house sprayed at a cost of $107. </P> "	"nyt_eng_199408.gz"
"4500"	"I"	"suspect"	" ``Forrest Gump'' is a hymn of praise that the aging yuppies are singing to themselves, pietistic mummery by which they smugly anoint their generation's indifference with the touch of God. (Without, I suspect, God's leave.) </P> "	"nyt_eng_199409.gz"
"5582"	"I"	"suspect"	" Saturday's premiere has the Bergmans sending Gabe and Sam off to day care, and suffering serious separation anxiety. Parents of 4-year-old twins will certainly identify, but, I suspect, they make up a rather small percentage of Nielsen families. </P> "	"nyt_eng_199409.gz"
"6914"	"I"	"suspect"	" Great. But the general public is less interested, I suspect, in expensive machines or virtuosic and relatively rare operations (not to mention wealthy doctors) than in knowing that reasonable attention can be commanded, sometimes on short notice. ``E.R.'' makes a neat surgical incision into those concerns. </P> "	"nyt_eng_199410.gz"
"7120"	"I"	"suspect"	" The explanation, I suspect, is that the country got itself addicted to anger and can't shake the habit. It was hooked long ago when there was very good reason for anger. </P> "	"nyt_eng_199410.gz"
"7295"	"I"	"suspect"	" The explanation, I suspect, is that the country got itself addicted to anger and can't shake the habit. It was hooked long ago when there was very good reason for anger. </P> "	"nyt_eng_199410.gz"
"7413"	"I"	"suspect"	" The overall production is chilly, which, I suspect, is intentional. Emotions are not supposed to cloud the thought in such a work. </P> "	"nyt_eng_199410.gz"
"7878"	"I"	"suspect"	" There will also be those who say its total effect depends on male nudity, since this production features more naked men, completely exposed, for longer periods of time than any mainstream Broadway or Off Broadway production in my memory. The bodies are beautiful and, I suspect, will be intimidating for most of the men in the audience who haven't been working out for eight hours every day. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19941101.0187 type=story > <DATELINE>  (BC-LOVE-VALOR-COMPASSION-THEATER-2NDTAKE-$ADV06-NYT) </DATELINE> <TEXT> "	"nyt_eng_199411.gz"
"9232"	"I"	"suspect"	" ``I've worked on this business a dozen years or so,'' he added, ``and this has not been easy for us or, I suspect, for them. But life changes, and there comes a point we have to acknowledge we aren't the right folks for them.'' </P> "	"nyt_eng_199411.gz"
"9656"	"I"	"suspect"	" But for me and for thousands of other people, I suspect, McNall will be remembered as the guy who made Los Angeles safe for hockey and who gave us the company of Wayne Gretzky. Whatever else they put in his obituary, these are not terrible things to be remembered for. </P> "	"nyt_eng_199412.gz"
"9860"	"I"	"suspect"	" After so many years of specializing exclusively in orange the screen, I suspect, will not submit peaceably to the Jacob's coat implied by ``SVGA 256-color display.'' </P> "	"nyt_eng_199412.gz"
"9903"	"I"	"suspect"	" After so many years of specializing exclusively in orange the screen, I suspect, will not submit peaceably to the Jacob's coat implied by ``SVGA 256-color display.'' </P> "	"nyt_eng_199412.gz"
