"pronoun"	"verb"	"context"	"filename"
"2578"	"I"	"swear"	" Ironically, it was supermodel Kate Moss, with her pencil-thin waifish figure, who is credited with sparking the phenomenal interest. In the January 1994 issue of Vanity Fair magazine, she said: ``I have a couple of those Wonderbras. They're so brilliant, I swear, even I get cleavage with them.'' </P> "	"nyt_eng_199408.gz"
"4658"	"I"	"swear"	" Alas. We're the only people in the whole state who haven't seen a bear. Finally, we're off the trails, not even on an official hike, when right in front of us, no more than 20 feet, I swear, a mama bear and two cubs amble up the river bank on the right and across the road to the left, just as pretty as you please. </P> "	"nyt_eng_199409.gz"
"5566"	"I"	"swear"	" ``I'll be damned if Ben doesn't hit this putt that's going 100 mph,'' said their teammate, Brent Buckman. ``The ball hits the back of the hole, and, I swear, jumps four inches in the air and drops in the cup. I tell you, the hair on the back of my neck was standing up. It was incredible.'' </P> "	"nyt_eng_199409.gz"
"12025"	"I"	"swear"	" Years and years of city filth clung to the benches and trees in Washington Square. It coated the pastel eaves of every Victorian in the Castro. The last couple of years, I swear, you could scrape it off the greasy sidewalks of Market Street and the Tenderloin. </P> "	"nyt_eng_199501.gz"
"16415"	"they"	"swear"	" Talking about another start cheers the women up. After they get a place, then they'll see about child care. Once they pass the high school equivalency test, they can get a job. After that, they swear, they hope, they're off welfare. </P> "	"nyt_eng_199503.gz"
"21723"	"I"	"swear"	" ``There was something like 900 kids there and, I swear, most of them I would never have assumed were into White Zombie,'' he said. ``A lot of them were just normal, clean-cut kids. So, it's impossible to tell who buys the records.'' </P> "	"nyt_eng_199505.gz"
"24748"	"I"	"swear"	" ``Sam was just unlucky when it came to the Open. That was the only major he didn't win. But, I swear, if he had won at Philly, he probably would have took four or five of them.'' </P> "	"nyt_eng_199506.gz"
"28629"	"I"	"swear"	" It never fails. You go in with all good intentions of renting ``The Seventh Seal'' (and I actually have seen this movie, I swear, but I'm a little fuzzy on the details because I'd just had my wisdom teeth removed and was taking painkillers so strong they caused me to remember it as an action-comedy _ loved the chess scenes). </P> "	"nyt_eng_199507.gz"
"32193"	"I"	"swear"	" ``You wound up with people sending more money to their brokerage account, because they knew they could get it back when they wanted it,'' Goldstein said. ``The same will be true for their 401(k) plans.'' </P> </TEXT> </DOC> <DOC id=NYT_ENG_19950825.0372 type=advis > <DATELINE>  (BC-ENTERTAINMENT-BUDGET-LADN) </DATELINE> <TEXT> (For use by NYTimes News Service clients)  The Los Angeles Daily News plans to move the following stories today for use by NYTimes News Service clients. They will move in the ``e'' entertainment news file. For questions, contact Stuart Levine at the Daily News, (818) 713-3696.  CAMERON-INTERNET (Los Angeles) _ In a live on-line Internet conference, cutting-edge filmmaker James Cameron, creator of ``True Lies'' and the mind-blowing special effects action movie ``Terminator 2,'' talks about his latest work, ``Strange Days,'' starring Ralph Fiennes. By Amy Dawes.  CLUB-KIDS (Los Angeles) _ Teen-agers in fishnet stockings shake and shimmy on platform shoes. Music pulsates. Strobes momentarily illuminate sweaty faces. Peanuts, a Hollywood dance club, is jumping. It's time for the ``club kids'' to arrive. Standing a head above the crowd in 12-inch platforms, they enter wearing outlandish costumes _ part Rocky Horror, part Parisian runway, part Halloween and part drag. Club kids like ``Sugar Free,'' ``Cosmetica'' and ``Atomic Tony,'' don't wait on line. They don't pay a cover or buy their own drinks. But club owners love to have them around. They're part of the show. ``I'm a stylistic individual,'' said Gabriel Panduro, 19, who put on a blue lycra top, gloves, black latex pants and 7-inch Adidas platforms before he left his North Hollywood home for a night out. ``They're pretty hip for our club,'' said owner Micheal Stewart, ``It's kind of like a New York vibe. And that's what we try to project, being a little New York and as hip and different as possible.'' By Jenifer Hanrahan.  TVCOLUMN-RICHMOND (Los Angeles) _ To speak to Janeane Garofalo, you would swear that the woman is trapped in some nightmare of a Hollywood downhill spiral, shaking a tin cup on a streetcorner to subsist and busting down doors pleading for an audition. ``I honestly feel like I've already peaked, I swear,'' Garofalo said. Perhaps somebody ought to tell Garofalo that rather than some struggling has-been, she actually happens to be the busiest comedy actress in Hollywood and at 28 a young up-and-comer on the comedy club circuit. The woman is simply everywhere these days. Consider all that Garofalo has done, or is doing, of late: Starring for the second season as Paula the talent book on HBO's ``The Larry Sanders Show''; working as a correspondent for the satirical summertime Fox magazine series ``TV Nation'' with Michael Moore; hosted and co-produced the stand-up comedy series ``Comedy Product'' presently running on Comedy Central; has her own half-hour HBO comedy special on Sept. 21; has her first co-starring role in a film with the forthcoming ``The Truth About Cats and Dogs,'' playing a lonely veterinarian opposite Uma Thurman; had a part as the blind date from hell in the film ``Bye Bye, Love''; has small roles in three other upcoming films: ``She Followed Me Home'' with Bill Murray, ``Gaslight Edition'' starring Demi Moore and ``Coldblooded'' with Jason Priestley. Poor baby just can't get a job. By Ray Richmond.  ROSENTHAL-COLUMN (Los Angeles) _ General entertainment column. By Phil Rosenthal. </TEXT> </DOC> <DOC id=NYT_ENG_19950825.0373 type=story > <HEADLINE> TELECOMMUNICATIONS LEGISLATION WILL HELP GIANTS </HEADLINE> <DATELINE>  (BC-TELECOMMUNICATIONS-BILLS-HNS) </DATELINE> <TEXT> "	"nyt_eng_199508.gz"
"32254"	"I"	"swear"	" ``I honestly feel like I've already peaked, I swear,'' Garofalo said on the telephone one day last week. ``I just came off of a hiatus during which I thought, `Oh my God, what if I never get another job in this profession?' I just hope there's a next thing. God, I really hope that.'' </P> "	"nyt_eng_199508.gz"
