"pronoun"	"verb"	"context"	"filename"
"11564"	"they"	"talk"	" The simple response, of course, is that sexually suggestive looks sometimes are a positive way to initiate a relationship. Humans don't mate through antiseptic exchanges of formal proposals, calculated to avoid the slightest risk of offense. They look, they talk, they flirt. Sometimes they get rejected; sometimes they miscalculate, and come across as vulgar or juvenile. ``Harassment''? Let's have some sense of proportion. </P> "	"nyt_eng_199501.gz"
"14078"	"they"	"talk"	" ``Russian people, they like to shop here,'' said Vasser, who moved to the United States from Moscow 14 years ago. ``It is familiar for them. They shop, they talk, they say hello. It is good.'' </P> "	"nyt_eng_199502.gz"
"27337"	"we"	"talk"	" While on Cape Cod, we talk, cook, take time to notice the shimmering light. There's no homework to supervise after dinner, so we leave our daughters playing baseball in the yard and sneak off for a sunset walk. We go to bed early and rise early, too, walking the beach in a deliberate way. </P> "	"nyt_eng_199507.gz"
"58546"	"we"	"talk"	" ``If there's stuff to talk about, we talk, and if not, we concentrate on the games.'' </P> "	"nyt_eng_199605.gz"
"59206"	"we"	"talk"	" ``If there's stuff to talk about, we talk, and if not, we concentrate on the games.'' </P> "	"nyt_eng_199605.gz"
"59738"	"we"	"talk"	" ``If there's stuff to talk about, we talk, and if not, we concentrate on the games.'' </P> "	"nyt_eng_199605.gz"
"60131"	"we"	"talk"	" ``If there's stuff to talk about, we talk, and if not, we concentrate on the games.'' </P> "	"nyt_eng_199605.gz"
"60694"	"we"	"talk"	" ``If there's stuff to talk about, we talk, and if not, we concentrate on the games.'' </P> "	"nyt_eng_199605.gz"
"61775"	"we"	"talk"	" ``If there's stuff to talk about, we talk, and if not, we concentrate on the games.'' </P> "	"nyt_eng_199606.gz"
"95587"	"we"	"talk"	" ``We have a great belief, those of us who live in this income bracket and postal district, in the power of words: we read, we talk, we write, we have therapists and counselors and even priests who are happy to listen to us and tell us what to do,'' Kate says. ``So it comes as something of a shock to me that my words, big words, it seemed to me at the time, words that could change my life, might have just been bubbles: David swatted them away and they popped, and there is no evidence anywhere that they ever existed.'' </P> "	"nyt_eng_200107.gz"
"108416"	"they"	"talk"	" ``I said 'no way' you know, the guys at work, they talk,'' Hardy, 38, a corrections officer at the New York City Police department's central booking, recalled over a recent all-you-can-eat sushi dinner before heading off to his midnight shift. ``But my wife said, 'go ahead and have fun with it.' I thought it was just free lunch.'' </P> "	"nyt_eng_200203.gz"
"109753"	"they"	"talk"	" As they gather in the rural Tex-Mex eateries and along the turn rows, they talk, only half-joking, of sending in F-16s to blow holes in the dams to release what water is left. </P> "	"nyt_eng_200203.gz"
"109758"	"they"	"talk"	" As they gather in the rural Tex-Mex eateries and along the turn rows, they talk, only half-joking, of sending in F-16s to blow holes in the dams to release what water is left. </P> "	"nyt_eng_200203.gz"
"110205"	"we"	"talk"	" ``When we have wine together, it really slows down our meal,'' Gaiter said. ``When we slow down, we talk, really talk to each other and get connected with those things that we love about each other. Then wine urges us to stay there in that sweet moment.'' </P> "	"nyt_eng_200203.gz"
"121320"	"I"	"talk"	" ``I sit, I talk, I play ping-pong,'' says Mandour Nabulsi, a pharmacist and father of four in Nablus who has been able to open his business seven times in the 38 days since the curfew was declared. ``That is it.'' </P> "	"nyt_eng_200207.gz"
"123074"	"we"	"talk"	" At times, Miller and Fehr talk once a month, other times twice a week. ``When things get hot, we talk,'' Miller said. Fehr said, ``It would be pretty foolish of me not to avail myself of him.'' </P> "	"nyt_eng_200208.gz"
"130189"	"they"	"talk"	" And, of course, they talk, imitating human language. </P> "	"nyt_eng_200211.gz"
"130190"	"they"	"talk"	" And, of course, they talk, imitating human language. </P> "	"nyt_eng_200211.gz"
"130191"	"they"	"talk"	" And, of course, they talk, imitating human language. </P> "	"nyt_eng_200211.gz"
"130264"	"they"	"talk"	" And, of course, they talk, imitating human language. </P> "	"nyt_eng_200211.gz"
"130267"	"they"	"talk"	" And, of course, they talk, imitating human language. </P> "	"nyt_eng_200211.gz"
"130268"	"they"	"talk"	" And, of course, they talk, imitating human language. </P> "	"nyt_eng_200211.gz"
"130357"	"they"	"talk"	" And, of course, they talk, imitating human language. </P> "	"nyt_eng_200211.gz"
"130358"	"they"	"talk"	" And, of course, they talk, imitating human language. </P> "	"nyt_eng_200211.gz"
"130381"	"they"	"talk"	" They eat, they talk, they laugh . . . and, with luck, they have leftovers to take home for another meal. </P> "	"nyt_eng_200211.gz"
"130486"	"they"	"talk"	" And, of course, they talk, imitating human language. </P> "	"nyt_eng_200211.gz"
"148692"	"we"	"talk"	" We laugh, we talk, we tease each other, she said of the nighttime discussions. We talk about AIDS and sex. I am very open to them. Even though I didn't know them before, they are good friends now. </P> "	"nyt_eng_200501.gz"
"149688"	"you"	"talk"	" What's funny is this, Ariza says. When people are hungry and thirsty, their mood switches, like a toddler. When the baby cries, you know you need to feed him, and you do. You take the time, you talk, and soon he's happy. It's the same with people. They have a bad flight, a bad day at work, they bring their troubles in. Our job is to take the troubles away. </P> </TEXT> </DOC> <DOC id=NYT_ENG_20050222.0048 type=story > <HEADLINE> SOME TIPS ON DINING ETIQUETTE </HEADLINE> <TEXT> "	"nyt_eng_200502.gz"
"156643"	"we"	"talk"	" At an Arion Press party celebrating its publication of a new edition of Virginia Woolf's Orlando, Diana Michener talked about the main character, who lives as both a woman and a man. It's definitely better to be a girl, Michener said. As to whether it is better to live in Walla Walla or Paris, sites of two homes she shares with husband Jim Dine, she was less able to decide. My life in Walla Walla and Paris is the same. ... We live a very disciplined life in both places. We work, we talk, we go to sleep. </P> "	"nyt_eng_200508.gz"
"158189"	"they"	"talk"	" Adds Zucker, the disability advocate: Whenever you rub elbows with other people, there's the potential for conflict. It's never absolutely silent at a classical concert people cough, they talk, they move in their seats. In most instances, if people are considerate of others, they ought to be able to resolve things by being flexible and trying to accommodate each other. </P> </TEXT> </DOC> <DOC id=NYT_ENG_20051002.0019 type=story > <HEADLINE> THE BENEFITS OF WINTERIZER FERTILIZER </HEADLINE> <TEXT> "	"nyt_eng_200510.gz"
"158612"	"you"	"talk"	" Throughout the afternoon, Murdoch repeatedly dipped out of the interview to take several calls on one of the apartment's 20 telephones. When he returned from a call, Deng would urge him, Rupert, you talk, but then quickly jump in to finish his sentences. </P> "	"nyt_eng_200510.gz"
