"pronoun"	"verb"	"context"	"filename"
"259"	"he"	"testified"	" Shortly after 11 o'clock, he testified, Simpson emerged from the house, having said over the intercom at the gate that he was running late because he had fallen asleep. </P> "	"nyt_eng_199407.gz"
"260"	"he"	"testified"	" He said he was on the telephone talking to a friend, Rachel Ferrara, when the noise, which he described as three bumps, nearly knocked a picture off his wall. At first, he testified, he thought it might have been an earthquake. </P> "	"nyt_eng_199407.gz"
"316"	"they"	"testified"	" The detectives said they were unable to raise anyone when they arrived at the home. Further, they testified, they found more blood on a truck parked outside the locked gate of the property. </P> "	"nyt_eng_199407.gz"
"410"	"she"	"testified"	" Seperately, in a plea agreement reached last month with federal prosecutors, a third former Honda employee testified in court that she was paid $120,000 over a decade by Hendrick's 43-year-old brother, John L. Hendrick. In exchange, she testified, she helped increase the allotment of cars to a North Carolina dealership owned by the two men. </P> "	"nyt_eng_199407.gz"
"2293"	"he"	"testified"	" The complainant, Charles Morgan, said that Morris had illegally transferred money and real estate, including his Newport mansion, to his wife. But Morris testified that he was living solely off her own money, including his dues at the Metropolitan and Union League Clubs. His entire assets, he testified, consisted of his clothing and two tennis racquets. </P> "	"nyt_eng_199408.gz"
"2555"	"he"	"testified"	" Many years ago, he testified, an understanding had been reached between the reconnaissance office and a handful of congressional staff members. </P> "	"nyt_eng_199408.gz"
"5312"	"she"	"testified"	" Ms. Potter testified in court in July that she had gone to the victim's farmhouse to ask for money to repay a drug debt. She said that her mother had previously worked as a housekeeper for Dulin and that she had borrowed money from him before. When he refused to make the loan, she testified, she pulled out a gun, and he tried to knock her down. In the struggle, she said, the gun went off. As Dulin lay dead, she stole his checkbook. She also corroborated statements that Frye had not been at the scene of the killing. </P> "	"nyt_eng_199409.gz"
"5356"	"he"	"testified"	" Another personal source of income, he testified, was hundreds of thousands of dollars that he got yearly in illegal interest from a loan-shark operation that had lent out $1.5 million ``on the street.'' </P> "	"nyt_eng_199409.gz"
"7459"	"he"	"testified"	" In the same deposition, Bencowitz acknowledged that the asbestos companies paid him $148,500 to perform independent medical evaluations of the litigants. In addition, he testified, he received ``13,000 and some-odd'' dollars to review lung-function tests at St. Elizabeth. Bencowitz received the money for 16 days of work, Garrard said. </P> "	"nyt_eng_199410.gz"
"9992"	"he"	"testified"	" In fact, he testified, a second-year resident suggested that his daughter, Libby, who was feverish and agitated, might calm down if he and his wife went home. ``I said, `Elsa, if it's better for the kid, I guess we should go,' '' Zion said. His 18-year-old daughter's farewell to him, he said, was ``Shloft gezunt, Daddy'' -- Yiddish for ``sleep well.'' </P> "	"nyt_eng_199412.gz"
"10114"	"he"	"testified"	" If he wasn't sure of the precise date, he testified, he could find out by simply calling the company and asking ``if they were coming to deliver any paperwork.'' </P> "	"nyt_eng_199412.gz"
"10116"	"he"	"testified"	" The goal, he testified, was to get them to ``expedite the paperwork I was putting through, and for GM employees to look the other way concerning the fraud.'' </P> "	"nyt_eng_199412.gz"
"10117"	"he"	"testified"	" At the same time, he testified, he was paying bribes to members of the Brookhaven Town Board and Planning Board. Two defendants, Donald Zimmer and Anthony Losquadro, are former Town Board members. </P> "	"nyt_eng_199412.gz"
"12636"	"he"	"testified"	" Under cross-examination during the former officials' trial in U.S. District Court in Hauppauge, McNamara was pressed by their lawyers about how he could afford to invest $300,000 -- the Florida company, he testified, was owned by his daughter's trust -- when he owed so much money to so many people. </P> "	"nyt_eng_199501.gz"
"12647"	"he"	"testified"	" Under cross-examination during the former officials' trial in U.S. District Court in Hauppauge, McNamara was pressed by their lawyers about how he could afford to invest $300,000 -- the Florida company, he testified, was owned by his daughter's trust -- when he owed so much money to so many people. </P> "	"nyt_eng_199501.gz"
"12665"	"he"	"testified"	" Under cross-examination during the former officials' trial in U.S. District Court in Hauppauge, McNamara was pressed by their lawyers about how he could afford to invest $300,000 -- the Florida company, he testified, was owned by his daughter's trust -- when he owed so much money to so many people. </P> "	"nyt_eng_199501.gz"
"13353"	"he"	"testified"	" The sole defendant to testify was Giovanelli, who contended that he was being held up by two men when Venditti emerged from the restaurant. Detective Burke, he testified, appeared and fired without warning. </P> "	"nyt_eng_199501.gz"
"13358"	"they"	"testified"	" But they said Johnston did not stop there. Instead, they testified, he inserted needles from their wrists to their shoulders, told them they would suffer permanent nerve damage if they moved. He then proceeded to suck on their breasts, place their hands in his crotch and masturbate against them. </P> "	"nyt_eng_199501.gz"
"13723"	"he"	"testified"	" There, he testified, Simpson told him that detectives said they found a bloody glove and a cap. Simpson also wanted to know how long it took for DNA test results to return. </P> "	"nyt_eng_199502.gz"
"13726"	"he"	"testified"	" There, he testified, Simpson told him that detectives said they found a bloody glove and a cap. Simpson also wanted to know how long it took for DNA test results to return. </P> "	"nyt_eng_199502.gz"
