"pronoun"	"verb"	"context"	"filename"
"24758"	"he"	"theorized"	" Chief coroner Dr. Lakshmanan Sathyavagiswaran reconstructed the struggle based on autopsies, photos _ and, as the defense will argue, unsupported conjecture. The killer, he theorized, probably struck and knifed Nicole several times around the neck and head, knocking her to the ground. </P> "	"nyt_eng_199506.gz"
"24903"	"he"	"theorized"	" Chief coroner Dr. Lakshmanan Sathyavagiswaran reconstructed the struggle based on autopsies, photos _ and, as the defense will argue, unsupported conjecture. The killer, he theorized, probably struck and knifed Nicole several times around the neck and head, knocking her to the ground. </P> "	"nyt_eng_199506.gz"
"36140"	"he"	"theorized"	" Indeed, he theorized, after enough learning from changing government policies, the impact of monetary stimulus ceases to be predictable: the residual impact comes from unanticipated effects, which can even be the opposite of what policy makers intend. </P> "	"nyt_eng_199510.gz"
"45344"	"he"	"theorized"	" ``The motto reinforces its rather rebellious image,'' observed Joe Grahame, the 27-year-old former investment banker who thought up the beer during a series of visits to Cuba. The beer's appeal, he theorized, ``has something to do with the post-'80s feeling that it's not all money.'' </P> "	"nyt_eng_199601.gz"
"45390"	"he"	"theorized"	" ``The motto reinforces its rather rebellious image,'' observed Joe Grahame, the 27-year-old former investment banker who thought up the beer during a series of visits to Cuba. The beer's appeal, he theorized, ``has something to do with the post-'80s feeling that it's not all money.'' </P> "	"nyt_eng_199601.gz"
"69350"	"they"	"theorized"	" From the start, police believed Risch was abducted. Then, they theorized, she was either put into another car or she ended up in the woods, chased or carried by her assailant. That would explain the abrupt end to the blood trail. </P> "	"nyt_eng_199608.gz"
"121318"	"they"	"theorized"	" At one point, they lashed themselves together to keep from floating away. If they drowned, they theorized, rescuers would find all of their bodies together. </P> "	"nyt_eng_200207.gz"
"126652"	"he"	"theorized"	" Ricaurte has done research on the dangers of Ecstasy for years. In 1995 he found that it caused the brains of rats and squirrel monkeys to form abnormal connections in the serotonin-producing pathway. That, he theorized, could lead to problems like chronic depression. </P> "	"nyt_eng_200209.gz"
"152529"	"they"	"theorized"	" Although women were not tested, the researchers said there was no reason to believe they would not respond similarly. On the other hand, they theorized, it is possible that women who believe alcohol makes them more sexually receptive may rate photographs of men as less attractive, as a defense mechanism. </P> "	"nyt_eng_200505.gz"
"160472"	"he"	"theorized"	" One marshal said that air marshals are typically the first to board planes, even before the handicapped and travelers with young children, and that Wednesday's incident had occurred before the plane door was closed. Therefore, he theorized, the marshals had probably not had a chance to observe Alpizar in the boarding lounge. </P> "	"nyt_eng_200512.gz"
"160501"	"he"	"theorized"	" One marshal said that air marshals are typically the first to board planes, even before the disabled and travelers with young children, and that Wednesday's incident had occurred before the plane door was closed. Therefore, he theorized, the marshals had probably not had a chance to observe Alpizar in the boarding lounge. </P> "	"nyt_eng_200512.gz"
"166164"	"he"	"theorized"	" He surmised that if we accepted the claim that homosexuality was genetically determined, why then couldn't we imagine that there might be a gene activating an aversion to homosexuality? That gene could be said to possess an evolutionary purpose, he theorized, the furthering of the human race. Wright, who has written extensively on evolution, seemed to find this all rather nutty, pointing out that most of us don't lust after rocks, and for Darwinian purposes that is sufficient: Evolutionary progress does not depend on reacting to rocks as if they were unmarriageable and icky. </P> "	"nyt_eng_200605.gz"
"167135"	"she"	"theorized"	" Maybe, she theorized, it's because people of such faith think God will take care of it, and that becomes a stress reducer. </P> "	"nyt_eng_200605.gz"
