"pronoun"	"verb"	"context"	"filename"
"39937"	"he"	"theorizes"	" Proust finds the answers to such questions in the faculty of memory, the central theme of his novel. The mind, he theorizes, creates ``facsimiles of those fugitive phrases'' that allow a listener to compare and contrast the notes heard with those that follow. The hypothetical listener assembles something that is ``no longer pure music but rather design, architecture, thought,'' which allows the actual music to be recalled. </P> "	"nyt_eng_199511.gz"
"40529"	"he"	"theorizes"	" ``And it wasn't bad,'' van Over recalled. The difference, he theorizes, is that the food processor mixes so swiftly and completely that the dough's gluten structure is enhanced, speeding up the yeast fermentation that occurs during rising. </P> "	"nyt_eng_199511.gz"
"68420"	"he"	"theorizes"	" After the 1960s, he theorizes, people focused so much on money, believing it can buy anything _ a place in society, a board or club membership. </P> "	"nyt_eng_199608.gz"
"68487"	"he"	"theorizes"	" After the 1960s, he theorizes, people focused so much on money, believing it can buy anything _ a place in society, a board or club membership. </P> "	"nyt_eng_199608.gz"
"86862"	"she"	"theorizes"	" Lithium, she theorizes, or shock therapy, might have saved him. Nevertheless, she was adamant about her own position. </P> "	"nyt_eng_199702.gz"
"128813"	"he"	"theorizes"	" Barriers against intimacy were set up early _ perhaps, he theorizes, to hide from the emotional pain of his father's suicide. Barriers remained as he worked in the back rooms for manufacturers Anna Miller and Maurice Rentner, ultimately emerging as a fashion star. </P> "	"nyt_eng_200210.gz"
"134402"	"he"	"theorizes"	" Homo sapiens, he theorizes, have evolved the capacity to experience God primarily through the amygdala, a small, almond-shaped structure buried deep in the brain. The amygdala, along with the hippocampus and hypothalamus, make up the limbic system, the first-formed and most primitive part of the brain, where emotions, sexual pleasure and deeply felt memories arise. </P> "	"nyt_eng_200212.gz"
"134404"	"he"	"theorizes"	" Homo sapiens, he theorizes, have evolved the capacity to experience God primarily through the amygdala, a small, almond-shaped structure buried deep in the brain. The amygdala, along with the hippocampus and hypothalamus, make up the limbic system, the first-formed and most primitive part of the brain, where emotions, sexual pleasure and deeply felt memories arise. </P> "	"nyt_eng_200212.gz"
"134407"	"he"	"theorizes"	" Homo sapiens, he theorizes, have evolved the capacity to experience God primarily through the amygdala, a small, almond-shaped structure buried deep in the brain. The amygdala, along with the hippocampus and hypothalamus, make up the limbic system, the first-formed and most primitive part of the brain, where emotions, sexual pleasure and deeply felt memories arise. </P> "	"nyt_eng_200212.gz"
"134677"	"he"	"theorizes"	" Homo sapiens, he theorizes, have evolved the capacity to experience God primarily through the amygdala, a small, almond-shaped structure buried deep in the brain. The amygdala, along with the hippocampus and hypothalamus, make up the limbic system, the first-formed and most primitive part of the brain, where emotions, sexual pleasure and deeply felt memories arise. </P> "	"nyt_eng_200212.gz"
"134679"	"he"	"theorizes"	" Homo sapiens, he theorizes, have evolved the capacity to experience God primarily through the amygdala, a small, almond-shaped structure buried deep in the brain. The amygdala, along with the hippocampus and hypothalamus, make up the limbic system, the first-formed and most primitive part of the brain, where emotions, sexual pleasure and deeply felt memories arise. </P> "	"nyt_eng_200212.gz"
"134681"	"he"	"theorizes"	" Homo sapiens, he theorizes, have evolved the capacity to experience God primarily through the amygdala, a small, almond-shaped structure buried deep in the brain. The amygdala, along with the hippocampus and hypothalamus, make up the limbic system, the first-formed and most primitive part of the brain, where emotions, sexual pleasure and deeply felt memories arise. </P> "	"nyt_eng_200212.gz"
"134813"	"he"	"theorizes"	" Homo sapiens, he theorizes, have evolved the capacity to experience God primarily through the amygdala, a small, almond-shaped structure buried deep in the brain. The amygdala, along with the hippocampus and hypothalamus, make up the limbic system, the first-formed and most primitive part of the brain, where emotions, sexual pleasure and deeply felt memories arise. </P> "	"nyt_eng_200212.gz"
"134815"	"he"	"theorizes"	" Homo sapiens, he theorizes, have evolved the capacity to experience God primarily through the amygdala, a small, almond-shaped structure buried deep in the brain. The amygdala, along with the hippocampus and hypothalamus, make up the limbic system, the first-formed and most primitive part of the brain, where emotions, sexual pleasure and deeply felt memories arise. </P> "	"nyt_eng_200212.gz"
"134817"	"he"	"theorizes"	" Homo sapiens, he theorizes, have evolved the capacity to experience God primarily through the amygdala, a small, almond-shaped structure buried deep in the brain. The amygdala, along with the hippocampus and hypothalamus, make up the limbic system, the first-formed and most primitive part of the brain, where emotions, sexual pleasure and deeply felt memories arise. </P> "	"nyt_eng_200212.gz"
"152111"	"he"	"theorizes"	" Scientists, studying families and twins, have long known that genes help determine weight. So O'Rahilly is now looking for genetic abnormalities that can make some children enormously fat. Those same genes, he theorizes, may be at work to a slighter degree in people who are overweight or obese, but not morbidly so. </P> "	"nyt_eng_200504.gz"
"153087"	"he"	"theorizes"	" More seriously, he theorizes, Americans love NASCAR because they love fast cars and they love to drive. Stock car racing offers an intensified version of their own highway experiences. Perhaps just as important, when watching the races, fans join a large, stable and astoundingly homogenous community. (NASCAR fans are overwhelmingly white.) </P> "	"nyt_eng_200505.gz"
"164970"	"he"	"theorizes"	" Hohn, he theorizes, is driven less by greed than a desire to win. If one were to give him Gummi Bears instead of money, he would probably be happy, he writes. </P> "	"nyt_eng_200603.gz"
