"pronoun"	"verb"	"context"	"filename"
"279"	"she"	"thinks"	" Ms. Frank, in particular, has been vocal this year, issuing dour statements about the overall lack of quality in this fall's shows, and about the risky -- and, she thinks, misbegotten -- schedule shift by NBC that will place ``Frasier'' opposite ``Roseanne'' on Tuesday nights. </P> "	"nyt_eng_199407.gz"
"2161"	"he"	"thinks"	" As companies understand the need to seek private capital and the way a stock market can help them do it, he thinks, ``there will be much more market pressure to protect stockholders and provide disclosure.'' </P> "	"nyt_eng_199408.gz"
"2446"	"he"	"thinks"	" That, he thinks, is the only way to explain the league's success over the last three years, despite a budget so tight that he never knows how he will pay his referees -- who only ask minimum wage. </P> "	"nyt_eng_199408.gz"
"2447"	"he"	"thinks"	" That, he thinks, is the only way to explain the league's success over the last three years, despite a budget so tight that he never knows how he will pay his referees -- who only ask minimum wage. </P> "	"nyt_eng_199408.gz"
"3104"	"she"	"thinks"	" Now, she thinks, her best friends, whom she sees every day in a magical place called Puzzleworks, seem to be laughing at the way she recites a tongue twister. </P> "	"nyt_eng_199408.gz"
"3254"	"he"	"thinks"	" But there are those like George Mateyo, who manages $3 billion in investment at Carnegie Capital Management in Cleveland, who believes yields will not come down anytime soon because the Fed, he thinks, will be forced to raise rates at least once more before the end of the year. ``The economy's growing too fast to slow down without another rate increase,'' he said. </P> "	"nyt_eng_199408.gz"
"4193"	"he"	"thinks"	" So for the moment, Boniol is satisfied with 159 pounds, $108,000 and a job with Jones. A lot of this, he thinks, comes from growing up in Louisiana and being raised by Don and Linda Boniol. </P> "	"nyt_eng_199409.gz"
"4534"	"she"	"thinks"	" She has survived, she thinks, because she never strayed far from her creed. ``I have my own style and my own ideas. You have to follow your own instincts,'' she said. </P> "	"nyt_eng_199409.gz"
"5101"	"she"	"thinks"	" Jeannie Kulwin sits at home, a stack of school books to one side, dreading the test she has to take the next day. Boy, she thinks, it sure would be great to be in Meilen's shoes right now. </P> "	"nyt_eng_199409.gz"
"7060"	"he"	"thinks"	" He has run, he thinks, something more than 200,000 miles, mostly alone, often fantasizing in the slow and dreamy way he speaks. ``I might imagine the face of a pretty girl,'' he said softly, ``and I'll debate with myself, should I focus on her eyes or her hair, and thinking about that can go on for miles and miles.'' He hides a dry chuckle behind his large, strong hand. Is he being mystical or merely drifty? </P> "	"nyt_eng_199410.gz"
"7068"	"he"	"thinks"	" ``The big danger is that we could slide into a relationship we don't need or want, or even slide into a new Cold War with the West,'' Karaganov says. Ukraine is the biggest danger. If Ukraine disintegrates, he thinks, it will not be because of Russian policy, but because of its own historical fault lines and its failure to reform the economy. </P> "	"nyt_eng_199410.gz"
"7501"	"she"	"thinks"	" Of her sweetly overprotective mom, who hasn't done anything to offend her daughter, she thinks, ``Lately I can't even look at my mother without wanting to stab her.'' </P> "	"nyt_eng_199410.gz"
"7649"	"he"	"thinks"	" Bill Martin, a banker handling Milt's trust, said the center's bonds were sold at 4 percent. Milt, he thinks, would have been especially happy about that. </P> </TEXT> </DOC> <DOC id=NYT_ENG_19941028.0317 type=story > <HEADLINE> CLINTON VISITS U.S. TROOPS IN KUWAIT </HEADLINE> <DATELINE> CAMP DOHA, Kuwait  (BC-CLINTON-MIDEAST-810&AMP;ADD-NYT) </DATELINE> <TEXT> "	"nyt_eng_199410.gz"
"10064"	"he"	"thinks"	" Someday, he thinks, ``there are going to be some problems.'' </P> "	"nyt_eng_199412.gz"
