"pronoun"	"verb"	"context"	"filename"
"224"	"I"	"thought"	" ``I always thought I'd go back to Victoria,'' said Wong, a retired seamstress who was born and raised in Canada. ``But after my parents passed away, I thought, this is my home.'' </P> "	"nyt_eng_199407.gz"
"293"	"I"	"thought"	" The travel agent, now 28, added, ``When I was talking to the lawyers, I thought, if they asked you as many questions when you got married, people might reconsider.'' </P> "	"nyt_eng_199407.gz"
"767"	"I"	"thought"	" Next, I sized up the roving militia recruited for the event. It appeared to consist of junior high students outfitted in khaki uniforms and blue [ barets]berets. They probably haven't even learned to fire water pistols. This toy army, I thought, should have been hanging out in an ice cream parlor or a YMCA camp, not in a potential international war zone and entrusted with my life. </P> "	"nyt_eng_199407.gz"
"1040"	"I"	"thought"	" ``It was not an easy off-season,'' Aikman conceded. ``It was so crazy, so many weird and bad things were happening, I remember when I drove up to Valley Ranch one day and saw all the TV trucks and reporters back again, I thought, `Oh no. What now?' And it was just a news conference to announce that Step (Mark Stepnoski) had signed. That's when I knew I was getting paranoid.'' </P> "	"nyt_eng_199407.gz"
"1060"	"he"	"thought"	" It would, he thought, give the presidency some West Coast identification and stimulate national political unity. Nothing ever came of the notion. </P> "	"nyt_eng_199407.gz"
"1178"	"we"	"thought"	" Elsewhere, Kohoutek was just as disappointing. As an astronomical event, it was a bust. But, we thought, let us forgive those who overestimated Kohoutek; let's give them another chance. </P> "	"nyt_eng_199407.gz"
"1285"	"they"	"thought"	" Or, they thought, if Shoemaker-Levy is really a comet, it should be comprised of ice that would heat up in the blasts and reveal its presence to the spectrometers used by astronomers to analyze the blast zones. </P> "	"nyt_eng_199407.gz"
"1448"	"I"	"thought"	" In the end, Cerullo said: ``I confronted him and he lied. At that point, I thought, `I don't care what I'm being told. I want to take a second look at everything.' </P> "	"nyt_eng_199407.gz"
"1560"	"he"	"thought"	" His name, he thought, had been Charles. </P> "	"nyt_eng_199407.gz"
"1561"	"he"	"thought"	" His name, he thought, had been Charles. </P> "	"nyt_eng_199407.gz"
"1562"	"he"	"thought"	" His name, he thought, had been Charles. </P> "	"nyt_eng_199407.gz"
"1599"	"I"	"thought"	" ``At one point, I thought, `Nothing is working in this piece. This is a mistake.' And as soon as I said that, I thought, `That's right, it's a mistake!' Now it's a concert pianist who arrives to give a concert, but whose piano does not,'' Porter says. ``It's so interesting how the problem itself became the solution. That's what it's about.'' </P> "	"nyt_eng_199407.gz"
"1672"	"I"	"thought"	" ``When Rusty made that catch, I thought, `Somebody wants me to do it,''' Rogers said. ``I knew a good play was coming, but I had no idea it would be that spectacular. When the ball left the bat, I thought it was a hit. I'll have to buy him dinner.'' </P> "	"nyt_eng_199407.gz"
